Country,Year,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k
Aruba,0,0,0,0,0,0,0,0,0.059988691,-0.058778997,0,0.05596221,-0.054833711
Aruba,5,0,0,0,0,0,0,0,0.054022357,-0.05957858,0,0.05039634,-0.055579626
Aruba,12,0,0,0,0,0,0,0,0.203120175,-0.055868867,0,0.189486613,-0.052118911
Aruba,19,0,0,0,0,0,0,0,0.0553736,-0.06093114,0,0.051656887,-0.056841401
Aruba,26,2.043568471,2.043568471,2.043568471,1.90640279,1.90640279,1.90640279,0.291938353,0.291938353,-0.070293003,0.272343256,0.272343256,-0.06557489
Aruba,33,1.291577061,1.291577061,1.291577061,1.204885546,1.204885546,1.204885546,-0.107427344,0.057639637,-0.107427344,-0.100216749,0.053770826,-0.100216749
Aruba,40,0.539585651,0.539585651,0.539585651,0.503368301,0.503368301,0.503368301,-0.107427344,0.093920116,-0.107427344,-0.100216749,0.087616135,-0.100216749
Aruba,47,-0.212405759,-0.212405759,-0.212405759,-0.198148943,-0.198148943,-0.198148943,-0.107427344,0.112299077,-0.107427344,-0.100216749,0.104761488,-0.100216749
Aruba,54,-0.96439717,-0.96439717,-0.96439717,-0.899666188,-0.899666188,-0.899666188,-0.107427344,0.119726889,-0.107427344,-0.100216749,0.11169074,-0.100216749
Aruba,61,2.571755963,2.571755963,2.571755963,2.399137985,2.399137985,2.399137985,0.505164733,0.505164733,-0.129784491,0.471257739,0.471257739,-0.121073269
Aruba,68,6.107909097,6.107909097,6.107909097,5.697942158,5.697942158,5.697942158,0.505164733,0.505164733,-0.108829617,0.471257739,0.471257739,-0.1015249
Aruba,75,9.64406223,9.64406223,9.64406223,8.996746331,8.996746331,8.996746331,0.505164733,0.505164733,-0.115838216,0.471257739,0.471257739,-0.108063078
Aruba,82,13.18021536,13.18021536,13.18021536,12.2955505,12.2955505,12.2955505,0.505164733,0.505164733,-0.158291868,0.471257739,0.471257739,-0.147667212
Aruba,89,16.7163685,16.7163685,16.7163685,15.59435468,15.59435468,15.59435468,0.505164733,0.505164733,-0.206414309,0.471257739,0.471257739,-0.192559643
Aruba,96,16.76305926,16.76305926,16.76305926,15.63791153,15.63791153,15.63791153,0.00667011,0.310316158,-0.265694076,0.006222407,0.28948753,-0.247860512
