date,World,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Macedonia,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Summer Olympics 2020,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-01-22,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2020-01-23,0.012,,,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.003,,0.265,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.001,,1.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.037,,,,,,0.02,,,,
2020-01-24,0.036,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004,,,,,0.03,,,,,,,,,,,,,,,,0.007,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367,,,,,,,0.019,,,,,,,,,,0.084,,,0.014,,,,,,,,,,,,0.003,0.111,,,,,,0.0,,,,
2020-01-25,0.063,,,,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,,,,,0.015,,,,,,,,,,,,,,,,0.003,,0.397,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.122,,,,,,,,,,,,,,,,,,0.034,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,0.014,,,,,,,,,,,,0.0,0.194,,,,,,0.0,,,,
2020-01-26,0.087,,,,,,,,,,,,0.144,0.155,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,0.459,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.016,,0.397,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,0.0,,4.557,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.007,,,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,,,,,,,0.019,,,,,,,,,,0.042,,,0.029,,,,,,,,,,,,0.009,0.265,,,,,,0.0,,,,
2020-01-27,0.103,,,,,,,,,,,,0.172,0.039,,,,,,,,,,,,,,,,,,,,,,,0.059,,0.0,,,,,,0.555,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,,,,,0.0,,,,,0.012,,,,,,,,,,,0.005,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.001,,1.519,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,,,,,,,0.019,,,0.047,,,,,,,0.042,,,0.0,,,,,,,,,,,,0.0,0.319,,,,,,0.0,,,,
2020-01-28,0.337,,,,,,,,,,,,0.566,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.026,,,,,,1.822,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.009,,,,,0.015,,,,,0.036,,,,,,,,,,,0.012,,0.0,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,0.0,,1.519,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367,,,,,,,0.0,,,0.0,,,,,,,0.126,,,0.086,,,,,,,,,,,,0.0,1.049,,,,,,0.0,,,,
2020-01-29,0.075,,,,,,,,,,,,0.125,0.039,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.399,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004,,,,0.18,0.015,,,,,0.0,,,,,,,,,,,0.008,,0.265,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.092,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.002,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.4,,0.003,0.23,,,,,,0.0,,,,
2020-01-30,0.263,,,,,,,,,,,,0.441,0.116,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,1.422,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,0.009,,0.0,,,0.001,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,0.001,,0.0,,,0.031,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.069,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,0.0,,,0.0,,,,,,,0.042,,,0.0,,,,,,,,,,0.0,,0.0,0.818,,,,,,0.0,,,,
2020-01-31,0.215,,,,,,,,,,,,0.359,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.053,,,,,,1.149,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.007,,,,0.0,0.0,,,,,0.012,,,,,,,,,,,0.021,,0.265,,,0.0,,,,,,,,0.033,,0.032,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.007,,,0.0,,,,,,,,,0.0,,,,,0.014,,,,,,,,,,,,,,,0.55,,,,,,,0.136,,,0.0,,,,,,,0.042,,,0.071,,,,,,,,,,0.0,0.029,0.006,0.663,,,,,,0.0,,,,
