date,total_vaccinations,people_fully_vaccinated,people_vaccinated,vaccine,location,source_url,total_boosters
2021-02-14,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-15,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-16,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-17,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-18,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-19,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-20,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-21,20,0,20,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-22,2879,0,2879,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-23,6908,0,6908,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-24,17500,0,17500,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-25,25000,0,25000,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-26,30000,0,30000,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-27,31894,0,31894,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-02-28,33702,0,33702,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-03-01,41907,0,41907,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-03-02,50840,0,50840,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-03-03,61008,0,61008,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-03-04,71867,0,71867,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-03-05,76940,0,76940,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,
2021-03-06,81345,0,81345,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-07,86369,0,86369,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-08,94908,0,94908,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-09,106200,0,106200,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-10,125000,0,125000,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-11,135103,0,135103,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-12,159294,0,159294,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-13,162551,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-14,164781,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-15,182437,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-16,203557,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-17,226057,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-18,240754,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-19,253831,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-20,257019,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-21,282184,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-22,307525,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-23,355254,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-24,408410,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-25,460155,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-26,506465,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-27,511520,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-28,541761,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-29,597523,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-30,670349,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-03-31,744328,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-04-01,823611,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-04-02,828416,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-04-03,843182,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-04-04,844309,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-04-05,854983,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-04-06,920334,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-04-07,996145,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
2021-04-08,1077511,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,
