date,total_vaccinations,people_vaccinated,people_fully_vaccinated,vaccine,location,source_url,total_boosters
2020-12-28,318,318,0,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2020-12-29,345,345,10,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2020-12-30,848,848,19,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2020-12-31,870,870,19,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-01,879,879,19,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-02,895,895,32,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-03,908,908,32,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-04,937,937,35,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-05,2684,2683,53,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-06,6664,6663,76,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-07,15111,15107,92,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-08,24477,24473,126,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-09,27733,27727,138,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-10,28156,28148,140,Pfizer/BioNTech,Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-11,33811,33800,152,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-12,49807,49791,178,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-13,71661,71526,314,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-14,95139,94991,338,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-15,118769,118612,368,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-16,123998,123837,382,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-17,127257,127082,396,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-18,138435,138124,545,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-19,157832,157325,771,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-20,179475,178519,1246,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-21,209756,208778,1292,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-22,239912,238892,1369,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-23,248399,247370,1390,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-24,250312,249265,1408,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-25,261725,260661,1448,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-26,274636,271810,3230,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-27,291395,285131,6707,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-28,315319,301155,14638,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-29,336880,313676,23712,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-30,341419,315302,26637,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-01-31,342358,315894,26984,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-01,350257,319896,30895,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-02,374926,330170,45319,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-03,405923,340402,66107,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-04,440348,350442,90512,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-05,471394,358527,113511,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-06,477947,359748,118856,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-07,481363,360076,121944,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-08,491610,362476,129808,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-09,519638,370684,149651,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-10,545408,377245,168889,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-11,582030,385465,197308,"Moderna, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-12,617057,392188,225651,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-13,625794,392772,233819,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-14,627763,392863,235697,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-15,641559,394898,247468,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-16,656535,399263,258096,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-17,676642,406506,270980,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-18,704609,417127,288332,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-19,735934,435146,301661,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-20,741968,439578,303276,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-21,744167,441492,303562,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-22,756943,451308,306525,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-23,777144,463290,314757,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-24,800435,478194,323161,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-25,832456,500955,332429,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-26,864674,526217,339413,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-27,869074,529818,340225,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-02-28,869953,530425,340497,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-01,883614,541315,343279,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-02,907399,558200,350198,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-03,937771,582366,356423,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-04,987732,623535,365224,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-05,1032799,661842,371998,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-06,1041151,669558,372649,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-07,1042676,670894,372838,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-08,1060082,686303,374844,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-09,1089136,707890,382331,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-10,1125331,734861,391580,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-11,1179703,779086,401738,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-12,1224856,810532,415472,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-13,1234788,818256,417691,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-14,1236268,818449,418978,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-15,1267053,844550,423664,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-16,1313960,887191,427937,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-17,1361855,926249,436776,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-18,1437384,984814,453741,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-19,1505400,1033859,472715,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-20,1527942,1054807,474313,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-21,1528936,1055273,474845,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-22,1561872,1082819,480235,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-23,1609989,1125150,486023,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-24,1671880,1176413,496656,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
2021-03-25,1751242,1235706,516730,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Belgium,https://epistat.wiv-isp.be/covid/,
