location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,vaccine,source_url
Brazil,2021-01-17,112,112,0,0,Sinovac,https://coronavirusbra1.github.io
Brazil,2021-01-18,1109,1109,0,0,Sinovac,https://coronavirusbra1.github.io
Brazil,2021-01-19,13527,13527,0,0,Sinovac,https://coronavirusbra1.github.io
Brazil,2021-01-20,105824,105824,0,0,Sinovac,https://coronavirusbra1.github.io
Brazil,2021-01-21,193699,193699,0,0,Sinovac,https://coronavirusbra1.github.io
Brazil,2021-01-22,462269,462269,0,0,Sinovac,https://coronavirusbra1.github.io
Brazil,2021-01-23,573268,573268,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-01-24,613954,613954,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-01-25,801759,801759,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-01-26,1045746,1045746,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-01-27,1327546,1327546,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-01-28,1563098,1563098,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-01-29,1923813,1923813,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-01-30,2046523,2046523,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-01-31,2084119,2084119,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-02-01,2292551,2292551,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-02-02,2521704,2521704,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-02-03,2802134,2802134,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-02-04,3074906,3074906,0,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-02-05,3401383,3399421,1962,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
Brazil,2021-02-06,3553681,3534004,19677,0,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io
