location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated,total_boosters
Iceland,2020-12-30,Pfizer/BioNTech,4875,https://www.ruv.is/frett/2020/12/30/4875-landsmenn-fengu-bolusetningu,4875,,
Iceland,2021-01-20,"Moderna, Pfizer/BioNTech",6205,https://www.covid.is/tolulegar-upplysingar-boluefni,5725,480,
Iceland,2021-01-25,"Moderna, Pfizer/BioNTech",15220,https://www.covid.is/tolulegar-upplysingar-boluefni,10433,4787,
Iceland,2021-01-27,"Moderna, Pfizer/BioNTech",15522,https://www.covid.is/tolulegar-upplysingar-boluefni,10702,4820,
Iceland,2021-02-03,"Moderna, Pfizer/BioNTech",16951,https://www.covid.is/tolulegar-upplysingar-boluefni,12098,4853,
Iceland,2021-02-05,"Moderna, Pfizer/BioNTech",17515,https://www.covid.is/tolulegar-upplysingar-boluefni,12660,4855,
Iceland,2021-02-08,"Moderna, Pfizer/BioNTech",17657,https://www.covid.is/tolulegar-upplysingar-boluefni,12801,4856,
Iceland,2021-02-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",19624,https://www.covid.is/tolulegar-upplysingar-boluefni,14086,5538,
Iceland,2021-02-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",19844,https://www.covid.is/tolulegar-upplysingar-boluefni,14087,5757,
Iceland,2021-02-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",20031,https://www.covid.is/tolulegar-upplysingar-boluefni,14087,5944,
Iceland,2021-02-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",21569,https://www.covid.is/tolulegar-upplysingar-boluefni,14188,7381,
Iceland,2021-02-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",24853,https://www.covid.is/tolulegar-upplysingar-boluefni,15195,9658,
Iceland,2021-02-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",25718,https://www.covid.is/tolulegar-upplysingar-boluefni,15644,10074,
Iceland,2021-02-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",27762,https://www.covid.is/tolulegar-upplysingar-boluefni,17232,10530,
Iceland,2021-02-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",27933,https://www.covid.is/tolulegar-upplysingar-boluefni,17379,10554,
Iceland,2021-02-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",31451,https://www.covid.is/tolulegar-upplysingar-boluefni,19075,12376,
Iceland,2021-02-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",32157,https://www.covid.is/tolulegar-upplysingar-boluefni,19593,12564,
Iceland,2021-03-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",33683,https://www.covid.is/tolulegar-upplysingar-boluefni,21083,12600,
Iceland,2021-03-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",33835,https://www.covid.is/tolulegar-upplysingar-boluefni,21191,12644,
Iceland,2021-03-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",39196,https://www.covid.is/tolulegar-upplysingar-boluefni,26489,12707,
Iceland,2021-03-05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",39749,https://www.covid.is/tolulegar-upplysingar-boluefni,27041,12708,
Iceland,2021-03-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",42027,https://www.covid.is/tolulegar-upplysingar-boluefni,29317,12710,
Iceland,2021-03-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",46052,https://www.covid.is/tolulegar-upplysingar-boluefni,33289,12763,
Iceland,2021-03-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",46862,https://www.covid.is/tolulegar-upplysingar-boluefni,34018,12844,
Iceland,2021-03-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",47059,https://www.covid.is/tolulegar-upplysingar-boluefni,34171,12888,
Iceland,2021-03-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",50297,https://www.covid.is/tolulegar-upplysingar-boluefni,36775,13522,
Iceland,2021-03-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",51283,https://www.covid.is/tolulegar-upplysingar-boluefni,37179,14104,
Iceland,2021-03-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",52604,https://www.covid.is/tolulegar-upplysingar-boluefni,37865,14739,
Iceland,2021-03-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",53019,https://www.covid.is/tolulegar-upplysingar-boluefni,37953,15066,
