date,people_vaccinated,people_fully_vaccinated,total_boosters,vaccine,total_vaccinations,location,source_url
2021-02-08,5,2,0,Sinopharm/Beijing,7,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-09,3850,5,0,Sinopharm/Beijing,3855,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-10,20430,22,0,Sinopharm/Beijing,20452,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-11,54555,24,0,Sinopharm/Beijing,54579,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-12,86932,24,0,Sinopharm/Beijing,86956,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-13,105801,25,1,Sinopharm/Beijing,105827,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-14,111101,25,1,Sinopharm/Beijing,111127,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-15,122587,25,1,Sinopharm/Beijing,122613,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-16,130107,26,1,Sinopharm/Beijing,130134,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-17,134058,26,1,Sinopharm/Beijing,134085,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-18,141460,27,1,Sinopharm/Beijing,141488,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-19,171988,27,1,Sinopharm/Beijing,172016,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-20,198111,27,1,Sinopharm/Beijing,198139,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-21,202671,27,1,Sinopharm/Beijing,202699,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-22,233175,35,1,Sinopharm/Beijing,233211,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-23,260566,36,1,Sinopharm/Beijing,260603,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-24,283481,40,1,Sinopharm/Beijing,283522,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-25,299357,41,1,Sinopharm/Beijing,299399,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-26,315284,45,1,Sinopharm/Beijing,315330,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-27,322090,45,1,Sinopharm/Beijing,322136,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-02-28,323087,45,1,Sinopharm/Beijing,323133,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-01,332380,50,1,Sinopharm/Beijing,332431,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-02,339488,2193,1,Sinopharm/Beijing,341682,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-03,345881,14250,1,Sinopharm/Beijing,360132,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-04,349655,43609,1,"Pfizer/BioNTech, Sinopharm/Beijing",393265,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-05,354315,76049,1,"Pfizer/BioNTech, Sinopharm/Beijing",430365,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-06,357346,93198,1,"Pfizer/BioNTech, Sinopharm/Beijing",450545,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-07,357486,95669,1,"Pfizer/BioNTech, Sinopharm/Beijing",453156,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-08,375809,108475,1,"Pfizer/BioNTech, Sinopharm/Beijing",484285,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-09,395432,116117,2,"Pfizer/BioNTech, Sinopharm/Beijing",511551,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-10,408374,121211,2,"Pfizer/BioNTech, Sinopharm/Beijing",529587,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-11,416935,127131,2,"Pfizer/BioNTech, Sinopharm/Beijing",544068,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-12,425722,145044,2,"Pfizer/BioNTech, Sinopharm/Beijing",570768,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-13,431907,174614,2,"Pfizer/BioNTech, Sinopharm/Beijing",606523,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-14,432619,177334,2,"Pfizer/BioNTech, Sinopharm/Beijing",609955,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-15,450752,207296,2,"Pfizer/BioNTech, Sinopharm/Beijing",658050,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-16,473409,232291,2,"Pfizer/BioNTech, Sinopharm/Beijing",705702,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-17,495816,256767,2,"Pfizer/BioNTech, Sinopharm/Beijing",752585,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-18,522027,273469,2,"Pfizer/BioNTech, Sinopharm/Beijing",795498,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-19,547707,289579,2,"Pfizer/BioNTech, Sinopharm/Beijing",837288,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-20,565869,296031,2,"Pfizer/BioNTech, Sinopharm/Beijing",861902,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-21,566554,297073,2,"Pfizer/BioNTech, Sinopharm/Beijing",863629,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-22,575247,305820,2,"Pfizer/BioNTech, Sinopharm/Beijing",881069,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-23,590881,315122,2,"Pfizer/BioNTech, Sinopharm/Beijing",906005,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
2021-03-24,605563,322507,2,"Pfizer/BioNTech, Sinopharm/Beijing",928072,Peru,https://www.datosabiertos.gob.pe/dataset/vacunacion
