location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Saint Vincent and the Grenadines,2021-03-17,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4310562169004173,8952,8952,,
Saint Vincent and the Grenadines,2021-03-19,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/photos/a.460089407384821/4317039035023153,9383,9383,,
Saint Vincent and the Grenadines,2021-03-26,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4335021876558202,10519,10519,,
Saint Vincent and the Grenadines,2021-04-10,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/photos/4386752088051847,12124,12124,,
Saint Vincent and the Grenadines,2021-04-17,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/photos/4406271529433236,12764,12764,,
Saint Vincent and the Grenadines,2021-04-24,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4427549923972063,13852,13852,,
Saint Vincent and the Grenadines,2021-04-26,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4432141053512950,13868,13868,,
Saint Vincent and the Grenadines,2021-04-27,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4434964829897239,13998,13998,,
Saint Vincent and the Grenadines,2021-04-28,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4438581972868858,14138,14138,,
Saint Vincent and the Grenadines,2021-04-30,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4444935248900197,14511,14511,,
Saint Vincent and the Grenadines,2021-05-01,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4447652045295184,14526,14526,,
Saint Vincent and the Grenadines,2021-05-12,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/photos/a.460089407384821/4478648898862165/,16726,,,
Saint Vincent and the Grenadines,2021-05-18,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/photos/a.460089407384821/4497943153599406/,17893,,,
Saint Vincent and the Grenadines,2021-05-19,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4508917015835353,18417,,,
Saint Vincent and the Grenadines,2021-05-26,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4522340984492956,19463,,,
Saint Vincent and the Grenadines,2021-05-29,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4537195663007488,20768,,,
Saint Vincent and the Grenadines,2021-06-03,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4550265978367123,21422,,,
Saint Vincent and the Grenadines,2021-06-10,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4568334713226916,22746,,,
Saint Vincent and the Grenadines,2021-06-15,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/photos/a.460089407384821/4581707335222987,23087,,,
Saint Vincent and the Grenadines,2021-06-21,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4595810180479369,23640,,,
Saint Vincent and the Grenadines,2021-06-26,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/posts/4610284579031929,24667,,,
Saint Vincent and the Grenadines,2021-06-28,Oxford/AstraZeneca,https://www.facebook.com/SVGHEALTH/photos/a.460089407384821/4615515988508788/,24737,,,
