date,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,location,source_url,vaccine
2020-12-30,119,0,,119,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2020-12-31,124,0,,124,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-01,130,0,,130,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-02,134,0,,134,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-03,142,0,,142,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-04,164,0,,164,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-05,175,2,,177,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-06,184,2,,186,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-07,197,3,,200,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-08,923,6,,929,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-09,1323,8,,1331,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-10,1433,8,,1441,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-11,3520,10,,3530,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-12,6333,12,,6345,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-13,10429,13,,10442,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-14,15228,14,,15242,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-15,20603,17,,20620,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-16,22344,19,,22363,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-17,22986,22,,23008,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-18,30524,22,,30546,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-19,38771,31,,38802,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-20,47977,71,,48048,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-21,55468,74,,55542,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-22,63258,76,,63334,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-23,68041,79,,68120,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-24,72543,80,,72623,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-25,84600,96,,84696,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-26,97248,105,,97353,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-27,111161,112,,111273,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-28,125718,130,,125848,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-29,139764,858,,140622,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-30,146925,1187,,148112,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-01-31,152563,1315,,153878,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-01,161622,3428,,165050,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-02,171264,5950,,177214,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-03,182748,9687,,192435,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-04,191479,14118,,205597,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-05,200913,19393,,220306,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-06,205251,21072,,226323,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-07,207521,21751,,229272,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-08,211489,29354,,240843,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-09,215071,37697,,252768,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-10,218047,46877,,264924,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-11,219395,49871,,269266,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-12,219411,49877,,269288,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-13,219421,49883,,269304,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-14,219934,53866,,273800,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-15,221054,64882,,285936,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-16,223352,79069,,302421,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-17,226690,94751,,321441,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-18,230916,109247,,340163,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-19,236679,123733,,360412,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-20,240500,131423,,371923,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-21,242526,137426,,379952,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-22,248753,149268,,398021,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-23,256903,161296,,418199,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-24,264530,173205,,437735,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-25,273191,183305,,456496,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-26,283290,194226,,477516,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-27,291702,199795,,491497,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-02-28,297876,202418,,500294,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-01,307584,205829,,513413,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-02,317514,209285,,526799,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-03,328524,212115,,540639,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-04,340716,213855,,554571,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-05,354229,214802,,569031,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-06,362977,215460,,578437,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-07,367778,215893,,583671,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-08,381363,217381,,598744,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-09,398162,219340,,617502,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-10,417107,222151,,639258,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-11,439368,225577,,664945,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-12,464270,230530,,694800,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-13,488225,233999,,722224,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-14,508560,235816,,744376,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,Pfizer/BioNTech
2021-03-15,536323,241851,,778174,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-16,565469,249101,,814570,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-17,598911,256732,,855643,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-18,632044,264521,,896565,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-19,668562,274192,,942754,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-20,698663,282591,,981254,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-21,726012,288300,,1014312,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-22,756558,298403,,1054961,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-23,784498,308193,,1092691,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-24,808112,318922,,1127034,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-25,829003,331158,,1160161,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-26,851845,345525,,1197370,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-27,874734,354337,,1229071,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-28,891181,359367,,1250548,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-29,925981,372606,,1298587,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-30,953375,388615,,1341990,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-03-31,976176,407456,,1383632,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-01,998621,427085,,1425706,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-02,1016911,443653,,1460564,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-03,1036218,465915,,1502133,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-04,1052758,482662,,1535420,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-05,1081107,508064,,1589171,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-06,1108299,533414,,1641713,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-07,1133177,561657,,1694834,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-08,1156140,591104,,1747244,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-09,1176693,627288,,1803981,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-10,1194464,659700,,1854164,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-11,1214100,685647,,1899747,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-12,1230756,714773,,1945529,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
2021-04-13,1248857,738891,,1987748,Singapore,https://data.gov.sg/dataset/covid-19-vaccination,"Moderna, Pfizer/BioNTech"
