location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Togo,2021-03-09,Oxford/AstraZeneca,https://www.rfi.fr/fr/afrique/20210310-le-togo-lance-sa-campagne-de-vaccination-contre-le-covid-19,0,0,0,
Togo,2021-03-24,Oxford/AstraZeneca,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/Plus-de-42.000-personnes-vaccinees,42092,42092,0,
Togo,2021-04-08,Oxford/AstraZeneca,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/Accelerer-la-vaccination-est-une-necessite,82753,82753,0,
Togo,2021-04-13,Oxford/AstraZeneca,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/Plus-de-100.000-personnes-deja-vaccinees,100000,100000,0,
Togo,2021-04-17,Oxford/AstraZeneca,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/La-vaccination-de-masse-va-commencer,160000,160000,0,
Togo,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,311938,270784,41154,
Togo,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,318666,270784,47882,
Togo,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,347246,270784,76462,
Togo,2021-07-19,Oxford/AstraZeneca,https://covid19.who.int/,454208,304278,149930,
Togo,2021-08-03,Oxford/AstraZeneca,https://covid19.who.int/,474776,321139,153637,
Togo,2021-08-20,Oxford/AstraZeneca,https://covid19.who.int/,535518,356897,178621,
Togo,2021-09-05,Oxford/AstraZeneca,https://covid19.who.int/,651941,414249,237692,
Togo,2021-09-17,Oxford/AstraZeneca,https://covid19.who.int/,832822,445041,387781,
Togo,2021-09-24,Oxford/AstraZeneca,https://covid19.who.int/,997632,595491,402141,
Togo,2021-10-01,Oxford/AstraZeneca,https://covid19.who.int/,1125671,720739,404932,
Togo,2021-10-08,Oxford/AstraZeneca,https://covid19.who.int/,1215025,805728,409297,
