location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Trinidad and Tobago,2021-02-15,Oxford/AstraZeneca,https://www.looptt.com/content/health-ministry-give-1st-batch-covid-19-vaccines-staff,0,0,0,
Trinidad and Tobago,2021-02-22,Oxford/AstraZeneca,https://trinidadexpress.com/newsextra/no-vaccine-for-children-pregnant-breast-feeding/article_4bf5c4ba-752d-11eb-9b08-c74c78f65525.html,440,440,0,
Trinidad and Tobago,2021-02-27,Oxford/AstraZeneca,https://www.looptt.com/content/100800-vaccines-approved-tt-deyalsingh-announces,991,991,0,
Trinidad and Tobago,2021-04-08,Oxford/AstraZeneca,https://health.gov.tt/covid-19-update-thursday-8th-april-2021,4777,4777,0,
Trinidad and Tobago,2021-04-15,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,,
Trinidad and Tobago,2021-04-16,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,,
Trinidad and Tobago,2021-04-17,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,,
Trinidad and Tobago,2021-04-18,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,,
Trinidad and Tobago,2021-04-19,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,,
Trinidad and Tobago,2021-04-20,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,,
Trinidad and Tobago,2021-04-21,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,,
Trinidad and Tobago,2021-04-22,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-04-23,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-04-24,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-04-25,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-04-26,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-04-27,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-04-28,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-04-29,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-04-30,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-05-01,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-05-02,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-05-03,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,0,
Trinidad and Tobago,2021-05-04,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,196,
Trinidad and Tobago,2021-05-05,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,288,
Trinidad and Tobago,2021-05-06,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,480,
Trinidad and Tobago,2021-05-07,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,605,
Trinidad and Tobago,2021-05-08,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,946,
Trinidad and Tobago,2021-05-09,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,946,
Trinidad and Tobago,2021-05-10,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1100,
Trinidad and Tobago,2021-05-11,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-12,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-13,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-14,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-15,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-16,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-17,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-18,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-19,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-20,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
Trinidad and Tobago,2021-05-21,Oxford/AstraZeneca,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,,,1179,
