location,iso_code,vaccines,last_observation_date,source_name,source_website
Afghanistan,AFG,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-01-17,World Health Organization,https://covid19.who.int/
Albania,ALB,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2022-01-13,Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-2510426-vaksinime/
Algeria,DZA,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2022-01-09,World Health Organization,https://covid19.who.int/
Andorra,AND,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-12-26,World Health Organization,https://worldhealthorg.shinyapps.io/EURO_COVID-19_vaccine_monitor/
Angola,AGO,Oxford/AstraZeneca,2022-01-14,World Health Organization,https://covid19.who.int/
Anguilla,AIA,"Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-14,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Antigua and Barbuda,ATG,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2022-01-13,Ministry of Health,https://covid19.gov.ag
Argentina,ARG,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-01-16,Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Armenia,ARM,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2022-01-09,World Health Organization,https://www.moh.am/#1/4732
Aruba,ABW,Pfizer/BioNTech,2022-01-17,Government of Aruba,https://www.government.aw
Australia,AUS,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-17,Government of Australia via CovidBaseAU,https://covidbaseau.com/
Austria,AUT,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-17,Ministry of Health,https://info.gesundheitsministerium.gv.at/data/COVID19_vaccination_doses_timeline.csv
Azerbaijan,AZE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2022-01-17,Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-12,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bahrain,BHR,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-01-17,Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-01-17,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,BRB,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-01-15,Ministry of Health,https://www.facebook.com/moh.barbados/posts/294307646068777
Belarus,BLR,"Sinopharm/Beijing, Sputnik V",2022-01-09,World Health Organization,https://worldhealthorg.shinyapps.io/EURO_COVID-19_vaccine_monitor/
Belgium,BEL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-16,Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-01-14,World Health Organization,https://covid19.who.int/
Benin,BEN,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2022-01-03,Ministry of Health,https://covid19.who.int/
Bermuda,BMU,"Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-14,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bhutan,BTN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-01-02,World Health Organization,https://covid19.who.int/
Bolivia,BOL,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-01-14,Ministry of Health via https://www.boligrafica.com/,https://github.com/dquintani/vacunacion/
Bonaire Sint Eustatius and Saba,BES,"Moderna, Pfizer/BioNTech",2021-09-01,World Health Organization,https://www.rivm.nl/sites/default/files/2021-09/COVID-19_website_rapport_eilanden_engels_35_20210902_1409.pdf
Bosnia and Herzegovina,BIH,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-11-30,World Health Organization,https://www.telegraf.rs/vesti/jugosfera/3425880-uzasno-korona-stanje-u-bih-do-sada-cak-12-586-umrlih-a-o-vakcini-mnogi-i-ne-razmisljaju
Botswana,BWA,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2022-01-12,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Brazil,BRA,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2022-01-17,State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io
British Virgin Islands,VGB,"Johnson&Johnson, Oxford/AstraZeneca",2022-01-14,World Health Organization,https://covid19.who.int/
Brunei,BRN,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-01-07,World Health Organization,https://covid19.who.int/
Bulgaria,BGR,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-17,Ministry of Health,https://coronavirus.bg/bg/statistika
Burkina Faso,BFA,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2022-01-04,World Health Organization,https://covid19.who.int/
Burundi,BDI,Sinopharm/Beijing,2021-12-30,World Health Organization,https://africacdc.org/covid-19-vaccination/
Cambodia,KHM,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",2022-01-16,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/4802751319763936
Cameroon,CMR,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-01-09,World Health Organization,https://covid19.who.int/
Canada,CAN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-17,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,CPV,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-01-14,World Health Organization,https://covid19.who.int/
Cayman Islands,CYM,"Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-14,World Health Organization,https://covid19.who.int/
Central African Republic,CAF,"Covaxin, Oxford/AstraZeneca",2022-01-12,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Chad,TCD,Sinopharm/Beijing,2022-01-12,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Chile,CHL,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2022-01-14,"Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",https://github.com/MinCiencia/Datos-COVID19
China,CHN,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",2022-01-17,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202201/8d493478365041eeb4d66c51bb7941ea.shtml
Colombia,COL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2022-01-14,Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
Comoros,COM,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",2021-12-31,World Health Organization,https://covid19.who.int/
Congo,COG,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-12-15,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Cook Islands,COK,Pfizer/BioNTech,2022-01-04,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Costa Rica,CRI,"Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-10,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Cote d'Ivoire,CIV,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-01-14,World Health Organization,https://covid19.who.int/
Croatia,HRV,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-01-16,Ministry of Health,https://www.koronavirus.hr
Cuba,CUB,"Abdala, Soberana02",2022-01-15,Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
Curacao,CUW,"Moderna, Pfizer/BioNTech",2022-01-17,Government of Curacao,https://bakuna.cw/
