location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31246
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,89
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116187
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,310
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,213439
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4235
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,258254
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5930
Austria,2021-02-05,Oxford/AstraZeneca,0
Austria,2021-02-05,Pfizer/BioNTech,354128
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10023
Austria,2021-02-12,Oxford/AstraZeneca,10759
Austria,2021-02-12,Pfizer/BioNTech,455837
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14149
Austria,2021-02-19,Oxford/AstraZeneca,43496
Austria,2021-02-19,Pfizer/BioNTech,521524
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22532
Austria,2021-02-26,Oxford/AstraZeneca,101197
Austria,2021-02-26,Pfizer/BioNTech,582746
Austria,2021-03-05,Johnson&Johnson,1
Austria,2021-03-05,Moderna,31841
Austria,2021-03-05,Oxford/AstraZeneca,156083
Austria,2021-03-05,Pfizer/BioNTech,687261
Austria,2021-03-12,Johnson&Johnson,1
Austria,2021-03-12,Moderna,47204
Austria,2021-03-12,Oxford/AstraZeneca,234796
Austria,2021-03-12,Pfizer/BioNTech,850146
Austria,2021-03-19,Johnson&Johnson,20
Austria,2021-03-19,Moderna,78968
Austria,2021-03-19,Oxford/AstraZeneca,308061
Austria,2021-03-19,Pfizer/BioNTech,982879
Austria,2021-03-26,Johnson&Johnson,35
Austria,2021-03-26,Moderna,104360
Austria,2021-03-26,Oxford/AstraZeneca,383396
Austria,2021-03-26,Pfizer/BioNTech,1129565
Austria,2021-04-02,Johnson&Johnson,60
Austria,2021-04-02,Moderna,140734
Austria,2021-04-02,Oxford/AstraZeneca,421937
Austria,2021-04-02,Pfizer/BioNTech,1277915
Austria,2021-04-09,Johnson&Johnson,114
Austria,2021-04-09,Moderna,180288
Austria,2021-04-09,Oxford/AstraZeneca,512230
Austria,2021-04-09,Pfizer/BioNTech,1499692
Austria,2021-04-16,Johnson&Johnson,125
Austria,2021-04-16,Moderna,222817
Austria,2021-04-16,Oxford/AstraZeneca,608094
Austria,2021-04-16,Pfizer/BioNTech,1733865
Austria,2021-04-23,Johnson&Johnson,132
Austria,2021-04-23,Moderna,260157
Austria,2021-04-23,Oxford/AstraZeneca,657006
Austria,2021-04-23,Pfizer/BioNTech,1997917
Austria,2021-04-30,Johnson&Johnson,406
Austria,2021-04-30,Moderna,299179
Austria,2021-04-30,Oxford/AstraZeneca,699385
Austria,2021-04-30,Pfizer/BioNTech,2271850
Austria,2021-05-07,Johnson&Johnson,6514
Austria,2021-05-07,Moderna,348554
Austria,2021-05-07,Oxford/AstraZeneca,762272
Austria,2021-05-07,Pfizer/BioNTech,2602827
Austria,2021-05-14,Johnson&Johnson,13512
Austria,2021-05-14,Moderna,398557
Austria,2021-05-14,Oxford/AstraZeneca,826415
Austria,2021-05-14,Pfizer/BioNTech,2902847
Austria,2021-05-21,Johnson&Johnson,25767
Austria,2021-05-21,Moderna,466612
Austria,2021-05-21,Oxford/AstraZeneca,903934
Austria,2021-05-21,Pfizer/BioNTech,3281548
Austria,2021-05-28,Johnson&Johnson,37933
Austria,2021-05-28,Moderna,520294
Austria,2021-05-28,Oxford/AstraZeneca,986412
Austria,2021-05-28,Pfizer/BioNTech,3617938
Austria,2021-06-04,Johnson&Johnson,58337
Austria,2021-06-04,Moderna,575812
Austria,2021-06-04,Oxford/AstraZeneca,1054602
Austria,2021-06-04,Pfizer/BioNTech,4044586
Austria,2021-06-11,Johnson&Johnson,80041
Austria,2021-06-11,Moderna,638960
Austria,2021-06-11,Oxford/AstraZeneca,1149440
Austria,2021-06-11,Pfizer/BioNTech,4484588
Austria,2021-06-18,Johnson&Johnson,95011
Austria,2021-06-18,Moderna,688757
Austria,2021-06-18,Oxford/AstraZeneca,1201000
Austria,2021-06-18,Pfizer/BioNTech,4941205
Austria,2021-06-25,Johnson&Johnson,103594
Austria,2021-06-25,Moderna,744560
Austria,2021-06-25,Oxford/AstraZeneca,1274129
Austria,2021-06-25,Pfizer/BioNTech,5388068
Austria,2021-07-02,Johnson&Johnson,129078
Austria,2021-07-02,Moderna,804736
Austria,2021-07-02,Oxford/AstraZeneca,1380936
Austria,2021-07-02,Pfizer/BioNTech,5781234
Austria,2021-07-09,Johnson&Johnson,153251
Austria,2021-07-09,Moderna,855414
Austria,2021-07-09,Oxford/AstraZeneca,1444937
Austria,2021-07-09,Pfizer/BioNTech,6112698
Austria,2021-07-16,Johnson&Johnson,172606
Austria,2021-07-16,Moderna,900297
Austria,2021-07-16,Oxford/AstraZeneca,1493138
Austria,2021-07-16,Pfizer/BioNTech,6388748
Austria,2021-07-23,Johnson&Johnson,189164
Austria,2021-07-23,Moderna,946864
Austria,2021-07-23,Oxford/AstraZeneca,1519907
Austria,2021-07-23,Pfizer/BioNTech,6640442
Austria,2021-07-30,Johnson&Johnson,201225
Austria,2021-07-30,Moderna,965802
Austria,2021-07-30,Oxford/AstraZeneca,1544543
Austria,2021-07-30,Pfizer/BioNTech,6852930
Austria,2021-08-06,Johnson&Johnson,216384
Austria,2021-08-06,Moderna,983623
Austria,2021-08-06,Oxford/AstraZeneca,1558712
Austria,2021-08-06,Pfizer/BioNTech,7031617
Austria,2021-08-13,Johnson&Johnson,226678
Austria,2021-08-13,Moderna,993156
