location,date,num_sequences,num_sequences_per_1M,num_sequences_cumulative,num_sequences_cumulative_per_1M
Angola,2020-07-06,3,0.09,3,0.09
Angola,2020-08-31,1,0.03,4,0.12
Angola,2020-09-28,10,0.29,14,0.41
Angola,2020-10-12,29,0.85,43,1.26
Angola,2020-10-26,7,0.21,50,1.47
Angola,2020-12-07,6,0.18,56,1.65
Angola,2020-12-21,93,2.74,149,4.39
Angola,2021-01-04,5,0.15,154,4.54
Angola,2021-01-11,16,0.47,170,5.01
Angola,2021-01-25,52,1.53,222,6.54
Angola,2021-02-08,42,1.24,264,7.78
Angola,2021-02-22,39,1.15,303,8.93
Angola,2021-03-08,113,3.33,416,12.26
Angola,2021-03-22,121,3.57,537,15.83
Angola,2021-04-05,137,4.04,674,19.87
Angola,2021-04-19,83,2.45,757,22.32
Angola,2021-05-03,34,1.0,791,23.32
Angola,2021-05-17,5,0.15,796,23.47
Angola,2021-05-31,7,0.21,803,23.68
Angola,2021-06-14,22,0.65,825,24.33
Angola,2021-06-28,59,1.74,884,26.07
Angola,2021-07-12,46,1.36,930,27.43
Angola,2021-07-26,10,0.29,940,27.72
Angola,2021-08-09,4,0.12,944,27.84
Angola,2021-08-23,1,0.03,945,27.87
Angola,2021-09-06,20,0.59,965,28.46
Angola,2021-09-20,57,1.68,1022,30.14
Angola,2021-10-04,33,0.97,1055,31.11
Argentina,2020-05-11,149,3.27,149,3.27
Argentina,2020-05-25,167,3.66,316,6.93
Argentina,2020-06-08,65,1.43,381,8.36
Argentina,2020-06-22,75,1.64,456,10.0
Argentina,2020-07-06,63,1.38,519,11.38
Argentina,2020-07-20,113,2.48,632,13.86
Argentina,2020-08-03,102,2.24,734,16.1
Argentina,2020-08-17,110,2.41,844,18.51
Argentina,2020-08-31,137,3.0,981,21.51
Argentina,2020-09-14,49,1.07,1030,22.58
Argentina,2020-09-28,50,1.1,1080,23.68
Argentina,2020-10-12,39,0.86,1119,24.54
Argentina,2020-10-26,102,2.24,1221,26.78
