Country,Year,confirmed_cases,hospital_flow,icu_flow,confirmed_deaths
Spain,349,25.6,27.4,26.5,30.3
Spain,350,27.0,27.2,25.8,29.5
Spain,351,27.1,27.5,25.7,30.5
Spain,352,27.4,27.7,24.9,30.7
Spain,353,27.5,28.2,26.1,31.9
Spain,354,27.6,28.7,26.5,31.5
Spain,355,28.0,28.3,26.4,31.6
Spain,356,28.5,27.3,26.5,32.5
Spain,357,29.7,27.9,28.1,33.3
Spain,358,29.3,28.9,30.4,33.6
Spain,359,26.3,29.6,31.7,33.9
Spain,360,26.1,30.1,32.7,33.8
Spain,361,26.7,30.8,32.3,35.8
Spain,362,28.4,31.4,33.5,35.3
Spain,363,30.6,32.5,34.4,36.5
Spain,364,33.3,33.8,34.4,38.3
Spain,365,35.5,34.9,34.0,39.4
Spain,366,36.7,37.3,36.3,41.0
Spain,367,38.3,39.6,38.2,43.5
Spain,368,39.9,39.8,40.1,44.6
Spain,369,42.7,43.5,43.0,47.5
Spain,370,47.4,47.4,46.4,49.7
Spain,371,44.8,48.5,48.5,53.6
Spain,372,49.3,50.1,51.8,57.2
Spain,373,59.4,52.6,54.8,60.4
Spain,374,63.0,55.9,58.5,63.7
Spain,375,64.6,61.9,63.6,69.1
Spain,376,68.8,66.4,67.7,73.5
Spain,377,71.5,71.0,71.6,78.0
Spain,378,81.4,76.0,75.8,82.6
Spain,379,86.1,79.6,78.2,84.9
Spain,380,90.2,85.0,83.8,88.9
Spain,381,92.5,89.8,87.1,91.9
Spain,382,94.4,93.4,90.8,93.5
Spain,383,95.8,96.6,94.6,97.1
Spain,384,97.8,98.9,97.8,99.3
Spain,385,99.0,99.8,99.5,98.4
Spain,386,100.0,100.0,100.0,100.0
Spain,387,99.7,99.8,99.8,99.2
Spain,388,99.2,98.9,99.1,99.6
Spain,389,98.7,98.0,98.2,98.1
Spain,390,97.5,96.3,96.0,95.4
Spain,391,95.5,94.7,94.8,92.4
Spain,392,93.1,93.2,93.5,90.6
Spain,393,90.1,91.3,93.0,87.8
Spain,394,86.1,87.9,90.5,85.1
Spain,395,83.8,84.8,88.8,81.6
Spain,396,81.5,81.0,86.8,78.8
Spain,397,77.3,77.2,84.0,76.6
Spain,398,72.7,73.0,81.1,73.7
Spain,399,67.8,69.4,76.9,70.5
Spain,400,62.9,66.2,73.5,67.4
Spain,401,58.0,63.0,70.2,63.8
Spain,402,54.8,59.3,66.7,60.5
Spain,403,52.5,55.4,61.4,58.1
Spain,404,49.0,51.6,58.1,54.3
Spain,405,44.7,48.4,53.0,51.3
Spain,406,40.5,45.8,50.2,48.3
Spain,407,36.7,43.5,47.2,45.6
Spain,408,33.3,39.9,43.2,44.0
Spain,409,31.5,36.5,40.2,42.4
Spain,410,30.5,34.6,38.9,39.6
Spain,411,28.5,32.6,36.5,38.2
Spain,412,26.2,30.5,35.1,37.0
Spain,413,24.3,29.5,34.1,35.7
Spain,414,22.9,28.9,34.1,35.1
Spain,415,21.4,27.6,33.5,34.3
Spain,416,20.7,26.7,31.5,31.8
Spain,417,20.3,25.3,29.9,30.9
Spain,418,19.5,24.3,28.4,29.2
Spain,419,18.5,23.8,28.1,27.6
Spain,420,17.6,23.3,28.1,26.4
Spain,421,16.8,22.5,27.3,25.5
Spain,422,16.2,21.5,25.5,24.1
Spain,423,15.9,20.8,26.9,23.7
Spain,424,15.7,20.4,26.2,22.8
Spain,425,15.1,20.1,26.7,21.7
Spain,426,14.5,19.5,26.2,20.7
Spain,427,14.3,19.2,25.5,20.1
Spain,428,14.0,19.3,25.6,19.0
Spain,429,13.7,19.6,25.4,18.5
Spain,430,13.6,19.5,23.6,18.0
Spain,431,13.5,19.4,23.7,17.8
Spain,432,13.4,19.1,22.9,17.7
Spain,433,13.3,18.9,21.7,17.0
Spain,434,13.2,19.0,21.6,15.9
Spain,435,13.1,18.6,20.8,15.5
Spain,436,13.1,18.1,21.5,15.2
Spain,437,13.1,17.8,22.0,14.5
Spain,438,13.1,18.1,22.5,13.9
Spain,439,13.2,18.0,22.8,12.8
Spain,440,13.4,17.7,23.2,12.7
Spain,441,13.6,17.4,22.9,13.2
Spain,442,14.0,17.5,23.1,13.2
Spain,443,13.5,17.8,23.2,13.3
Spain,444,13.5,18.1,22.8,13.7
Spain,445,13.7,18.0,23.3,13.5
Spain,446,13.9,18.5,24.4,14.1
Spain,447,14.4,19.1,25.4,14.3
Spain,448,14.9,19.7,26.7,13.9
Spain,449,15.3,19.8,26.8,14.2
Spain,450,16.5,20.2,27.4,13.9
Spain,451,17.0,20.8,28.1,13.5
Spain,452,17.2,21.5,29.0,13.4
Spain,453,17.7,21.7,28.7,13.8
Spain,454,18.1,21.5,29.4,14.0
Spain,455,18.9,22.0,29.4,14.3
Spain,456,18.2,22.8,31.1,14.6
Spain,457,16.7,23.4,31.1,14.5
Spain,458,16.9,24.1,33.5,15.0
Spain,459,17.4,24.5,33.4,15.0
Spain,460,17.5,25.4,34.3,15.0
Spain,461,18.6,26.5,34.1,14.7
Spain,462,19.3,26.8,35.1,14.7
Spain,463,21.2,26.9,35.9,14.4
Spain,464,23.9,27.4,37.2,14.5
Spain,465,24.3,27.7,36.3,14.3
Spain,466,24.2,28.1,37.1,14.3
Spain,467,24.7,28.2,38.3,13.6
Spain,468,24.4,28.8,39.9,13.5
Spain,469,24.3,29.0,40.7,13.4
Spain,470,24.1,29.3,39.9,13.4
Spain,471,23.9,29.4,40.2,13.5
Spain,472,23.8,29.7,41.6,13.1
Spain,473,23.8,29.5,41.0,12.7
Spain,474,23.6,29.5,41.6,12.7
Spain,475,23.9,28.6,41.4,12.4
Spain,476,23.6,28.5,40.5,12.1
Spain,477,23.6,28.2,40.1,11.6
Spain,478,23.6,27.9,38.7,11.3
Spain,479,23.5,27.4,37.0,11.4
Spain,480,23.4,26.5,36.7,11.5
Spain,481,23.5,25.9,34.6,11.5
Spain,482,23.2,25.7,32.7,11.5
Spain,483,23.0,25.0,32.0,11.6
Spain,484,22.6,24.6,32.5,11.6
Spain,485,22.3,23.2,32.5,11.5
Spain,486,21.8,22.6,31.2,11.0
Spain,487,21.5,22.3,31.5,10.5
Spain,488,20.3,21.8,31.1,10.2
Spain,489,19.4,21.3,31.2,10.0
Spain,490,18.9,20.7,30.6,9.4
Spain,491,18.1,20.2,28.2,9.1
Spain,492,17.4,19.7,26.7,8.9
Spain,493,17.2,18.8,25.9,8.4
Spain,494,17.0,18.3,23.7,8.0
Spain,495,17.0,17.5,21.8,7.8
Spain,496,16.3,16.7,19.7,7.3
Spain,497,15.5,16.3,18.6,7.2
Spain,498,15.0,15.8,19.3,7.0
Spain,499,14.4,15.4,19.5,6.8
Spain,500,14.1,14.9,18.6,6.8
Spain,501,14.0,14.2,18.7,6.5
Spain,502,13.7,13.5,18.8,6.3
Spain,503,13.7,13.2,19.3,5.8
Spain,504,13.5,12.9,18.9,5.2
Spain,505,13.4,12.6,18.2,4.9
Spain,506,13.3,12.4,17.5,4.8
Spain,507,13.2,12.1,17.3,4.8
Spain,508,13.1,12.0,16.7,4.8
Spain,509,12.8,11.9,16.5,4.7
Spain,510,12.6,11.7,15.2,5.0
Spain,511,12.6,11.6,14.6,5.3
Spain,512,12.5,11.7,14.1,5.4
Spain,513,12.4,11.5,13.6,5.4
Spain,514,12.5,11.3,13.0,4.9
Spain,515,12.5,11.1,12.1,5.0
Spain,516,12.6,10.9,11.9,4.6
Spain,517,12.5,10.5,11.7,4.5
Spain,518,12.4,10.3,12.1,4.0
Spain,519,12.1,10.1,12.2,3.9
Spain,520,11.8,9.9,11.4,3.7
Spain,521,11.6,9.7,10.9,3.6
Spain,522,11.5,9.5,10.8,3.5
Spain,523,11.2,9.2,9.9,3.6
Spain,524,10.8,9.1,9.6,3.5
Spain,525,10.4,8.9,9.0,3.6
Spain,526,10.2,8.8,8.4,3.2
Spain,527,10.0,8.3,8.8,3.1
Spain,528,9.9,8.1,8.9,3.2
Spain,529,9.8,8.0,8.7,3.1
Spain,530,9.6,7.8,8.5,3.0
Spain,531,9.6,7.4,7.8,2.8
Spain,532,9.6,7.2,7.8,2.7
Spain,533,9.5,6.9,7.1,2.8
Spain,534,9.5,6.8,7.0,2.9
Spain,535,9.5,6.6,6.5,2.8
Spain,536,9.6,6.3,6.2,2.7
Spain,537,9.7,6.1,6.3,2.6
Spain,538,9.8,6.2,7.0,2.6
Spain,539,10.2,6.4,6.6,2.5
Spain,540,10.2,6.6,6.5,2.5
Spain,541,10.9,6.6,6.1,2.3
Spain,542,11.5,6.7,6.3,2.1
Spain,543,12.0,6.9,6.2,2.1
Spain,544,13.7,7.4,6.5,2.0
Spain,545,16.3,7.5,6.4,1.8
Spain,546,19.5,8.0,7.1,2.0
Spain,547,23.6,8.2,7.4,2.1
Spain,548,27.4,8.8,7.6,2.2
Spain,549,30.0,9.4,7.7,2.4
Spain,550,31.8,10.2,9.0,2.6
Spain,551,35.3,11.1,9.4,2.9
Spain,552,39.2,12.0,10.3,3.2
Spain,553,43.2,12.6,11.0,3.8
Spain,554,46.7,13.4,12.1,3.8
Spain,555,50.6,14.7,13.2,4.0
Spain,556,52.5,16.0,14.7,4.4
Spain,557,54.4,17.6,14.7,5.1
Spain,558,58.0,18.8,17.2,5.8
Spain,559,61.3,20.3,18.8,6.5
Spain,560,64.0,21.7,20.6,6.7
Spain,561,66.7,23.2,21.4,8.3
Spain,562,68.8,25.0,23.1,9.1
Spain,563,70.2,27.1,25.1,9.7
Spain,564,71.1,28.6,27.9,10.6
Spain,565,72.7,30.4,28.7,11.0
Spain,566,74.1,32.2,30.1,11.5
Spain,567,75.0,33.1,31.6,12.7
Spain,568,75.6,33.9,33.3,12.8
Spain,569,75.8,34.5,34.8,13.4
Spain,570,75.6,34.9,36.0,14.3
Spain,571,74.9,35.3,36.7,14.6
Spain,572,73.2,35.0,36.7,15.9
Spain,573,72.0,34.8,36.1,16.4
Spain,574,70.0,35.0,35.1,16.6
Spain,575,67.8,34.4,36.3,16.5
Spain,576,66.0,33.4,36.3,16.5
Spain,577,64.7,33.5,36.2,16.9
Spain,578,63.4,33.2,35.8,17.1
Spain,579,61.1,33.0,36.1,16.9
Spain,580,58.1,32.6,35.8,17.8
Spain,581,55.5,32.0,36.6,17.9
Spain,582,53.1,31.8,35.3,18.5
Spain,583,50.4,31.9,34.2,19.5
Spain,584,48.9,30.9,33.7,19.5
Spain,585,48.0,30.2,32.1,20.2
Spain,586,46.0,29.6,31.7,20.2
Spain,587,44.3,28.4,32.3,19.4
Spain,588,42.4,27.9,31.0,19.2
Spain,589,40.5,27.3,29.5,18.7
Spain,590,38.3,26.3,29.2,17.6
Spain,591,37.1,25.1,27.3,17.3
Spain,592,36.5,24.3,27.4,16.2
Spain,593,34.2,23.3,26.0,16.3
Spain,594,32.1,22.8,25.1,15.9
Spain,595,30.9,22.1,24.0,15.7
Spain,596,29.6,21.3,24.0,15.4
Spain,597,28.7,20.8,22.8,15.4
Spain,598,28.1,20.2,23.1,15.2
Spain,599,27.5,19.5,22.6,15.1
Spain,600,27.7,19.0,22.4,14.6
Spain,601,26.8,18.5,21.1,14.4
Spain,602,25.3,17.9,21.0,14.2
Spain,603,23.9,17.6,21.2,13.7
Spain,604,22.4,16.7,20.7,13.3
Spain,605,21.4,16.1,19.3,12.6
Spain,606,20.8,15.4,18.9,12.0
Spain,607,19.4,14.8,18.5,11.5
Spain,608,18.3,14.0,17.9,11.2
Spain,609,17.1,13.4,17.0,10.6
Spain,610,15.9,13.0,15.7,10.3
Spain,611,14.6,12.4,14.9,10.2
Spain,612,14.1,12.1,14.2,9.6
Spain,613,13.7,11.4,13.3,9.6
Spain,614,12.9,10.5,12.3,9.3
Spain,615,12.0,10.0,11.9,9.1
Spain,616,11.1,9.6,11.1,8.9
Spain,617,10.4,9.1,10.5,8.9
Spain,618,10.0,8.6,10.3,8.7
Spain,619,9.6,7.8,10.0,8.7
Spain,620,9.4,7.6,9.6,8.4
Spain,621,9.0,7.5,9.0,7.8
Spain,622,8.5,7.2,8.1,7.2
Spain,623,8.1,6.9,8.2,7.0
Spain,624,7.8,6.7,7.9,6.7
Spain,625,7.5,6.3,7.2,5.9
Spain,626,7.3,6.2,7.5,5.5
Spain,627,7.2,5.7,6.7,4.8
Spain,628,6.8,5.5,6.5,4.7
Spain,629,6.5,5.3,6.4,4.7
Spain,630,6.4,5.3,6.0,4.5
Spain,631,6.1,5.1,5.6,4.6
Spain,632,5.9,4.8,5.6,4.6
Spain,633,5.9,4.6,4.4,4.7
Spain,634,5.8,4.5,4.0,4.5
Spain,635,5.9,4.3,3.8,4.4
Spain,636,5.7,4.2,4.0,4.3
Spain,637,5.5,4.1,3.8,4.0
Spain,638,5.3,4.0,4.0,3.6
Spain,639,5.1,4.0,3.8,3.5
Spain,640,5.0,3.8,3.9,3.3
Spain,641,4.9,3.7,4.0,3.5
Spain,642,4.7,3.7,4.0,3.4
Spain,643,4.5,3.5,3.7,3.1
Spain,644,4.4,3.5,3.7,3.2
Spain,645,4.3,3.6,3.4,3.1
Spain,646,4.3,3.7,3.7,3.0
Spain,647,4.3,3.6,3.9,2.9
Spain,648,4.2,3.9,4.2,2.9
Spain,649,4.2,4.0,4.4,3.0
Spain,650,3.8,4.2,4.5,3.1
Spain,651,3.9,4.3,4.7,3.0
Spain,652,4.0,4.3,5.5,3.0
Spain,653,4.1,4.4,5.7,3.1
Spain,654,4.2,4.6,6.1,3.0
Spain,655,4.3,4.4,6.1,3.1
Spain,656,4.4,4.5,6.2,2.9
Spain,657,4.9,4.4,6.0,2.8
Spain,658,4.9,4.4,6.2,2.6
Spain,659,4.9,4.4,5.8,2.8
Spain,660,4.9,4.3,5.8,2.7
Spain,661,4.9,4.2,5.5,2.6
Spain,662,5.0,4.4,5.4,2.4
Spain,663,5.0,4.4,5.4,2.4
Spain,664,5.0,4.6,5.8,2.1
Spain,665,5.0,4.7,5.8,2.2
Spain,666,5.1,4.7,5.6,2.1
Spain,667,5.2,4.7,5.1,2.3
Spain,668,5.3,5.2,5.4,2.7
Spain,669,5.4,5.1,5.2,3.1
Spain,670,4.9,5.1,5.0,3.3
Spain,671,5.2,5.2,5.0,3.4
Spain,672,5.5,5.2,5.3,3.9
Spain,673,5.8,5.3,5.3,3.9
Spain,674,6.2,5.8,6.1,3.8
Spain,675,6.3,5.7,6.4,3.7
Spain,676,6.5,6.0,7.1,3.7
Spain,677,7.4,6.2,7.4,3.6
Spain,678,7.8,6.2,7.3,3.8
Spain,679,8.2,6.5,7.3,3.4
Spain,680,8.8,6.7,7.5,3.4
Spain,681,9.4,6.7,7.3,3.6
Spain,682,9.9,7.0,7.4,3.7
Spain,683,10.2,7.2,7.2,3.5
Spain,684,11.1,7.4,7.0,3.4
Spain,685,12.1,8.0,7.6,3.5
Spain,686,13.2,8.3,7.7,3.9
Spain,687,14.2,8.7,8.5,4.1
Spain,688,15.3,9.3,9.7,3.9
Spain,689,16.0,9.8,10.1,4.1
Spain,690,16.4,10.5,11.3,4.6
Spain,691,17.4,10.9,12.3,4.9
Spain,692,18.5,11.0,12.6,5.1
Spain,693,19.7,11.2,13.0,5.3
Spain,694,21.0,11.4,13.0,5.4
Spain,695,22.3,11.4,13.6,5.8
Spain,696,23.2,11.9,13.6,6.2
Spain,697,23.8,12.0,14.1,6.4
Spain,698,25.1,12.4,15.0,6.6
Spain,699,26.8,12.8,15.7,6.9
Spain,700,28.6,13.2,16.3,7.1
Spain,701,30.8,13.4,16.9,7.2
Spain,702,32.8,13.5,16.4,7.0
Spain,703,34.5,13.4,17.6,7.0
Spain,704,35.7,13.4,17.7,7.1
Spain,705,34.3,13.7,17.6,7.0
Spain,706,36.2,14.4,18.4,7.5
Spain,707,35.3,15.2,19.5,7.9
Spain,708,37.4,15.7,19.7,8.3
Spain,709,41.3,16.4,20.6,9.0
Spain,710,43.5,17.0,20.8,9.5
Spain,711,45.6,17.9,22.3,9.6
Spain,712,53.2,18.5,23.6,10.1
Spain,713,58.5,18.9,24.0,9.7
Spain,714,68.0,19.0,23.6,9.6
Spain,715,74.7,19.6,24.3,9.9
Spain,716,81.7,20.6,24.9,9.8
Spain,717,85.6,21.8,24.5,9.8
Spain,718,89.2,22.9,23.4,10.0
Spain,719,99.8,23.8,22.8,10.4
Spain,720,115.9,24.3,23.1,10.7
Spain,721,134.7,25.2,23.7,10.6
Spain,722,156.6,26.4,23.5,10.5
Spain,723,168.1,28.6,23.2,10.5
Spain,724,175.6,30.4,24.1,
Spain,725,186.8,32.5,23.4,
Spain,726,209.2,34.2,22.6,
Spain,727,232.4,34.8,20.5,
Spain,728,255.7,35.3,20.0,
Spain,729,273.7,36.2,19.8,
Spain,730,283.6,,,
Spain,731,287.2,,,
Spain,732,293.0,,,
