Country,Year,num_sequences,variant_dominant,num_sequences_per_1M,num_sequences_cumulative,num_sequences_cumulative_per_1M
Angola,167,3,0,0.09,3,0.09
Angola,223,1,0,0.03,4,0.12
Angola,251,10,0,0.29,14,0.41
Angola,265,29,0,0.85,43,1.26
Angola,279,7,0,0.21,50,1.47
Angola,321,6,0,0.18,56,1.65
Angola,335,93,Beta,2.74,149,4.39
Angola,349,21,0,0.62,170,5.01
Angola,370,52,Others,1.53,222,6.54
Angola,384,42,Others,1.24,264,7.78
Angola,398,39,Others,1.15,303,8.93
Angola,412,113,Beta,3.33,416,12.26
Angola,426,121,Beta,3.57,537,15.83
Angola,440,137,Beta,4.04,674,19.87
Angola,454,83,Beta,2.45,757,22.32
Angola,468,34,Beta,1.0,791,23.32
Angola,482,5,0,0.15,796,23.47
Angola,496,7,0,0.21,803,23.68
Angola,510,22,0,0.65,825,24.33
Angola,524,59,Alpha,1.74,884,26.07
Angola,538,46,Delta,1.36,930,27.43
Angola,552,10,0,0.29,940,27.72
Angola,566,4,0,0.12,944,27.84
Angola,580,1,0,0.03,945,27.87
Angola,594,20,0,0.59,965,28.46
Angola,608,57,Delta,1.68,1022,30.14
Angola,622,33,Delta,0.97,1055,31.11
Argentina,111,151,Others,3.31,151,3.31
Argentina,125,167,Others,3.66,318,6.97
Argentina,139,67,Others,1.47,385,8.44
Argentina,153,79,Others,1.73,464,10.17
Argentina,167,63,Others,1.38,527,11.55
Argentina,181,113,Others,2.48,640,14.03
Argentina,195,103,Others,2.26,743,16.29
Argentina,209,113,Others,2.48,856,18.77
Argentina,223,138,Others,3.03,994,21.8
Argentina,237,50,Others,1.1,1044,22.9
Argentina,251,56,Others,1.23,1100,24.13
Argentina,265,39,Others,0.86,1139,24.99
Argentina,279,102,Others,2.24,1241,27.23
Argentina,293,58,Others,1.27,1299,28.5
Argentina,307,63,Others,1.38,1362,29.88
Argentina,321,49,Others,1.07,1411,30.95
Argentina,335,71,Others,1.56,1482,32.51
Argentina,349,82,Others,1.8,1564,34.31
Argentina,370,62,Others,1.36,1626,35.67
Argentina,384,69,Others,1.51,1695,37.18
Argentina,398,57,Others,1.25,1752,38.43
Argentina,412,65,Others,1.43,1817,39.86
Argentina,426,177,Others,3.88,1994,43.74
Argentina,440,199,Others,4.36,2193,48.1
Argentina,454,298,Others,6.53,2491,54.63
Argentina,468,337,Gamma,7.39,2828,62.02
Argentina,482,339,Gamma,7.43,3167,69.45
Argentina,496,301,Gamma,6.6,3468,76.05
Argentina,510,407,Gamma,8.92,3875,84.97
Argentina,524,380,Gamma,8.33,4255,93.3
Argentina,538,357,Gamma,7.83,4612,101.13
Argentina,552,337,Gamma,7.39,4949,108.52
Argentina,566,480,Gamma,10.52,5429,119.04
Argentina,580,447,Gamma,9.8,5876,128.84
Argentina,594,447,Gamma,9.8,6323,138.64
Argentina,608,313,Delta,6.86,6636,145.5
Argentina,622,241,Delta,5.28,6877,150.78
Argentina,636,372,Delta,8.16,7249,158.94
Argentina,650,659,Delta,14.45,7908,173.39
Argentina,664,704,Delta,15.44,8612,188.83
Argentina,678,586,Delta,12.85,9198,201.68
Argentina,692,150,Delta,3.29,9348,204.97
Argentina,706,130,Omicron,2.85,9478,207.82
Aruba,209,4,0,37.32,4,37.32
Aruba,223,1,0,9.33,5,46.65
Aruba,370,26,0,242.55,31,289.2
Aruba,384,114,Others,1063.48,145,1352.68
Aruba,398,154,Others,1436.63,299,2789.31
Aruba,412,125,Alpha,1166.1,424,3955.41
Aruba,426,99,Alpha,923.55,523,4878.96
Aruba,440,92,Alpha,858.25,615,5737.21
Aruba,454,145,Alpha,1352.68,760,7089.89
Aruba,468,140,Alpha,1306.03,900,8395.92
Aruba,482,101,Alpha,942.21,1001,9338.13
Aruba,496,107,Alpha,998.18,1108,10336.31
Aruba,510,89,Gamma,830.26,1197,11166.57
Aruba,524,24,0,223.89,1221,11390.46
Aruba,538,29,0,270.54,1250,11661.0
Aruba,552,97,Delta,904.89,1347,12565.89
Aruba,566,341,Delta,3181.12,1688,15747.01
Aruba,580,525,Delta,4897.62,2213,20644.63
Aruba,594,261,Delta,2434.82,2474,23079.45
Aruba,608,140,Delta,1306.03,2614,24385.48
Aruba,622,177,Delta,1651.2,2791,26036.68
Aruba,636,37,Delta,345.17,2828,26381.85
Aruba,664,73,Delta,681.0,2901,27062.85
Aruba,678,43,Delta,401.14,2944,27463.99
Aruba,692,101,Delta,942.21,3045,28406.2
Aruba,706,71,Delta,662.34,3116,29068.54
Australia,111,148,Others,5.74,148,5.74
Australia,125,103,Others,3.99,251,9.73
Australia,139,94,Others,3.65,345,13.38
Australia,153,172,Others,6.67,517,20.05
Australia,167,814,Others,31.56,1331,51.61
Australia,181,2733,Others,105.98,4064,157.59
Australia,195,4183,Others,162.21,8247,319.8
Australia,209,3020,Others,117.11,11267,436.91
Australia,223,1987,Others,77.05,13254,513.96
Australia,237,770,Others,29.86,14024,543.82
Australia,251,323,Others,12.53,14347,556.35
Australia,265,182,Others,7.06,14529,563.41
Australia,279,132,Others,5.12,14661,568.53
Australia,293,63,Others,2.44,14724,570.97
Australia,307,64,Others,2.48,14788,573.45
Australia,321,49,Others,1.9,14837,575.35
Australia,335,142,Others,5.51,14979,580.86
Australia,349,282,Others,10.94,15261,591.8
Australia,370,100,Others,3.88,15361,595.68
Australia,384,53,Others,2.06,15414,597.74
Australia,398,80,Alpha,3.1,15494,600.84
Australia,412,71,Alpha,2.75,15565,603.59
Australia,426,122,Alpha,4.73,15687,608.32
Australia,440,123,Alpha,4.77,15810,613.09
Australia,454,157,Alpha,6.09,15967,619.18
Australia,468,204,Delta,7.91,16171,627.09
Australia,482,117,Alpha,4.54,16288,631.63
Australia,496,108,Kappa,4.19,16396,635.82
Australia,510,132,Delta,5.12,16528,640.94
Australia,524,247,Delta,9.58,16775,650.52
Australia,538,767,Delta,29.74,17542,680.26
Australia,552,1742,Delta,67.55,19284,747.81
Australia,566,2734,Delta,106.02,22018,853.83
Australia,580,3198,Delta,124.01,25216,977.84
Australia,594,3751,Delta,145.45,28967,1123.29
Australia,608,3536,Delta,137.12,32503,1260.41
Australia,622,1868,Delta,72.44,34371,1332.85
Australia,636,2415,Delta,93.65,36786,1426.5
Australia,650,1900,Delta,73.68,38686,1500.18
Australia,664,2094,Delta,81.2,40780,1581.38
Australia,678,2040,Delta,79.11,42820,1660.49
Australia,692,3583,Delta,138.94,46403,1799.43
Australia,706,5874,Omicron,227.78,52277,2027.21
Australia,720,1627,Omicron,63.09,53904,2090.3
Australia,727,15,0,0.58,53919,2090.88
Austria,111,34,Others,3.76,34,3.76
Austria,125,41,Others,4.53,75,8.29
Austria,139,1,0,0.11,76,8.4
Austria,153,1,0,0.11,77,8.51
Austria,167,2,0,0.22,79,8.73
Austria,181,11,0,1.22,90,9.95
Austria,195,9,0,1.0,99,10.95
Austria,209,22,0,2.43,121,13.38
Austria,223,44,Others,4.87,165,18.25
Austria,237,35,Others,3.87,200,22.12
Austria,251,39,Others,4.31,239,26.43
Austria,265,30,Others,3.32,269,29.75
Austria,279,84,Others,9.29,353,39.04
Austria,293,181,Others,20.02,534,59.06
Austria,307,159,Others,17.58,693,76.64
Austria,321,137,Others,15.15,830,91.79
