Country,Year,people_vaccinated_per_hundred,uncertain_covid_vaccinate_this_week_pct_pop,unwillingness_covid_vaccinate_this_week_pct_pop,willingness_covid_vaccinate_this_week_pct_pop
Australia,391,0.0,19.05,27.97,52.98
Australia,419,0.63,19.82,27.74,51.81
Australia,511,20.29,18.84,28.35,32.52
Australia,541,27.35,15.74,25.77,31.14
Australia,572,38.17,14.25,18.49,29.09
Canada,329,0.0,19.8,31.35,48.85
Canada,360,1.28,15.72,28.21,54.79
Canada,391,2.56,15.83,27.47,54.14
Canada,419,6.7,13.13,24.28,55.89
Canada,450,21.94,11.7,24.49,41.87
Canada,480,43.88,9.53,23.44,23.15
Canada,511,64.83,6.58,20.26,8.33
Canada,541,69.33,8.03,18.62,4.02
Canada,572,71.97,6.84,17.25,3.94
Denmark,360,2.68,15.17,18.23,63.92
Denmark,391,4.14,10.41,16.46,68.99
Denmark,419,9.91,11.47,20.35,58.27
Denmark,450,17.37,9.7,17.77,55.16
Denmark,480,28.08,11.59,18.72,41.61
Denmark,511,48.67,10.36,14.67,26.3
Denmark,541,66.08,5.61,16.57,11.74
Denmark,572,74.49,5.3,16.24,3.97
France,360,0.62,17.45,46.53,35.4
France,391,3.62,14.68,42.46,39.24
France,419,8.18,15.3,39.72,36.8
France,450,18.2,14.5,35.71,31.59
France,480,30.37,12.83,33.42,23.38
France,511,46.18,9.85,35.01,8.96
France,541,54.97,7.61,29.58,7.84
France,572,68.75,4.39,23.23,3.63
France,603,73.57,5.02,19.59,1.82
Germany,360,1.32,16.63,30.73,51.32
Germany,391,3.4,13.35,25.85,57.4
Germany,419,8.22,13.28,24.98,53.52
Germany,450,18.5,12.85,21.4,47.25
Germany,480,36.72,10.86,19.34,33.08
Germany,511,49.07,8.89,22.94,19.1
Germany,541,59.43,8.1,24.14,8.33
Germany,572,62.95,6.72,24.04,6.29
Germany,603,66.26,6.29,22.16,5.29
Italy,360,1.86,17.66,26.24,54.24
Italy,391,3.02,15.67,22.4,58.91
Italy,419,8.24,13.25,24.82,53.69
Italy,450,17.08,12.05,23.39,47.48
Italy,480,31.57,10.5,19.31,38.62
Italy,511,50.09,9.41,18.06,22.44
Italy,541,60.27,9.29,20.01,10.43
Italy,572,67.54,6.46,18.8,7.2
Italy,603,72.88,6.21,16.66,4.25
Japan,419,0.22,25.07,21.43,53.28
Japan,450,0.95,24.04,19.5,55.51
Japan,480,4.24,21.82,15.81,58.13
Japan,511,18.26,18.54,13.97,49.23
Japan,541,34.77,15.13,13.54,36.56
Japan,572,49.73,9.63,11.74,28.9
Netherlands,360,0.2,18.05,20.14,61.61
Netherlands,391,4.02,16.81,20.52,58.65
Norway,329,0.0,21.8,32.5,45.7
Norway,360,0.94,17.9,26.26,54.9
Norway,391,4.42,13.92,24.81,56.85
Norway,419,8.41,13.01,26.03,52.55
Norway,450,19.26,11.05,22.49,47.2
Norway,480,29.31,12.29,20.12,38.28
Norway,511,37.2,9.8,21.69,31.31
Norway,541,58.86,7.4,20.24,13.5
Norway,572,69.1,4.85,19.59,6.46
Singapore,360,0.11,34.87,28.7,36.32
Singapore,391,4.24,29.47,20.83,45.46
Singapore,419,9.31,25.25,19.85,45.59
Singapore,480,32.22,18.23,16.36,33.19
Singapore,511,45.8,13.21,12.29,28.7
Singapore,541,68.72,11.33,11.4,8.55
Singapore,572,76.45,9.15,10.34,4.06
South Korea,419,1.19,27.51,22.94,48.36
South Korea,450,2.72,26.77,22.96,47.55
South Korea,480,7.32,28.59,22.91,41.18
South Korea,511,25.91,20.14,15.46,38.49
South Korea,541,31.17,18.64,13.88,36.31
South Korea,572,43.7,16.94,12.49,26.87
Spain,360,1.64,20.93,25.55,51.88
Spain,391,3.27,19.02,24.45,53.26
Spain,419,8.45,18.01,24.3,49.24
Spain,450,18.47,17.32,20.44,43.77
Spain,480,31.9,13.87,19.04,35.19
Spain,511,47.17,12.0,15.73,25.1
Spain,541,62.11,8.0,14.18,15.71
Spain,572,74.27,6.15,13.68,5.9
Sweden,360,0.51,17.31,26.6,55.58
Sweden,391,3.85,12.17,24.55,59.43
Sweden,419,8.82,11.13,23.61,56.44
Sweden,450,15.66,12.37,24.01,47.96
Sweden,480,30.67,10.11,22.2,37.02
Sweden,511,42.6,8.28,21.72,27.4
Sweden,541,56.22,8.15,23.23,12.4
Sweden,572,65.8,5.76,22.18,6.26
Sweden,603,69.37,5.35,21.26,4.02
United Kingdom,329,0.13,10.91,17.79,71.17
United Kingdom,360,5.24,7.95,12.81,74.0
United Kingdom,391,22.84,6.78,11.49,58.89
United Kingdom,419,36.42,6.57,14.1,42.91
United Kingdom,450,47.76,4.22,12.89,35.13
United Kingdom,480,53.62,4.54,13.09,28.75
United Kingdom,511,61.61,5.27,21.37,11.75
United Kingdom,541,67.67,6.02,21.5,4.81
United Kingdom,572,69.4,5.63,21.54,3.43
United States,391,11.39,13.39,33.42,41.8
United States,419,21.13,14.28,30.83,33.76
United States,450,37.41,9.85,31.12,21.62
United States,480,46.45,11.42,29.8,12.33
United States,511,51.94,7.58,32.5,7.98
United States,541,55.05,8.57,28.88,7.5
United States,572,58.9,9.24,24.44,7.42
