entity,iso_code,year,population
Afghanistan,AFG,2021,39835428
Africa,OWID_AFR,2021,1373486472
Albania,ALB,2021,2872934
Algeria,DZA,2021,44616626
American Samoa,ASM,2021,55103
Andorra,AND,2021,77354
Angola,AGO,2021,33933611
Anguilla,AIA,2021,15125
Antigua and Barbuda,ATG,2021,98728
Argentina,ARG,2021,45605823
Armenia,ARM,2021,2968128
Aruba,ABW,2021,107195
Asia,OWID_ASI,2021,4678444992
Australia,AUS,2021,25788217
Austria,AUT,2021,9043072
Azerbaijan,AZE,2021,10223344
Bahamas,BHS,2021,396914
Bahrain,BHR,2021,1748295
Bangladesh,BGD,2021,166303494
Barbados,BRB,2021,287708
Belarus,BLR,2021,9442867
Belgium,BEL,2021,11632334
Belize,BLZ,2021,404915
Benin,BEN,2021,12451031
Bermuda,BMU,2021,62092
Bhutan,BTN,2021,779900
Bolivia,BOL,2021,11832936
Bonaire Sint Eustatius and Saba,BES,2021,26445
Bosnia and Herzegovina,BIH,2021,3263459
Botswana,BWA,2021,2397240
Brazil,BRA,2021,213993441
British Virgin Islands,VGB,2021,30423
Brunei,BRN,2021,441532
Bulgaria,BGR,2021,6896655
Burkina Faso,BFA,2021,21497097
Burundi,BDI,2021,12255429
Cambodia,KHM,2021,16946446
Cameroon,CMR,2021,27224262
Canada,CAN,2021,38067913
Cape Verde,CPV,2021,561901
Cayman Islands,CYM,2021,66498
Central African Republic,CAF,2021,4919987
Chad,TCD,2021,16914985
Channel Islands,OWID_CIS,2021,175244
Chile,CHL,2021,19212362
China,CHN,2021,1444216102
Colombia,COL,2021,51265841
Comoros,COM,2021,888456
Congo,COG,2021,5657017
Cook Islands,COK,2021,17572
Costa Rica,CRI,2021,5139053
Cote d'Ivoire,CIV,2021,27053629
Croatia,HRV,2021,4081657
Cuba,CUB,2021,11317498
Curacao,CUW,2021,164796
Cyprus,CYP,2021,896005
Czechia,CZE,2021,10724553
Democratic Republic of Congo,COD,2021,92377986
Denmark,DNK,2021,5813302
Djibouti,DJI,2021,1002197
Dominica,DMA,2021,72172
Dominican Republic,DOM,2021,10953714
Ecuador,ECU,2021,17888474
Egypt,EGY,2021,104258327
El Salvador,SLV,2021,6518500
Equatorial Guinea,GNQ,2021,1449891
Eritrea,ERI,2021,3601462
Estonia,EST,2021,1325188
Eswatini,SWZ,2021,1172369
Ethiopia,ETH,2021,117876226
Europe,OWID_EUR,2021,748962983
European Union,OWID_EUN,2021,447189915
Faeroe Islands,FRO,2021,49053
Falkland Islands,FLK,2021,3528
Fiji,FJI,2021,902899
Finland,FIN,2021,5548361
France,FRA,2021,67564251
French Polynesia,PYF,2021,282534
Gabon,GAB,2021,2278829
Gambia,GMB,2021,2486937
Georgia,GEO,2021,3979773
Germany,DEU,2021,83900471
Ghana,GHA,2021,31732128
Gibraltar,GIB,2021,33691
Greece,GRC,2021,10370747
Greenland,GRL,2021,56868
Grenada,GRD,2021,113015
Guam,GUM,2021,170184
Guatemala,GTM,2021,18249868
Guernsey,GGY,2021,67052
Guinea,GIN,2021,13497237
