date,indicator,value,entity
2020-07-01,Daily ICU occupancy,576.0,Argentina
2020-07-02,Daily ICU occupancy,594.0,Argentina
2020-07-03,Daily ICU occupancy,620.0,Argentina
2020-07-04,Daily ICU occupancy,637.0,Argentina
2020-07-05,Daily ICU occupancy,658.0,Argentina
2020-07-06,Daily ICU occupancy,676.0,Argentina
2020-07-07,Daily ICU occupancy,688.0,Argentina
2020-07-08,Daily ICU occupancy,671.0,Argentina
2020-07-09,Daily ICU occupancy,662.0,Argentina
2020-07-10,Daily ICU occupancy,686.0,Argentina
2020-07-11,Daily ICU occupancy,701.0,Argentina
2020-07-12,Daily ICU occupancy,735.0,Argentina
2020-07-13,Daily ICU occupancy,752.0,Argentina
2020-07-14,Daily ICU occupancy,772.0,Argentina
2020-07-15,Daily ICU occupancy,783.0,Argentina
2020-07-16,Daily ICU occupancy,793.0,Argentina
2020-07-17,Daily ICU occupancy,823.0,Argentina
2020-07-18,Daily ICU occupancy,824.0,Argentina
2020-07-19,Daily ICU occupancy,842.0,Argentina
2020-07-20,Daily ICU occupancy,853.0,Argentina
2020-07-21,Daily ICU occupancy,890.0,Argentina
2020-07-22,Daily ICU occupancy,902.0,Argentina
2020-07-23,Daily ICU occupancy,913.0,Argentina
2020-07-24,Daily ICU occupancy,955.0,Argentina
2020-07-25,Daily ICU occupancy,980.0,Argentina
2020-07-26,Daily ICU occupancy,993.0,Argentina
2020-07-27,Daily ICU occupancy,1002.0,Argentina
2020-07-28,Daily ICU occupancy,1024.0,Argentina
2020-07-29,Daily ICU occupancy,1057.0,Argentina
2020-07-30,Daily ICU occupancy,1076.0,Argentina
2020-07-31,Daily ICU occupancy,1104.0,Argentina
2020-08-01,Daily ICU occupancy,1128.0,Argentina
2020-08-02,Daily ICU occupancy,1122.0,Argentina
2020-08-03,Daily ICU occupancy,1150.0,Argentina
2020-08-04,Daily ICU occupancy,1207.0,Argentina
2020-08-05,Daily ICU occupancy,1219.0,Argentina
2020-08-06,Daily ICU occupancy,1245.0,Argentina
2020-08-07,Daily ICU occupancy,1293.0,Argentina
2020-08-08,Daily ICU occupancy,1502.0,Argentina
2020-08-09,Daily ICU occupancy,1565.0,Argentina
2020-08-10,Daily ICU occupancy,1569.0,Argentina
2020-08-11,Daily ICU occupancy,1585.0,Argentina
2020-08-12,Daily ICU occupancy,1662.0,Argentina
2020-08-13,Daily ICU occupancy,1682.0,Argentina
2020-08-14,Daily ICU occupancy,1718.0,Argentina
2020-08-15,Daily ICU occupancy,1716.0,Argentina
2020-08-16,Daily ICU occupancy,1708.0,Argentina
2020-08-17,Daily ICU occupancy,1749.0,Argentina
2020-08-18,Daily ICU occupancy,1799.0,Argentina
2020-08-19,Daily ICU occupancy,1795.0,Argentina
2020-08-20,Daily ICU occupancy,1832.0,Argentina
2020-08-21,Daily ICU occupancy,1853.0,Argentina
2020-08-22,Daily ICU occupancy,1907.0,Argentina
2020-08-23,Daily ICU occupancy,1922.0,Argentina
2020-08-24,Daily ICU occupancy,1960.0,Argentina
2020-08-25,Daily ICU occupancy,1990.0,Argentina
2020-08-26,Daily ICU occupancy,2022.0,Argentina
2020-08-27,Daily ICU occupancy,2075.0,Argentina
2020-08-28,Daily ICU occupancy,2114.0,Argentina
2020-08-29,Daily ICU occupancy,2192.0,Argentina
2020-08-30,Daily ICU occupancy,2232.0,Argentina
2020-08-31,Daily ICU occupancy,2273.0,Argentina
2020-09-01,Daily ICU occupancy,2314.0,Argentina
2020-09-02,Daily ICU occupancy,2539.0,Argentina
2020-09-03,Daily ICU occupancy,2394.0,Argentina
2020-09-04,Daily ICU occupancy,2425.0,Argentina
2020-09-05,Daily ICU occupancy,2456.0,Argentina
2020-09-06,Daily ICU occupancy,2512.0,Argentina
2020-09-07,Daily ICU occupancy,2698.0,Argentina
2020-09-08,Daily ICU occupancy,2719.0,Argentina
2020-09-09,Daily ICU occupancy,2829.0,Argentina
2020-09-10,Daily ICU occupancy,2880.0,Argentina
2020-09-11,Daily ICU occupancy,3093.0,Argentina
2020-09-12,Daily ICU occupancy,2962.0,Argentina
2020-09-13,Daily ICU occupancy,2984.0,Argentina
2020-09-14,Daily ICU occupancy,2992.0,Argentina
2020-09-15,Daily ICU occupancy,3049.0,Argentina
2020-09-16,Daily ICU occupancy,3118.0,Argentina
2020-09-17,Daily ICU occupancy,3108.0,Argentina
2020-09-18,Daily ICU occupancy,3225.0,Argentina
2020-09-19,Daily ICU occupancy,3213.0,Argentina
2020-09-20,Daily ICU occupancy,3261.0,Argentina
2020-09-21,Daily ICU occupancy,3387.0,Argentina
2020-09-22,Daily ICU occupancy,3362.0,Argentina
2020-09-23,Daily ICU occupancy,3511.0,Argentina
2020-09-24,Daily ICU occupancy,3527.0,Argentina
2020-09-25,Daily ICU occupancy,3595.0,Argentina
2020-09-26,Daily ICU occupancy,3633.0,Argentina
2020-09-27,Daily ICU occupancy,3604.0,Argentina
2020-09-28,Daily ICU occupancy,3678.0,Argentina
2020-09-29,Daily ICU occupancy,3768.0,Argentina
2020-09-30,Daily ICU occupancy,3792.0,Argentina
2020-10-01,Daily ICU occupancy,3799.0,Argentina
2020-10-02,Daily ICU occupancy,3828.0,Argentina
2020-10-03,Daily ICU occupancy,3820.0,Argentina
2020-10-04,Daily ICU occupancy,3950.0,Argentina
2020-10-05,Daily ICU occupancy,3978.0,Argentina
2020-10-06,Daily ICU occupancy,4007.0,Argentina
2020-10-07,Daily ICU occupancy,3997.0,Argentina
2020-10-08,Daily ICU occupancy,4043.0,Argentina
2020-10-09,Daily ICU occupancy,4092.0,Argentina
2020-10-10,Daily ICU occupancy,4200.0,Argentina
2020-10-11,Daily ICU occupancy,4237.0,Argentina
2020-10-12,Daily ICU occupancy,4287.0,Argentina
2020-10-13,Daily ICU occupancy,4294.0,Argentina
2020-10-14,Daily ICU occupancy,4316.0,Argentina
2020-10-15,Daily ICU occupancy,4278.0,Argentina
2020-10-16,Daily ICU occupancy,4346.0,Argentina
2020-10-17,Daily ICU occupancy,4386.0,Argentina
2020-10-18,Daily ICU occupancy,4387.0,Argentina
2020-10-19,Daily ICU occupancy,4392.0,Argentina
2020-10-20,Daily ICU occupancy,4451.0,Argentina
2020-10-21,Daily ICU occupancy,4573.0,Argentina
2020-10-22,Daily ICU occupancy,4611.0,Argentina
2020-10-23,Daily ICU occupancy,4696.0,Argentina
2020-10-24,Daily ICU occupancy,4850.0,Argentina
2020-10-25,Daily ICU occupancy,4863.0,Argentina
2020-10-26,Daily ICU occupancy,5038.0,Argentina
2020-10-27,Daily ICU occupancy,4952.0,Argentina
2020-10-28,Daily ICU occupancy,5037.0,Argentina
2020-10-29,Daily ICU occupancy,4981.0,Argentina
2020-10-30,Daily ICU occupancy,4981.0,Argentina
2020-10-31,Daily ICU occupancy,4969.0,Argentina
2020-11-01,Daily ICU occupancy,5119.0,Argentina
2020-11-02,Daily ICU occupancy,4922.0,Argentina
2020-11-03,Daily ICU occupancy,4854.0,Argentina
2020-11-04,Daily ICU occupancy,4816.0,Argentina
2020-11-05,Daily ICU occupancy,4713.0,Argentina
2020-11-06,Daily ICU occupancy,4666.0,Argentina
2020-11-07,Daily ICU occupancy,4593.0,Argentina
2020-11-08,Daily ICU occupancy,4608.0,Argentina
2020-11-09,Daily ICU occupancy,4577.0,Argentina
2020-11-10,Daily ICU occupancy,4494.0,Argentina
2020-11-11,Daily ICU occupancy,4418.0,Argentina
2020-11-12,Daily ICU occupancy,4397.0,Argentina
2020-11-13,Daily ICU occupancy,4381.0,Argentina
2020-11-14,Daily ICU occupancy,4346.0,Argentina
2020-11-15,Daily ICU occupancy,4365.0,Argentina
2020-11-16,Daily ICU occupancy,4322.0,Argentina
2020-11-17,Daily ICU occupancy,4379.0,Argentina
2020-11-18,Daily ICU occupancy,4267.0,Argentina
2020-11-19,Daily ICU occupancy,4292.0,Argentina
2020-11-20,Daily ICU occupancy,4187.0,Argentina
2020-11-21,Daily ICU occupancy,4132.0,Argentina
2020-11-22,Daily ICU occupancy,4245.0,Argentina
2020-11-23,Daily ICU occupancy,4166.0,Argentina
2020-11-24,Daily ICU occupancy,4148.0,Argentina
2020-11-25,Daily ICU occupancy,4039.0,Argentina
2020-11-26,Daily ICU occupancy,3960.0,Argentina
2020-11-27,Daily ICU occupancy,4120.0,Argentina
2020-11-28,Daily ICU occupancy,4021.0,Argentina
2020-11-29,Daily ICU occupancy,4013.0,Argentina
2020-11-30,Daily ICU occupancy,4062.0,Argentina
2020-12-01,Daily ICU occupancy,3946.0,Argentina
2020-12-02,Daily ICU occupancy,3983.0,Argentina
2020-12-03,Daily ICU occupancy,3916.0,Argentina
