date,indicator,value,entity
2020-04-01,Daily hospital occupancy,856,Austria
2020-04-02,Daily hospital occupancy,823,Austria
2020-04-03,Daily hospital occupancy,829,Austria
2020-04-04,Daily hospital occupancy,826,Austria
2020-04-05,Daily hospital occupancy,712,Austria
2020-04-06,Daily hospital occupancy,824,Austria
2020-04-07,Daily hospital occupancy,857,Austria
2020-04-08,Daily hospital occupancy,829,Austria
2020-04-09,Daily hospital occupancy,820,Austria
2020-04-10,Daily hospital occupancy,771,Austria
2020-04-11,Daily hospital occupancy,790,Austria
2020-04-12,Daily hospital occupancy,792,Austria
2020-04-13,Daily hospital occupancy,742,Austria
2020-04-14,Daily hospital occupancy,759,Austria
2020-04-15,Daily hospital occupancy,769,Austria
2020-04-16,Daily hospital occupancy,729,Austria
2020-04-17,Daily hospital occupancy,682,Austria
2020-04-18,Daily hospital occupancy,647,Austria
2020-04-19,Daily hospital occupancy,613,Austria
2020-04-20,Daily hospital occupancy,611,Austria
2020-04-21,Daily hospital occupancy,560,Austria
2020-04-22,Daily hospital occupancy,524,Austria
2020-04-23,Daily hospital occupancy,508,Austria
2020-04-24,Daily hospital occupancy,495,Austria
2020-04-25,Daily hospital occupancy,460,Austria
2020-04-26,Daily hospital occupancy,449,Austria
2020-04-27,Daily hospital occupancy,439,Austria
2020-04-28,Daily hospital occupancy,425,Austria
2020-04-29,Daily hospital occupancy,386,Austria
2020-04-30,Daily hospital occupancy,372,Austria
2020-05-01,Daily hospital occupancy,348,Austria
2020-05-02,Daily hospital occupancy,314,Austria
2020-05-03,Daily hospital occupancy,308,Austria
2020-05-04,Daily hospital occupancy,309,Austria
2020-05-05,Daily hospital occupancy,314,Austria
2020-05-06,Daily hospital occupancy,321,Austria
2020-05-07,Daily hospital occupancy,268,Austria
2020-05-08,Daily hospital occupancy,258,Austria
2020-05-09,Daily hospital occupancy,230,Austria
2020-05-10,Daily hospital occupancy,219,Austria
2020-05-11,Daily hospital occupancy,211,Austria
2020-05-12,Daily hospital occupancy,205,Austria
2020-05-13,Daily hospital occupancy,188,Austria
2020-05-14,Daily hospital occupancy,180,Austria
2020-05-15,Daily hospital occupancy,165,Austria
2020-05-16,Daily hospital occupancy,158,Austria
2020-05-17,Daily hospital occupancy,149,Austria
2020-05-18,Daily hospital occupancy,151,Austria
2020-05-19,Daily hospital occupancy,143,Austria
2020-05-20,Daily hospital occupancy,137,Austria
2020-05-21,Daily hospital occupancy,156,Austria
2020-05-22,Daily hospital occupancy,128,Austria
2020-05-23,Daily hospital occupancy,116,Austria
2020-05-24,Daily hospital occupancy,108,Austria
2020-05-25,Daily hospital occupancy,108,Austria
2020-05-26,Daily hospital occupancy,95,Austria
2020-05-27,Daily hospital occupancy,84,Austria
2020-05-28,Daily hospital occupancy,77,Austria
2020-05-29,Daily hospital occupancy,78,Austria
2020-05-30,Daily hospital occupancy,75,Austria
2020-05-31,Daily hospital occupancy,70,Austria
2020-06-01,Daily hospital occupancy,68,Austria
2020-06-02,Daily hospital occupancy,62,Austria
2020-06-03,Daily hospital occupancy,66,Austria
2020-06-04,Daily hospital occupancy,65,Austria
2020-06-05,Daily hospital occupancy,55,Austria
2020-06-06,Daily hospital occupancy,55,Austria
2020-06-07,Daily hospital occupancy,52,Austria
2020-06-08,Daily hospital occupancy,65,Austria
2020-06-09,Daily hospital occupancy,65,Austria
2020-06-10,Daily hospital occupancy,63,Austria
2020-06-11,Daily hospital occupancy,67,Austria
2020-06-12,Daily hospital occupancy,60,Austria
2020-06-13,Daily hospital occupancy,62,Austria
2020-06-14,Daily hospital occupancy,57,Austria
2020-06-15,Daily hospital occupancy,64,Austria
2020-06-16,Daily hospital occupancy,66,Austria
2020-06-17,Daily hospital occupancy,60,Austria
2020-06-18,Daily hospital occupancy,64,Austria
