date,indicator,value,entity
2020-03-15,Daily hospital occupancy,263.0,Belgium
2020-03-16,Daily hospital occupancy,370.0,Belgium
2020-03-17,Daily hospital occupancy,493.0,Belgium
2020-03-18,Daily hospital occupancy,646.0,Belgium
2020-03-19,Daily hospital occupancy,840.0,Belgium
2020-03-20,Daily hospital occupancy,1108.0,Belgium
2020-03-21,Daily hospital occupancy,1384.0,Belgium
2020-03-22,Daily hospital occupancy,1661.0,Belgium
2020-03-23,Daily hospital occupancy,1883.0,Belgium
2020-03-24,Daily hospital occupancy,2204.0,Belgium
2020-03-25,Daily hospital occupancy,2721.0,Belgium
2020-03-26,Daily hospital occupancy,3111.0,Belgium
2020-03-27,Daily hospital occupancy,3649.0,Belgium
2020-03-28,Daily hospital occupancy,4088.0,Belgium
2020-03-29,Daily hospital occupancy,4536.0,Belgium
2020-03-30,Daily hospital occupancy,4897.0,Belgium
2020-03-31,Daily hospital occupancy,4988.0,Belgium
2020-04-01,Daily hospital occupancy,5219.0,Belgium
2020-04-02,Daily hospital occupancy,5398.0,Belgium
2020-04-03,Daily hospital occupancy,5562.0,Belgium
2020-04-04,Daily hospital occupancy,5531.0,Belgium
2020-04-05,Daily hospital occupancy,5620.0,Belgium
2020-04-06,Daily hospital occupancy,5759.0,Belgium
2020-04-07,Daily hospital occupancy,5710.0,Belgium
2020-04-08,Daily hospital occupancy,5620.0,Belgium
2020-04-09,Daily hospital occupancy,5640.0,Belgium
2020-04-10,Daily hospital occupancy,5663.0,Belgium
2020-04-11,Daily hospital occupancy,5538.0,Belgium
2020-04-12,Daily hospital occupancy,5542.0,Belgium
2020-04-13,Daily hospital occupancy,5554.0,Belgium
2020-04-14,Daily hospital occupancy,5532.0,Belgium
2020-04-15,Daily hospital occupancy,5331.0,Belgium
2020-04-16,Daily hospital occupancy,5181.0,Belgium
2020-04-17,Daily hospital occupancy,5088.0,Belgium
2020-04-18,Daily hospital occupancy,4889.0,Belgium
2020-04-19,Daily hospital occupancy,4940.0,Belgium
2020-04-20,Daily hospital occupancy,4996.0,Belgium
2020-04-21,Daily hospital occupancy,4765.0,Belgium
2020-04-22,Daily hospital occupancy,4527.0,Belgium
2020-04-23,Daily hospital occupancy,4353.0,Belgium
2020-04-24,Daily hospital occupancy,4195.0,Belgium
2020-04-25,Daily hospital occupancy,3957.0,Belgium
2020-04-26,Daily hospital occupancy,3968.0,Belgium
2020-04-27,Daily hospital occupancy,3976.0,Belgium
2020-04-28,Daily hospital occupancy,3733.0,Belgium
2020-04-29,Daily hospital occupancy,3609.0,Belgium
2020-04-30,Daily hospital occupancy,3386.0,Belgium
2020-05-01,Daily hospital occupancy,3109.0,Belgium
2020-05-02,Daily hospital occupancy,3080.0,Belgium
2020-05-03,Daily hospital occupancy,3044.0,Belgium
2020-05-04,Daily hospital occupancy,3080.0,Belgium
2020-05-05,Daily hospital occupancy,2868.0,Belgium
2020-05-06,Daily hospital occupancy,2699.0,Belgium
2020-05-07,Daily hospital occupancy,2555.0,Belgium
2020-05-08,Daily hospital occupancy,2381.0,Belgium
2020-05-09,Daily hospital occupancy,2222.0,Belgium
2020-05-10,Daily hospital occupancy,2222.0,Belgium
2020-05-11,Daily hospital occupancy,2230.0,Belgium
2020-05-12,Daily hospital occupancy,2085.0,Belgium
2020-05-13,Daily hospital occupancy,1966.0,Belgium
2020-05-14,Daily hospital occupancy,1862.0,Belgium
2020-05-15,Daily hospital occupancy,1750.0,Belgium
2020-05-16,Daily hospital occupancy,1625.0,Belgium
2020-05-17,Daily hospital occupancy,1614.0,Belgium
2020-05-18,Daily hospital occupancy,1630.0,Belgium
2020-05-19,Daily hospital occupancy,1527.0,Belgium
2020-05-20,Daily hospital occupancy,1448.0,Belgium
2020-05-21,Daily hospital occupancy,1388.0,Belgium
2020-05-22,Daily hospital occupancy,1360.0,Belgium
2020-05-23,Daily hospital occupancy,1296.0,Belgium
2020-05-24,Daily hospital occupancy,1306.0,Belgium
2020-05-25,Daily hospital occupancy,1304.0,Belgium
2020-05-26,Daily hospital occupancy,1150.0,Belgium
2020-05-27,Daily hospital occupancy,1050.0,Belgium
2020-05-28,Daily hospital occupancy,939.0,Belgium
2020-05-29,Daily hospital occupancy,892.0,Belgium
2020-05-30,Daily hospital occupancy,823.0,Belgium
2020-05-31,Daily hospital occupancy,818.0,Belgium
2020-06-01,Daily hospital occupancy,821.0,Belgium
2020-06-02,Daily hospital occupancy,821.0,Belgium
2020-06-03,Daily hospital occupancy,739.0,Belgium
2020-06-04,Daily hospital occupancy,702.0,Belgium
2020-06-05,Daily hospital occupancy,647.0,Belgium
2020-06-06,Daily hospital occupancy,573.0,Belgium
2020-06-07,Daily hospital occupancy,576.0,Belgium
2020-06-08,Daily hospital occupancy,575.0,Belgium
2020-06-09,Daily hospital occupancy,527.0,Belgium
2020-06-10,Daily hospital occupancy,484.0,Belgium
2020-06-11,Daily hospital occupancy,479.0,Belgium
2020-06-12,Daily hospital occupancy,425.0,Belgium
2020-06-13,Daily hospital occupancy,395.0,Belgium
2020-06-14,Daily hospital occupancy,400.0,Belgium
2020-06-15,Daily hospital occupancy,393.0,Belgium
2020-06-16,Daily hospital occupancy,371.0,Belgium
2020-06-17,Daily hospital occupancy,344.0,Belgium
2020-06-18,Daily hospital occupancy,340.0,Belgium
2020-06-19,Daily hospital occupancy,308.0,Belgium
2020-06-20,Daily hospital occupancy,292.0,Belgium
2020-06-21,Daily hospital occupancy,295.0,Belgium
2020-06-22,Daily hospital occupancy,293.0,Belgium
2020-06-23,Daily hospital occupancy,281.0,Belgium
2020-06-24,Daily hospital occupancy,268.0,Belgium
2020-06-25,Daily hospital occupancy,256.0,Belgium
2020-06-26,Daily hospital occupancy,247.0,Belgium
2020-06-27,Daily hospital occupancy,237.0,Belgium
2020-06-28,Daily hospital occupancy,237.0,Belgium
2020-06-29,Daily hospital occupancy,244.0,Belgium
2020-06-30,Daily hospital occupancy,222.0,Belgium
