date,indicator,value,entity
2020-03-09,Daily hospital occupancy,4,Canada
2020-03-10,Daily hospital occupancy,5,Canada
2020-03-11,Daily hospital occupancy,5,Canada
2020-03-12,Daily hospital occupancy,5,Canada
2020-03-13,Daily hospital occupancy,7,Canada
2020-03-14,Daily hospital occupancy,9,Canada
2020-03-15,Daily hospital occupancy,9,Canada
2020-03-16,Daily hospital occupancy,17,Canada
2020-03-17,Daily hospital occupancy,22,Canada
2020-03-18,Daily hospital occupancy,31,Canada
2020-03-19,Daily hospital occupancy,42,Canada
2020-03-20,Daily hospital occupancy,52,Canada
2020-03-21,Daily hospital occupancy,68,Canada
2020-03-22,Daily hospital occupancy,76,Canada
2020-03-23,Daily hospital occupancy,103,Canada
2020-03-24,Daily hospital occupancy,153,Canada
2020-03-25,Daily hospital occupancy,176,Canada
2020-03-26,Daily hospital occupancy,216,Canada
2020-03-27,Daily hospital occupancy,260,Canada
2020-03-28,Daily hospital occupancy,294,Canada
2020-03-29,Daily hospital occupancy,329,Canada
2020-03-30,Daily hospital occupancy,406,Canada
2020-03-31,Daily hospital occupancy,482,Canada
2020-04-01,Daily hospital occupancy,526,Canada
2020-04-02,Daily hospital occupancy,993,Canada
2020-04-03,Daily hospital occupancy,1129,Canada
2020-04-04,Daily hospital occupancy,1216,Canada
2020-04-05,Daily hospital occupancy,1272,Canada
2020-04-06,Daily hospital occupancy,1351,Canada
2020-04-07,Daily hospital occupancy,1430,Canada
2020-04-08,Daily hospital occupancy,1467,Canada
2020-04-09,Daily hospital occupancy,1538,Canada
2020-04-10,Daily hospital occupancy,1629,Canada
2020-04-11,Daily hospital occupancy,1696,Canada
2020-04-12,Daily hospital occupancy,1792,Canada
2020-04-13,Daily hospital occupancy,1872,Canada
2020-04-14,Daily hospital occupancy,1936,Canada
2020-04-15,Daily hospital occupancy,2006,Canada
2020-04-16,Daily hospital occupancy,2048,Canada
2020-04-17,Daily hospital occupancy,2131,Canada
2020-04-18,Daily hospital occupancy,2182,Canada
2020-04-19,Daily hospital occupancy,2132,Canada
2020-04-20,Daily hospital occupancy,2188,Canada
2020-04-21,Daily hospital occupancy,2305,Canada
2020-04-22,Daily hospital occupancy,2369,Canada
2020-04-23,Daily hospital occupancy,2517,Canada
2020-04-24,Daily hospital occupancy,2582,Canada
2020-04-25,Daily hospital occupancy,2649,Canada
2020-04-26,Daily hospital occupancy,2676,Canada
2020-04-27,Daily hospital occupancy,2713,Canada
2020-04-28,Daily hospital occupancy,2807,Canada
2020-04-29,Daily hospital occupancy,2847,Canada
2020-04-30,Daily hospital occupancy,2903,Canada
2020-05-01,Daily hospital occupancy,2953,Canada
2020-05-02,Daily hospital occupancy,2926,Canada
2020-05-03,Daily hospital occupancy,2974,Canada
2020-05-04,Daily hospital occupancy,2969,Canada
2020-05-05,Daily hospital occupancy,3078,Canada
2020-05-06,Daily hospital occupancy,3083,Canada
2020-05-07,Daily hospital occupancy,3078,Canada
2020-05-08,Daily hospital occupancy,3070,Canada
2020-05-09,Daily hospital occupancy,3054,Canada
2020-05-10,Daily hospital occupancy,2987,Canada
2020-05-11,Daily hospital occupancy,3057,Canada
2020-05-12,Daily hospital occupancy,3056,Canada
2020-05-13,Daily hospital occupancy,3079,Canada
2020-05-14,Daily hospital occupancy,3041,Canada
2020-05-15,Daily hospital occupancy,2975,Canada
2020-05-16,Daily hospital occupancy,2899,Canada
2020-05-17,Daily hospital occupancy,2856,Canada
2020-05-18,Daily hospital occupancy,2896,Canada
2020-05-19,Daily hospital occupancy,2678,Canada
2020-05-20,Daily hospital occupancy,2654,Canada
2020-05-21,Daily hospital occupancy,2637,Canada
2020-05-22,Daily hospital occupancy,2585,Canada
2020-05-23,Daily hospital occupancy,2504,Canada
2020-05-24,Daily hospital occupancy,2448,Canada
2020-05-25,Daily hospital occupancy,2415,Canada
2020-05-26,Daily hospital occupancy,2381,Canada
2020-05-27,Daily hospital occupancy,2354,Canada
2020-05-28,Daily hospital occupancy,2292,Canada
2020-05-29,Daily hospital occupancy,2223,Canada
2020-05-30,Daily hospital occupancy,2137,Canada
2020-05-31,Daily hospital occupancy,2116,Canada
2020-06-01,Daily hospital occupancy,2099,Canada
2020-06-02,Daily hospital occupancy,2107,Canada
2020-06-03,Daily hospital occupancy,2063,Canada
2020-06-04,Daily hospital occupancy,1972,Canada
2020-06-05,Daily hospital occupancy,1891,Canada
2020-06-06,Daily hospital occupancy,1763,Canada
2020-06-07,Daily hospital occupancy,1716,Canada
2020-06-08,Daily hospital occupancy,1689,Canada
2020-06-09,Daily hospital occupancy,1668,Canada
2020-06-10,Daily hospital occupancy,1596,Canada
2020-06-11,Daily hospital occupancy,1515,Canada
2020-06-12,Daily hospital occupancy,1479,Canada
2020-06-13,Daily hospital occupancy,1395,Canada
2020-06-14,Daily hospital occupancy,1317,Canada
2020-06-15,Daily hospital occupancy,1304,Canada
2020-06-16,Daily hospital occupancy,1246,Canada
2020-06-17,Daily hospital occupancy,1186,Canada
2020-06-18,Daily hospital occupancy,1097,Canada
2020-06-19,Daily hospital occupancy,1019,Canada
2020-06-20,Daily hospital occupancy,972,Canada
2020-06-21,Daily hospital occupancy,912,Canada
2020-06-22,Daily hospital occupancy,891,Canada
2020-06-23,Daily hospital occupancy,912,Canada
2020-06-24,Daily hospital occupancy,886,Canada
2020-06-25,Daily hospital occupancy,869,Canada
