entity,indicator,date,value
Croatia,Daily hospital occupancy,2020-04-15,341.0
Croatia,Daily hospital occupancy,2020-04-16,372.0
Croatia,Daily hospital occupancy,2020-04-17,372.0
Croatia,Daily hospital occupancy,2020-04-18,361.0
Croatia,Daily hospital occupancy,2020-04-19,331.0
Croatia,Daily hospital occupancy,2020-04-20,324.0
Croatia,Daily hospital occupancy,2020-04-21,317.0
Croatia,Daily hospital occupancy,2020-04-22,314.0
Croatia,Daily hospital occupancy,2020-04-23,321.0
Croatia,Daily hospital occupancy,2020-04-24,325.0
Croatia,Daily hospital occupancy,2020-04-25,316.0
Croatia,Daily hospital occupancy,2020-04-26,314.0
Croatia,Daily hospital occupancy,2020-04-27,303.0
Croatia,Daily hospital occupancy,2020-04-28,287.0
Croatia,Daily hospital occupancy,2020-04-29,269.0
Croatia,Daily hospital occupancy,2020-04-30,261.0
Croatia,Daily hospital occupancy,2020-05-01,245.0
Croatia,Daily hospital occupancy,2020-05-02,239.0
Croatia,Daily hospital occupancy,2020-05-03,231.0
Croatia,Daily hospital occupancy,2020-05-04,228.0
Croatia,Daily hospital occupancy,2020-05-05,217.0
Croatia,Daily hospital occupancy,2020-05-06,206.0
Croatia,Daily hospital occupancy,2020-05-07,195.0
Croatia,Daily hospital occupancy,2020-05-08,184.0
Croatia,Daily hospital occupancy,2020-05-09,181.0
Croatia,Daily hospital occupancy,2020-05-10,169.0
Croatia,Daily hospital occupancy,2020-05-11,160.0
Croatia,Daily hospital occupancy,2020-05-12,159.0
Croatia,Daily hospital occupancy,2020-05-13,150.0
Croatia,Daily hospital occupancy,2020-05-14,146.0
Croatia,Daily hospital occupancy,2020-05-15,142.0
Croatia,Daily hospital occupancy,2020-05-16,137.0
Croatia,Daily hospital occupancy,2020-05-17,130.0
Croatia,Daily hospital occupancy,2020-05-18,122.0
Croatia,Daily hospital occupancy,2020-05-19,120.0
Croatia,Daily hospital occupancy,2020-05-20,117.0
Croatia,Daily hospital occupancy,2020-05-21,117.0
Croatia,Daily hospital occupancy,2020-05-22,102.0
