entity,indicator,date,value
Cyprus,Daily hospital occupancy,2020-03-09,0.0
Cyprus,Daily hospital occupancy,2020-03-10,0.0
Cyprus,Daily hospital occupancy,2020-03-11,0.0
Cyprus,Daily hospital occupancy,2020-03-12,0.0
Cyprus,Daily hospital occupancy,2020-03-13,0.0
Cyprus,Daily hospital occupancy,2020-03-14,0.0
Cyprus,Daily hospital occupancy,2020-03-15,0.0
Cyprus,Daily hospital occupancy,2020-03-16,0.0
Cyprus,Daily hospital occupancy,2020-03-17,0.0
Cyprus,Daily hospital occupancy,2020-03-18,0.0
Cyprus,Daily hospital occupancy,2020-03-19,0.0
Cyprus,Daily hospital occupancy,2020-03-20,0.0
Cyprus,Daily hospital occupancy,2020-03-21,0.0
Cyprus,Daily hospital occupancy,2020-03-22,0.0
Cyprus,Daily hospital occupancy,2020-03-23,0.0
Cyprus,Daily hospital occupancy,2020-03-24,24.0
Cyprus,Daily hospital occupancy,2020-03-25,23.0
Cyprus,Daily hospital occupancy,2020-03-26,21.0
Cyprus,Daily hospital occupancy,2020-03-27,29.0
Cyprus,Daily hospital occupancy,2020-03-28,34.0
Cyprus,Daily hospital occupancy,2020-03-29,33.0
Cyprus,Daily hospital occupancy,2020-03-30,34.0
Cyprus,Daily hospital occupancy,2020-03-31,40.0
Cyprus,Daily hospital occupancy,2020-04-01,54.0
Cyprus,Daily hospital occupancy,2020-04-02,51.0
Cyprus,Daily hospital occupancy,2020-04-03,55.0
Cyprus,Daily hospital occupancy,2020-04-04,56.0
Cyprus,Daily hospital occupancy,2020-04-05,55.0
Cyprus,Daily hospital occupancy,2020-04-06,48.0
Cyprus,Daily hospital occupancy,2020-04-07,51.0
Cyprus,Daily hospital occupancy,2020-04-08,45.0
Cyprus,Daily hospital occupancy,2020-04-09,51.0
Cyprus,Daily hospital occupancy,2020-04-10,50.0
Cyprus,Daily hospital occupancy,2020-04-11,45.0
Cyprus,Daily hospital occupancy,2020-04-12,42.0
Cyprus,Daily hospital occupancy,2020-04-13,39.0
Cyprus,Daily hospital occupancy,2020-04-14,40.0
Cyprus,Daily hospital occupancy,2020-04-15,40.0
Cyprus,Daily hospital occupancy,2020-04-16,36.0
Cyprus,Daily hospital occupancy,2020-04-17,40.0
Cyprus,Daily hospital occupancy,2020-04-18,36.0
Cyprus,Daily hospital occupancy,2020-04-19,36.0
Cyprus,Daily hospital occupancy,2020-04-20,33.0
Cyprus,Daily hospital occupancy,2020-04-21,36.0
Cyprus,Daily hospital occupancy,2020-04-22,34.0
Cyprus,Daily hospital occupancy,2020-04-23,31.0
Cyprus,Daily hospital occupancy,2020-04-24,32.0
Cyprus,Daily hospital occupancy,2020-04-25,33.0
Cyprus,Daily hospital occupancy,2020-04-26,30.0
Cyprus,Daily hospital occupancy,2020-04-27,29.0
Cyprus,Daily hospital occupancy,2020-04-28,26.0
Cyprus,Daily hospital occupancy,2020-04-29,27.0
Cyprus,Daily hospital occupancy,2020-04-30,25.0
Cyprus,Daily hospital occupancy,2020-05-01,24.0
Cyprus,Daily hospital occupancy,2020-05-02,24.0
Cyprus,Daily hospital occupancy,2020-05-03,23.0
Cyprus,Daily hospital occupancy,2020-05-04,22.0
Cyprus,Daily hospital occupancy,2020-05-05,24.0
Cyprus,Daily hospital occupancy,2020-05-06,23.0
Cyprus,Daily hospital occupancy,2020-05-07,19.0
Cyprus,Daily hospital occupancy,2020-05-08,19.0
Cyprus,Daily hospital occupancy,2020-05-09,19.0
Cyprus,Daily hospital occupancy,2020-05-10,20.0
Cyprus,Daily hospital occupancy,2020-05-11,22.0
Cyprus,Daily hospital occupancy,2020-05-12,15.0
Cyprus,Daily hospital occupancy,2020-05-13,12.0
Cyprus,Daily hospital occupancy,2020-05-14,10.0
Cyprus,Daily hospital occupancy,2020-05-15,9.0
Cyprus,Daily hospital occupancy,2020-05-16,8.0
Cyprus,Daily hospital occupancy,2020-05-17,8.0
Cyprus,Daily hospital occupancy,2020-05-18,8.0
Cyprus,Daily hospital occupancy,2020-05-19,7.0
Cyprus,Daily hospital occupancy,2020-05-20,9.0
Cyprus,Daily hospital occupancy,2020-05-21,8.0
Cyprus,Daily hospital occupancy,2020-05-22,9.0
Cyprus,Daily hospital occupancy,2020-05-23,9.0
Cyprus,Daily hospital occupancy,2020-05-24,8.0
Cyprus,Daily hospital occupancy,2020-05-25,8.0
Cyprus,Daily hospital occupancy,2020-05-26,9.0
Cyprus,Daily hospital occupancy,2020-05-27,8.0
Cyprus,Daily hospital occupancy,2020-05-28,7.0
Cyprus,Daily hospital occupancy,2020-05-29,6.0
Cyprus,Daily hospital occupancy,2020-05-30,6.0
Cyprus,Daily hospital occupancy,2020-05-31,6.0
Cyprus,Daily hospital occupancy,2020-06-01,6.0
Cyprus,Daily hospital occupancy,2020-06-02,6.0
Cyprus,Daily hospital occupancy,2020-06-03,7.0
Cyprus,Daily hospital occupancy,2020-06-04,7.0
Cyprus,Daily hospital occupancy,2020-06-05,7.0
Cyprus,Daily hospital occupancy,2020-06-06,6.0
Cyprus,Daily hospital occupancy,2020-06-07,5.0
Cyprus,Daily hospital occupancy,2020-06-08,5.0
Cyprus,Daily hospital occupancy,2020-06-09,4.0
Cyprus,Daily hospital occupancy,2020-06-10,4.0
Cyprus,Daily hospital occupancy,2020-06-11,4.0
Cyprus,Daily hospital occupancy,2020-06-12,4.0
Cyprus,Daily hospital occupancy,2020-06-13,4.0
Cyprus,Daily hospital occupancy,2020-06-14,4.0
Cyprus,Daily hospital occupancy,2020-06-15,4.0
Cyprus,Daily hospital occupancy,2020-06-16,5.0
Cyprus,Daily hospital occupancy,2020-06-17,4.0
Cyprus,Daily hospital occupancy,2020-06-18,2.0
Cyprus,Daily hospital occupancy,2020-06-19,2.0
Cyprus,Daily hospital occupancy,2020-06-20,1.0
Cyprus,Daily hospital occupancy,2020-06-21,1.0
Cyprus,Daily hospital occupancy,2020-06-22,0.0
Cyprus,Daily hospital occupancy,2020-06-23,0.0
Cyprus,Daily hospital occupancy,2020-06-24,0.0
Cyprus,Daily hospital occupancy,2020-06-25,0.0
Cyprus,Daily hospital occupancy,2020-06-26,2.0
Cyprus,Daily hospital occupancy,2020-06-27,1.0
Cyprus,Daily hospital occupancy,2020-06-28,1.0
Cyprus,Daily hospital occupancy,2020-06-29,1.0
Cyprus,Daily hospital occupancy,2020-06-30,1.0
Cyprus,Daily hospital occupancy,2020-07-01,1.0
Cyprus,Daily hospital occupancy,2020-07-02,1.0
Cyprus,Daily hospital occupancy,2020-07-03,1.0
Cyprus,Daily hospital occupancy,2020-07-04,1.0
Cyprus,Daily hospital occupancy,2020-07-05,1.0
Cyprus,Daily hospital occupancy,2020-07-06,1.0
Cyprus,Daily hospital occupancy,2020-07-07,0.0
Cyprus,Daily hospital occupancy,2020-07-08,0.0
Cyprus,Daily hospital occupancy,2020-07-09,0.0
Cyprus,Daily hospital occupancy,2020-07-10,0.0
Cyprus,Daily hospital occupancy,2020-07-11,0.0
Cyprus,Daily hospital occupancy,2020-07-12,0.0
Cyprus,Daily hospital occupancy,2020-07-13,0.0
Cyprus,Daily hospital occupancy,2020-07-14,0.0
Cyprus,Daily hospital occupancy,2020-07-15,0.0
Cyprus,Daily hospital occupancy,2020-07-16,0.0
Cyprus,Daily hospital occupancy,2020-07-17,0.0
Cyprus,Daily hospital occupancy,2020-07-18,0.0
Cyprus,Daily hospital occupancy,2020-07-19,0.0
Cyprus,Daily hospital occupancy,2020-07-20,0.0
Cyprus,Daily hospital occupancy,2020-07-21,0.0
Cyprus,Daily hospital occupancy,2020-07-22,0.0
Cyprus,Daily hospital occupancy,2020-07-23,0.0
Cyprus,Daily hospital occupancy,2020-07-24,0.0
Cyprus,Daily hospital occupancy,2020-07-25,0.0
Cyprus,Daily hospital occupancy,2020-07-26,0.0
Cyprus,Daily hospital occupancy,2020-07-27,0.0
Cyprus,Daily hospital occupancy,2020-07-28,0.0
Cyprus,Daily hospital occupancy,2020-07-29,0.0
Cyprus,Daily hospital occupancy,2020-07-30,6.0
Cyprus,Daily hospital occupancy,2020-07-31,7.0
Cyprus,Daily hospital occupancy,2020-08-01,7.0
Cyprus,Daily hospital occupancy,2020-08-02,4.0
Cyprus,Daily hospital occupancy,2020-08-03,4.0
Cyprus,Daily hospital occupancy,2020-08-04,5.0
Cyprus,Daily hospital occupancy,2020-08-05,4.0
Cyprus,Daily hospital occupancy,2020-08-06,4.0
Cyprus,Daily hospital occupancy,2020-08-07,4.0
Cyprus,Daily hospital occupancy,2020-08-08,5.0
Cyprus,Daily hospital occupancy,2020-08-09,5.0
Cyprus,Daily hospital occupancy,2020-08-10,5.0
Cyprus,Daily hospital occupancy,2020-08-11,5.0
Cyprus,Daily hospital occupancy,2020-08-12,3.0
Cyprus,Daily hospital occupancy,2020-08-13,3.0
Cyprus,Daily hospital occupancy,2020-08-14,3.0
Cyprus,Daily hospital occupancy,2020-08-15,3.0
Cyprus,Daily hospital occupancy,2020-08-16,2.0
Cyprus,Daily hospital occupancy,2020-08-17,2.0
Cyprus,Daily hospital occupancy,2020-08-18,2.0
Cyprus,Daily hospital occupancy,2020-08-19,2.0
Cyprus,Daily hospital occupancy,2020-08-20,2.0
Cyprus,Daily hospital occupancy,2020-08-21,3.0
Cyprus,Daily hospital occupancy,2020-08-22,2.0
Cyprus,Daily hospital occupancy,2020-08-23,3.0
Cyprus,Daily hospital occupancy,2020-08-24,4.0
Cyprus,Daily hospital occupancy,2020-08-25,4.0
Cyprus,Daily hospital occupancy,2020-08-26,7.0
Cyprus,Daily hospital occupancy,2020-08-27,5.0
Cyprus,Daily hospital occupancy,2020-08-28,5.0
Cyprus,Daily hospital occupancy,2020-08-29,7.0
Cyprus,Daily hospital occupancy,2020-08-30,7.0
Cyprus,Daily hospital occupancy,2020-08-31,8.0
Cyprus,Daily hospital occupancy,2020-09-01,6.0
Cyprus,Daily hospital occupancy,2020-09-02,6.0
Cyprus,Daily hospital occupancy,2020-09-03,6.0
Cyprus,Daily hospital occupancy,2020-09-04,7.0
Cyprus,Daily hospital occupancy,2020-09-05,4.0
Cyprus,Daily hospital occupancy,2020-09-06,4.0
Cyprus,Daily hospital occupancy,2020-09-07,2.0
Cyprus,Daily hospital occupancy,2020-09-08,4.0
Cyprus,Daily hospital occupancy,2020-09-09,4.0
Cyprus,Daily hospital occupancy,2020-09-10,4.0
Cyprus,Daily hospital occupancy,2020-09-11,4.0
Cyprus,Daily hospital occupancy,2020-09-12,4.0
Cyprus,Daily hospital occupancy,2020-09-13,4.0
Cyprus,Daily hospital occupancy,2020-09-14,5.0
Cyprus,Daily hospital occupancy,2020-09-15,6.0
Cyprus,Daily hospital occupancy,2020-09-16,6.0
Cyprus,Daily hospital occupancy,2020-09-17,7.0
Cyprus,Daily hospital occupancy,2020-09-18,7.0
Cyprus,Daily hospital occupancy,2020-09-19,7.0
Cyprus,Daily hospital occupancy,2020-09-20,6.0
Cyprus,Daily hospital occupancy,2020-09-21,9.0
Cyprus,Daily hospital occupancy,2020-09-22,7.0
Cyprus,Daily hospital occupancy,2020-09-23,12.0
Cyprus,Daily hospital occupancy,2020-09-24,12.0
Cyprus,Daily hospital occupancy,2020-09-25,14.0
Cyprus,Daily hospital occupancy,2020-09-26,14.0
Cyprus,Daily hospital occupancy,2020-09-27,17.0
Cyprus,Daily hospital occupancy,2020-09-28,15.0
Cyprus,Daily hospital occupancy,2020-09-29,16.0
Cyprus,Daily hospital occupancy,2020-09-30,12.0
Cyprus,Daily hospital occupancy,2020-10-01,12.0
Cyprus,Daily hospital occupancy,2020-10-02,11.0
Cyprus,Daily hospital occupancy,2020-10-03,13.0
Cyprus,Daily hospital occupancy,2020-10-04,11.0
Cyprus,Daily hospital occupancy,2020-10-05,11.0
Cyprus,Daily hospital occupancy,2020-10-06,9.0
Cyprus,Daily hospital occupancy,2020-10-07,6.0
Cyprus,Daily hospital occupancy,2020-10-08,8.0
Cyprus,Daily hospital occupancy,2020-10-09,5.0
Cyprus,Daily hospital occupancy,2020-10-10,5.0
Cyprus,Daily hospital occupancy,2020-10-11,5.0
Cyprus,Daily hospital occupancy,2020-10-12,7.0
Cyprus,Daily hospital occupancy,2020-10-13,7.0
Cyprus,Daily hospital occupancy,2020-10-14,8.0
Cyprus,Daily hospital occupancy,2020-10-15,9.0
Cyprus,Daily hospital occupancy,2020-10-16,12.0
Cyprus,Daily hospital occupancy,2020-10-17,21.0
Cyprus,Daily hospital occupancy,2020-10-18,19.0
Cyprus,Daily hospital occupancy,2020-10-19,23.0
Cyprus,Daily hospital occupancy,2020-10-20,24.0
Cyprus,Daily hospital occupancy,2020-10-21,23.0
Cyprus,Daily hospital occupancy,2020-10-22,26.0
Cyprus,Daily hospital occupancy,2020-10-23,26.0
Cyprus,Daily hospital occupancy,2020-10-24,28.0
Cyprus,Daily hospital occupancy,2020-10-25,32.0
Cyprus,Daily hospital occupancy,2020-10-26,31.0
Cyprus,Daily hospital occupancy,2020-10-27,31.0
Cyprus,Daily hospital occupancy,2020-10-28,38.0
Cyprus,Daily hospital occupancy,2020-10-29,38.0
Cyprus,Daily hospital occupancy,2020-10-30,34.0
Cyprus,Daily hospital occupancy,2020-10-31,37.0
Cyprus,Daily hospital occupancy,2020-11-01,39.0
