date,indicator,value,entity
2020-03-07,Weekly new hospital admissions,0.0,Czechia
2020-03-08,Weekly new hospital admissions,0.0,Czechia
2020-03-09,Weekly new hospital admissions,0.0,Czechia
2020-03-10,Weekly new hospital admissions,0.0,Czechia
2020-03-11,Weekly new hospital admissions,2.0,Czechia
2020-03-12,Weekly new hospital admissions,3.0,Czechia
2020-03-13,Weekly new hospital admissions,5.0,Czechia
2020-03-14,Weekly new hospital admissions,6.0,Czechia
2020-03-15,Weekly new hospital admissions,8.0,Czechia
2020-03-16,Weekly new hospital admissions,22.0,Czechia
2020-03-17,Weekly new hospital admissions,55.0,Czechia
2020-03-18,Weekly new hospital admissions,58.0,Czechia
2020-03-19,Weekly new hospital admissions,65.0,Czechia
2020-03-20,Weekly new hospital admissions,79.0,Czechia
2020-03-21,Weekly new hospital admissions,96.0,Czechia
2020-03-22,Weekly new hospital admissions,116.0,Czechia
2020-03-23,Weekly new hospital admissions,128.0,Czechia
2020-03-24,Weekly new hospital admissions,120.0,Czechia
2020-03-25,Weekly new hospital admissions,163.0,Czechia
2020-03-26,Weekly new hospital admissions,204.0,Czechia
2020-03-27,Weekly new hospital admissions,228.0,Czechia
2020-03-28,Weekly new hospital admissions,255.0,Czechia
2020-03-29,Weekly new hospital admissions,261.0,Czechia
2020-03-30,Weekly new hospital admissions,260.0,Czechia
2020-03-31,Weekly new hospital admissions,279.0,Czechia
2020-04-01,Weekly new hospital admissions,276.0,Czechia
2020-04-02,Weekly new hospital admissions,266.0,Czechia
2020-04-03,Weekly new hospital admissions,267.0,Czechia
2020-04-04,Weekly new hospital admissions,251.0,Czechia
2020-04-05,Weekly new hospital admissions,248.0,Czechia
2020-04-06,Weekly new hospital admissions,263.0,Czechia
2020-04-07,Weekly new hospital admissions,266.0,Czechia
2020-04-08,Weekly new hospital admissions,257.0,Czechia
2020-04-09,Weekly new hospital admissions,255.0,Czechia
2020-04-10,Weekly new hospital admissions,240.0,Czechia
2020-04-11,Weekly new hospital admissions,235.0,Czechia
2020-04-12,Weekly new hospital admissions,227.0,Czechia
2020-04-13,Weekly new hospital admissions,200.0,Czechia
2020-04-14,Weekly new hospital admissions,164.0,Czechia
2020-04-15,Weekly new hospital admissions,149.0,Czechia
2020-04-16,Weekly new hospital admissions,135.0,Czechia
2020-04-17,Weekly new hospital admissions,137.0,Czechia
2020-04-18,Weekly new hospital admissions,129.0,Czechia
2020-04-19,Weekly new hospital admissions,136.0,Czechia
2020-04-20,Weekly new hospital admissions,149.0,Czechia
2020-04-21,Weekly new hospital admissions,182.0,Czechia
2020-04-22,Weekly new hospital admissions,177.0,Czechia
2020-04-23,Weekly new hospital admissions,181.0,Czechia
2020-04-24,Weekly new hospital admissions,173.0,Czechia
2020-04-25,Weekly new hospital admissions,170.0,Czechia
