date,indicator,value,entity
2020-03-21,Daily hospital occupancy,0,Finland
2020-03-25,Daily hospital occupancy,82,Finland
2020-03-26,Daily hospital occupancy,96,Finland
2020-03-27,Daily hospital occupancy,108,Finland
2020-03-28,Daily hospital occupancy,112,Finland
2020-03-29,Daily hospital occupancy,134,Finland
2020-03-30,Daily hospital occupancy,143,Finland
2020-03-31,Daily hospital occupancy,137,Finland
2020-04-01,Daily hospital occupancy,159,Finland
2020-04-02,Daily hospital occupancy,160,Finland
2020-04-03,Daily hospital occupancy,180,Finland
2020-04-04,Daily hospital occupancy,187,Finland
2020-04-05,Daily hospital occupancy,209,Finland
2020-04-06,Daily hospital occupancy,228,Finland
2020-04-07,Daily hospital occupancy,231,Finland
2020-04-08,Daily hospital occupancy,239,Finland
2020-04-09,Daily hospital occupancy,244,Finland
2020-04-10,Daily hospital occupancy,236,Finland
2020-04-11,Daily hospital occupancy,235,Finland
2020-04-12,Daily hospital occupancy,235,Finland
2020-04-13,Daily hospital occupancy,230,Finland
2020-04-14,Daily hospital occupancy,232,Finland
2020-04-15,Daily hospital occupancy,226,Finland
2020-04-16,Daily hospital occupancy,215,Finland
2020-04-17,Daily hospital occupancy,208,Finland
2020-04-18,Daily hospital occupancy,199,Finland
2020-04-19,Daily hospital occupancy,192,Finland
2020-04-20,Daily hospital occupancy,209,Finland
2020-04-21,Daily hospital occupancy,202,Finland
2020-04-22,Daily hospital occupancy,199,Finland
2020-04-23,Daily hospital occupancy,206,Finland
2020-04-24,Daily hospital occupancy,199,Finland
2020-04-25,Daily hospital occupancy,190,Finland
2020-04-26,Daily hospital occupancy,189,Finland
2020-04-27,Daily hospital occupancy,187,Finland
2020-04-28,Daily hospital occupancy,200,Finland
2020-04-29,Daily hospital occupancy,208,Finland
2020-04-30,Daily hospital occupancy,187,Finland
2020-05-01,Daily hospital occupancy,185,Finland
2020-05-02,Daily hospital occupancy,182,Finland
2020-05-03,Daily hospital occupancy,185,Finland
2020-05-04,Daily hospital occupancy,197,Finland
2020-05-05,Daily hospital occupancy,195,Finland
2020-05-06,Daily hospital occupancy,188,Finland
2020-05-07,Daily hospital occupancy,174,Finland
2020-05-08,Daily hospital occupancy,169,Finland
2020-05-09,Daily hospital occupancy,161,Finland
2020-05-10,Daily hospital occupancy,162,Finland
2020-05-11,Daily hospital occupancy,161,Finland
2020-05-12,Daily hospital occupancy,152,Finland
2020-05-13,Daily hospital occupancy,157,Finland
2020-05-14,Daily hospital occupancy,143,Finland
2020-05-15,Daily hospital occupancy,118,Finland
2020-05-16,Daily hospital occupancy,120,Finland
2020-05-17,Daily hospital occupancy,118,Finland
2020-05-18,Daily hospital occupancy,117,Finland
2020-05-19,Daily hospital occupancy,112,Finland
2020-05-20,Daily hospital occupancy,118,Finland
2020-05-21,Daily hospital occupancy,110,Finland
2020-05-22,Daily hospital occupancy,113,Finland
2020-05-23,Daily hospital occupancy,104,Finland
2020-05-24,Daily hospital occupancy,106,Finland
2020-05-25,Daily hospital occupancy,104,Finland
2020-05-26,Daily hospital occupancy,95,Finland
2020-05-27,Daily hospital occupancy,87,Finland
2020-05-28,Daily hospital occupancy,83,Finland
2020-05-29,Daily hospital occupancy,74,Finland
2020-05-30,Daily hospital occupancy,71,Finland
2020-05-31,Daily hospital occupancy,68,Finland
2020-06-01,Daily hospital occupancy,68,Finland
2020-06-02,Daily hospital occupancy,62,Finland
2020-06-03,Daily hospital occupancy,51,Finland
2020-06-04,Daily hospital occupancy,50,Finland
2020-06-05,Daily hospital occupancy,51,Finland
2020-06-06,Daily hospital occupancy,39,Finland
2020-06-07,Daily hospital occupancy,40,Finland
2020-06-08,Daily hospital occupancy,38,Finland
2020-06-09,Daily hospital occupancy,28,Finland
2020-06-10,Daily hospital occupancy,28,Finland
2020-06-11,Daily hospital occupancy,25,Finland
2020-06-12,Daily hospital occupancy,23,Finland
2020-06-13,Daily hospital occupancy,26,Finland
2020-06-14,Daily hospital occupancy,26,Finland
2020-06-15,Daily hospital occupancy,22,Finland
2020-06-16,Daily hospital occupancy,22,Finland
2020-06-17,Daily hospital occupancy,26,Finland
2020-06-22,Daily hospital occupancy,21,Finland
2020-06-24,Daily hospital occupancy,22,Finland
2020-06-26,Daily hospital occupancy,24,Finland
2020-06-29,Daily hospital occupancy,23,Finland
2020-07-01,Daily hospital occupancy,24,Finland
2020-07-03,Daily hospital occupancy,20,Finland
2020-07-06,Daily hospital occupancy,19,Finland
2020-07-08,Daily hospital occupancy,19,Finland
2020-07-10,Daily hospital occupancy,6,Finland
2020-07-13,Daily hospital occupancy,8,Finland
2020-07-15,Daily hospital occupancy,7,Finland
2020-07-17,Daily hospital occupancy,6,Finland
2020-07-20,Daily hospital occupancy,6,Finland
2020-07-22,Daily hospital occupancy,4,Finland
2020-07-24,Daily hospital occupancy,4,Finland
2020-07-27,Daily hospital occupancy,5,Finland
2020-07-29,Daily hospital occupancy,4,Finland
2020-07-31,Daily hospital occupancy,8,Finland
2020-08-03,Daily hospital occupancy,9,Finland
2020-08-04,Daily hospital occupancy,6,Finland
2020-08-05,Daily hospital occupancy,6,Finland
2020-08-07,Daily hospital occupancy,3,Finland
2020-08-10,Daily hospital occupancy,5,Finland
2020-08-12,Daily hospital occupancy,7,Finland
2020-08-14,Daily hospital occupancy,6,Finland
2020-08-17,Daily hospital occupancy,5,Finland
2020-08-19,Daily hospital occupancy,8,Finland
2020-08-21,Daily hospital occupancy,11,Finland
2020-08-24,Daily hospital occupancy,12,Finland
2020-08-26,Daily hospital occupancy,5,Finland
2020-08-28,Daily hospital occupancy,11,Finland
2020-08-31,Daily hospital occupancy,10,Finland
2020-09-02,Daily hospital occupancy,9,Finland
2020-09-04,Daily hospital occupancy,14,Finland
2020-09-07,Daily hospital occupancy,16,Finland
2020-09-09,Daily hospital occupancy,6,Finland
2020-09-11,Daily hospital occupancy,8,Finland
2020-09-14,Daily hospital occupancy,10,Finland
2020-09-16,Daily hospital occupancy,14,Finland
2020-09-18,Daily hospital occupancy,16,Finland
2020-09-21,Daily hospital occupancy,19,Finland
2020-09-23,Daily hospital occupancy,22,Finland
2020-09-25,Daily hospital occupancy,21,Finland
2020-09-28,Daily hospital occupancy,22,Finland
2020-09-30,Daily hospital occupancy,19,Finland
2020-10-02,Daily hospital occupancy,21,Finland
2020-10-05,Daily hospital occupancy,28,Finland
2020-10-07,Daily hospital occupancy,31,Finland
2020-10-09,Daily hospital occupancy,37,Finland
2020-10-12,Daily hospital occupancy,46,Finland
2020-10-14,Daily hospital occupancy,48,Finland
2020-10-16,Daily hospital occupancy,56,Finland
2020-10-19,Daily hospital occupancy,62,Finland
2020-10-21,Daily hospital occupancy,65,Finland
2020-10-23,Daily hospital occupancy,70,Finland
2020-10-26,Daily hospital occupancy,74,Finland
2020-10-28,Daily hospital occupancy,65,Finland
2020-10-30,Daily hospital occupancy,58,Finland
2020-11-02,Daily hospital occupancy,70,Finland
2020-11-04,Daily hospital occupancy,65,Finland
2020-11-06,Daily hospital occupancy,68,Finland
2020-11-09,Daily hospital occupancy,86,Finland
2020-11-11,Daily hospital occupancy,73,Finland
2020-11-13,Daily hospital occupancy,73,Finland
2020-11-16,Daily hospital occupancy,80,Finland
2020-11-18,Daily hospital occupancy,90,Finland
2020-11-20,Daily hospital occupancy,104,Finland
2020-11-23,Daily hospital occupancy,120,Finland
2020-11-25,Daily hospital occupancy,134,Finland
2020-11-27,Daily hospital occupancy,152,Finland
2020-11-30,Daily hospital occupancy,175,Finland
2020-12-02,Daily hospital occupancy,165,Finland
2020-12-04,Daily hospital occupancy,141,Finland
2020-12-07,Daily hospital occupancy,223,Finland
2020-12-08,Daily hospital occupancy,240,Finland
2020-12-09,Daily hospital occupancy,233,Finland
2020-12-10,Daily hospital occupancy,244,Finland
2020-12-11,Daily hospital occupancy,240,Finland
2020-12-14,Daily hospital occupancy,276,Finland
2020-12-15,Daily hospital occupancy,284,Finland
2020-12-16,Daily hospital occupancy,268,Finland
2020-12-17,Daily hospital occupancy,264,Finland
2020-12-18,Daily hospital occupancy,263,Finland
2020-12-21,Daily hospital occupancy,281,Finland
2020-12-22,Daily hospital occupancy,273,Finland
2020-12-23,Daily hospital occupancy,258,Finland
2020-12-28,Daily hospital occupancy,237,Finland
2020-12-29,Daily hospital occupancy,221,Finland
2020-12-30,Daily hospital occupancy,211,Finland
2020-12-31,Daily hospital occupancy,199,Finland
2021-01-04,Daily hospital occupancy,210,Finland
2021-01-05,Daily hospital occupancy,188,Finland
2021-01-07,Daily hospital occupancy,186,Finland
2021-01-08,Daily hospital occupancy,176,Finland
2021-01-11,Daily hospital occupancy,166,Finland
2021-01-12,Daily hospital occupancy,158,Finland
2021-01-13,Daily hospital occupancy,150,Finland
2021-01-14,Daily hospital occupancy,155,Finland
2021-01-15,Daily hospital occupancy,145,Finland
2021-01-18,Daily hospital occupancy,148,Finland
2021-01-19,Daily hospital occupancy,141,Finland
2021-01-20,Daily hospital occupancy,146,Finland
2021-01-21,Daily hospital occupancy,148,Finland
2021-01-22,Daily hospital occupancy,136,Finland
2021-01-25,Daily hospital occupancy,131,Finland
2021-01-26,Daily hospital occupancy,141,Finland
2021-01-27,Daily hospital occupancy,148,Finland
2021-01-28,Daily hospital occupancy,138,Finland
2021-01-29,Daily hospital occupancy,126,Finland
2021-02-01,Daily hospital occupancy,135,Finland
2021-02-02,Daily hospital occupancy,141,Finland
2021-02-03,Daily hospital occupancy,129,Finland
2021-02-04,Daily hospital occupancy,128,Finland
2021-02-05,Daily hospital occupancy,124,Finland
