date,indicator,value,entity
2020-03-18,Daily hospital occupancy,2972.0,France
2020-03-19,Daily hospital occupancy,4073.0,France
2020-03-20,Daily hospital occupancy,5226.0,France
2020-03-21,Daily hospital occupancy,5900.0,France
2020-03-22,Daily hospital occupancy,6954.0,France
2020-03-23,Daily hospital occupancy,8673.0,France
2020-03-24,Daily hospital occupancy,10163.0,France
2020-03-25,Daily hospital occupancy,12072.0,France
2020-03-26,Daily hospital occupancy,13879.0,France
2020-03-27,Daily hospital occupancy,15701.0,France
2020-03-28,Daily hospital occupancy,17580.0,France
2020-03-29,Daily hospital occupancy,19311.0,France
2020-03-30,Daily hospital occupancy,20946.0,France
2020-03-31,Daily hospital occupancy,22672.0,France
2020-04-01,Daily hospital occupancy,24543.0,France
2020-04-02,Daily hospital occupancy,26131.0,France
2020-04-03,Daily hospital occupancy,27302.0,France
2020-04-04,Daily hospital occupancy,28003.0,France
2020-04-05,Daily hospital occupancy,28747.0,France
2020-04-06,Daily hospital occupancy,29569.0,France
2020-04-07,Daily hospital occupancy,29871.0,France
2020-04-08,Daily hospital occupancy,30217.0,France
2020-04-09,Daily hospital occupancy,30608.0,France
2020-04-10,Daily hospital occupancy,31108.0,France
2020-04-11,Daily hospital occupancy,31159.0,France
2020-04-12,Daily hospital occupancy,31665.0,France
2020-04-13,Daily hospital occupancy,31952.0,France
2020-04-14,Daily hospital occupancy,32131.0,France
2020-04-15,Daily hospital occupancy,31623.0,France
2020-04-16,Daily hospital occupancy,31172.0,France
2020-04-17,Daily hospital occupancy,31061.0,France
2020-04-18,Daily hospital occupancy,30515.0,France
2020-04-19,Daily hospital occupancy,30486.0,France
2020-04-20,Daily hospital occupancy,30462.0,France
2020-04-21,Daily hospital occupancy,29984.0,France
2020-04-22,Daily hospital occupancy,29627.0,France
2020-04-23,Daily hospital occupancy,29113.0,France
2020-04-24,Daily hospital occupancy,28554.0,France
2020-04-25,Daily hospital occupancy,28119.0,France
2020-04-26,Daily hospital occupancy,28114.0,France
2020-04-27,Daily hospital occupancy,27954.0,France
2020-04-28,Daily hospital occupancy,27607.0,France
2020-04-29,Daily hospital occupancy,26736.0,France
2020-04-30,Daily hospital occupancy,26192.0,France
2020-05-01,Daily hospital occupancy,25809.0,France
2020-05-02,Daily hospital occupancy,25751.0,France
2020-05-03,Daily hospital occupancy,25739.0,France
2020-05-04,Daily hospital occupancy,25472.0,France
2020-05-05,Daily hospital occupancy,24701.0,France
2020-05-06,Daily hospital occupancy,23912.0,France
2020-05-07,Daily hospital occupancy,23139.0,France
2020-05-08,Daily hospital occupancy,22657.0,France
2020-05-09,Daily hospital occupancy,22547.0,France
2020-05-10,Daily hospital occupancy,22502.0,France
2020-05-11,Daily hospital occupancy,22219.0,France
2020-05-12,Daily hospital occupancy,21530.0,France
2020-05-13,Daily hospital occupancy,21009.0,France
2020-05-14,Daily hospital occupancy,20401.0,France
2020-05-15,Daily hospital occupancy,19801.0,France
2020-05-16,Daily hospital occupancy,19372.0,France
2020-05-17,Daily hospital occupancy,19302.0,France
2020-05-18,Daily hospital occupancy,18956.0,France
2020-05-19,Daily hospital occupancy,18409.0,France
2020-05-20,Daily hospital occupancy,17882.0,France
2020-05-21,Daily hospital occupancy,17527.0,France
2020-05-22,Daily hospital occupancy,17327.0,France
2020-05-23,Daily hospital occupancy,17122.0,France
2020-05-24,Daily hospital occupancy,17129.0,France
2020-05-25,Daily hospital occupancy,16742.0,France
2020-05-26,Daily hospital occupancy,16209.0,France
2020-05-27,Daily hospital occupancy,15627.0,France
2020-05-28,Daily hospital occupancy,15155.0,France
2020-05-29,Daily hospital occupancy,14643.0,France
2020-05-30,Daily hospital occupancy,14329.0,France
2020-05-31,Daily hospital occupancy,14271.0,France
2020-06-01,Daily hospital occupancy,14237.0,France
2020-06-02,Daily hospital occupancy,13978.0,France
2020-06-03,Daily hospital occupancy,13465.0,France
2020-06-04,Daily hospital occupancy,13054.0,France
2020-06-05,Daily hospital occupancy,12650.0,France
2020-06-06,Daily hospital occupancy,12433.0,France
2020-06-07,Daily hospital occupancy,12415.0,France
2020-06-08,Daily hospital occupancy,12269.0,France
2020-06-09,Daily hospital occupancy,11915.0,France
2020-06-10,Daily hospital occupancy,11632.0,France
2020-06-11,Daily hospital occupancy,11420.0,France
2020-06-12,Daily hospital occupancy,11079.0,France
2020-06-13,Daily hospital occupancy,10864.0,France
2020-06-14,Daily hospital occupancy,10836.0,France
2020-06-15,Daily hospital occupancy,10707.0,France
2020-06-16,Daily hospital occupancy,10490.0,France
2020-06-17,Daily hospital occupancy,10222.0,France
2020-06-18,Daily hospital occupancy,10080.0,France
2020-06-19,Daily hospital occupancy,9925.0,France
2020-06-20,Daily hospital occupancy,9792.0,France
2020-06-21,Daily hospital occupancy,9778.0,France
2020-06-22,Daily hospital occupancy,9648.0,France
2020-06-23,Daily hospital occupancy,9446.0,France
2020-06-24,Daily hospital occupancy,9254.0,France
2020-06-25,Daily hospital occupancy,9096.0,France
2020-06-26,Daily hospital occupancy,8841.0,France
2020-06-27,Daily hospital occupancy,8715.0,France
2020-06-28,Daily hospital occupancy,8727.0,France
2020-06-29,Daily hospital occupancy,8643.0,France
2020-06-30,Daily hospital occupancy,8491.0,France
2020-07-01,Daily hospital occupancy,8291.0,France
2020-07-02,Daily hospital occupancy,8103.0,France
2020-07-03,Daily hospital occupancy,7946.0,France
2020-07-04,Daily hospital occupancy,7863.0,France
2020-07-05,Daily hospital occupancy,7863.0,France
2020-07-06,Daily hospital occupancy,7806.0,France
2020-07-07,Daily hospital occupancy,7550.0,France
2020-07-08,Daily hospital occupancy,7254.0,France
2020-07-09,Daily hospital occupancy,7134.0,France
2020-07-10,Daily hospital occupancy,7020.0,France
2020-07-11,Daily hospital occupancy,6995.0,France
2020-07-12,Daily hospital occupancy,6991.0,France
2020-07-13,Daily hospital occupancy,6941.0,France
2020-07-14,Daily hospital occupancy,6907.0,France
2020-07-15,Daily hospital occupancy,6873.0,France
2020-07-16,Daily hospital occupancy,6754.0,France
2020-07-17,Daily hospital occupancy,6646.0,France
2020-07-18,Daily hospital occupancy,6614.0,France
2020-07-19,Daily hospital occupancy,6583.0,France
2020-07-20,Daily hospital occupancy,6547.0,France
2020-07-21,Daily hospital occupancy,6440.0,France
2020-07-22,Daily hospital occupancy,6324.0,France
2020-07-23,Daily hospital occupancy,5915.0,France
2020-07-24,Daily hospital occupancy,5678.0,France
2020-07-25,Daily hospital occupancy,5634.0,France
2020-07-26,Daily hospital occupancy,5640.0,France
2020-07-27,Daily hospital occupancy,5614.0,France
2020-07-28,Daily hospital occupancy,5510.0,France
2020-07-29,Daily hospital occupancy,5409.0,France
2020-07-30,Daily hospital occupancy,5334.0,France
2020-07-31,Daily hospital occupancy,5257.0,France
2020-08-01,Daily hospital occupancy,5177.0,France
2020-08-02,Daily hospital occupancy,5188.0,France
2020-08-03,Daily hospital occupancy,5157.0,France
2020-08-04,Daily hospital occupancy,5121.0,France
2020-08-05,Daily hospital occupancy,5107.0,France
2020-08-06,Daily hospital occupancy,5019.0,France
2020-08-07,Daily hospital occupancy,4970.0,France
2020-08-08,Daily hospital occupancy,4981.0,France
2020-08-09,Daily hospital occupancy,4992.0,France
2020-08-10,Daily hospital occupancy,5004.0,France
2020-08-11,Daily hospital occupancy,4971.0,France
2020-08-12,Daily hospital occupancy,4850.0,France
2020-08-13,Daily hospital occupancy,4824.0,France
2020-08-14,Daily hospital occupancy,4788.0,France
2020-08-15,Daily hospital occupancy,4817.0,France
2020-08-16,Daily hospital occupancy,4820.0,France
2020-08-17,Daily hospital occupancy,4885.0,France
2020-08-18,Daily hospital occupancy,4783.0,France
2020-08-19,Daily hospital occupancy,4781.0,France
2020-08-20,Daily hospital occupancy,4723.0,France
2020-08-21,Daily hospital occupancy,4720.0,France
2020-08-22,Daily hospital occupancy,4685.0,France
2020-08-23,Daily hospital occupancy,4683.0,France
2020-08-24,Daily hospital occupancy,4664.0,France
2020-08-25,Daily hospital occupancy,4578.0,France
2020-08-26,Daily hospital occupancy,4535.0,France
2020-08-27,Daily hospital occupancy,4517.0,France
2020-08-28,Daily hospital occupancy,4517.0,France
2020-08-29,Daily hospital occupancy,4512.0,France
2020-08-30,Daily hospital occupancy,4517.0,France
2020-08-31,Daily hospital occupancy,4564.0,France
