date,indicator,value,entity
2020-03-01,Weekly new hospital admissions,24.0,Germany
2020-03-02,Weekly new hospital admissions,29.0,Germany
2020-03-03,Weekly new hospital admissions,46.0,Germany
2020-03-04,Weekly new hospital admissions,64.0,Germany
2020-03-05,Weekly new hospital admissions,76.0,Germany
2020-03-06,Weekly new hospital admissions,91.0,Germany
2020-03-07,Weekly new hospital admissions,133.0,Germany
2020-03-08,Weekly new hospital admissions,149.0,Germany
2020-03-09,Weekly new hospital admissions,160.0,Germany
2020-03-10,Weekly new hospital admissions,183.0,Germany
2020-03-11,Weekly new hospital admissions,221.0,Germany
2020-03-12,Weekly new hospital admissions,263.0,Germany
2020-03-13,Weekly new hospital admissions,322.0,Germany
2020-03-14,Weekly new hospital admissions,394.0,Germany
2020-03-15,Weekly new hospital admissions,450.0,Germany
2020-03-16,Weekly new hospital admissions,525.0,Germany
2020-03-17,Weekly new hospital admissions,686.0,Germany
2020-03-18,Weekly new hospital admissions,860.0,Germany
2020-03-19,Weekly new hospital admissions,1129.0,Germany
2020-03-20,Weekly new hospital admissions,1404.0,Germany
2020-03-21,Weekly new hospital admissions,1690.0,Germany
2020-03-22,Weekly new hospital admissions,2017.0,Germany
2020-03-23,Weekly new hospital admissions,2231.0,Germany
2020-03-24,Weekly new hospital admissions,2530.0,Germany
2020-03-25,Weekly new hospital admissions,2994.0,Germany
2020-03-26,Weekly new hospital admissions,3482.0,Germany
2020-03-27,Weekly new hospital admissions,3970.0,Germany
2020-03-28,Weekly new hospital admissions,4458.0,Germany
2020-03-29,Weekly new hospital admissions,4862.0,Germany
2020-03-30,Weekly new hospital admissions,5145.0,Germany
2020-03-31,Weekly new hospital admissions,5476.0,Germany
2020-04-01,Weekly new hospital admissions,5903.0,Germany
2020-04-02,Weekly new hospital admissions,6129.0,Germany
2020-04-03,Weekly new hospital admissions,6261.0,Germany
2020-04-04,Weekly new hospital admissions,6352.0,Germany
2020-04-05,Weekly new hospital admissions,6234.0,Germany
2020-04-06,Weekly new hospital admissions,6101.0,Germany
2020-04-07,Weekly new hospital admissions,6034.0,Germany
2020-04-08,Weekly new hospital admissions,5784.0,Germany
2020-04-09,Weekly new hospital admissions,5621.0,Germany
2020-04-10,Weekly new hospital admissions,5438.0,Germany
2020-04-11,Weekly new hospital admissions,4974.0,Germany
2020-04-12,Weekly new hospital admissions,4798.0,Germany
2020-04-13,Weekly new hospital admissions,4735.0,Germany
2020-04-14,Weekly new hospital admissions,4358.0,Germany
2020-04-15,Weekly new hospital admissions,4064.0,Germany
2020-04-16,Weekly new hospital admissions,3866.0,Germany
2020-04-17,Weekly new hospital admissions,3654.0,Germany
2020-04-18,Weekly new hospital admissions,3645.0,Germany
2020-04-19,Weekly new hospital admissions,3505.0,Germany
2020-04-20,Weekly new hospital admissions,3384.0,Germany
2020-04-21,Weekly new hospital admissions,3417.0,Germany
2020-04-22,Weekly new hospital admissions,3242.0,Germany
2020-04-23,Weekly new hospital admissions,2993.0,Germany
2020-04-24,Weekly new hospital admissions,2729.0,Germany
2020-04-25,Weekly new hospital admissions,2527.0,Germany
2020-04-26,Weekly new hospital admissions,2388.0,Germany
2020-04-27,Weekly new hospital admissions,2238.0,Germany
2020-04-28,Weekly new hospital admissions,2056.0,Germany
2020-04-29,Weekly new hospital admissions,1964.0,Germany
2020-04-30,Weekly new hospital admissions,1768.0,Germany
2020-05-01,Weekly new hospital admissions,1709.0,Germany
2020-05-02,Weekly new hospital admissions,1537.0,Germany
2020-05-03,Weekly new hospital admissions,1409.0,Germany
2020-05-04,Weekly new hospital admissions,1361.0,Germany
2020-05-05,Weekly new hospital admissions,1288.0,Germany
2020-05-06,Weekly new hospital admissions,1189.0,Germany
2020-05-07,Weekly new hospital admissions,1162.0,Germany
2020-05-08,Weekly new hospital admissions,1100.0,Germany
2020-05-09,Weekly new hospital admissions,1108.0,Germany
2020-05-10,Weekly new hospital admissions,1091.0,Germany
2020-05-11,Weekly new hospital admissions,1080.0,Germany
2020-05-12,Weekly new hospital admissions,1063.0,Germany
2020-05-13,Weekly new hospital admissions,1000.0,Germany
2020-05-14,Weekly new hospital admissions,916.0,Germany
2020-05-15,Weekly new hospital admissions,838.0,Germany
2020-05-16,Weekly new hospital admissions,806.0,Germany
2020-05-17,Weekly new hospital admissions,777.0,Germany
2020-05-18,Weekly new hospital admissions,759.0,Germany
2020-05-19,Weekly new hospital admissions,683.0,Germany
2020-05-20,Weekly new hospital admissions,648.0,Germany
2020-05-21,Weekly new hospital admissions,623.0,Germany
2020-05-22,Weekly new hospital admissions,558.0,Germany
2020-05-23,Weekly new hospital admissions,528.0,Germany
2020-05-24,Weekly new hospital admissions,518.0,Germany
2020-05-25,Weekly new hospital admissions,513.0,Germany
2020-05-26,Weekly new hospital admissions,522.0,Germany
2020-05-27,Weekly new hospital admissions,490.0,Germany
2020-05-28,Weekly new hospital admissions,457.0,Germany
2020-05-29,Weekly new hospital admissions,480.0,Germany
2020-05-30,Weekly new hospital admissions,446.0,Germany
2020-05-31,Weekly new hospital admissions,437.0,Germany
2020-06-01,Weekly new hospital admissions,421.0,Germany
2020-06-02,Weekly new hospital admissions,367.0,Germany
2020-06-03,Weekly new hospital admissions,338.0,Germany
2020-06-04,Weekly new hospital admissions,342.0,Germany
2020-06-05,Weekly new hospital admissions,319.0,Germany
2020-06-06,Weekly new hospital admissions,310.0,Germany
2020-06-07,Weekly new hospital admissions,308.0,Germany
2020-06-08,Weekly new hospital admissions,307.0,Germany
2020-06-09,Weekly new hospital admissions,312.0,Germany
2020-06-10,Weekly new hospital admissions,301.0,Germany
2020-06-11,Weekly new hospital admissions,284.0,Germany
2020-06-12,Weekly new hospital admissions,266.0,Germany
2020-06-13,Weekly new hospital admissions,281.0,Germany
2020-06-14,Weekly new hospital admissions,275.0,Germany
2020-06-15,Weekly new hospital admissions,290.0,Germany
2020-06-16,Weekly new hospital admissions,295.0,Germany
2020-06-17,Weekly new hospital admissions,316.0,Germany
2020-06-18,Weekly new hospital admissions,307.0,Germany
2020-06-19,Weekly new hospital admissions,324.0,Germany
2020-06-20,Weekly new hospital admissions,327.0,Germany
2020-06-21,Weekly new hospital admissions,333.0,Germany
2020-06-22,Weekly new hospital admissions,324.0,Germany
2020-06-23,Weekly new hospital admissions,328.0,Germany
2020-06-24,Weekly new hospital admissions,321.0,Germany
2020-06-25,Weekly new hospital admissions,323.0,Germany
2020-06-26,Weekly new hospital admissions,327.0,Germany
2020-06-27,Weekly new hospital admissions,322.0,Germany
