entity,indicator,date,value
Greece,Weekly new ICU admissions,2020-04-26,9.675499472177478
Greece,Weekly new ICU admissions,2020-05-03,3.870199788870989
Greece,Weekly new ICU admissions,2020-05-10,3.870199788870989
Greece,Weekly new ICU admissions,2020-05-17,4.837749736088739
Greece,Weekly new ICU admissions,2020-05-24,3.870199788870989
Greece,Weekly new ICU admissions,2020-05-31,1.9350998944354998
Greece,Weekly new ICU admissions,2020-06-07,2.9026498416532496
Greece,Weekly new ICU admissions,2020-06-14,7.7403995777419885
Greece,Weekly new ICU admissions,2020-06-21,1.9350998944354998
Greece,Weekly new ICU admissions,2020-06-28,2.9026498416532496
Greece,Weekly new ICU admissions,2020-07-05,2.9026498416532496
Greece,Weekly new ICU admissions,2020-07-12,3.870199788870989
Greece,Weekly new ICU admissions,2020-07-19,1.9350998944354998
Greece,Weekly new ICU admissions,2020-07-26,6.772849630524239
Greece,Weekly new ICU admissions,2020-08-02,10.643049419395217
Greece,Weekly new ICU admissions,2020-08-09,15.480799155484018
Greece,Weekly new ICU admissions,2020-08-16,11.610599366612934
Greece,Weekly new ICU admissions,2020-08-23,18.383448997137172
Greece,Weekly new ICU admissions,2020-08-30,17.415899049919457
Greece,Weekly new hospital admissions,2020-09-06,202.21793896850966
Greece,Weekly new ICU admissions,2020-09-06,21.286098838790434
Greece,Weekly new hospital admissions,2020-09-13,251.5629862766141
Greece,Weekly new ICU admissions,2020-09-13,34.83179809983891
Greece,Weekly new hospital admissions,2020-09-20,330.9020819484698
Greece,Weekly new ICU admissions,2020-09-20,43.53974762479869
Greece,Weekly new hospital admissions,2020-09-27,324.12923231794514
Greece,Weekly new ICU admissions,2020-09-27,28.05894846931467
Greece,Weekly new hospital admissions,2020-10-04,385.08487899266385
Greece,Weekly new ICU admissions,2020-10-04,46.44239746645195
Greece,Weekly new hospital admissions,2020-10-11,357.9934804705663
Greece,Weekly new ICU admissions,2020-10-11,38.70199788870989
Greece,Weekly new hospital admissions,2020-10-18,405.4034278842368
Greece,Weekly new ICU admissions,2020-10-18,32.896698205403474
Greece,Weekly new hospital admissions,2020-10-25,570.8544688584717
Greece,Weekly new ICU admissions,2020-10-25,55.15034699141163
Greece,Weekly new hospital admissions,2020-11-01,924.0101995929496
Greece,Weekly new ICU admissions,2020-11-01,95.78744477455707
Greece,Weekly new hospital admissions,2020-11-08,1661.2832593728692
Greece,Weekly new ICU admissions,2020-11-08,151.9053417131866
Greece,Weekly new hospital admissions,2020-11-15,2669.4703043737627
Greece,Weekly new ICU admissions,2020-11-15,278.6543847987117
Greece,Weekly new hospital admissions,2020-11-22,3086.4843316246183
Greece,Weekly new ICU admissions,2020-11-22,345.4153311567356
Greece,Weekly new hospital admissions,2020-11-29,2776.8683485149313
Greece,Weekly new ICU admissions,2020-11-29,302.8431334791547
Greece,Weekly new hospital admissions,2020-12-06,2327.925173005907
Greece,Weekly new ICU admissions,2020-12-06,270.91398522096955
Greece,Weekly new hospital admissions,2020-12-13,1870.2740479719075
Greece,Weekly new ICU admissions,2020-12-13,236.08218712113086
Greece,Weekly new hospital admissions,2020-12-20,1472.611019665413
Greece,Weekly new ICU admissions,2020-12-20,190.6073396018964
Greece,Weekly new hospital admissions,2020-12-27,985.9333962148858
Greece,Weekly new ICU admissions,2020-12-27,166.41859092145242
Greece,Weekly new hospital admissions,2021-01-03,967.5499472177478
Greece,Weekly new ICU admissions,2021-01-03,121.91129334943649
Greece,Weekly new hospital admissions,2021-01-10,828.2227548183919
Greece,Weekly new ICU admissions,2021-01-10,103.52784435229903
Greece,Weekly new hospital admissions,2021-01-17,900.7890008597229
Greece,Weekly new ICU admissions,2021-01-17,101.59274445786357
Greece,Weekly new hospital admissions,2021-01-24,700.5061617856493
Greece,Weekly new ICU admissions,2021-01-24,86.11194530237957
Greece,Weekly new hospital admissions,2021-01-31,900.7890008597229
Greece,Weekly new ICU admissions,2021-01-31,64.82584646358913
Greece,Weekly new hospital admissions,2021-02-07,1184.2811353945199
Greece,Weekly new ICU admissions,2021-02-07,107.39804414116969
Greece,Weekly new hospital admissions,2021-02-14,1393.2719239935584
Greece,Weekly new ICU admissions,2021-02-14,150.9377917659691
Greece,Weekly new hospital admissions,2021-02-21,1477.4487694015008
Greece,Weekly new ICU admissions,2021-02-21,138.35964245213833
Greece,Weekly new hospital admissions,2021-02-28,1934.1323444882778
Greece,Weekly new ICU admissions,2021-02-28,193.50998944354996
Greece,Weekly new hospital admissions,2021-03-07,2488.538464244049
Greece,Weekly new ICU admissions,2021-03-07,212.86098838790434
Greece,Weekly new hospital admissions,2021-03-14,3066.165782733046
Greece,Weekly new ICU admissions,2021-03-14,298.0053837430661
Greece,Weekly new hospital admissions,2021-03-21,3199.687675449096
Greece,Weekly new ICU admissions,2021-03-21,330.9020819484698
Greece,Weekly new hospital admissions,2021-03-28,3027.463784844336
Greece,Weekly new ICU admissions,2021-03-28,327.0318821595987
Greece,Weekly new hospital admissions,2021-04-04,3362.236066581671
Greece,Weekly new ICU admissions,2021-04-04,330.9020819484698
Greece,Weekly new hospital admissions,2021-04-11,3628.312302066559
Greece,Weekly new ICU admissions,2021-04-11,338.6424815262119
Greece,Weekly new hospital admissions,2021-04-18,3468.6665607756286
Greece,Weekly new ICU admissions,2021-04-18,379.27957930935673
Greece,Weekly new hospital admissions,2021-04-25,3198.7201255018745
Greece,Weekly new ICU admissions,2021-04-25,321.22658247629255
Greece,Weekly new hospital admissions,2021-05-02,2920.0657407031667
Greece,Weekly new ICU admissions,2021-05-02,321.22658247629255
Greece,Weekly new hospital admissions,2021-05-09,2556.2669605492956
Greece,Weekly new ICU admissions,2021-05-09,224.4715877545176
Greece,Weekly new hospital admissions,2021-05-16,2121.8370342485227
Greece,Weekly new ICU admissions,2021-05-16,207.05568870459825
Greece,Weekly new hospital admissions,2021-05-23,1828.6694002415425
Greece,Weekly new ICU admissions,2021-05-23,153.84044160762164
Greece,Weekly new hospital admissions,2021-05-30,1377.7911248380742
Greece,Weekly new ICU admissions,2021-05-30,134.48944266326725
Greece,Weekly new hospital admissions,2021-06-06,1074.9479913589184
Greece,Weekly new ICU admissions,2021-06-06,100.62519451064577
Greece,Weekly new hospital admissions,2021-06-13,715.0194109939162
Greece,Weekly new ICU admissions,2021-06-13,62.890746569153585
Greece,Weekly new hospital admissions,2021-06-20,438.30012608963943
Greece,Weekly new ICU admissions,2021-06-20,52.247697149758366
Greece,Weekly new hospital admissions,2021-06-27,331.86963189568723
Greece,Weekly new ICU admissions,2021-06-27,31.92914825818565
Greece,Weekly new hospital admissions,2021-07-04,259.3033858543563
