entity,indicator,date,value
Hungary,Daily hospital occupancy,2020-03-03,0.0
Hungary,Daily hospital occupancy,2020-03-04,2.0
Hungary,Daily hospital occupancy,2020-03-05,4.0
Hungary,Daily hospital occupancy,2020-03-06,4.0
Hungary,Daily hospital occupancy,2020-03-07,5.0
Hungary,Daily hospital occupancy,2020-03-08,7.0
Hungary,Daily hospital occupancy,2020-03-09,9.0
Hungary,Daily hospital occupancy,2020-03-10,12.0
Hungary,Daily hospital occupancy,2020-03-11,13.0
Hungary,Daily hospital occupancy,2020-03-12,16.0
Hungary,Daily hospital occupancy,2020-03-13,18.0
Hungary,Daily hospital occupancy,2020-03-14,29.0
Hungary,Daily hospital occupancy,2020-03-15,31.0
Hungary,Daily hospital occupancy,2020-03-16,36.0
Hungary,Daily hospital occupancy,2020-03-17,47.0
Hungary,Daily hospital occupancy,2020-03-18,55.0
Hungary,Daily hospital occupancy,2020-03-19,70.0
Hungary,Daily hospital occupancy,2020-03-20,74.0
Hungary,Daily hospital occupancy,2020-03-21,92.0
Hungary,Daily hospital occupancy,2020-03-22,113.0
Hungary,Daily hospital occupancy,2020-03-23,144.0
Hungary,Daily hospital occupancy,2020-03-24,158.0
Hungary,Daily hospital occupancy,2020-03-25,195.0
Hungary,Daily hospital occupancy,2020-03-26,223.0
Hungary,Daily hospital occupancy,2020-03-27,256.0
Hungary,Daily hospital occupancy,2020-03-28,298.0
Hungary,Daily hospital occupancy,2020-03-29,361.0
Hungary,Daily hospital occupancy,2020-03-30,398.0
Hungary,Daily hospital occupancy,2020-03-31,439.0
Hungary,Daily hospital occupancy,2020-04-01,465.0
Hungary,Daily hospital occupancy,2020-04-02,522.0
Hungary,Daily hospital occupancy,2020-04-03,554.0
Hungary,Daily hospital occupancy,2020-04-04,588.0
Hungary,Daily hospital occupancy,2020-04-05,633.0
Hungary,Daily hospital occupancy,2020-04-06,639.0
Hungary,Daily hospital occupancy,2020-04-07,699.0
Hungary,Daily hospital occupancy,2020-04-08,743.0
Hungary,Daily hospital occupancy,2020-04-09,818.0
Hungary,Daily hospital occupancy,2020-04-10,1001.0
Hungary,Daily hospital occupancy,2020-04-11,1110.0
Hungary,Daily hospital occupancy,2020-04-12,1193.0
Hungary,Daily hospital occupancy,2020-04-13,1229.0
Hungary,Daily hospital occupancy,2020-04-14,1268.0
Hungary,Daily hospital occupancy,2020-04-15,1253.0
Hungary,Daily hospital occupancy,2020-04-16,729.0
Hungary,Daily hospital occupancy,2020-04-17,847.0
Hungary,Daily hospital occupancy,2020-04-18,829.0
Hungary,Daily hospital occupancy,2020-04-19,784.0
Hungary,Daily hospital occupancy,2020-04-20,811.0
Hungary,Daily hospital occupancy,2020-04-21,842.0
Hungary,Daily hospital occupancy,2020-04-22,825.0
Hungary,Daily hospital occupancy,2020-04-23,850.0
Hungary,Daily hospital occupancy,2020-04-24,877.0
Hungary,Daily hospital occupancy,2020-04-25,899.0
Hungary,Daily hospital occupancy,2020-04-26,927.0
Hungary,Daily hospital occupancy,2020-04-27,931.0
Hungary,Daily hospital occupancy,2020-04-28,976.0
Hungary,Daily hospital occupancy,2020-04-29,983.0
Hungary,Daily hospital occupancy,2020-04-30,998.0
Hungary,Daily hospital occupancy,2020-05-01,983.0
Hungary,Daily hospital occupancy,2020-05-02,1008.0
Hungary,Daily hospital occupancy,2020-05-03,1005.0
Hungary,Daily hospital occupancy,2020-05-04,1027.0
Hungary,Daily hospital occupancy,2020-05-05,982.0
Hungary,Daily hospital occupancy,2020-05-06,964.0
Hungary,Daily hospital occupancy,2020-05-07,968.0
Hungary,Daily hospital occupancy,2020-05-08,891.0
Hungary,Daily hospital occupancy,2020-05-09,873.0
Hungary,Daily hospital occupancy,2020-05-10,812.0
Hungary,Daily hospital occupancy,2020-05-11,782.0
Hungary,Daily hospital occupancy,2020-05-12,746.0
Hungary,Daily hospital occupancy,2020-05-13,688.0
Hungary,Daily hospital occupancy,2020-05-14,658.0
Hungary,Daily hospital occupancy,2020-05-15,614.0
Hungary,Daily hospital occupancy,2020-05-16,570.0
Hungary,Daily hospital occupancy,2020-05-17,562.0
Hungary,Daily hospital occupancy,2020-05-18,568.0
Hungary,Daily hospital occupancy,2020-05-20,539.0
Hungary,Daily hospital occupancy,2020-05-21,510.0
Hungary,Daily hospital occupancy,2020-05-22,483.0
Hungary,Daily hospital occupancy,2020-05-23,462.0
Hungary,Daily hospital occupancy,2020-05-24,442.0
Hungary,Daily hospital occupancy,2020-05-26,436.0
Hungary,Daily hospital occupancy,2020-05-27,430.0
Hungary,Daily hospital occupancy,2020-05-28,404.0
Hungary,Daily hospital occupancy,2020-05-29,384.0
Hungary,Daily hospital occupancy,2020-05-30,414.0
Hungary,Daily hospital occupancy,2020-05-31,419.0
Hungary,Daily hospital occupancy,2020-06-01,417.0
Hungary,Daily hospital occupancy,2020-06-02,427.0
Hungary,Daily hospital occupancy,2020-06-03,414.0
Hungary,Daily hospital occupancy,2020-06-04,406.0
Hungary,Daily hospital occupancy,2020-06-05,397.0
Hungary,Daily hospital occupancy,2020-06-06,387.0
Hungary,Daily hospital occupancy,2020-06-07,386.0
Hungary,Daily hospital occupancy,2020-06-08,385.0
Hungary,Daily hospital occupancy,2020-06-09,365.0
Hungary,Daily hospital occupancy,2020-06-10,344.0
Hungary,Daily hospital occupancy,2020-06-11,321.0
Hungary,Daily hospital occupancy,2020-06-12,290.0
Hungary,Daily hospital occupancy,2020-06-13,283.0
Hungary,Daily hospital occupancy,2020-06-14,275.0
Hungary,Daily hospital occupancy,2020-06-15,275.0
Hungary,Daily hospital occupancy,2020-06-16,255.0
Hungary,Daily hospital occupancy,2020-06-17,210.0
Hungary,Daily hospital occupancy,2020-06-18,199.0
Hungary,Daily hospital occupancy,2020-06-19,192.0
Hungary,Daily hospital occupancy,2020-06-20,186.0
Hungary,Daily hospital occupancy,2020-06-21,185.0
Hungary,Daily hospital occupancy,2020-06-22,184.0
Hungary,Daily hospital occupancy,2020-06-23,183.0
Hungary,Daily hospital occupancy,2020-06-24,183.0
Hungary,Daily hospital occupancy,2020-06-25,182.0
Hungary,Daily hospital occupancy,2020-06-26,179.0
Hungary,Daily hospital occupancy,2020-06-27,174.0
Hungary,Daily hospital occupancy,2020-06-28,172.0
Hungary,Daily hospital occupancy,2020-06-29,170.0
Hungary,Daily hospital occupancy,2020-06-30,169.0
Hungary,Daily hospital occupancy,2020-07-01,169.0
Hungary,Daily hospital occupancy,2020-07-02,157.0
Hungary,Daily hospital occupancy,2020-07-03,150.0
Hungary,Daily hospital occupancy,2020-07-04,140.0
Hungary,Daily hospital occupancy,2020-07-05,144.0
Hungary,Daily hospital occupancy,2020-07-06,144.0
Hungary,Daily hospital occupancy,2020-07-07,142.0
Hungary,Daily hospital occupancy,2020-07-08,132.0
Hungary,Daily hospital occupancy,2020-07-09,131.0
Hungary,Daily hospital occupancy,2020-07-10,133.0
Hungary,Daily hospital occupancy,2020-07-11,129.0
Hungary,Daily hospital occupancy,2020-07-12,128.0
Hungary,Daily hospital occupancy,2020-07-13,127.0
Hungary,Daily hospital occupancy,2020-07-14,131.0
Hungary,Daily hospital occupancy,2020-07-15,125.0
Hungary,Daily hospital occupancy,2020-07-16,109.0
Hungary,Daily hospital occupancy,2020-07-17,83.0
Hungary,Daily hospital occupancy,2020-07-18,83.0
Hungary,Daily hospital occupancy,2020-07-19,82.0
Hungary,Daily hospital occupancy,2020-07-20,83.0
Hungary,Daily hospital occupancy,2020-07-21,78.0
Hungary,Daily hospital occupancy,2020-07-22,76.0
Hungary,Daily hospital occupancy,2020-07-23,76.0
Hungary,Daily hospital occupancy,2020-07-24,70.0
Hungary,Daily hospital occupancy,2020-07-25,68.0
Hungary,Daily hospital occupancy,2020-07-26,69.0
Hungary,Daily hospital occupancy,2020-07-27,71.0
Hungary,Daily hospital occupancy,2020-07-28,76.0
Hungary,Daily hospital occupancy,2020-07-29,76.0
Hungary,Daily hospital occupancy,2020-07-30,76.0
