date,indicator,value,entity
2020-03-02,Daily ICU occupancy,0.0,Israel
2020-03-02,Daily hospital occupancy,10.0,Israel
2020-03-03,Daily ICU occupancy,0.0,Israel
2020-03-03,Daily hospital occupancy,10.0,Israel
2020-03-04,Daily ICU occupancy,0.0,Israel
2020-03-04,Daily hospital occupancy,12.0,Israel
2020-03-05,Daily ICU occupancy,1.0,Israel
2020-03-05,Daily hospital occupancy,13.0,Israel
2020-03-06,Daily ICU occupancy,2.0,Israel
2020-03-06,Daily hospital occupancy,16.0,Israel
2020-03-07,Daily ICU occupancy,3.0,Israel
2020-03-07,Daily hospital occupancy,19.0,Israel
2020-03-08,Daily ICU occupancy,5.0,Israel
2020-03-08,Daily hospital occupancy,26.0,Israel
2020-03-08,Weekly new ICU admissions,5.0,Israel
2020-03-09,Daily hospital occupancy,40.0,Israel
2020-03-09,Weekly new ICU admissions,5.0,Israel
2020-03-09,Daily ICU occupancy,5.0,Israel
2020-03-10,Weekly new ICU admissions,6.0,Israel
2020-03-10,Daily ICU occupancy,6.0,Israel
2020-03-10,Daily hospital occupancy,61.0,Israel
2020-03-11,Daily hospital occupancy,84.0,Israel
2020-03-11,Weekly new ICU admissions,7.0,Israel
2020-03-11,Daily ICU occupancy,7.0,Israel
2020-03-12,Daily hospital occupancy,107.0,Israel
2020-03-12,Daily ICU occupancy,7.0,Israel
2020-03-12,Weekly new ICU admissions,6.0,Israel
2020-03-13,Daily hospital occupancy,126.0,Israel
2020-03-13,Weekly new ICU admissions,5.0,Israel
2020-03-13,Daily ICU occupancy,7.0,Israel
2020-03-14,Weekly new ICU admissions,5.0,Israel
2020-03-14,Daily ICU occupancy,6.0,Israel
2020-03-14,Daily hospital occupancy,166.0,Israel
2020-03-15,Daily ICU occupancy,9.0,Israel
2020-03-15,Weekly new ICU admissions,6.0,Israel
2020-03-15,Daily hospital occupancy,205.0,Israel
2020-03-16,Daily ICU occupancy,11.0,Israel
2020-03-16,Weekly new ICU admissions,8.0,Israel
2020-03-16,Daily hospital occupancy,224.0,Israel
2020-03-17,Daily hospital occupancy,259.0,Israel
2020-03-17,Weekly new ICU admissions,8.0,Israel
2020-03-17,Daily ICU occupancy,12.0,Israel
2020-03-18,Daily ICU occupancy,16.0,Israel
2020-03-18,Daily hospital occupancy,312.0,Israel
2020-03-18,Weekly new ICU admissions,11.0,Israel
2020-03-19,Daily hospital occupancy,300.0,Israel
2020-03-19,Weekly new ICU admissions,16.0,Israel
2020-03-19,Daily ICU occupancy,21.0,Israel
2020-03-20,Weekly new ICU admissions,19.0,Israel
2020-03-20,Daily hospital occupancy,293.0,Israel
2020-03-20,Daily ICU occupancy,23.0,Israel
2020-03-21,Weekly new ICU admissions,22.0,Israel
2020-03-21,Daily hospital occupancy,284.0,Israel
2020-03-21,Daily ICU occupancy,27.0,Israel
2020-03-22,Weekly new ICU admissions,30.0,Israel
2020-03-22,Daily hospital occupancy,333.0,Israel
2020-03-22,Daily ICU occupancy,38.0,Israel
2020-03-23,Daily ICU occupancy,44.0,Israel
2020-03-23,Daily hospital occupancy,363.0,Israel
2020-03-23,Weekly new ICU admissions,35.0,Israel
2020-03-24,Daily ICU occupancy,48.0,Israel
2020-03-24,Daily hospital occupancy,408.0,Israel
2020-03-24,Weekly new ICU admissions,41.0,Israel
2020-03-25,Daily hospital occupancy,428.0,Israel
2020-03-25,Weekly new ICU admissions,42.0,Israel
2020-03-25,Daily ICU occupancy,52.0,Israel
2020-03-26,Weekly new ICU admissions,47.0,Israel
2020-03-26,Daily hospital occupancy,484.0,Israel
2020-03-26,Daily ICU occupancy,56.0,Israel
2020-03-27,Weekly new ICU admissions,57.0,Israel
2020-03-27,Daily ICU occupancy,66.0,Israel
2020-03-27,Daily hospital occupancy,532.0,Israel
2020-03-28,Daily ICU occupancy,70.0,Israel
2020-03-28,Daily hospital occupancy,528.0,Israel
2020-03-28,Weekly new ICU admissions,58.0,Israel
2020-03-29,Weekly new ICU admissions,61.0,Israel
2020-03-29,Daily hospital occupancy,557.0,Israel
2020-03-29,Daily ICU occupancy,80.0,Israel
2020-03-30,Daily hospital occupancy,634.0,Israel
2020-03-30,Weekly new ICU admissions,67.0,Israel
2020-03-30,Daily ICU occupancy,90.0,Israel
2020-03-31,Daily hospital occupancy,683.0,Israel
2020-03-31,Weekly new ICU admissions,75.0,Israel
2020-03-31,Daily ICU occupancy,99.0,Israel
2020-04-01,Weekly new ICU admissions,91.0,Israel
2020-04-01,Daily ICU occupancy,111.0,Israel
2020-04-01,Daily hospital occupancy,773.0,Israel
2020-04-02,Daily ICU occupancy,113.0,Israel
2020-04-02,Daily hospital occupancy,818.0,Israel
2020-04-02,Weekly new ICU admissions,93.0,Israel
2020-04-03,Daily ICU occupancy,131.0,Israel
2020-04-03,Daily hospital occupancy,816.0,Israel
2020-04-03,Weekly new ICU admissions,104.0,Israel
2020-04-04,Daily ICU occupancy,140.0,Israel
2020-04-04,Weekly new ICU admissions,116.0,Israel
2020-04-04,Daily hospital occupancy,790.0,Israel
2020-04-05,Weekly new ICU admissions,108.0,Israel
2020-04-05,Daily hospital occupancy,826.0,Israel
2020-04-05,Daily ICU occupancy,135.0,Israel
2020-04-06,Weekly new ICU admissions,116.0,Israel
2020-04-06,Daily hospital occupancy,807.0,Israel
2020-04-06,Daily ICU occupancy,147.0,Israel
2020-04-07,Weekly new ICU admissions,119.0,Israel
2020-04-07,Daily hospital occupancy,749.0,Israel
2020-04-07,Daily ICU occupancy,160.0,Israel
2020-04-08,Weekly new ICU admissions,120.0,Israel
2020-04-08,Daily hospital occupancy,697.0,Israel
2020-04-08,Daily ICU occupancy,166.0,Israel
2020-04-09,Weekly new ICU admissions,127.0,Israel
2020-04-09,Daily ICU occupancy,166.0,Israel
2020-04-09,Daily hospital occupancy,671.0,Israel
2020-04-10,Daily ICU occupancy,170.0,Israel
2020-04-10,Weekly new ICU admissions,116.0,Israel
2020-04-10,Daily hospital occupancy,677.0,Israel
2020-04-11,Daily ICU occupancy,182.0,Israel
2020-04-11,Weekly new ICU admissions,125.0,Israel
2020-04-11,Daily hospital occupancy,632.0,Israel
2020-04-12,Daily ICU occupancy,177.0,Israel
2020-04-12,Weekly new ICU admissions,140.0,Israel
2020-04-12,Daily hospital occupancy,675.0,Israel
2020-04-13,Daily hospital occupancy,701.0,Israel
2020-04-13,Weekly new ICU admissions,153.0,Israel
2020-04-13,Daily ICU occupancy,192.0,Israel
2020-04-14,Daily hospital occupancy,690.0,Israel
2020-04-14,Weekly new ICU admissions,143.0,Israel
2020-04-14,Daily ICU occupancy,178.0,Israel
2020-04-15,Weekly new ICU admissions,147.0,Israel
2020-04-15,Daily ICU occupancy,179.0,Israel
2020-04-15,Daily hospital occupancy,697.0,Israel
2020-04-16,Daily ICU occupancy,182.0,Israel
2020-04-16,Weekly new ICU admissions,147.0,Israel
2020-04-16,Daily hospital occupancy,708.0,Israel
2020-04-17,Daily ICU occupancy,165.0,Israel
2020-04-17,Daily hospital occupancy,673.0,Israel
2020-04-17,Weekly new ICU admissions,147.0,Israel
2020-04-18,Daily hospital occupancy,644.0,Israel
2020-04-18,Weekly new ICU admissions,149.0,Israel
2020-04-18,Daily ICU occupancy,174.0,Israel
2020-04-19,Daily hospital occupancy,630.0,Israel
2020-04-19,Weekly new ICU admissions,136.0,Israel
2020-04-19,Daily ICU occupancy,157.0,Israel
2020-04-20,Weekly new ICU admissions,113.0,Israel
2020-04-20,Daily ICU occupancy,154.0,Israel
2020-04-20,Daily hospital occupancy,607.0,Israel
2020-04-21,Weekly new ICU admissions,113.0,Israel
2020-04-21,Daily ICU occupancy,145.0,Israel
2020-04-21,Daily hospital occupancy,553.0,Israel
2020-04-22,Daily ICU occupancy,149.0,Israel
2020-04-22,Daily hospital occupancy,530.0,Israel
2020-04-22,Weekly new ICU admissions,97.0,Israel
2020-04-23,Daily hospital occupancy,500.0,Israel
2020-04-23,Weekly new ICU admissions,89.0,Israel
2020-04-23,Daily ICU occupancy,146.0,Israel
2020-04-24,Daily hospital occupancy,469.0,Israel
2020-04-24,Weekly new ICU admissions,85.0,Israel
2020-04-24,Daily ICU occupancy,144.0,Israel
2020-04-25,Daily hospital occupancy,442.0,Israel
2020-04-25,Daily ICU occupancy,136.0,Israel
2020-04-25,Weekly new ICU admissions,64.0,Israel
2020-04-26,Daily ICU occupancy,142.0,Israel
2020-04-26,Weekly new ICU admissions,66.0,Israel
2020-04-26,Daily hospital occupancy,438.0,Israel
2020-04-27,Daily ICU occupancy,132.0,Israel
2020-04-27,Weekly new ICU admissions,58.0,Israel
2020-04-27,Daily hospital occupancy,415.0,Israel
2020-04-28,Daily ICU occupancy,127.0,Israel
2020-04-28,Weekly new ICU admissions,56.0,Israel
