date,indicator,value,entity
2020-02-26,Weekly new hospital admissions,1203.0,Italy
2020-02-27,Weekly new hospital admissions,1428.0,Italy
2020-02-28,Weekly new hospital admissions,1684.0,Italy
2020-02-29,Weekly new hospital admissions,1952.0,Italy
2020-03-01,Weekly new hospital admissions,2242.0,Italy
2020-03-02,Weekly new hospital admissions,2720.0,Italy
2020-03-03,Weekly new hospital admissions,3269.0,Italy
2020-03-04,Weekly new hospital admissions,3910.0,Italy
2020-03-05,Weekly new hospital admissions,4689.0,Italy
2020-03-06,Weekly new hospital admissions,5536.0,Italy
2020-03-07,Weekly new hospital admissions,6365.0,Italy
2020-03-08,Weekly new hospital admissions,7086.0,Italy
2020-03-09,Weekly new hospital admissions,7877.0,Italy
2020-03-10,Weekly new hospital admissions,8647.0,Italy
2020-03-11,Weekly new hospital admissions,9489.0,Italy
2020-03-12,Weekly new hospital admissions,10300.0,Italy
2020-03-13,Weekly new hospital admissions,11406.0,Italy
2020-03-14,Weekly new hospital admissions,12199.0,Italy
2020-03-15,Weekly new hospital admissions,12945.0,Italy
2020-03-16,Weekly new hospital admissions,13974.0,Italy
2020-03-17,Weekly new hospital admissions,15053.0,Italy
2020-03-18,Weekly new hospital admissions,16002.0,Italy
2020-03-19,Weekly new hospital admissions,16881.0,Italy
2020-03-20,Weekly new hospital admissions,17410.0,Italy
2020-03-21,Weekly new hospital admissions,17955.0,Italy
2020-03-22,Weekly new hospital admissions,18244.0,Italy
2020-03-23,Weekly new hospital admissions,18467.0,Italy
2020-03-24,Weekly new hospital admissions,18421.0,Italy
2020-03-25,Weekly new hospital admissions,18029.0,Italy
2020-03-26,Weekly new hospital admissions,17363.0,Italy
2020-03-27,Weekly new hospital admissions,16732.0,Italy
2020-03-28,Weekly new hospital admissions,15940.0,Italy
2020-03-29,Weekly new hospital admissions,15181.0,Italy
2020-03-30,Weekly new hospital admissions,14149.0,Italy
2020-03-31,Weekly new hospital admissions,13115.0,Italy
2020-04-01,Weekly new hospital admissions,12302.0,Italy
2020-04-02,Weekly new hospital admissions,11642.0,Italy
2020-04-03,Weekly new hospital admissions,10673.0,Italy
2020-04-04,Weekly new hospital admissions,9943.0,Italy
2020-04-05,Weekly new hospital admissions,9342.0,Italy
2020-04-06,Weekly new hospital admissions,8678.0,Italy
2020-04-07,Weekly new hospital admissions,8110.0,Italy
2020-04-08,Weekly new hospital admissions,7644.0,Italy
2020-04-09,Weekly new hospital admissions,7178.0,Italy
2020-04-10,Weekly new hospital admissions,6828.0,Italy
2020-04-11,Weekly new hospital admissions,6624.0,Italy
2020-04-12,Weekly new hospital admissions,6450.0,Italy
