entity,indicator,date,value
Latvia,Daily hospital occupancy,2020-03-30,28.0
Latvia,Daily hospital occupancy,2020-03-31,27.0
Latvia,Daily hospital occupancy,2020-04-01,28.0
Latvia,Daily hospital occupancy,2020-04-02,29.0
Latvia,Daily hospital occupancy,2020-04-03,31.0
Latvia,Daily hospital occupancy,2020-04-04,29.0
Latvia,Daily hospital occupancy,2020-04-05,36.0
Latvia,Daily hospital occupancy,2020-04-06,44.0
Latvia,Daily hospital occupancy,2020-04-07,41.0
Latvia,Daily hospital occupancy,2020-04-08,39.0
Latvia,Daily hospital occupancy,2020-04-09,38.0
Latvia,Daily hospital occupancy,2020-04-10,35.0
Latvia,Daily hospital occupancy,2020-04-11,36.0
Latvia,Daily hospital occupancy,2020-04-12,43.0
Latvia,Daily hospital occupancy,2020-04-13,44.0
Latvia,Daily hospital occupancy,2020-04-14,46.0
Latvia,Daily hospital occupancy,2020-04-15,46.0
Latvia,Daily hospital occupancy,2020-04-16,45.0
Latvia,Daily hospital occupancy,2020-04-17,42.0
Latvia,Daily hospital occupancy,2020-04-18,37.0
Latvia,Daily hospital occupancy,2020-04-19,44.0
Latvia,Daily hospital occupancy,2020-04-20,45.0
Latvia,Daily hospital occupancy,2020-04-21,43.0
Latvia,Daily hospital occupancy,2020-04-22,42.0
Latvia,Daily hospital occupancy,2020-04-23,40.0
Latvia,Daily hospital occupancy,2020-04-24,40.0
Latvia,Daily hospital occupancy,2020-04-25,39.0
Latvia,Daily hospital occupancy,2020-04-26,39.0
Latvia,Daily hospital occupancy,2020-04-27,41.0
Latvia,Daily hospital occupancy,2020-04-28,45.0
Latvia,Daily hospital occupancy,2020-04-29,42.0
Latvia,Daily hospital occupancy,2020-04-30,42.0
Latvia,Daily hospital occupancy,2020-05-01,34.0
Latvia,Daily hospital occupancy,2020-05-02,34.0
Latvia,Daily hospital occupancy,2020-05-03,33.0
Latvia,Daily hospital occupancy,2020-05-04,34.0
Latvia,Daily hospital occupancy,2020-05-05,33.0
Latvia,Daily hospital occupancy,2020-05-06,30.0
Latvia,Daily hospital occupancy,2020-05-07,29.0
Latvia,Daily hospital occupancy,2020-05-08,30.0
Latvia,Daily hospital occupancy,2020-05-09,29.0
Latvia,Daily hospital occupancy,2020-05-10,30.0
Latvia,Daily hospital occupancy,2020-05-11,30.0
Latvia,Daily hospital occupancy,2020-05-12,30.0
Latvia,Daily hospital occupancy,2020-05-13,31.0
Latvia,Daily hospital occupancy,2020-05-14,27.0
Latvia,Daily hospital occupancy,2020-05-15,28.0
Latvia,Daily hospital occupancy,2020-05-16,25.0
Latvia,Daily hospital occupancy,2020-05-17,24.0
Latvia,Daily hospital occupancy,2020-05-18,28.0
Latvia,Daily hospital occupancy,2020-05-19,27.0
Latvia,Daily hospital occupancy,2020-05-20,27.0
Latvia,Daily hospital occupancy,2020-05-21,24.0
Latvia,Daily hospital occupancy,2020-05-22,25.0
Latvia,Daily hospital occupancy,2020-05-23,24.0
Latvia,Daily hospital occupancy,2020-05-24,25.0
Latvia,Daily hospital occupancy,2020-05-25,27.0
Latvia,Daily hospital occupancy,2020-05-26,25.0
Latvia,Daily hospital occupancy,2020-05-27,25.0
Latvia,Daily hospital occupancy,2020-05-28,23.0
Latvia,Daily hospital occupancy,2020-05-29,22.0
Latvia,Daily hospital occupancy,2020-05-30,18.0
Latvia,Daily hospital occupancy,2020-05-31,18.0
Latvia,Daily hospital occupancy,2020-06-01,18.0
Latvia,Daily hospital occupancy,2020-06-02,14.0
Latvia,Daily hospital occupancy,2020-06-03,11.0
Latvia,Daily hospital occupancy,2020-06-04,10.0
Latvia,Daily hospital occupancy,2020-06-05,10.0
Latvia,Daily hospital occupancy,2020-06-06,11.0
Latvia,Daily hospital occupancy,2020-06-07,11.0
Latvia,Daily hospital occupancy,2020-06-08,11.0
Latvia,Daily hospital occupancy,2020-06-09,12.0
Latvia,Daily hospital occupancy,2020-06-10,11.0
Latvia,Daily hospital occupancy,2020-06-11,11.0
Latvia,Daily hospital occupancy,2020-06-12,10.0
Latvia,Daily hospital occupancy,2020-06-13,7.0
Latvia,Daily hospital occupancy,2020-06-14,7.0
Latvia,Daily hospital occupancy,2020-06-15,7.0
Latvia,Daily hospital occupancy,2020-06-16,8.0
Latvia,Daily hospital occupancy,2020-06-17,6.0
Latvia,Daily hospital occupancy,2020-06-18,6.0
Latvia,Daily hospital occupancy,2020-06-19,7.0
Latvia,Daily hospital occupancy,2020-06-20,9.0
Latvia,Daily hospital occupancy,2020-06-21,9.0
Latvia,Daily hospital occupancy,2020-06-22,9.0
Latvia,Daily hospital occupancy,2020-06-23,9.0
Latvia,Daily hospital occupancy,2020-06-24,8.0
Latvia,Daily hospital occupancy,2020-06-25,8.0
Latvia,Daily hospital occupancy,2020-06-26,8.0
Latvia,Daily hospital occupancy,2020-06-27,7.0
Latvia,Daily hospital occupancy,2020-06-28,7.0
Latvia,Daily hospital occupancy,2020-06-29,7.0
Latvia,Daily hospital occupancy,2020-06-30,7.0
Latvia,Daily hospital occupancy,2020-07-01,5.0
Latvia,Daily hospital occupancy,2020-07-02,4.0
Latvia,Daily hospital occupancy,2020-07-03,4.0
Latvia,Daily hospital occupancy,2020-07-04,5.0
Latvia,Daily hospital occupancy,2020-07-05,5.0
Latvia,Daily hospital occupancy,2020-07-06,5.0
Latvia,Daily hospital occupancy,2020-07-07,5.0
Latvia,Daily hospital occupancy,2020-07-08,5.0
Latvia,Daily hospital occupancy,2020-07-09,4.0
Latvia,Daily hospital occupancy,2020-07-10,3.0
Latvia,Daily hospital occupancy,2020-07-11,3.0
Latvia,Daily hospital occupancy,2020-07-12,3.0
Latvia,Daily hospital occupancy,2020-07-13,4.0
Latvia,Daily hospital occupancy,2020-07-14,3.0
Latvia,Daily hospital occupancy,2020-07-15,3.0
Latvia,Daily hospital occupancy,2020-07-16,3.0
Latvia,Daily hospital occupancy,2020-07-17,2.0
Latvia,Daily hospital occupancy,2020-07-18,3.0
Latvia,Daily hospital occupancy,2020-07-19,3.0
Latvia,Daily hospital occupancy,2020-07-20,3.0
Latvia,Daily hospital occupancy,2020-07-21,2.0
Latvia,Daily hospital occupancy,2020-07-22,2.0
Latvia,Daily hospital occupancy,2020-07-23,2.0
Latvia,Daily hospital occupancy,2020-07-24,3.0
Latvia,Daily hospital occupancy,2020-07-25,3.0
Latvia,Daily hospital occupancy,2020-07-26,2.0
Latvia,Daily hospital occupancy,2020-07-27,2.0
Latvia,Daily hospital occupancy,2020-07-28,2.0
Latvia,Daily hospital occupancy,2020-07-29,3.0
Latvia,Daily hospital occupancy,2020-07-30,5.0
Latvia,Daily hospital occupancy,2020-07-31,4.0
Latvia,Daily hospital occupancy,2020-08-01,4.0
Latvia,Daily hospital occupancy,2020-08-02,4.0
Latvia,Daily hospital occupancy,2020-08-03,6.0
Latvia,Daily hospital occupancy,2020-08-04,6.0
Latvia,Daily hospital occupancy,2020-08-05,6.0
Latvia,Daily hospital occupancy,2020-08-06,6.0
Latvia,Daily hospital occupancy,2020-08-07,5.0
Latvia,Daily hospital occupancy,2020-08-08,7.0
Latvia,Daily hospital occupancy,2020-08-09,7.0
Latvia,Daily hospital occupancy,2020-08-10,8.0
Latvia,Daily hospital occupancy,2020-08-11,6.0
Latvia,Daily hospital occupancy,2020-08-12,6.0
Latvia,Daily hospital occupancy,2020-08-13,3.0
Latvia,Daily hospital occupancy,2020-08-14,3.0
Latvia,Daily hospital occupancy,2020-08-15,4.0
Latvia,Daily hospital occupancy,2020-08-16,4.0
Latvia,Daily hospital occupancy,2020-08-17,5.0
Latvia,Daily hospital occupancy,2020-08-18,5.0
Latvia,Daily hospital occupancy,2020-08-19,4.0
Latvia,Daily hospital occupancy,2020-08-20,2.0
Latvia,Daily hospital occupancy,2020-08-21,3.0
Latvia,Daily hospital occupancy,2020-08-22,3.0
Latvia,Daily hospital occupancy,2020-08-23,4.0
Latvia,Daily hospital occupancy,2020-08-24,5.0
Latvia,Daily hospital occupancy,2020-08-25,4.0
Latvia,Daily hospital occupancy,2020-08-26,3.0
Latvia,Daily hospital occupancy,2020-08-27,3.0
Latvia,Daily hospital occupancy,2020-08-28,3.0
Latvia,Daily hospital occupancy,2020-08-29,3.0
Latvia,Daily hospital occupancy,2020-08-30,3.0
Latvia,Daily hospital occupancy,2020-08-31,4.0
Latvia,Daily hospital occupancy,2020-09-01,4.0
Latvia,Daily hospital occupancy,2020-09-02,4.0
Latvia,Daily hospital occupancy,2020-09-03,5.0
Latvia,Daily hospital occupancy,2020-09-04,6.0
Latvia,Daily hospital occupancy,2020-09-05,7.0
Latvia,Daily hospital occupancy,2020-09-06,7.0
Latvia,Daily hospital occupancy,2020-09-07,9.0
Latvia,Daily hospital occupancy,2020-09-08,9.0
Latvia,Daily hospital occupancy,2020-09-09,9.0
Latvia,Daily hospital occupancy,2020-09-10,9.0
Latvia,Daily hospital occupancy,2020-09-11,10.0
Latvia,Daily hospital occupancy,2020-09-12,9.0
Latvia,Daily hospital occupancy,2020-09-13,10.0
Latvia,Daily hospital occupancy,2020-09-14,11.0
Latvia,Daily hospital occupancy,2020-09-15,10.0
Latvia,Daily hospital occupancy,2020-09-16,7.0
Latvia,Daily hospital occupancy,2020-09-17,7.0
Latvia,Daily hospital occupancy,2020-09-18,7.0
Latvia,Daily hospital occupancy,2020-09-19,8.0
Latvia,Daily hospital occupancy,2020-09-20,12.0
Latvia,Daily hospital occupancy,2020-09-21,12.0
Latvia,Daily hospital occupancy,2020-09-22,10.0
Latvia,Daily hospital occupancy,2020-09-23,9.0
Latvia,Daily hospital occupancy,2020-09-24,7.0
Latvia,Daily hospital occupancy,2020-09-25,9.0
Latvia,Daily hospital occupancy,2020-09-26,5.0
Latvia,Daily hospital occupancy,2020-09-27,7.0
Latvia,Daily hospital occupancy,2020-09-28,11.0
Latvia,Daily hospital occupancy,2020-09-29,16.0
Latvia,Daily hospital occupancy,2020-09-30,18.0
Latvia,Daily hospital occupancy,2020-10-01,19.0
Latvia,Daily hospital occupancy,2020-10-02,19.0
