entity,indicator,date,value
Luxembourg,Daily hospital occupancy,2020-03-16,0.0
Luxembourg,Daily hospital occupancy,2020-03-17,0.0
Luxembourg,Daily hospital occupancy,2020-03-18,0.0
Luxembourg,Daily hospital occupancy,2020-03-19,1.0
Luxembourg,Daily hospital occupancy,2020-03-20,21.0
Luxembourg,Daily hospital occupancy,2020-03-21,62.0
Luxembourg,Daily hospital occupancy,2020-03-22,65.0
Luxembourg,Daily hospital occupancy,2020-03-23,73.0
Luxembourg,Daily hospital occupancy,2020-03-24,99.0
Luxembourg,Daily hospital occupancy,2020-03-25,142.0
Luxembourg,Daily hospital occupancy,2020-03-26,140.0
Luxembourg,Daily hospital occupancy,2020-03-27,148.0
Luxembourg,Daily hospital occupancy,2020-03-28,175.0
Luxembourg,Daily hospital occupancy,2020-03-29,181.0
Luxembourg,Daily hospital occupancy,2020-03-30,174.0
Luxembourg,Daily hospital occupancy,2020-03-31,179.0
Luxembourg,Daily hospital occupancy,2020-04-01,181.0
Luxembourg,Daily hospital occupancy,2020-04-02,201.0
Luxembourg,Daily hospital occupancy,2020-04-03,202.0
Luxembourg,Daily hospital occupancy,2020-04-04,206.0
Luxembourg,Daily hospital occupancy,2020-04-05,193.0
Luxembourg,Daily hospital occupancy,2020-04-06,191.0
Luxembourg,Daily hospital occupancy,2020-04-07,190.0
Luxembourg,Daily hospital occupancy,2020-04-08,201.0
Luxembourg,Daily hospital occupancy,2020-04-09,192.0
Luxembourg,Daily hospital occupancy,2020-04-10,193.0
Luxembourg,Daily hospital occupancy,2020-04-11,180.0
Luxembourg,Daily hospital occupancy,2020-04-12,192.0
Luxembourg,Daily hospital occupancy,2020-04-13,172.0
Luxembourg,Daily hospital occupancy,2020-04-14,174.0
Luxembourg,Daily hospital occupancy,2020-04-15,159.0
Luxembourg,Daily hospital occupancy,2020-04-16,170.0
Luxembourg,Daily hospital occupancy,2020-04-17,154.0
Luxembourg,Daily hospital occupancy,2020-04-18,167.0
Luxembourg,Daily hospital occupancy,2020-04-19,162.0
Luxembourg,Daily hospital occupancy,2020-04-20,161.0
Luxembourg,Daily hospital occupancy,2020-04-21,157.0
Luxembourg,Daily hospital occupancy,2020-04-22,153.0
Luxembourg,Daily hospital occupancy,2020-04-23,136.0
Luxembourg,Daily hospital occupancy,2020-04-24,134.0
Luxembourg,Daily hospital occupancy,2020-04-25,121.0
Luxembourg,Daily hospital occupancy,2020-04-26,120.0
Luxembourg,Daily hospital occupancy,2020-04-27,109.0
Luxembourg,Daily hospital occupancy,2020-04-28,114.0
Luxembourg,Daily hospital occupancy,2020-04-29,102.0
Luxembourg,Daily hospital occupancy,2020-04-30,91.0
Luxembourg,Daily hospital occupancy,2020-05-01,104.0
Luxembourg,Daily hospital occupancy,2020-05-02,98.0
Luxembourg,Daily hospital occupancy,2020-05-03,96.0
Luxembourg,Daily hospital occupancy,2020-05-04,93.0
Luxembourg,Daily hospital occupancy,2020-05-05,101.0
Luxembourg,Daily hospital occupancy,2020-05-06,96.0
Luxembourg,Daily hospital occupancy,2020-05-07,83.0
Luxembourg,Daily hospital occupancy,2020-05-08,90.0
Luxembourg,Daily hospital occupancy,2020-05-09,82.0
Luxembourg,Daily hospital occupancy,2020-05-10,77.0
Luxembourg,Daily hospital occupancy,2020-05-11,78.0
Luxembourg,Daily hospital occupancy,2020-05-12,79.0
Luxembourg,Daily hospital occupancy,2020-05-13,70.0
Luxembourg,Daily hospital occupancy,2020-05-14,74.0
Luxembourg,Daily hospital occupancy,2020-05-15,65.0
Luxembourg,Daily hospital occupancy,2020-05-16,55.0
Luxembourg,Daily hospital occupancy,2020-05-17,46.0
Luxembourg,Daily hospital occupancy,2020-05-18,52.0
Luxembourg,Daily hospital occupancy,2020-05-19,49.0
Luxembourg,Daily hospital occupancy,2020-05-20,54.0
Luxembourg,Daily hospital occupancy,2020-05-21,41.0
Luxembourg,Daily hospital occupancy,2020-05-22,45.0
Luxembourg,Daily hospital occupancy,2020-05-23,34.0
Luxembourg,Daily hospital occupancy,2020-05-24,32.0
Luxembourg,Daily hospital occupancy,2020-05-25,35.0
Luxembourg,Daily hospital occupancy,2020-05-26,42.0
Luxembourg,Daily hospital occupancy,2020-05-27,33.0
Luxembourg,Daily hospital occupancy,2020-05-28,29.0
Luxembourg,Daily hospital occupancy,2020-05-29,28.0
Luxembourg,Daily hospital occupancy,2020-05-30,26.0
Luxembourg,Daily hospital occupancy,2020-05-31,28.0
Luxembourg,Daily hospital occupancy,2020-06-01,25.0
Luxembourg,Daily hospital occupancy,2020-06-02,22.0
Luxembourg,Daily hospital occupancy,2020-06-03,21.0
Luxembourg,Daily hospital occupancy,2020-06-04,19.0
Luxembourg,Daily hospital occupancy,2020-06-05,19.0
Luxembourg,Daily hospital occupancy,2020-06-06,13.0
Luxembourg,Daily hospital occupancy,2020-06-07,18.0
Luxembourg,Daily hospital occupancy,2020-06-08,20.0
Luxembourg,Daily hospital occupancy,2020-06-09,17.0
Luxembourg,Daily hospital occupancy,2020-06-10,17.0
Luxembourg,Daily hospital occupancy,2020-06-11,15.0
Luxembourg,Daily hospital occupancy,2020-06-12,16.0
Luxembourg,Daily hospital occupancy,2020-06-13,13.0
Luxembourg,Daily hospital occupancy,2020-06-14,11.0
Luxembourg,Daily hospital occupancy,2020-06-15,15.0
Luxembourg,Daily hospital occupancy,2020-06-16,15.0
Luxembourg,Daily hospital occupancy,2020-06-17,12.0
Luxembourg,Daily hospital occupancy,2020-06-18,14.0
Luxembourg,Daily hospital occupancy,2020-06-19,12.0
Luxembourg,Daily hospital occupancy,2020-06-20,13.0
Luxembourg,Daily hospital occupancy,2020-06-21,16.0
Luxembourg,Daily hospital occupancy,2020-06-22,15.0
Luxembourg,Daily hospital occupancy,2020-06-23,11.0
Luxembourg,Daily hospital occupancy,2020-06-24,13.0
Luxembourg,Daily hospital occupancy,2020-06-25,13.0
Luxembourg,Daily hospital occupancy,2020-06-26,9.0
Luxembourg,Daily hospital occupancy,2020-06-27,13.0
Luxembourg,Daily hospital occupancy,2020-06-28,11.0
Luxembourg,Daily hospital occupancy,2020-06-29,16.0
Luxembourg,Daily hospital occupancy,2020-06-30,18.0
Luxembourg,Daily hospital occupancy,2020-07-01,16.0
Luxembourg,Daily hospital occupancy,2020-07-02,22.0
