date,indicator,value,entity
2020-03-24,Daily hospital occupancy,1019,Malaysia
2020-03-25,Daily hospital occupancy,1229,Malaysia
2020-03-26,Daily hospital occupancy,1347,Malaysia
2020-03-27,Daily hospital occupancy,1422,Malaysia
2020-03-28,Daily hospital occupancy,1491,Malaysia
2020-03-29,Daily hospital occupancy,1540,Malaysia
2020-03-30,Daily hospital occupancy,1608,Malaysia
2020-03-31,Daily hospital occupancy,1589,Malaysia
2020-04-01,Daily hospital occupancy,1705,Malaysia
2020-04-02,Daily hospital occupancy,1672,Malaysia
2020-04-03,Daily hospital occupancy,1721,Malaysia
2020-04-04,Daily hospital occupancy,1730,Malaysia
2020-04-05,Daily hospital occupancy,1686,Malaysia
2020-04-06,Daily hospital occupancy,1682,Malaysia
2020-04-07,Daily hospital occupancy,1581,Malaysia
2020-04-08,Daily hospital occupancy,1494,Malaysia
2020-04-09,Daily hospital occupancy,1458,Malaysia
2020-04-10,Daily hospital occupancy,1302,Malaysia
2020-04-11,Daily hospital occupancy,1372,Malaysia
2020-04-12,Daily hospital occupancy,1362,Malaysia
2020-04-13,Daily hospital occupancy,1311,Malaysia
2020-04-14,Daily hospital occupancy,1260,Malaysia
2020-04-15,Daily hospital occupancy,1243,Malaysia
2020-04-16,Daily hospital occupancy,1226,Malaysia
2020-04-17,Daily hospital occupancy,1225,Malaysia
2020-04-18,Daily hospital occupancy,1194,Malaysia
2020-04-19,Daily hospital occupancy,1183,Malaysia
2020-04-20,Daily hospital occupancy,1142,Malaysia
2020-04-21,Daily hospital occupancy,1091,Malaysia
2020-04-22,Daily hospital occupancy,1044,Malaysia
2020-04-23,Daily hospital occupancy,998,Malaysia
2020-04-24,Daily hospital occupancy,984,Malaysia
2020-04-25,Daily hospital occupancy,965,Malaysia
2020-04-26,Daily hospital occupancy,944,Malaysia
2020-04-27,Daily hospital occupancy,912,Malaysia
2020-04-28,Daily hospital occupancy,865,Malaysia
2020-04-29,Daily hospital occupancy,782,Malaysia
2020-04-30,Daily hospital occupancy,758,Malaysia
2020-05-01,Daily hospital occupancy,732,Malaysia
2020-05-02,Daily hospital occupancy,747,Malaysia
2020-05-03,Daily hospital occupancy,787,Malaysia
2020-05-04,Daily hospital occupancy,772,Malaysia
2020-05-05,Daily hospital occupancy,696,Malaysia
2020-05-06,Daily hospital occupancy,648,Malaysia
2020-05-07,Daily hospital occupancy,623,Malaysia
2020-05-08,Daily hospital occupancy,617,Malaysia
2020-05-09,Daily hospital occupancy,600,Malaysia
2020-05-10,Daily hospital occupancy,601,Malaysia
2020-05-11,Daily hospital occupancy,621,Malaysia
2020-05-12,Daily hospital occupancy,609,Malaysia
2020-05-13,Daily hospital occupancy,548,Malaysia
2020-05-14,Daily hospital occupancy,541,Malaysia
2020-05-15,Daily hospital occupancy,533,Malaysia
2020-05-16,Daily hospital occupancy,485,Malaysia
2020-05-17,Daily hospital occupancy,475,Malaysia
2020-05-18,Daily hospital occupancy,457,Malaysia
2020-05-19,Daily hospital occupancy,445,Malaysia
2020-05-20,Daily hospital occupancy,447,Malaysia
2020-05-21,Daily hospital occupancy,413,Malaysia
2020-05-22,Daily hospital occupancy,408,Malaysia
2020-05-23,Daily hospital occupancy,379,Malaysia
2020-05-24,Daily hospital occupancy,389,Malaysia
2020-05-25,Daily hospital occupancy,404,Malaysia
2020-05-26,Daily hospital occupancy,414,Malaysia
2020-05-27,Daily hospital occupancy,393,Malaysia
2020-05-28,Daily hospital occupancy,300,Malaysia
2020-05-29,Daily hospital occupancy,265,Malaysia
2020-05-30,Daily hospital occupancy,325,Malaysia
2020-05-31,Daily hospital occupancy,310,Malaysia
2020-06-01,Daily hospital occupancy,337,Malaysia
2020-06-02,Daily hospital occupancy,320,Malaysia
2020-06-03,Daily hospital occupancy,282,Malaysia
2020-06-04,Daily hospital occupancy,303,Malaysia
2020-06-05,Daily hospital occupancy,322,Malaysia
2020-06-06,Daily hospital occupancy,314,Malaysia
2020-06-07,Daily hospital occupancy,312,Malaysia
2020-06-08,Daily hospital occupancy,315,Malaysia
2020-06-09,Daily hospital occupancy,309,Malaysia
2020-06-10,Daily hospital occupancy,256,Malaysia
2020-06-11,Daily hospital occupancy,226,Malaysia
2020-06-12,Daily hospital occupancy,214,Malaysia
2020-06-13,Daily hospital occupancy,211,Malaysia
2020-06-14,Daily hospital occupancy,222,Malaysia
2020-06-15,Daily hospital occupancy,227,Malaysia
2020-06-16,Daily hospital occupancy,240,Malaysia
2020-06-17,Daily hospital occupancy,227,Malaysia
2020-06-18,Daily hospital occupancy,217,Malaysia
2020-06-19,Daily hospital occupancy,208,Malaysia
2020-06-20,Daily hospital occupancy,197,Malaysia
2020-06-21,Daily hospital occupancy,191,Malaysia
2020-06-22,Daily hospital occupancy,195,Malaysia
2020-06-23,Daily hospital occupancy,187,Malaysia
2020-06-24,Daily hospital occupancy,174,Malaysia
2020-06-25,Daily hospital occupancy,140,Malaysia
2020-06-26,Daily hospital occupancy,121,Malaysia
2020-06-27,Daily hospital occupancy,116,Malaysia
2020-06-28,Daily hospital occupancy,120,Malaysia
2020-06-29,Daily hospital occupancy,108,Malaysia
2020-06-30,Daily hospital occupancy,91,Malaysia
2020-07-01,Daily hospital occupancy,73,Malaysia
2020-07-02,Daily hospital occupancy,66,Malaysia
2020-07-03,Daily hospital occupancy,70,Malaysia
2020-07-04,Daily hospital occupancy,51,Malaysia
2020-07-05,Daily hospital occupancy,58,Malaysia
2020-07-06,Daily hospital occupancy,50,Malaysia
2020-07-07,Daily hospital occupancy,48,Malaysia
2020-07-08,Daily hospital occupancy,46,Malaysia
2020-07-09,Daily hospital occupancy,47,Malaysia
2020-07-10,Daily hospital occupancy,40,Malaysia
2020-07-11,Daily hospital occupancy,39,Malaysia
2020-07-12,Daily hospital occupancy,46,Malaysia
2020-07-13,Daily hospital occupancy,50,Malaysia
2020-07-14,Daily hospital occupancy,55,Malaysia
2020-07-15,Daily hospital occupancy,56,Malaysia
2020-07-16,Daily hospital occupancy,59,Malaysia
2020-07-17,Daily hospital occupancy,58,Malaysia
2020-07-18,Daily hospital occupancy,67,Malaysia
2020-07-19,Daily hospital occupancy,65,Malaysia
2020-07-20,Daily hospital occupancy,64,Malaysia
2020-07-21,Daily hospital occupancy,84,Malaysia
2020-07-22,Daily hospital occupancy,73,Malaysia
2020-07-23,Daily hospital occupancy,76,Malaysia
2020-07-24,Daily hospital occupancy,75,Malaysia
2020-07-25,Daily hospital occupancy,73,Malaysia
2020-07-26,Daily hospital occupancy,89,Malaysia
2020-07-27,Daily hospital occupancy,58,Malaysia
2020-07-28,Daily hospital occupancy,102,Malaysia
2020-07-29,Daily hospital occupancy,109,Malaysia
2020-07-30,Daily hospital occupancy,109,Malaysia
2020-07-31,Daily hospital occupancy,102,Malaysia
2020-08-01,Daily hospital occupancy,105,Malaysia
2020-08-02,Daily hospital occupancy,114,Malaysia
2020-08-03,Daily hospital occupancy,113,Malaysia
2020-08-04,Daily hospital occupancy,107,Malaysia
2020-08-05,Daily hospital occupancy,109,Malaysia
2020-08-06,Daily hospital occupancy,106,Malaysia
2020-08-07,Daily hospital occupancy,97,Malaysia
2020-08-08,Daily hospital occupancy,103,Malaysia
2020-08-09,Daily hospital occupancy,103,Malaysia
2020-08-10,Daily hospital occupancy,83,Malaysia
2020-08-11,Daily hospital occupancy,88,Malaysia
2020-08-12,Daily hospital occupancy,96,Malaysia
2020-08-13,Daily hospital occupancy,101,Malaysia
2020-08-14,Daily hospital occupancy,115,Malaysia
2020-08-15,Daily hospital occupancy,135,Malaysia
2020-08-16,Daily hospital occupancy,135,Malaysia
2020-08-17,Daily hospital occupancy,135,Malaysia
2020-08-18,Daily hospital occupancy,130,Malaysia
2020-08-19,Daily hospital occupancy,140,Malaysia
