entity,indicator,date,value
Malta,Daily hospital occupancy,2020-03-05,0.0
Malta,Daily hospital occupancy,2020-03-06,0.0
Malta,Daily hospital occupancy,2020-03-07,0.0
Malta,Daily hospital occupancy,2020-03-08,0.0
Malta,Daily hospital occupancy,2020-03-09,0.0
Malta,Daily hospital occupancy,2020-03-10,0.0
Malta,Daily hospital occupancy,2020-03-11,0.0
Malta,Daily hospital occupancy,2020-03-12,0.0
Malta,Daily hospital occupancy,2020-03-13,0.0
Malta,Daily hospital occupancy,2020-03-14,0.0
Malta,Daily hospital occupancy,2020-03-15,0.0
Malta,Daily hospital occupancy,2020-03-16,3.0
Malta,Daily hospital occupancy,2020-03-17,4.0
Malta,Daily hospital occupancy,2020-03-18,4.0
Malta,Daily hospital occupancy,2020-03-19,6.0
Malta,Daily hospital occupancy,2020-03-20,9.0
Malta,Daily hospital occupancy,2020-03-21,10.0
Malta,Daily hospital occupancy,2020-03-22,11.0
Malta,Daily hospital occupancy,2020-03-23,10.0
Malta,Daily hospital occupancy,2020-03-24,11.0
Malta,Daily hospital occupancy,2020-03-25,11.0
Malta,Daily hospital occupancy,2020-03-26,10.0
Malta,Daily hospital occupancy,2020-03-27,11.0
Malta,Daily hospital occupancy,2020-03-28,10.0
Malta,Daily hospital occupancy,2020-03-29,8.0
Malta,Daily hospital occupancy,2020-03-30,6.0
Malta,Daily hospital occupancy,2020-03-31,9.0
Malta,Daily hospital occupancy,2020-04-01,9.0
Malta,Daily hospital occupancy,2020-04-02,8.0
Malta,Daily hospital occupancy,2020-04-03,9.0
Malta,Daily hospital occupancy,2020-04-04,9.0
Malta,Daily hospital occupancy,2020-04-05,8.0
Malta,Daily hospital occupancy,2020-04-06,5.0
Malta,Daily hospital occupancy,2020-04-07,9.0
Malta,Daily hospital occupancy,2020-04-08,9.0
Malta,Daily hospital occupancy,2020-04-09,8.0
Malta,Daily hospital occupancy,2020-04-10,7.0
Malta,Daily hospital occupancy,2020-04-11,8.0
Malta,Daily hospital occupancy,2020-04-12,7.0
Malta,Daily hospital occupancy,2020-04-13,8.0
Malta,Daily hospital occupancy,2020-04-14,9.0
Malta,Daily hospital occupancy,2020-04-15,8.0
Malta,Daily hospital occupancy,2020-04-16,5.0
Malta,Daily hospital occupancy,2020-04-17,5.0
Malta,Daily hospital occupancy,2020-04-18,5.0
Malta,Daily hospital occupancy,2020-04-19,4.0
Malta,Daily hospital occupancy,2020-04-20,4.0
Malta,Daily hospital occupancy,2020-04-21,6.0
Malta,Daily hospital occupancy,2020-04-22,6.0
Malta,Daily hospital occupancy,2020-04-23,7.0
Malta,Daily hospital occupancy,2020-04-24,7.0
Malta,Daily hospital occupancy,2020-04-25,6.0
Malta,Daily hospital occupancy,2020-04-26,6.0
Malta,Daily hospital occupancy,2020-04-27,7.0
Malta,Daily hospital occupancy,2020-04-28,5.0
Malta,Daily hospital occupancy,2020-04-29,4.0
Malta,Daily hospital occupancy,2020-04-30,4.0
Malta,Daily hospital occupancy,2020-05-01,1.0
Malta,Daily hospital occupancy,2020-05-02,2.0
Malta,Daily hospital occupancy,2020-05-03,2.0
Malta,Daily hospital occupancy,2020-05-04,2.0
Malta,Daily hospital occupancy,2020-05-05,2.0
Malta,Daily hospital occupancy,2020-05-06,2.0
Malta,Daily hospital occupancy,2020-05-07,2.0
Malta,Daily hospital occupancy,2020-05-08,2.0
Malta,Daily hospital occupancy,2020-05-11,1.0
Malta,Daily hospital occupancy,2020-05-13,0.0
Malta,Daily hospital occupancy,2020-05-14,1.0
Malta,Daily hospital occupancy,2020-05-15,1.0
Malta,Daily hospital occupancy,2020-05-18,1.0
Malta,Daily hospital occupancy,2020-05-22,6.0
Malta,Daily hospital occupancy,2020-05-23,5.0
Malta,Daily hospital occupancy,2020-05-24,4.0
Malta,Daily hospital occupancy,2020-05-25,4.0
Malta,Daily hospital occupancy,2020-05-26,5.0
Malta,Daily hospital occupancy,2020-05-27,6.0
Malta,Daily hospital occupancy,2020-05-28,6.0
Malta,Daily hospital occupancy,2020-05-29,6.0
Malta,Daily hospital occupancy,2020-05-30,4.0
Malta,Daily hospital occupancy,2020-05-31,3.0
Malta,Daily hospital occupancy,2020-06-01,3.0
Malta,Daily hospital occupancy,2020-06-02,2.0
Malta,Daily hospital occupancy,2020-06-03,4.0
Malta,Daily hospital occupancy,2020-06-04,3.0
Malta,Daily hospital occupancy,2020-06-05,2.0
Malta,Daily hospital occupancy,2020-06-06,3.0
Malta,Daily hospital occupancy,2020-06-07,5.0
Malta,Daily hospital occupancy,2020-06-08,3.0
Malta,Daily hospital occupancy,2020-06-09,2.0
Malta,Daily hospital occupancy,2020-06-10,4.0
Malta,Daily hospital occupancy,2020-06-11,3.0
Malta,Daily hospital occupancy,2020-06-12,2.0
Malta,Daily hospital occupancy,2020-06-13,1.0
Malta,Daily hospital occupancy,2020-06-14,1.0
Malta,Daily hospital occupancy,2020-06-15,2.0
Malta,Daily hospital occupancy,2020-06-16,0.0
Malta,Daily hospital occupancy,2020-06-17,1.0
Malta,Daily hospital occupancy,2020-06-18,0.0
Malta,Daily hospital occupancy,2020-06-19,1.0
Malta,Daily hospital occupancy,2020-06-20,1.0
Malta,Daily hospital occupancy,2020-06-21,1.0
Malta,Daily hospital occupancy,2020-06-22,1.0
Malta,Daily hospital occupancy,2020-06-23,1.0
Malta,Daily hospital occupancy,2020-06-24,1.0
