date,indicator,value,entity
2020-02-27,Daily ICU occupancy,7.0,Netherlands
2020-02-28,Daily ICU occupancy,8.0,Netherlands
2020-02-29,Daily ICU occupancy,9.0,Netherlands
2020-03-01,Daily ICU occupancy,11.0,Netherlands
2020-03-02,Daily ICU occupancy,10.0,Netherlands
2020-03-03,Daily ICU occupancy,12.0,Netherlands
2020-03-04,Daily ICU occupancy,15.0,Netherlands
2020-03-05,Daily ICU occupancy,15.0,Netherlands
2020-03-06,Daily ICU occupancy,19.0,Netherlands
2020-03-07,Daily ICU occupancy,21.0,Netherlands
2020-03-08,Daily ICU occupancy,27.0,Netherlands
2020-03-09,Daily ICU occupancy,32.0,Netherlands
2020-03-10,Daily ICU occupancy,39.0,Netherlands
2020-03-11,Daily ICU occupancy,48.0,Netherlands
2020-03-12,Daily ICU occupancy,68.0,Netherlands
2020-03-13,Daily ICU occupancy,79.0,Netherlands
2020-03-14,Daily ICU occupancy,96.0,Netherlands
2020-03-15,Daily ICU occupancy,120.0,Netherlands
2020-03-16,Daily ICU occupancy,150.0,Netherlands
2020-03-17,Daily ICU occupancy,179.0,Netherlands
2020-03-18,Daily ICU occupancy,228.0,Netherlands
2020-03-19,Daily ICU occupancy,287.0,Netherlands
2020-03-20,Daily ICU occupancy,362.0,Netherlands
2020-03-21,Daily ICU occupancy,430.0,Netherlands
2020-03-22,Daily ICU occupancy,480.0,Netherlands
2020-03-23,Daily ICU occupancy,573.0,Netherlands
2020-03-24,Daily ICU occupancy,653.0,Netherlands
2020-03-25,Daily ICU occupancy,752.0,Netherlands
2020-03-26,Daily ICU occupancy,838.0,Netherlands
2020-03-27,Daily ICU occupancy,927.0,Netherlands
2020-03-28,Daily ICU occupancy,992.0,Netherlands
2020-03-29,Daily ICU occupancy,1038.0,Netherlands
2020-03-30,Daily ICU occupancy,1126.0,Netherlands
2020-03-31,Daily ICU occupancy,1191.0,Netherlands
2020-04-01,Daily ICU occupancy,1208.0,Netherlands
2020-04-02,Daily ICU occupancy,1249.0,Netherlands
2020-04-03,Daily ICU occupancy,1276.0,Netherlands
2020-04-04,Daily ICU occupancy,1360.0,Netherlands
2020-04-05,Daily ICU occupancy,1385.0,Netherlands
2020-04-06,Daily ICU occupancy,1409.0,Netherlands
2020-04-07,Daily ICU occupancy,1424.0,Netherlands
2020-04-08,Daily ICU occupancy,1408.0,Netherlands
2020-04-09,Daily ICU occupancy,1417.0,Netherlands
2020-04-10,Daily ICU occupancy,1384.0,Netherlands
2020-04-11,Daily ICU occupancy,1391.0,Netherlands
2020-04-12,Daily ICU occupancy,1358.0,Netherlands
2020-04-13,Daily ICU occupancy,1338.0,Netherlands
2020-04-14,Daily ICU occupancy,1303.0,Netherlands
2020-04-15,Daily ICU occupancy,1279.0,Netherlands
2020-04-16,Daily ICU occupancy,1258.0,Netherlands
2020-04-17,Daily ICU occupancy,1235.0,Netherlands
