entity,indicator,date,value
Portugal,Daily hospital occupancy,2020-02-26,0.0
Portugal,Daily hospital occupancy,2020-02-27,0.0
Portugal,Daily hospital occupancy,2020-02-28,0.0
Portugal,Daily hospital occupancy,2020-02-29,0.0
Portugal,Daily hospital occupancy,2020-03-01,0.0
Portugal,Daily hospital occupancy,2020-03-02,0.0
Portugal,Daily hospital occupancy,2020-03-03,0.0
Portugal,Daily hospital occupancy,2020-03-04,0.0
Portugal,Daily hospital occupancy,2020-03-05,9.0
Portugal,Daily hospital occupancy,2020-03-06,13.0
Portugal,Daily hospital occupancy,2020-03-07,21.0
Portugal,Daily hospital occupancy,2020-03-08,30.0
Portugal,Daily hospital occupancy,2020-03-09,38.0
Portugal,Daily hospital occupancy,2020-03-10,40.0
Portugal,Daily hospital occupancy,2020-03-11,57.0
Portugal,Daily hospital occupancy,2020-03-12,69.0
Portugal,Daily hospital occupancy,2020-03-13,107.0
Portugal,Daily hospital occupancy,2020-03-14,114.0
Portugal,Daily hospital occupancy,2020-03-15,139.0
Portugal,Daily hospital occupancy,2020-03-16,139.0
Portugal,Daily hospital occupancy,2020-03-17,206.0
Portugal,Daily hospital occupancy,2020-03-18,89.0
Portugal,Daily hospital occupancy,2020-03-19,89.0
Portugal,Daily hospital occupancy,2020-03-20,126.0
Portugal,Daily hospital occupancy,2020-03-21,156.0
Portugal,Daily hospital occupancy,2020-03-22,169.0
Portugal,Daily hospital occupancy,2020-03-23,201.0
Portugal,Daily hospital occupancy,2020-03-24,203.0
Portugal,Daily hospital occupancy,2020-03-25,276.0
Portugal,Daily hospital occupancy,2020-03-26,191.0
Portugal,Daily hospital occupancy,2020-03-27,354.0
Portugal,Daily hospital occupancy,2020-03-28,418.0
Portugal,Daily hospital occupancy,2020-03-29,486.0
Portugal,Daily hospital occupancy,2020-03-30,571.0
Portugal,Daily hospital occupancy,2020-03-31,627.0
Portugal,Daily hospital occupancy,2020-04-01,726.0
Portugal,Daily hospital occupancy,2020-04-02,1042.0
Portugal,Daily hospital occupancy,2020-04-03,1058.0
Portugal,Daily hospital occupancy,2020-04-04,1075.0
Portugal,Daily hospital occupancy,2020-04-05,1084.0
Portugal,Daily hospital occupancy,2020-04-06,1099.0
Portugal,Daily hospital occupancy,2020-04-07,1180.0
Portugal,Daily hospital occupancy,2020-04-08,1211.0
Portugal,Daily hospital occupancy,2020-04-09,1173.0
Portugal,Daily hospital occupancy,2020-04-10,1179.0
Portugal,Daily hospital occupancy,2020-04-11,1175.0
Portugal,Daily hospital occupancy,2020-04-12,1177.0
Portugal,Daily hospital occupancy,2020-04-13,1187.0
Portugal,Daily hospital occupancy,2020-04-14,1227.0
Portugal,Daily hospital occupancy,2020-04-15,1200.0
Portugal,Daily hospital occupancy,2020-04-16,1302.0
Portugal,Daily hospital occupancy,2020-04-17,1284.0
Portugal,Daily hospital occupancy,2020-04-18,1253.0
Portugal,Daily hospital occupancy,2020-04-19,1243.0
Portugal,Daily hospital occupancy,2020-04-20,1208.0
Portugal,Daily hospital occupancy,2020-04-21,1172.0
Portugal,Daily hospital occupancy,2020-04-22,1146.0
Portugal,Daily hospital occupancy,2020-04-23,1095.0
Portugal,Daily hospital occupancy,2020-04-24,1068.0
Portugal,Daily hospital occupancy,2020-04-25,1040.0
Portugal,Daily hospital occupancy,2020-04-26,1005.0
Portugal,Daily hospital occupancy,2020-04-27,995.0
Portugal,Daily hospital occupancy,2020-04-28,936.0
Portugal,Daily hospital occupancy,2020-04-29,980.0
Portugal,Daily hospital occupancy,2020-04-30,968.0
Portugal,Daily hospital occupancy,2020-05-01,892.0
Portugal,Daily hospital occupancy,2020-05-02,855.0
Portugal,Daily hospital occupancy,2020-05-03,856.0
Portugal,Daily hospital occupancy,2020-05-04,813.0
Portugal,Daily hospital occupancy,2020-05-05,818.0
Portugal,Daily hospital occupancy,2020-05-06,838.0
Portugal,Daily hospital occupancy,2020-05-07,874.0
Portugal,Daily hospital occupancy,2020-05-08,842.0
Portugal,Daily hospital occupancy,2020-05-09,815.0
Portugal,Daily hospital occupancy,2020-05-10,797.0
Portugal,Daily hospital occupancy,2020-05-11,805.0
Portugal,Daily hospital occupancy,2020-05-12,709.0
Portugal,Daily hospital occupancy,2020-05-13,692.0
Portugal,Daily hospital occupancy,2020-05-14,680.0
Portugal,Daily hospital occupancy,2020-05-15,673.0
Portugal,Daily hospital occupancy,2020-05-16,657.0
Portugal,Daily hospital occupancy,2020-05-17,649.0
Portugal,Daily hospital occupancy,2020-05-18,628.0
Portugal,Daily hospital occupancy,2020-05-19,629.0
Portugal,Daily hospital occupancy,2020-05-20,609.0
Portugal,Daily hospital occupancy,2020-05-21,608.0
Portugal,Daily hospital occupancy,2020-05-22,576.0
Portugal,Daily hospital occupancy,2020-05-23,550.0
Portugal,Daily hospital occupancy,2020-05-24,536.0
Portugal,Daily hospital occupancy,2020-05-25,531.0
Portugal,Daily hospital occupancy,2020-05-26,513.0
Portugal,Daily hospital occupancy,2020-05-27,510.0
Portugal,Daily hospital occupancy,2020-05-28,512.0
Portugal,Daily hospital occupancy,2020-05-29,529.0
Portugal,Daily hospital occupancy,2020-05-30,514.0
Portugal,Daily hospital occupancy,2020-05-31,474.0
Portugal,Daily hospital occupancy,2020-06-01,471.0
Portugal,Daily hospital occupancy,2020-06-02,432.0
Portugal,Daily hospital occupancy,2020-06-03,428.0
Portugal,Daily hospital occupancy,2020-06-04,445.0
Portugal,Daily hospital occupancy,2020-06-05,421.0
Portugal,Daily hospital occupancy,2020-06-06,414.0
Portugal,Daily hospital occupancy,2020-06-07,398.0
Portugal,Daily hospital occupancy,2020-06-08,366.0
Portugal,Daily hospital occupancy,2020-06-09,394.0
Portugal,Daily hospital occupancy,2020-06-10,417.0
Portugal,Daily hospital occupancy,2020-06-11,415.0
Portugal,Daily hospital occupancy,2020-06-12,440.0
Portugal,Daily hospital occupancy,2020-06-13,428.0
Portugal,Daily hospital occupancy,2020-06-14,419.0
Portugal,Daily hospital occupancy,2020-06-15,431.0
Portugal,Daily hospital occupancy,2020-06-16,423.0
Portugal,Daily hospital occupancy,2020-06-17,435.0
Portugal,Daily hospital occupancy,2020-06-18,416.0
Portugal,Daily hospital occupancy,2020-06-19,422.0
Portugal,Daily hospital occupancy,2020-06-20,422.0
Portugal,Daily hospital occupancy,2020-06-21,407.0
Portugal,Daily hospital occupancy,2020-06-22,424.0
Portugal,Daily hospital occupancy,2020-06-23,441.0
Portugal,Daily hospital occupancy,2020-06-24,429.0
Portugal,Daily hospital occupancy,2020-06-25,436.0
Portugal,Daily hospital occupancy,2020-06-26,457.0
Portugal,Daily hospital occupancy,2020-06-27,442.0
Portugal,Daily hospital occupancy,2020-06-28,458.0
Portugal,Daily hospital occupancy,2020-06-29,489.0
Portugal,Daily hospital occupancy,2020-06-30,491.0
Portugal,Daily hospital occupancy,2020-07-01,503.0
Portugal,Daily hospital occupancy,2020-07-02,510.0
Portugal,Daily hospital occupancy,2020-07-03,495.0
Portugal,Daily hospital occupancy,2020-07-04,489.0
Portugal,Daily hospital occupancy,2020-07-05,504.0
Portugal,Daily hospital occupancy,2020-07-06,513.0
Portugal,Daily hospital occupancy,2020-07-07,511.0
Portugal,Daily hospital occupancy,2020-07-08,512.0
Portugal,Daily hospital occupancy,2020-07-09,487.0
Portugal,Daily hospital occupancy,2020-07-10,471.0
Portugal,Daily hospital occupancy,2020-07-11,459.0
Portugal,Daily hospital occupancy,2020-07-12,462.0
Portugal,Daily hospital occupancy,2020-07-13,467.0
Portugal,Daily hospital occupancy,2020-07-14,472.0
Portugal,Daily hospital occupancy,2020-07-15,478.0
Portugal,Daily hospital occupancy,2020-07-16,476.0
Portugal,Daily hospital occupancy,2020-07-17,447.0
Portugal,Daily hospital occupancy,2020-07-18,452.0
Portugal,Daily hospital occupancy,2020-07-19,439.0
Portugal,Daily hospital occupancy,2020-07-20,454.0
Portugal,Daily hospital occupancy,2020-07-21,439.0
Portugal,Daily hospital occupancy,2020-07-22,439.0
Portugal,Daily hospital occupancy,2020-07-23,431.0
Portugal,Daily hospital occupancy,2020-07-24,420.0
Portugal,Daily hospital occupancy,2020-07-25,410.0
Portugal,Daily hospital occupancy,2020-07-26,403.0
Portugal,Daily hospital occupancy,2020-07-27,414.0
Portugal,Daily hospital occupancy,2020-07-28,402.0
Portugal,Daily hospital occupancy,2020-07-29,403.0
Portugal,Daily hospital occupancy,2020-07-30,403.0
Portugal,Daily hospital occupancy,2020-07-31,381.0
Portugal,Daily hospital occupancy,2020-08-01,375.0
Portugal,Daily hospital occupancy,2020-08-02,378.0
Portugal,Daily hospital occupancy,2020-08-03,390.0
Portugal,Daily hospital occupancy,2020-08-04,401.0
Portugal,Daily hospital occupancy,2020-08-05,384.0
Portugal,Daily hospital occupancy,2020-08-06,369.0
Portugal,Daily hospital occupancy,2020-08-07,356.0
Portugal,Daily hospital occupancy,2020-08-08,357.0
Portugal,Daily hospital occupancy,2020-08-09,366.0
Portugal,Daily hospital occupancy,2020-08-10,374.0
Portugal,Daily hospital occupancy,2020-08-11,365.0
Portugal,Daily hospital occupancy,2020-08-12,367.0
Portugal,Daily hospital occupancy,2020-08-13,358.0
Portugal,Daily hospital occupancy,2020-08-14,348.0
Portugal,Daily hospital occupancy,2020-08-15,320.0
Portugal,Daily hospital occupancy,2020-08-16,325.0
Portugal,Daily hospital occupancy,2020-08-17,336.0
Portugal,Daily hospital occupancy,2020-08-18,336.0
Portugal,Daily hospital occupancy,2020-08-19,329.0
Portugal,Daily hospital occupancy,2020-08-20,334.0
Portugal,Daily hospital occupancy,2020-08-21,321.0
Portugal,Daily hospital occupancy,2020-08-22,316.0
Portugal,Daily hospital occupancy,2020-08-23,317.0
Portugal,Daily hospital occupancy,2020-08-24,321.0
Portugal,Daily hospital occupancy,2020-08-25,325.0
Portugal,Daily hospital occupancy,2020-08-26,311.0
Portugal,Daily hospital occupancy,2020-08-27,317.0
Portugal,Daily hospital occupancy,2020-08-28,334.0
Portugal,Daily hospital occupancy,2020-08-29,324.0
Portugal,Daily hospital occupancy,2020-08-30,341.0
Portugal,Daily hospital occupancy,2020-08-31,349.0
Portugal,Daily hospital occupancy,2020-09-01,350.0
Portugal,Daily hospital occupancy,2020-09-02,337.0
Portugal,Daily hospital occupancy,2020-09-03,334.0
Portugal,Daily hospital occupancy,2020-09-04,339.0
Portugal,Daily hospital occupancy,2020-09-05,345.0
Portugal,Daily hospital occupancy,2020-09-06,354.0
Portugal,Daily hospital occupancy,2020-09-07,381.0
Portugal,Daily hospital occupancy,2020-09-08,394.0
Portugal,Daily hospital occupancy,2020-09-09,391.0
Portugal,Daily hospital occupancy,2020-09-10,406.0
Portugal,Daily hospital occupancy,2020-09-11,404.0
Portugal,Daily hospital occupancy,2020-09-12,438.0
Portugal,Daily hospital occupancy,2020-09-13,452.0
