entity,indicator,date,value
Romania,Daily ICU occupancy,2020-03-19,6.0
Romania,Daily ICU occupancy,2020-03-20,11.0
Romania,Daily ICU occupancy,2020-03-21,14.0
Romania,Daily ICU occupancy,2020-03-22,14.0
Romania,Daily ICU occupancy,2020-03-23,15.0
Romania,Daily ICU occupancy,2020-03-24,16.0
Romania,Daily ICU occupancy,2020-03-25,18.0
Romania,Daily ICU occupancy,2020-03-26,29.0
Romania,Daily ICU occupancy,2020-03-28,34.0
Romania,Daily ICU occupancy,2020-03-29,38.0
Romania,Daily ICU occupancy,2020-03-30,53.0
Romania,Daily ICU occupancy,2020-03-31,62.0
Romania,Daily ICU occupancy,2020-04-02,78.0
Romania,Daily ICU occupancy,2020-04-03,83.0
Romania,Daily ICU occupancy,2020-04-05,141.0
Romania,Daily ICU occupancy,2020-04-06,179.0
Romania,Daily ICU occupancy,2020-04-07,274.0
Romania,Daily ICU occupancy,2020-04-08,162.0
Romania,Daily ICU occupancy,2020-04-09,178.0
Romania,Daily ICU occupancy,2020-04-10,183.0
Romania,Daily ICU occupancy,2020-04-11,208.0
Romania,Daily ICU occupancy,2020-04-12,204.0
Romania,Daily ICU occupancy,2020-04-13,231.0
Romania,Daily ICU occupancy,2020-04-14,241.0
Romania,Daily ICU occupancy,2020-04-15,245.0
Romania,Daily ICU occupancy,2020-04-16,243.0
Romania,Daily ICU occupancy,2020-04-17,258.0
Romania,Daily ICU occupancy,2020-04-18,248.0
Romania,Daily ICU occupancy,2020-04-19,256.0
Romania,Daily ICU occupancy,2020-04-20,261.0
Romania,Daily ICU occupancy,2020-04-21,245.0
Romania,Daily ICU occupancy,2020-04-22,288.0
Romania,Daily ICU occupancy,2020-04-23,236.0
Romania,Daily ICU occupancy,2020-04-24,241.0
Romania,Daily ICU occupancy,2020-04-25,235.0
Romania,Daily ICU occupancy,2020-04-26,236.0
Romania,Daily ICU occupancy,2020-04-27,227.0
Romania,Daily ICU occupancy,2020-04-28,243.0
Romania,Daily ICU occupancy,2020-04-29,247.0
Romania,Daily ICU occupancy,2020-04-30,221.0
Romania,Daily ICU occupancy,2020-05-01,249.0
Romania,Daily ICU occupancy,2020-05-02,265.0
Romania,Daily ICU occupancy,2020-05-03,255.0
Romania,Daily ICU occupancy,2020-05-04,243.0
Romania,Daily ICU occupancy,2020-05-05,244.0
Romania,Daily ICU occupancy,2020-05-06,244.0
Romania,Daily ICU occupancy,2020-05-07,234.0
Romania,Daily ICU occupancy,2020-05-08,232.0
Romania,Daily ICU occupancy,2020-05-09,245.0
Romania,Daily ICU occupancy,2020-05-10,242.0
Romania,Daily ICU occupancy,2020-05-11,255.0
