date,indicator,value,entity
2020-02-26,Daily hospital occupancy,,Serbia
2020-02-27,Daily hospital occupancy,,Serbia
2020-02-27,Daily hospital occupancy,,Serbia
2020-02-28,Daily hospital occupancy,,Serbia
2020-02-29,Daily hospital occupancy,,Serbia
2020-02-29,Daily hospital occupancy,,Serbia
2020-03-01,Daily hospital occupancy,,Serbia
2020-03-02,Daily hospital occupancy,,Serbia
2020-03-03,Daily hospital occupancy,,Serbia
2020-03-04,Daily hospital occupancy,,Serbia
2020-03-06,Daily hospital occupancy,,Serbia
2020-03-06,Daily hospital occupancy,,Serbia
2020-03-07,Daily hospital occupancy,,Serbia
2020-03-07,Daily hospital occupancy,,Serbia
2020-03-08,Daily hospital occupancy,,Serbia
2020-03-08,Daily hospital occupancy,,Serbia
2020-03-09,Daily hospital occupancy,,Serbia
2020-03-09,Daily hospital occupancy,,Serbia
2020-03-10,Daily hospital occupancy,,Serbia
2020-03-10,Daily hospital occupancy,,Serbia
2020-03-11,Daily hospital occupancy,,Serbia
2020-03-11,Daily hospital occupancy,,Serbia
2020-03-12,Daily hospital occupancy,,Serbia
2020-03-12,Daily hospital occupancy,,Serbia
2020-03-13,Daily hospital occupancy,,Serbia
2020-03-13,Daily hospital occupancy,,Serbia
2020-03-14,Daily hospital occupancy,,Serbia
2020-03-14,Daily hospital occupancy,,Serbia
2020-03-15,Daily hospital occupancy,,Serbia
2020-03-15,Daily hospital occupancy,,Serbia
2020-03-16,Daily hospital occupancy,,Serbia
2020-03-16,Daily hospital occupancy,,Serbia
2020-03-17,Daily hospital occupancy,,Serbia
2020-03-17,Daily hospital occupancy,,Serbia
2020-03-18,Daily hospital occupancy,,Serbia
2020-03-18,Daily hospital occupancy,,Serbia
2020-03-19,Daily hospital occupancy,,Serbia
2020-03-19,Daily hospital occupancy,,Serbia
2020-03-20,Daily hospital occupancy,,Serbia
2020-03-20,Daily hospital occupancy,,Serbia
2020-03-21,Daily hospital occupancy,,Serbia
2020-03-21,Daily hospital occupancy,,Serbia
2020-03-22,Daily hospital occupancy,,Serbia
2020-03-23,Daily hospital occupancy,,Serbia
2020-03-24,Daily hospital occupancy,,Serbia
2020-03-25,Daily hospital occupancy,,Serbia
2020-03-26,Daily hospital occupancy,,Serbia
2020-03-27,Daily hospital occupancy,,Serbia
2020-03-28,Daily hospital occupancy,,Serbia
2020-03-29,Daily hospital occupancy,,Serbia
2020-03-30,Daily hospital occupancy,540.0,Serbia
2020-03-31,Daily hospital occupancy,,Serbia
2020-04-01,Daily hospital occupancy,,Serbia
2020-04-02,Daily hospital occupancy,783.0,Serbia
2020-04-03,Daily hospital occupancy,874.0,Serbia
2020-04-04,Daily hospital occupancy,1046.0,Serbia
2020-04-05,Daily hospital occupancy,1082.0,Serbia
2020-04-06,Daily hospital occupancy,1197.0,Serbia
2020-04-07,Daily hospital occupancy,1349.0,Serbia
2020-04-08,Daily hospital occupancy,1705.0,Serbia
2020-04-09,Daily hospital occupancy,1907.0,Serbia
2020-04-10,Daily hospital occupancy,2107.0,Serbia
2020-04-11,Daily hospital occupancy,2436.0,Serbia
2020-04-12,Daily hospital occupancy,2684.0,Serbia
2020-04-13,Daily hospital occupancy,2890.0,Serbia
2020-04-14,Daily hospital occupancy,3006.0,Serbia
2020-04-15,Daily hospital occupancy,3245.0,Serbia
2020-04-16,Daily hospital occupancy,3511.0,Serbia
2020-04-17,Daily hospital occupancy,3765.0,Serbia
2020-04-18,Daily hospital occupancy,3853.0,Serbia
2020-04-19,Daily hospital occupancy,3900.0,Serbia
2020-04-20,Daily hospital occupancy,3703.0,Serbia
2020-04-21,Daily hospital occupancy,3660.0,Serbia
2020-04-22,Daily hospital occupancy,3266.0,Serbia
2020-04-23,Daily hospital occupancy,3477.0,Serbia
2020-04-24,Daily hospital occupancy,3164.0,Serbia
2020-04-25,Daily hospital occupancy,3135.0,Serbia
2020-04-26,Daily hospital occupancy,3044.0,Serbia
2020-04-27,Daily hospital occupancy,2701.0,Serbia
2020-04-28,Daily hospital occupancy,2517.0,Serbia
2020-04-29,Daily hospital occupancy,2470.0,Serbia
2020-04-30,Daily hospital occupancy,2479.0,Serbia
2020-05-01,Daily hospital occupancy,2375.0,Serbia
2020-05-02,Daily hospital occupancy,2286.0,Serbia
2020-05-03,Daily hospital occupancy,2116.0,Serbia
2020-05-04,Daily hospital occupancy,2023.0,Serbia
2020-05-05,Daily hospital occupancy,1855.0,Serbia
2020-05-06,Daily hospital occupancy,1750.0,Serbia
2020-05-07,Daily hospital occupancy,1710.0,Serbia
2020-05-08,Daily hospital occupancy,1577.0,Serbia
2020-05-09,Daily hospital occupancy,1437.0,Serbia
2020-05-10,Daily hospital occupancy,1380.0,Serbia
2020-05-11,Daily hospital occupancy,1123.0,Serbia
2020-05-12,Daily hospital occupancy,1085.0,Serbia
2020-05-13,Daily hospital occupancy,992.0,Serbia
2020-05-14,Daily hospital occupancy,949.0,Serbia
2020-05-15,Daily hospital occupancy,837.0,Serbia
2020-05-16,Daily hospital occupancy,766.0,Serbia
2020-05-17,Daily hospital occupancy,764.0,Serbia
2020-05-18,Daily hospital occupancy,805.0,Serbia
