entity,indicator,date,value
Slovakia,Daily hospital occupancy,2020-04-24,222.0
Slovakia,Daily hospital occupancy,2020-04-25,212.0
Slovakia,Daily hospital occupancy,2020-04-26,181.0
Slovakia,Daily hospital occupancy,2020-04-27,186.0
Slovakia,Daily hospital occupancy,2020-04-28,175.0
Slovakia,Daily hospital occupancy,2020-04-29,180.0
Slovakia,Daily hospital occupancy,2020-04-30,51.0
Slovakia,Daily hospital occupancy,2020-05-01,43.0
Slovakia,Daily hospital occupancy,2020-05-02,41.0
Slovakia,Daily hospital occupancy,2020-05-03,42.0
Slovakia,Daily hospital occupancy,2020-05-04,38.0
Slovakia,Daily hospital occupancy,2020-05-05,35.0
Slovakia,Daily hospital occupancy,2020-05-06,34.0
Slovakia,Daily hospital occupancy,2020-05-07,29.0
Slovakia,Daily hospital occupancy,2020-05-08,22.0
Slovakia,Daily hospital occupancy,2020-05-09,22.0
Slovakia,Daily hospital occupancy,2020-05-10,20.0
Slovakia,Daily hospital occupancy,2020-05-11,20.0
Slovakia,Daily hospital occupancy,2020-05-12,18.0
Slovakia,Daily hospital occupancy,2020-05-13,20.0
Slovakia,Daily hospital occupancy,2020-05-14,21.0
Slovakia,Daily hospital occupancy,2020-05-15,21.0
Slovakia,Daily hospital occupancy,2020-05-16,19.0
Slovakia,Daily hospital occupancy,2020-05-17,18.0
Slovakia,Daily hospital occupancy,2020-05-18,18.0
Slovakia,Daily hospital occupancy,2020-05-19,15.0
Slovakia,Daily hospital occupancy,2020-05-20,14.0
Slovakia,Daily hospital occupancy,2020-05-21,12.0
Slovakia,Daily hospital occupancy,2020-05-22,9.0
Slovakia,Daily hospital occupancy,2020-05-23,9.0
Slovakia,Daily hospital occupancy,2020-05-24,9.0
Slovakia,Daily hospital occupancy,2020-05-25,10.0
Slovakia,Daily hospital occupancy,2020-05-26,7.0
Slovakia,Daily hospital occupancy,2020-05-27,6.0
Slovakia,Daily hospital occupancy,2020-05-28,8.0
Slovakia,Daily hospital occupancy,2020-05-29,5.0
Slovakia,Daily hospital occupancy,2020-05-30,5.0
Slovakia,Daily hospital occupancy,2020-05-31,4.0
Slovakia,Daily hospital occupancy,2020-06-01,4.0
Slovakia,Daily hospital occupancy,2020-06-02,3.0
Slovakia,Daily hospital occupancy,2020-06-03,3.0
Slovakia,Daily hospital occupancy,2020-06-04,2.0
Slovakia,Daily hospital occupancy,2020-06-05,3.0
Slovakia,Daily hospital occupancy,2020-06-06,3.0
Slovakia,Daily hospital occupancy,2020-06-07,3.0
Slovakia,Daily hospital occupancy,2020-06-08,3.0
Slovakia,Daily hospital occupancy,2020-06-09,3.0
Slovakia,Daily hospital occupancy,2020-06-10,3.0
Slovakia,Daily hospital occupancy,2020-06-11,2.0
Slovakia,Daily hospital occupancy,2020-06-12,2.0
Slovakia,Daily hospital occupancy,2020-06-13,2.0
Slovakia,Daily hospital occupancy,2020-06-14,2.0
Slovakia,Daily hospital occupancy,2020-06-15,1.0
Slovakia,Daily hospital occupancy,2020-06-16,0.0
Slovakia,Daily hospital occupancy,2020-06-17,2.0
Slovakia,Daily hospital occupancy,2020-06-18,1.0
Slovakia,Daily hospital occupancy,2020-06-19,2.0
Slovakia,Daily hospital occupancy,2020-06-20,2.0
Slovakia,Daily hospital occupancy,2020-06-21,2.0
Slovakia,Daily hospital occupancy,2020-06-22,3.0
Slovakia,Daily hospital occupancy,2020-06-23,3.0
Slovakia,Daily hospital occupancy,2020-06-24,4.0
Slovakia,Daily hospital occupancy,2020-06-25,5.0
Slovakia,Daily hospital occupancy,2020-06-26,5.0
Slovakia,Daily hospital occupancy,2020-06-27,5.0
Slovakia,Daily hospital occupancy,2020-06-28,5.0
Slovakia,Daily hospital occupancy,2020-06-29,9.0
Slovakia,Daily hospital occupancy,2020-06-30,9.0
Slovakia,Daily hospital occupancy,2020-07-01,5.0
Slovakia,Daily hospital occupancy,2020-07-02,4.0
Slovakia,Daily hospital occupancy,2020-07-03,4.0
Slovakia,Daily hospital occupancy,2020-07-04,5.0
Slovakia,Daily hospital occupancy,2020-07-05,5.0
Slovakia,Daily hospital occupancy,2020-07-06,6.0
Slovakia,Daily hospital occupancy,2020-07-07,6.0
Slovakia,Daily hospital occupancy,2020-07-08,6.0
Slovakia,Daily hospital occupancy,2020-07-09,6.0
Slovakia,Daily hospital occupancy,2020-07-10,6.0
Slovakia,Daily hospital occupancy,2020-07-11,6.0
Slovakia,Daily hospital occupancy,2020-07-12,6.0
Slovakia,Daily hospital occupancy,2020-07-13,6.0
Slovakia,Daily hospital occupancy,2020-07-14,7.0
Slovakia,Daily hospital occupancy,2020-07-15,6.0
Slovakia,Daily hospital occupancy,2020-07-16,7.0
Slovakia,Daily hospital occupancy,2020-07-17,7.0
Slovakia,Daily hospital occupancy,2020-07-18,7.0
Slovakia,Daily hospital occupancy,2020-07-19,7.0
Slovakia,Daily hospital occupancy,2020-07-20,9.0
Slovakia,Daily hospital occupancy,2020-07-21,10.0
Slovakia,Daily hospital occupancy,2020-07-22,10.0
Slovakia,Daily hospital occupancy,2020-07-23,12.0
Slovakia,Daily hospital occupancy,2020-07-24,12.0
Slovakia,Daily hospital occupancy,2020-07-25,12.0
Slovakia,Daily hospital occupancy,2020-07-26,12.0
Slovakia,Daily hospital occupancy,2020-07-27,14.0
Slovakia,Daily hospital occupancy,2020-07-28,15.0
Slovakia,Daily hospital occupancy,2020-07-29,15.0
Slovakia,Daily hospital occupancy,2020-07-30,12.0
Slovakia,Daily hospital occupancy,2020-07-31,12.0
Slovakia,Daily hospital occupancy,2020-08-01,12.0
Slovakia,Daily hospital occupancy,2020-08-02,12.0
Slovakia,Daily hospital occupancy,2020-08-03,10.0
Slovakia,Daily hospital occupancy,2020-08-04,10.0
Slovakia,Daily hospital occupancy,2020-08-05,12.0
Slovakia,Daily hospital occupancy,2020-08-06,14.0
Slovakia,Daily hospital occupancy,2020-08-07,24.0
Slovakia,Daily hospital occupancy,2020-08-08,26.0
Slovakia,Daily hospital occupancy,2020-08-09,27.0
Slovakia,Daily hospital occupancy,2020-08-10,29.0
Slovakia,Daily hospital occupancy,2020-08-11,38.0
Slovakia,Daily hospital occupancy,2020-08-12,33.0
Slovakia,Daily hospital occupancy,2020-08-13,33.0
Slovakia,Daily hospital occupancy,2020-08-14,32.0
Slovakia,Daily hospital occupancy,2020-08-15,33.0
Slovakia,Daily hospital occupancy,2020-08-16,35.0
Slovakia,Daily hospital occupancy,2020-08-17,37.0
Slovakia,Daily hospital occupancy,2020-08-18,38.0
Slovakia,Daily hospital occupancy,2020-08-19,40.0
Slovakia,Daily hospital occupancy,2020-08-20,41.0
Slovakia,Daily hospital occupancy,2020-08-21,39.0
Slovakia,Daily hospital occupancy,2020-08-22,38.0
Slovakia,Daily hospital occupancy,2020-08-23,37.0
Slovakia,Daily hospital occupancy,2020-08-24,38.0
Slovakia,Daily hospital occupancy,2020-08-25,39.0
Slovakia,Daily hospital occupancy,2020-08-26,47.0
Slovakia,Daily hospital occupancy,2020-08-27,44.0
Slovakia,Daily hospital occupancy,2020-08-28,47.0
Slovakia,Daily hospital occupancy,2020-08-29,46.0
Slovakia,Daily hospital occupancy,2020-08-30,47.0
Slovakia,Daily hospital occupancy,2020-08-31,60.0
Slovakia,Daily hospital occupancy,2020-09-01,62.0
Slovakia,Daily hospital occupancy,2020-09-02,64.0
Slovakia,Daily hospital occupancy,2020-09-03,64.0
