date,value,indicator,entity
2020-05-02,269,Weekly new hospital admissions,South Africa
2020-05-09,390,Weekly new hospital admissions,South Africa
2020-05-16,462,Weekly new hospital admissions,South Africa
2020-05-23,1081,Weekly new hospital admissions,South Africa
2020-05-30,1426,Weekly new hospital admissions,South Africa
2020-06-06,1991,Weekly new hospital admissions,South Africa
2020-06-13,2328,Weekly new hospital admissions,South Africa
2020-06-20,3025,Weekly new hospital admissions,South Africa
2020-06-27,4344,Weekly new hospital admissions,South Africa
2020-07-04,5940,Weekly new hospital admissions,South Africa
2020-07-11,7241,Weekly new hospital admissions,South Africa
2020-07-18,8256,Weekly new hospital admissions,South Africa
2020-07-25,8864,Weekly new hospital admissions,South Africa
2020-08-01,8608,Weekly new hospital admissions,South Africa
2020-08-08,7342,Weekly new hospital admissions,South Africa
2020-08-15,6023,Weekly new hospital admissions,South Africa
2020-08-22,4482,Weekly new hospital admissions,South Africa
2020-08-29,3720,Weekly new hospital admissions,South Africa
2020-09-05,2912,Weekly new hospital admissions,South Africa
2020-09-12,2506,Weekly new hospital admissions,South Africa
2020-09-19,2271,Weekly new hospital admissions,South Africa
2020-09-26,1969,Weekly new hospital admissions,South Africa
2020-10-03,1863,Weekly new hospital admissions,South Africa
2020-10-10,1700,Weekly new hospital admissions,South Africa
2020-10-17,1912,Weekly new hospital admissions,South Africa
2020-10-24,1882,Weekly new hospital admissions,South Africa
2020-10-31,1998,Weekly new hospital admissions,South Africa
2020-11-07,2091,Weekly new hospital admissions,South Africa
2020-11-14,2172,Weekly new hospital admissions,South Africa
2020-11-21,2512,Weekly new hospital admissions,South Africa
2020-11-28,3131,Weekly new hospital admissions,South Africa
2020-12-05,3820,Weekly new hospital admissions,South Africa
2020-12-12,5022,Weekly new hospital admissions,South Africa
2020-12-19,7541,Weekly new hospital admissions,South Africa
2020-12-26,10079,Weekly new hospital admissions,South Africa
2021-01-02,12863,Weekly new hospital admissions,South Africa
2021-01-09,16077,Weekly new hospital admissions,South Africa
2021-01-16,16857,Weekly new hospital admissions,South Africa
2021-01-23,11889,Weekly new hospital admissions,South Africa
2021-01-30,7328,Weekly new hospital admissions,South Africa
2021-02-06,5284,Weekly new hospital admissions,South Africa
2021-02-13,3922,Weekly new hospital admissions,South Africa
2021-02-20,3025,Weekly new hospital admissions,South Africa
2021-02-27,2435,Weekly new hospital admissions,South Africa
2021-03-06,2133,Weekly new hospital admissions,South Africa
2021-03-13,1946,Weekly new hospital admissions,South Africa
2021-03-20,1912,Weekly new hospital admissions,South Africa
2021-03-27,1758,Weekly new hospital admissions,South Africa
2021-04-03,1666,Weekly new hospital admissions,South Africa
2021-04-10,1761,Weekly new hospital admissions,South Africa
2021-04-17,1971,Weekly new hospital admissions,South Africa
2021-04-24,2173,Weekly new hospital admissions,South Africa
2021-05-01,2246,Weekly new hospital admissions,South Africa
2021-05-08,2577,Weekly new hospital admissions,South Africa
2021-05-15,2970,Weekly new hospital admissions,South Africa
2021-05-22,3667,Weekly new hospital admissions,South Africa
2021-05-29,4418,Weekly new hospital admissions,South Africa
2021-06-05,4982,Weekly new hospital admissions,South Africa
2021-06-12,6530,Weekly new hospital admissions,South Africa
2021-06-19,8083,Weekly new hospital admissions,South Africa
2021-06-26,10635,Weekly new hospital admissions,South Africa
2021-07-03,12719,Weekly new hospital admissions,South Africa
2021-07-10,14728,Weekly new hospital admissions,South Africa
2021-07-17,14282,Weekly new hospital admissions,South Africa
2021-07-24,13144,Weekly new hospital admissions,South Africa
2021-07-31,11520,Weekly new hospital admissions,South Africa
2021-08-07,10402,Weekly new hospital admissions,South Africa
2021-08-14,9509,Weekly new hospital admissions,South Africa
2021-08-21,9835,Weekly new hospital admissions,South Africa
2021-08-28,8609,Weekly new hospital admissions,South Africa
2021-09-04,6901,Weekly new hospital admissions,South Africa
2021-09-11,5519,Weekly new hospital admissions,South Africa
2021-09-18,3846,Weekly new hospital admissions,South Africa
2021-09-25,2559,Weekly new hospital admissions,South Africa
2021-10-02,2052,Weekly new hospital admissions,South Africa
2021-10-09,1468,Weekly new hospital admissions,South Africa
2021-10-16,1165,Weekly new hospital admissions,South Africa
2021-10-23,849,Weekly new hospital admissions,South Africa
2021-10-30,623,Weekly new hospital admissions,South Africa
2021-11-06,593,Weekly new hospital admissions,South Africa
2021-11-13,595,Weekly new hospital admissions,South Africa
2021-11-20,754,Weekly new hospital admissions,South Africa
2021-11-27,1527,Weekly new hospital admissions,South Africa
2021-12-04,4152,Weekly new hospital admissions,South Africa
2021-12-11,8090,Weekly new hospital admissions,South Africa
2021-12-18,9547,Weekly new hospital admissions,South Africa
2021-12-25,9466,Weekly new hospital admissions,South Africa
2022-01-01,7980,Weekly new hospital admissions,South Africa
2022-01-08,6660,Weekly new hospital admissions,South Africa
2022-01-15,3592,Weekly new hospital admissions,South Africa
