date,indicator,value,entity
2020-02-27,Daily hospital occupancy,1,Sweden
2020-02-28,Daily hospital occupancy,1,Sweden
2020-02-29,Daily hospital occupancy,1,Sweden
2020-03-01,Daily hospital occupancy,1,Sweden
2020-03-02,Daily hospital occupancy,3,Sweden
2020-03-03,Daily hospital occupancy,3,Sweden
2020-03-04,Daily hospital occupancy,3,Sweden
2020-03-05,Daily hospital occupancy,6,Sweden
2020-03-06,Daily hospital occupancy,7,Sweden
2020-03-07,Daily hospital occupancy,7,Sweden
2020-03-08,Daily hospital occupancy,7,Sweden
2020-03-09,Daily hospital occupancy,10,Sweden
2020-03-10,Daily hospital occupancy,14,Sweden
2020-03-11,Daily hospital occupancy,18,Sweden
2020-03-12,Daily hospital occupancy,15,Sweden
2020-03-13,Daily hospital occupancy,16,Sweden
2020-03-14,Daily hospital occupancy,18,Sweden
2020-03-15,Daily hospital occupancy,23,Sweden
2020-03-16,Daily hospital occupancy,26,Sweden
2020-03-17,Daily hospital occupancy,45,Sweden
2020-03-18,Daily hospital occupancy,64,Sweden
2020-03-19,Daily hospital occupancy,207,Sweden
2020-03-20,Daily hospital occupancy,265,Sweden
2020-03-21,Daily hospital occupancy,317,Sweden
2020-03-22,Daily hospital occupancy,383,Sweden
2020-03-23,Daily hospital occupancy,460,Sweden
2020-03-24,Daily hospital occupancy,530,Sweden
2020-03-25,Daily hospital occupancy,637,Sweden
2020-03-26,Daily hospital occupancy,750,Sweden
2020-03-27,Daily hospital occupancy,879,Sweden
2020-03-28,Daily hospital occupancy,947,Sweden
2020-03-29,Daily hospital occupancy,1044,Sweden
2020-03-30,Daily hospital occupancy,1162,Sweden
2020-03-31,Daily hospital occupancy,1295,Sweden
2020-04-01,Daily hospital occupancy,1381,Sweden
2020-04-02,Daily hospital occupancy,1486,Sweden
2020-04-03,Daily hospital occupancy,1523,Sweden
2020-04-04,Daily hospital occupancy,1569,Sweden
2020-04-05,Daily hospital occupancy,1773,Sweden
2020-04-06,Daily hospital occupancy,1807,Sweden
2020-04-07,Daily hospital occupancy,1864,Sweden
2020-04-08,Daily hospital occupancy,1912,Sweden
2020-04-09,Daily hospital occupancy,1922,Sweden
2020-04-10,Daily hospital occupancy,2011,Sweden
2020-04-11,Daily hospital occupancy,2054,Sweden
2020-04-12,Daily hospital occupancy,2104,Sweden
2020-04-13,Daily hospital occupancy,2175,Sweden
2020-04-14,Daily hospital occupancy,2199,Sweden
2020-04-15,Daily hospital occupancy,2228,Sweden
2020-04-16,Daily hospital occupancy,2228,Sweden
2020-04-17,Daily hospital occupancy,2265,Sweden
2020-04-18,Daily hospital occupancy,2219,Sweden
2020-04-19,Daily hospital occupancy,2275,Sweden
2020-04-20,Daily hospital occupancy,2319,Sweden
2020-04-21,Daily hospital occupancy,2233,Sweden
2020-04-22,Daily hospital occupancy,2240,Sweden
2020-04-23,Daily hospital occupancy,2243,Sweden
2020-04-24,Daily hospital occupancy,2236,Sweden
2020-04-25,Daily hospital occupancy,2244,Sweden
2020-04-26,Daily hospital occupancy,2262,Sweden
2020-04-27,Daily hospital occupancy,2312,Sweden
2020-04-28,Daily hospital occupancy,2278,Sweden
2020-04-29,Daily hospital occupancy,2221,Sweden
2020-04-30,Daily hospital occupancy,2229,Sweden
2020-05-01,Daily hospital occupancy,2144,Sweden
2020-05-02,Daily hospital occupancy,2172,Sweden
2020-05-03,Daily hospital occupancy,2205,Sweden
2020-05-04,Daily hospital occupancy,2255,Sweden
2020-05-05,Daily hospital occupancy,2264,Sweden
2020-05-06,Daily hospital occupancy,2220,Sweden
2020-05-07,Daily hospital occupancy,2184,Sweden
2020-05-08,Daily hospital occupancy,2120,Sweden
2020-05-09,Daily hospital occupancy,2064,Sweden
2020-05-10,Daily hospital occupancy,2065,Sweden
2020-05-11,Daily hospital occupancy,2072,Sweden
2020-05-12,Daily hospital occupancy,1993,Sweden
2020-05-13,Daily hospital occupancy,1970,Sweden
2020-05-14,Daily hospital occupancy,1911,Sweden
2020-05-15,Daily hospital occupancy,1853,Sweden
2020-05-16,Daily hospital occupancy,1834,Sweden
2020-05-17,Daily hospital occupancy,1833,Sweden
2020-05-18,Daily hospital occupancy,1845,Sweden
2020-05-19,Daily hospital occupancy,1793,Sweden
2020-05-20,Daily hospital occupancy,1765,Sweden
2020-05-21,Daily hospital occupancy,1724,Sweden
2020-05-22,Daily hospital occupancy,1742,Sweden
2020-05-23,Daily hospital occupancy,1725,Sweden
2020-05-24,Daily hospital occupancy,1728,Sweden
2020-05-25,Daily hospital occupancy,1769,Sweden
2020-05-26,Daily hospital occupancy,1784,Sweden
2020-05-27,Daily hospital occupancy,1721,Sweden
2020-05-28,Daily hospital occupancy,1673,Sweden
2020-05-29,Daily hospital occupancy,1650,Sweden
2020-05-30,Daily hospital occupancy,1619,Sweden
2020-05-31,Daily hospital occupancy,1635,Sweden
2020-06-01,Daily hospital occupancy,1684,Sweden
2020-06-02,Daily hospital occupancy,1650,Sweden
2020-06-03,Daily hospital occupancy,1591,Sweden
2020-06-04,Daily hospital occupancy,1583,Sweden
2020-06-05,Daily hospital occupancy,1539,Sweden
2020-06-06,Daily hospital occupancy,1511,Sweden
2020-06-07,Daily hospital occupancy,1520,Sweden
2020-06-08,Daily hospital occupancy,1568,Sweden
2020-06-09,Daily hospital occupancy,1469,Sweden
2020-06-10,Daily hospital occupancy,1436,Sweden
2020-06-11,Daily hospital occupancy,1386,Sweden
2020-06-12,Daily hospital occupancy,1369,Sweden
2020-06-13,Daily hospital occupancy,1323,Sweden
2020-06-14,Daily hospital occupancy,1328,Sweden
2020-06-15,Daily hospital occupancy,1303,Sweden
2020-06-16,Daily hospital occupancy,1281,Sweden
2020-06-17,Daily hospital occupancy,1240,Sweden
2020-06-18,Daily hospital occupancy,1197,Sweden
2020-06-19,Daily hospital occupancy,1177,Sweden
2020-06-20,Daily hospital occupancy,1173,Sweden
2020-06-21,Daily hospital occupancy,1179,Sweden
2020-06-22,Daily hospital occupancy,1168,Sweden
2020-06-23,Daily hospital occupancy,1153,Sweden
2020-06-24,Daily hospital occupancy,1109,Sweden
2020-06-25,Daily hospital occupancy,1019,Sweden
2020-06-26,Daily hospital occupancy,997,Sweden
2020-06-27,Daily hospital occupancy,983,Sweden
2020-06-28,Daily hospital occupancy,990,Sweden
2020-06-29,Daily hospital occupancy,919,Sweden
