date,indicator,value,entity
2020-03-30,Daily ICU occupancy,453.0,Switzerland
2020-03-31,Daily ICU occupancy,487.0,Switzerland
2020-04-01,Daily ICU occupancy,514.0,Switzerland
2020-04-02,Daily ICU occupancy,493.0,Switzerland
2020-04-03,Daily ICU occupancy,482.0,Switzerland
2020-04-04,Daily ICU occupancy,458.0,Switzerland
2020-04-05,Daily ICU occupancy,466.0,Switzerland
2020-04-06,Daily ICU occupancy,471.0,Switzerland
2020-04-07,Daily ICU occupancy,473.0,Switzerland
2020-04-08,Daily ICU occupancy,456.0,Switzerland
2020-04-09,Daily ICU occupancy,454.0,Switzerland
2020-04-10,Daily ICU occupancy,440.0,Switzerland
2020-04-11,Daily ICU occupancy,429.0,Switzerland
2020-04-12,Daily ICU occupancy,425.0,Switzerland
2020-04-13,Daily ICU occupancy,425.0,Switzerland
2020-04-14,Daily ICU occupancy,399.0,Switzerland
2020-04-15,Daily ICU occupancy,381.0,Switzerland
2020-04-16,Daily ICU occupancy,369.0,Switzerland
2020-04-17,Daily ICU occupancy,337.0,Switzerland
2020-04-18,Daily ICU occupancy,319.0,Switzerland
2020-04-19,Daily ICU occupancy,315.0,Switzerland
2020-04-20,Daily ICU occupancy,305.0,Switzerland
2020-04-21,Daily ICU occupancy,273.0,Switzerland
2020-04-22,Daily ICU occupancy,260.0,Switzerland
2020-04-23,Daily ICU occupancy,248.0,Switzerland
2020-04-24,Daily ICU occupancy,250.0,Switzerland
2020-04-25,Daily ICU occupancy,241.0,Switzerland
2020-04-26,Daily ICU occupancy,236.0,Switzerland
2020-04-27,Daily ICU occupancy,225.0,Switzerland
2020-04-28,Daily ICU occupancy,203.0,Switzerland
2020-04-29,Daily ICU occupancy,197.0,Switzerland
2020-04-30,Daily ICU occupancy,192.0,Switzerland
2020-05-01,Daily ICU occupancy,152.0,Switzerland
2020-05-02,Daily ICU occupancy,143.0,Switzerland
2020-05-03,Daily ICU occupancy,137.0,Switzerland
2020-05-04,Daily ICU occupancy,134.0,Switzerland
2020-05-05,Daily ICU occupancy,127.0,Switzerland
2020-05-06,Daily ICU occupancy,122.0,Switzerland
2020-05-07,Daily ICU occupancy,114.0,Switzerland
2020-05-08,Daily ICU occupancy,100.0,Switzerland
2020-05-09,Daily ICU occupancy,96.0,Switzerland
2020-05-10,Daily ICU occupancy,92.0,Switzerland
2020-05-11,Daily ICU occupancy,96.0,Switzerland
2020-05-12,Daily ICU occupancy,86.0,Switzerland
2020-05-13,Daily ICU occupancy,85.0,Switzerland
2020-05-14,Daily ICU occupancy,83.0,Switzerland
2020-05-15,Daily ICU occupancy,80.0,Switzerland
2020-05-16,Daily ICU occupancy,76.0,Switzerland
2020-05-17,Daily ICU occupancy,70.0,Switzerland
2020-05-18,Daily ICU occupancy,68.0,Switzerland
2020-05-19,Daily ICU occupancy,67.0,Switzerland
2020-05-20,Daily ICU occupancy,60.0,Switzerland
2020-05-21,Daily ICU occupancy,58.0,Switzerland
2020-05-22,Daily ICU occupancy,55.0,Switzerland
2020-05-23,Daily ICU occupancy,50.0,Switzerland
2020-05-24,Daily ICU occupancy,49.0,Switzerland
2020-05-25,Daily ICU occupancy,48.0,Switzerland
2020-05-26,Daily ICU occupancy,38.0,Switzerland
2020-05-27,Daily ICU occupancy,44.0,Switzerland
2020-05-28,Daily ICU occupancy,37.0,Switzerland
2020-05-29,Daily ICU occupancy,31.0,Switzerland
2020-05-30,Daily ICU occupancy,32.0,Switzerland
2020-05-31,Daily ICU occupancy,35.0,Switzerland
2020-06-01,Daily ICU occupancy,32.0,Switzerland
2020-06-02,Daily ICU occupancy,32.0,Switzerland
2020-06-03,Daily ICU occupancy,33.0,Switzerland
2020-06-04,Daily ICU occupancy,32.0,Switzerland
2020-06-05,Daily ICU occupancy,28.0,Switzerland
2020-06-06,Daily ICU occupancy,28.0,Switzerland
2020-06-07,Daily ICU occupancy,28.0,Switzerland
2020-06-08,Daily ICU occupancy,31.0,Switzerland
2020-06-09,Daily ICU occupancy,31.0,Switzerland
2020-06-10,Daily ICU occupancy,30.0,Switzerland
2020-06-11,Daily ICU occupancy,19.0,Switzerland
2020-06-12,Daily ICU occupancy,24.0,Switzerland
2020-06-13,Daily ICU occupancy,25.0,Switzerland
2020-06-14,Daily ICU occupancy,25.0,Switzerland
2020-06-15,Daily ICU occupancy,14.0,Switzerland
2020-06-16,Daily ICU occupancy,12.0,Switzerland
