location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Belgium,2021-01-08,18,24,0.04,0.0,0.0
Belgium,2021-01-08,25,49,0.12,0.0,0.0
Belgium,2021-01-08,50,59,0.16,0.0,0.0
Belgium,2021-01-08,60,69,0.17,0.0,0.0
Belgium,2021-01-08,70,79,0.37,0.0,0.0
Belgium,2021-01-08,80,,2.3,0.0,0.0
Belgium,2021-01-15,18,24,0.24,0.0,0.0
Belgium,2021-01-15,25,49,0.53,0.0,0.0
Belgium,2021-01-15,50,59,0.75,0.0,0.0
Belgium,2021-01-15,60,69,0.71,0.0,0.0
Belgium,2021-01-15,70,79,1.58,0.0,0.0
Belgium,2021-01-15,80,,10.52,0.0,0.0
Belgium,2021-01-22,18,24,0.99,0.0,0.0
Belgium,2021-01-22,25,49,1.63,0.0,0.0
Belgium,2021-01-22,50,59,2.04,0.01,0.0
Belgium,2021-01-22,60,69,1.63,0.01,0.0
Belgium,2021-01-22,70,79,2.61,0.01,0.0
Belgium,2021-01-22,80,,15.17,0.07,0.0
Belgium,2021-01-29,18,24,1.53,0.04,0.0
Belgium,2021-01-29,25,49,2.38,0.11,0.0
Belgium,2021-01-29,50,59,2.89,0.16,0.0
Belgium,2021-01-29,60,69,2.17,0.16,0.0
Belgium,2021-01-29,70,79,3.04,0.36,0.0
Belgium,2021-01-29,80,,16.44,2.15,0.0
Belgium,2021-02-05,18,24,1.82,0.23,0.0
Belgium,2021-02-05,25,49,2.92,0.51,0.0
Belgium,2021-02-05,50,59,3.5,0.73,0.0
Belgium,2021-02-05,60,69,2.55,0.69,0.0
Belgium,2021-02-05,70,79,3.27,1.51,0.0
Belgium,2021-02-05,80,,17.07,9.99,0.0
Belgium,2021-02-12,18,24,2.02,0.92,0.0
Belgium,2021-02-12,25,49,3.32,1.5,0.0
Belgium,2021-02-12,50,59,4.01,1.92,0.0
Belgium,2021-02-12,60,69,2.85,1.56,0.0
Belgium,2021-02-12,70,79,3.42,2.53,0.0
Belgium,2021-02-12,80,,17.38,14.51,0.0
Belgium,2021-02-19,18,24,2.47,1.47,0.0
Belgium,2021-02-19,25,49,4.02,2.27,0.0
Belgium,2021-02-19,50,59,4.74,2.79,0.0
Belgium,2021-02-19,60,69,3.2,2.1,0.0
Belgium,2021-02-19,70,79,3.56,2.95,0.0
Belgium,2021-02-19,80,,17.52,15.77,0.0
Belgium,2021-02-26,18,24,3.19,1.72,0.0
Belgium,2021-02-26,25,49,5.39,2.71,0.0
Belgium,2021-02-26,50,59,6.15,3.28,0.0
Belgium,2021-02-26,60,69,3.67,2.42,0.0
Belgium,2021-02-26,70,79,3.73,3.17,0.0
Belgium,2021-02-26,80,,17.65,16.45,0.0
Belgium,2021-03-05,18,24,4.4,1.93,0.0
Belgium,2021-03-05,25,49,7.29,3.12,0.0
Belgium,2021-03-05,50,59,8.13,3.77,0.0
Belgium,2021-03-05,60,69,4.64,2.71,0.0
Belgium,2021-03-05,70,79,4.38,3.3,0.0
Belgium,2021-03-05,80,,18.77,16.76,0.0
Belgium,2021-03-12,18,24,5.51,2.33,0.0
Belgium,2021-03-12,25,49,8.86,3.74,0.0
Belgium,2021-03-12,50,59,9.84,4.48,0.0
Belgium,2021-03-12,60,69,6.32,3.12,0.0
Belgium,2021-03-12,70,79,6.06,3.46,0.0
Belgium,2021-03-12,80,,20.83,16.93,0.0
Belgium,2021-03-19,18,24,6.49,2.84,0.0
Belgium,2021-03-19,25,49,9.87,4.48,0.0
Belgium,2021-03-19,50,59,11.31,5.38,0.0
Belgium,2021-03-19,60,69,8.67,3.6,0.0
Belgium,2021-03-19,70,79,11.34,3.63,0.0
Belgium,2021-03-19,80,,34.02,17.09,0.0
Belgium,2021-03-26,18,24,7.04,3.36,0.0
Belgium,2021-03-26,25,49,10.52,5.18,0.0
Belgium,2021-03-26,50,59,12.21,6.33,0.0
Belgium,2021-03-26,60,69,10.51,4.3,0.0
Belgium,2021-03-26,70,79,18.59,4.13,0.0
Belgium,2021-03-26,80,,51.68,18.1,0.0
Belgium,2021-04-02,18,24,7.42,3.82,0.0
Belgium,2021-04-02,25,49,11.04,5.71,0.0
Belgium,2021-04-02,50,59,12.92,7.22,0.0
Belgium,2021-04-02,60,69,12.49,5.4,0.0
Belgium,2021-04-02,70,79,26.54,4.98,0.0
Belgium,2021-04-02,80,,73.78,19.11,0.0
Belgium,2021-04-09,18,24,7.75,4.09,0.0
