location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Cyprus,2021-01-01,18,24,0.01,0.0,0.0
Cyprus,2021-01-01,25,49,0.02,0.0,0.0
Cyprus,2021-01-01,50,59,0.02,0.0,0.0
Cyprus,2021-01-01,60,69,0.04,0.0,0.0
Cyprus,2021-01-01,70,79,0.04,0.0,0.0
Cyprus,2021-01-01,80,,0.65,0.0,0.0
Cyprus,2021-01-08,18,24,0.04,0.0,0.0
Cyprus,2021-01-08,25,49,0.26,0.0,0.0
Cyprus,2021-01-08,50,59,0.39,0.0,0.0
Cyprus,2021-01-08,60,69,0.43,0.0,0.0
Cyprus,2021-01-08,70,79,0.47,0.0,0.0
Cyprus,2021-01-08,80,,2.95,0.0,0.0
Cyprus,2021-01-15,18,24,0.05,0.0,0.0
Cyprus,2021-01-15,25,49,0.47,0.02,0.0
Cyprus,2021-01-15,50,59,0.7,0.01,0.0
Cyprus,2021-01-15,60,69,0.74,0.03,0.0
Cyprus,2021-01-15,70,79,0.66,0.04,0.0
Cyprus,2021-01-15,80,,11.81,0.59,0.0
Cyprus,2021-01-22,18,24,0.09,0.03,0.0
Cyprus,2021-01-22,25,49,0.56,0.24,0.0
Cyprus,2021-01-22,50,59,0.87,0.34,0.0
Cyprus,2021-01-22,60,69,0.9,0.39,0.0
Cyprus,2021-01-22,70,79,0.86,0.42,0.0
Cyprus,2021-01-22,80,,23.91,2.59,0.0
Cyprus,2021-01-29,18,24,0.11,0.06,0.0
Cyprus,2021-01-29,25,49,0.61,0.55,0.0
Cyprus,2021-01-29,50,59,0.95,0.77,0.0
Cyprus,2021-01-29,60,69,0.97,0.72,0.0
Cyprus,2021-01-29,70,79,1.01,0.66,0.0
Cyprus,2021-01-29,80,,35.9,5.18,0.0
Cyprus,2021-02-05,18,24,0.13,0.08,0.0
Cyprus,2021-02-05,25,49,0.68,0.74,0.0
Cyprus,2021-02-05,50,59,1.06,1.08,0.0
Cyprus,2021-02-05,60,69,1.08,1.02,0.0
Cyprus,2021-02-05,70,79,1.29,0.84,0.0
Cyprus,2021-02-05,80,,44.19,13.9,0.0
Cyprus,2021-02-12,18,24,0.15,0.12,0.0
Cyprus,2021-02-12,25,49,0.84,0.84,0.0
Cyprus,2021-02-12,50,59,1.34,1.24,0.0
Cyprus,2021-02-12,60,69,1.4,1.18,0.0
Cyprus,2021-02-12,70,79,2.38,1.03,0.0
Cyprus,2021-02-12,80,,58.41,25.28,0.0
Cyprus,2021-02-19,18,24,0.33,0.13,0.0
Cyprus,2021-02-19,25,49,1.08,0.88,0.0
Cyprus,2021-02-19,50,59,1.65,1.32,0.0
Cyprus,2021-02-19,60,69,1.75,1.26,0.0
Cyprus,2021-02-19,70,79,9.57,1.18,0.0
Cyprus,2021-02-19,80,,68.41,37.12,0.0
Cyprus,2021-02-26,18,24,0.42,0.15,0.0
Cyprus,2021-02-26,25,49,1.2,0.96,0.0
Cyprus,2021-02-26,50,59,1.82,1.45,0.0
Cyprus,2021-02-26,60,69,1.96,1.37,0.0
Cyprus,2021-02-26,70,79,30.87,1.47,0.0
Cyprus,2021-02-26,80,,72.16,45.9,0.0
Cyprus,2021-03-05,18,24,0.48,0.17,0.0
Cyprus,2021-03-05,25,49,1.4,1.04,0.0
Cyprus,2021-03-05,50,59,2.05,1.59,0.0
Cyprus,2021-03-05,60,69,2.91,1.55,0.0
Cyprus,2021-03-05,70,79,49.09,2.51,0.0
Cyprus,2021-03-05,80,,74.78,59.92,0.0
Cyprus,2021-03-12,18,24,0.59,0.17,0.0
Cyprus,2021-03-12,25,49,1.56,1.06,0.0
Cyprus,2021-03-12,50,59,2.28,1.65,0.0
Cyprus,2021-03-12,60,69,8.95,1.61,0.0
Cyprus,2021-03-12,70,79,68.34,4.27,0.0
Cyprus,2021-03-12,80,,78.23,68.04,0.0
Cyprus,2021-03-19,18,24,0.61,0.18,0.0
Cyprus,2021-03-19,25,49,1.59,1.07,0.0
Cyprus,2021-03-19,50,59,2.35,1.67,0.0
Cyprus,2021-03-19,60,69,10.86,1.63,0.0
Cyprus,2021-03-19,70,79,70.33,10.16,0.0
Cyprus,2021-03-19,80,,78.78,69.19,0.0
Cyprus,2021-03-26,15,17,0.01,0.0,0.0
Cyprus,2021-03-26,18,24,0.63,0.18,0.0
Cyprus,2021-03-26,25,49,1.69,1.08,0.0
Cyprus,2021-03-26,50,59,2.5,1.68,0.0
Cyprus,2021-03-26,60,69,18.68,1.71,0.0
Cyprus,2021-03-26,70,79,75.84,15.59,0.0
Cyprus,2021-03-26,80,,80.69,69.74,0.0
Cyprus,2021-04-02,15,17,0.04,0.0,0.0
Cyprus,2021-04-02,18,24,0.76,0.18,0.0
Cyprus,2021-04-02,25,49,2.17,1.09,0.0
Cyprus,2021-04-02,50,59,3.9,1.7,0.0
