location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Czechia,2022-01-07,0,4,0.0,0.0,0.0
Czechia,2022-01-07,10,14,29.72,25.86,0.0
Czechia,2022-01-07,15,17,64.93,62.41,0.24
Czechia,2022-01-07,18,24,69.2,67.06,5.29
Czechia,2022-01-07,25,49,65.74,64.31,16.5
Czechia,2022-01-07,5,9,2.78,0.25,0.0
Czechia,2022-01-07,50,59,78.3,77.41,36.19
Czechia,2022-01-07,60,69,79.18,78.43,51.99
Czechia,2022-01-07,70,79,93.12,92.15,69.91
Czechia,2022-01-07,80,,92.26,90.31,68.47
Czechia,2022-01-14,0,4,0.0,0.0,0.0
Czechia,2022-01-14,10,14,30.34,26.44,0.01
Czechia,2022-01-14,15,17,65.16,62.7,0.25
Czechia,2022-01-14,18,24,69.38,67.3,7.08
Czechia,2022-01-14,25,49,65.85,64.46,19.18
Czechia,2022-01-14,5,9,3.29,0.61,0.0
Czechia,2022-01-14,50,59,78.37,77.51,39.39
Czechia,2022-01-14,60,69,79.24,78.52,54.3
Czechia,2022-01-14,70,79,93.17,92.23,71.89
Czechia,2022-01-14,80,,92.31,90.39,69.72
