location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Denmark,2021-01-01,15,17,0.0,0.0,0.0
Denmark,2021-01-01,18,24,0.03,0.0,0.0
Denmark,2021-01-01,25,49,0.11,0.0,0.0
Denmark,2021-01-01,50,59,0.13,0.0,0.0
Denmark,2021-01-01,60,69,0.13,0.0,0.0
Denmark,2021-01-01,70,79,0.1,0.0,0.0
Denmark,2021-01-01,80,,0.43,0.0,0.0
Denmark,2021-01-08,15,17,0.0,0.0,0.0
Denmark,2021-01-08,18,24,0.45,0.0,0.0
Denmark,2021-01-08,25,49,1.86,0.0,0.0
Denmark,2021-01-08,50,59,2.63,0.0,0.0
Denmark,2021-01-08,60,69,2.62,0.0,0.0
Denmark,2021-01-08,70,79,1.66,0.0,0.0
Denmark,2021-01-08,80,,7.93,0.0,0.0
Denmark,2021-01-15,10,14,0.0,0.0,0.0
Denmark,2021-01-15,15,17,0.01,0.0,0.0
Denmark,2021-01-15,18,24,0.64,0.0,0.0
Denmark,2021-01-15,25,49,2.62,0.01,0.0
Denmark,2021-01-15,50,59,3.56,0.02,0.0
Denmark,2021-01-15,60,69,3.77,0.01,0.0
Denmark,2021-01-15,70,79,3.04,0.01,0.0
Denmark,2021-01-15,80,,12.69,0.05,0.0
Denmark,2021-01-22,15,17,0.01,0.0,0.0
Denmark,2021-01-22,18,24,0.7,0.1,0.0
Denmark,2021-01-22,25,49,2.76,0.39,0.0
Denmark,2021-01-22,50,59,3.75,0.57,0.0
Denmark,2021-01-22,60,69,4.0,0.59,0.0
Denmark,2021-01-22,70,79,3.36,0.5,0.0
Denmark,2021-01-22,80,,13.73,2.44,0.0
Denmark,2021-01-29,15,17,0.02,0.0,0.0
Denmark,2021-01-29,18,24,0.74,0.33,0.0
Denmark,2021-01-29,25,49,2.83,1.32,0.0
Denmark,2021-01-29,50,59,3.86,1.98,0.0
Denmark,2021-01-29,60,69,4.11,2.01,0.0
Denmark,2021-01-29,70,79,3.45,1.38,0.0
Denmark,2021-01-29,80,,13.93,6.73,0.0
Denmark,2021-02-05,15,17,0.02,0.01,0.0
Denmark,2021-02-05,18,24,0.78,0.52,0.0
Denmark,2021-02-05,25,49,2.91,2.07,0.0
Denmark,2021-02-05,50,59,3.96,2.98,0.0
Denmark,2021-02-05,60,69,4.24,3.19,0.0
