location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Estonia,2021-01-01,18,24,0.01,0.0,0.0
Estonia,2021-01-01,25,49,0.02,0.0,0.0
Estonia,2021-01-01,50,59,0.03,0.0,0.0
Estonia,2021-01-01,60,69,0.02,0.0,0.0
Estonia,2021-01-01,70,79,0.0,0.0,0.0
Estonia,2021-01-01,80,,0.0,0.0,0.0
Estonia,2021-01-08,18,24,0.6,0.0,0.0
Estonia,2021-01-08,25,49,1.08,0.0,0.0
Estonia,2021-01-08,50,59,1.51,0.0,0.0
Estonia,2021-01-08,60,69,1.27,0.0,0.0
Estonia,2021-01-08,70,79,0.53,0.0,0.0
Estonia,2021-01-08,80,,0.22,0.0,0.0
Estonia,2021-01-15,18,24,0.93,0.01,0.0
Estonia,2021-01-15,25,49,1.57,0.01,0.0
Estonia,2021-01-15,50,59,2.34,0.01,0.0
Estonia,2021-01-15,60,69,2.12,0.01,0.0
Estonia,2021-01-15,70,79,1.15,0.0,0.0
Estonia,2021-01-15,80,,1.59,0.02,0.0
Estonia,2021-01-22,18,24,1.08,0.1,0.0
Estonia,2021-01-22,25,49,1.84,0.25,0.0
Estonia,2021-01-22,50,59,2.87,0.35,0.0
Estonia,2021-01-22,60,69,2.69,0.28,0.0
Estonia,2021-01-22,70,79,1.78,0.11,0.0
Estonia,2021-01-22,80,,3.57,0.08,0.0
Estonia,2021-01-29,18,24,1.26,0.56,0.0
Estonia,2021-01-29,25,49,2.13,1.03,0.0
Estonia,2021-01-29,50,59,3.4,1.46,0.0
Estonia,2021-01-29,60,69,3.16,1.25,0.0
Estonia,2021-01-29,70,79,2.27,0.53,0.0
Estonia,2021-01-29,80,,4.68,0.25,0.0
Estonia,2021-02-05,18,24,1.52,0.9,0.0
Estonia,2021-02-05,25,49,2.54,1.54,0.0
Estonia,2021-02-05,50,59,4.09,2.33,0.0
Estonia,2021-02-05,60,69,3.79,2.13,0.0
Estonia,2021-02-05,70,79,3.31,1.16,0.0
Estonia,2021-02-05,80,,7.48,1.58,0.0
Estonia,2021-02-12,18,24,1.9,1.04,0.0
Estonia,2021-02-12,25,49,2.8,1.78,0.0
Estonia,2021-02-12,50,59,4.54,2.79,0.0
Estonia,2021-02-12,60,69,4.28,2.64,0.0
Estonia,2021-02-12,70,79,4.91,1.71,0.0
Estonia,2021-02-12,80,,14.43,3.24,0.0
Estonia,2021-02-19,18,24,2.22,1.21,0.0
Estonia,2021-02-19,25,49,3.64,2.06,0.0
Estonia,2021-02-19,50,59,6.19,3.29,0.0
Estonia,2021-02-19,60,69,5.87,3.06,0.0
Estonia,2021-02-19,70,79,7.15,2.09,0.0
Estonia,2021-02-19,80,,19.81,4.19,0.0
Estonia,2021-02-26,18,24,2.88,1.47,0.0
Estonia,2021-02-26,25,49,4.92,2.5,0.0
Estonia,2021-02-26,50,59,8.15,4.01,0.0
Estonia,2021-02-26,60,69,7.66,3.73,0.0
Estonia,2021-02-26,70,79,8.03,3.07,0.0
Estonia,2021-02-26,80,,23.16,6.91,0.0
Estonia,2021-03-05,18,24,3.93,1.9,0.0
Estonia,2021-03-05,25,49,6.42,2.78,0.0
Estonia,2021-03-05,50,59,11.07,4.46,0.0
Estonia,2021-03-05,60,69,11.31,4.23,0.0
Estonia,2021-03-05,70,79,9.57,4.59,0.0
Estonia,2021-03-05,80,,27.1,13.57,0.0
Estonia,2021-03-12,18,24,4.7,1.99,0.0
Estonia,2021-03-12,25,49,7.92,2.94,0.0
Estonia,2021-03-12,50,59,14.14,4.77,0.0
Estonia,2021-03-12,60,69,18.04,4.7,0.0
Estonia,2021-03-12,70,79,16.9,6.86,0.01
Estonia,2021-03-12,80,,32.29,19.17,0.01
Estonia,2021-03-19,18,24,5.73,2.09,0.0
Estonia,2021-03-19,25,49,9.34,3.03,0.0
Estonia,2021-03-19,50,59,16.65,4.91,0.0
Estonia,2021-03-19,60,69,21.58,4.89,0.0
Estonia,2021-03-19,70,79,24.19,7.81,0.01
Estonia,2021-03-19,80,,36.45,22.45,0.01
Estonia,2021-03-26,18,24,6.16,2.16,0.0
Estonia,2021-03-26,25,49,10.18,3.14,0.0
Estonia,2021-03-26,50,59,18.38,5.07,0.0
Estonia,2021-03-26,60,69,25.03,5.12,0.0
Estonia,2021-03-26,70,79,33.01,8.65,0.01
Estonia,2021-03-26,80,,41.81,24.99,0.01
Estonia,2021-04-02,18,24,6.66,2.22,0.0
Estonia,2021-04-02,25,49,11.22,3.24,0.0
Estonia,2021-04-02,50,59,21.38,5.29,0.0
Estonia,2021-04-02,60,69,31.16,5.65,0.0
Estonia,2021-04-02,70,79,40.98,11.6,0.01
Estonia,2021-04-02,80,,45.71,29.13,0.01
Estonia,2021-04-09,18,24,7.02,2.31,0.0
Estonia,2021-04-09,25,49,12.07,3.42,0.0
Estonia,2021-04-09,50,59,23.71,5.64,0.0
Estonia,2021-04-09,60,69,36.64,6.16,0.0
Estonia,2021-04-09,70,79,51.31,13.82,0.01
Estonia,2021-04-09,80,,50.74,31.2,0.01
Estonia,2021-04-16,18,24,7.38,2.53,0.0
Estonia,2021-04-16,25,49,12.99,4.13,0.0
Estonia,2021-04-16,50,59,26.29,7.13,0.0
Estonia,2021-04-16,60,69,42.08,7.82,0.0
Estonia,2021-04-16,70,79,59.06,15.28,0.01
Estonia,2021-04-16,80,,53.84,32.08,0.01
Estonia,2021-04-23,18,24,7.91,2.92,0.0
Estonia,2021-04-23,25,49,14.08,5.16,0.0
Estonia,2021-04-23,50,59,29.2,8.86,0.0
Estonia,2021-04-23,60,69,46.62,9.73,0.0
Estonia,2021-04-23,70,79,62.8,17.89,0.01
Estonia,2021-04-23,80,,55.56,33.33,0.01
Estonia,2021-04-30,18,24,8.85,4.01,0.0
Estonia,2021-04-30,25,49,15.79,6.71,0.0
Estonia,2021-04-30,50,59,33.74,11.75,0.0
Estonia,2021-04-30,60,69,50.88,13.64,0.01
Estonia,2021-04-30,70,79,65.59,21.77,0.01
Estonia,2021-04-30,80,,57.24,36.64,0.01
Estonia,2021-05-07,18,24,10.01,4.82,0.0
Estonia,2021-05-07,25,49,18.0,8.17,0.0
Estonia,2021-05-07,50,59,41.6,15.13,0.0
Estonia,2021-05-07,60,69,54.61,19.67,0.01
Estonia,2021-05-07,70,79,67.3,29.53,0.01
Estonia,2021-05-07,80,,58.35,41.5,0.01
Estonia,2021-05-14,18,24,11.19,5.28,0.0
Estonia,2021-05-14,25,49,20.69,9.1,0.0
Estonia,2021-05-14,50,59,46.76,16.97,0.0
Estonia,2021-05-14,60,69,56.85,22.71,0.01
Estonia,2021-05-14,70,79,68.26,34.5,0.02
Estonia,2021-05-14,80,,59.32,44.74,0.02
Estonia,2021-05-21,18,24,12.97,6.2,0.0
Estonia,2021-05-21,25,49,26.62,10.86,0.0
Estonia,2021-05-21,50,59,49.15,19.39,0.01
Estonia,2021-05-21,60,69,57.98,26.51,0.01
Estonia,2021-05-21,70,79,68.84,42.11,0.02
Estonia,2021-05-21,80,,60.01,49.52,0.02
Estonia,2021-05-28,18,24,19.95,8.35,0.0
Estonia,2021-05-28,25,49,31.08,12.91,0.0
Estonia,2021-05-28,50,59,50.56,22.68,0.01
Estonia,2021-05-28,60,69,58.8,31.75,0.01
Estonia,2021-05-28,70,79,69.4,49.43,0.02
Estonia,2021-05-28,80,,60.66,52.79,0.02
Estonia,2021-06-04,18,24,25.52,10.1,0.0
Estonia,2021-06-04,25,49,35.12,15.08,0.0
Estonia,2021-06-04,50,59,52.01,26.61,0.01
Estonia,2021-06-04,60,69,59.69,37.72,0.01
Estonia,2021-06-04,70,79,69.9,54.09,0.02
Estonia,2021-06-04,80,,61.15,54.69,0.03
Estonia,2021-06-11,18,24,29.94,12.5,0.0
Estonia,2021-06-11,25,49,38.11,18.16,0.01
Estonia,2021-06-11,50,59,53.31,33.96,0.01
Estonia,2021-06-11,60,69,60.52,44.61,0.02
Estonia,2021-06-11,70,79,70.34,58.82,0.03
Estonia,2021-06-11,80,,61.58,56.84,0.04
Estonia,2021-06-18,18,24,33.33,14.9,0.0
Estonia,2021-06-18,25,49,40.58,22.4,0.01
Estonia,2021-06-18,50,59,54.69,43.19,0.02
Estonia,2021-06-18,60,69,61.34,50.82,0.02
Estonia,2021-06-18,70,79,70.76,63.09,0.03
Estonia,2021-06-18,80,,61.93,58.42,0.04
Estonia,2021-06-25,18,24,34.65,16.58,0.0
Estonia,2021-06-25,25,49,41.58,24.47,0.01
Estonia,2021-06-25,50,59,55.25,46.4,0.02
Estonia,2021-06-25,60,69,61.65,53.76,0.02
Estonia,2021-06-25,70,79,70.88,65.2,0.03
Estonia,2021-06-25,80,,62.05,59.02,0.04
Estonia,2021-07-02,18,24,36.4,18.88,0.01
Estonia,2021-07-02,25,49,42.97,29.81,0.01
Estonia,2021-07-02,50,59,56.23,49.21,0.02
Estonia,2021-07-02,60,69,62.32,56.78,0.03
Estonia,2021-07-02,70,79,71.21,67.59,0.03
Estonia,2021-07-02,80,,62.31,59.83,0.04
Estonia,2021-07-09,18,24,38.29,24.03,0.01
Estonia,2021-07-09,25,49,44.59,33.68,0.02
Estonia,2021-07-09,50,59,57.44,50.74,0.02
Estonia,2021-07-09,60,69,63.16,57.96,0.03
Estonia,2021-07-09,70,79,71.63,68.38,0.03
Estonia,2021-07-09,80,,62.61,60.33,0.04
Estonia,2021-07-16,18,24,40.23,28.6,0.01
Estonia,2021-07-16,25,49,46.17,37.09,0.02
Estonia,2021-07-16,50,59,58.69,52.24,0.03
Estonia,2021-07-16,60,69,63.91,58.9,0.03
Estonia,2021-07-16,70,79,72.0,68.86,0.03
Estonia,2021-07-16,80,,62.89,60.68,0.05
Estonia,2021-07-23,18,24,43.61,33.17,0.01
Estonia,2021-07-23,25,49,48.21,40.35,0.02
Estonia,2021-07-23,50,59,60.25,53.91,0.03
Estonia,2021-07-23,60,69,65.03,60.0,0.04
Estonia,2021-07-23,70,79,72.63,69.4,0.04
Estonia,2021-07-23,80,,63.31,61.11,0.05
Estonia,2021-07-30,18,24,46.12,36.01,0.02
Estonia,2021-07-30,25,49,50.06,42.43,0.02
Estonia,2021-07-30,50,59,61.68,55.2,0.03
Estonia,2021-07-30,60,69,66.03,60.88,0.05
Estonia,2021-07-30,70,79,73.14,69.84,0.04
Estonia,2021-07-30,80,,63.64,61.37,0.05
Estonia,2021-08-06,18,24,49.59,38.13,0.02
Estonia,2021-08-06,25,49,52.61,44.18,0.03
Estonia,2021-08-06,50,59,63.52,56.42,0.05
Estonia,2021-08-06,60,69,67.22,61.65,0.06
Estonia,2021-08-06,70,79,73.79,70.21,0.04
Estonia,2021-08-06,80,,64.17,61.68,0.05
Estonia,2021-08-13,18,24,52.95,40.37,0.03
Estonia,2021-08-13,25,49,54.98,45.91,0.04
Estonia,2021-08-13,50,59,65.26,57.73,0.07
Estonia,2021-08-13,60,69,68.55,62.59,0.08
Estonia,2021-08-13,70,79,74.57,70.64,0.05
Estonia,2021-08-13,80,,64.77,62.02,0.06
Estonia,2021-08-20,18,24,55.37,42.45,0.03
Estonia,2021-08-20,25,49,56.61,47.16,0.05
Estonia,2021-08-20,50,59,66.55,58.72,0.1
Estonia,2021-08-20,60,69,69.44,63.3,0.09
Estonia,2021-08-20,70,79,75.05,71.04,0.06
Estonia,2021-08-20,80,,65.18,62.3,0.06
Estonia,2021-08-27,18,24,58.02,44.72,0.04
Estonia,2021-08-27,25,49,58.19,48.53,0.07
Estonia,2021-08-27,50,59,67.64,59.78,0.12
Estonia,2021-08-27,60,69,70.29,64.09,0.12
Estonia,2021-08-27,70,79,75.52,71.48,0.07
Estonia,2021-08-27,80,,65.58,62.62,0.07
Estonia,2021-09-03,18,24,59.59,46.73,0.05
Estonia,2021-09-03,25,49,59.14,50.02,0.08
Estonia,2021-09-03,50,59,68.34,60.87,0.14
Estonia,2021-09-03,60,69,70.78,64.85,0.14
Estonia,2021-09-03,70,79,75.8,71.96,0.09
Estonia,2021-09-03,80,,65.84,62.95,0.07
Estonia,2021-09-10,18,24,60.8,48.9,0.05
Estonia,2021-09-10,25,49,59.86,51.57,0.1
Estonia,2021-09-10,50,59,68.9,62.05,0.17
Estonia,2021-09-10,60,69,71.3,65.74,0.17
Estonia,2021-09-10,70,79,76.14,72.44,0.1
Estonia,2021-09-10,80,,66.1,63.28,0.08
Estonia,2021-09-17,18,24,61.87,51.52,0.08
Estonia,2021-09-17,25,49,60.61,53.44,0.14
Estonia,2021-09-17,50,59,69.49,63.43,0.22
Estonia,2021-09-17,60,69,71.79,66.67,0.21
Estonia,2021-09-17,70,79,76.45,72.97,0.12
Estonia,2021-09-17,80,,66.44,63.71,0.1
Estonia,2021-09-24,18,24,62.79,54.49,0.11
Estonia,2021-09-24,25,49,61.29,55.49,0.17
Estonia,2021-09-24,50,59,70.06,64.92,0.27
Estonia,2021-09-24,60,69,72.27,67.76,0.26
Estonia,2021-09-24,70,79,76.74,73.67,0.15
Estonia,2021-09-24,80,,66.79,64.36,0.14
Estonia,2021-10-01,18,24,63.47,56.35,0.13
Estonia,2021-10-01,25,49,61.83,56.72,0.2
Estonia,2021-10-01,50,59,70.48,65.81,0.31
Estonia,2021-10-01,60,69,72.67,68.44,0.29
Estonia,2021-10-01,70,79,77.02,74.08,0.18
Estonia,2021-10-01,80,,67.07,64.72,0.18
Estonia,2021-10-08,18,24,64.09,57.98,0.17
Estonia,2021-10-08,25,49,62.3,57.75,0.26
Estonia,2021-10-08,50,59,70.82,66.52,0.41
Estonia,2021-10-08,60,69,73.03,68.97,0.42
Estonia,2021-10-08,70,79,77.26,74.39,0.3
Estonia,2021-10-08,80,,67.32,65.01,0.3
Estonia,2021-10-15,18,24,64.71,59.27,0.35
Estonia,2021-10-15,25,49,62.87,58.63,0.6
Estonia,2021-10-15,50,59,71.32,67.17,0.88
Estonia,2021-10-15,60,69,73.48,69.47,0.91
Estonia,2021-10-15,70,79,77.59,74.72,0.88
Estonia,2021-10-15,80,,67.65,65.33,1.07
Estonia,2021-10-22,18,24,65.87,60.59,0.63
Estonia,2021-10-22,25,49,64.05,59.73,1.15
Estonia,2021-10-22,50,59,72.14,67.96,1.84
Estonia,2021-10-22,60,69,74.21,70.07,2.07
Estonia,2021-10-22,70,79,78.08,75.13,2.58
Estonia,2021-10-22,80,,68.14,65.75,3.7
Estonia,2021-10-29,18,24,67.45,61.92,1.01
Estonia,2021-10-29,25,49,65.44,60.74,1.97
Estonia,2021-10-29,50,59,73.24,68.72,3.68
Estonia,2021-10-29,60,69,75.19,70.69,5.12
Estonia,2021-10-29,70,79,78.83,75.61,8.51
Estonia,2021-10-29,80,,68.9,66.21,13.15
Estonia,2021-11-05,18,24,68.66,62.89,1.64
Estonia,2021-11-05,25,49,66.57,61.54,3.41
Estonia,2021-11-05,50,59,74.18,69.33,7.0
Estonia,2021-11-05,60,69,76.09,71.27,10.21
Estonia,2021-11-05,70,79,79.58,76.11,16.69
Estonia,2021-11-05,80,,69.67,66.74,22.81
Estonia,2021-11-12,18,24,69.46,63.58,2.37
Estonia,2021-11-12,25,49,67.25,62.12,4.82
Estonia,2021-11-12,50,59,74.71,69.85,9.95
Estonia,2021-11-12,60,69,76.65,71.79,14.94
Estonia,2021-11-12,70,79,80.06,76.56,23.44
Estonia,2021-11-12,80,,70.26,67.18,28.78
Estonia,2021-11-19,18,24,70.11,64.23,3.16
Estonia,2021-11-19,25,49,67.82,62.73,6.32
Estonia,2021-11-19,50,59,75.11,70.36,13.14
Estonia,2021-11-19,60,69,77.04,72.29,19.62
Estonia,2021-11-19,70,79,80.38,76.95,29.92
Estonia,2021-11-19,80,,70.77,67.56,32.8
Estonia,2021-11-26,18,24,70.67,64.91,3.86
Estonia,2021-11-26,25,49,68.26,63.38,7.5
Estonia,2021-11-26,50,59,75.43,70.89,15.48
Estonia,2021-11-26,60,69,77.32,72.78,23.76
Estonia,2021-11-26,70,79,80.66,77.3,36.01
Estonia,2021-11-26,80,,71.1,68.0,35.71
Estonia,2021-12-03,18,24,70.94,65.28,3.93
Estonia,2021-12-03,25,49,68.45,63.71,7.64
Estonia,2021-12-03,50,59,75.55,71.14,16.83
Estonia,2021-12-03,60,69,77.44,73.04,25.07
Estonia,2021-12-03,70,79,80.79,77.53,38.95
Estonia,2021-12-03,80,,71.25,68.23,39.47
