location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Finland,2021-01-01,18,24,0.0,0.0,0.0
Finland,2021-01-01,25,49,0.0,0.0,0.0
Finland,2021-01-01,50,59,0.0,0.0,0.0
Finland,2021-01-01,70,79,0.0,0.0,0.0
Finland,2021-01-01,80,,0.0,0.0,0.0
Finland,2021-01-08,15,17,0.0,0.0,0.0
Finland,2021-01-08,18,24,0.17,0.0,0.0
Finland,2021-01-08,25,49,0.7,0.0,0.0
Finland,2021-01-08,50,59,0.64,0.0,0.0
Finland,2021-01-08,60,69,0.28,0.0,0.0
Finland,2021-01-08,70,79,0.07,0.0,0.0
Finland,2021-01-08,80,,0.35,0.0,0.0
Finland,2021-01-15,15,17,0.02,0.0,0.0
Finland,2021-01-15,18,24,0.47,0.0,0.0
Finland,2021-01-15,25,49,1.64,0.0,0.0
Finland,2021-01-15,50,59,1.76,0.0,0.0
Finland,2021-01-15,60,69,0.88,0.0,0.0
Finland,2021-01-15,70,79,0.49,0.0,0.0
Finland,2021-01-15,80,,2.78,0.0,0.0
Finland,2021-01-22,15,17,0.06,0.0,0.0
Finland,2021-01-22,18,24,0.88,0.03,0.0
Finland,2021-01-22,25,49,2.47,0.18,0.0
Finland,2021-01-22,50,59,2.92,0.16,0.0
Finland,2021-01-22,60,69,1.63,0.06,0.0
Finland,2021-01-22,70,79,1.38,0.0,0.0
Finland,2021-01-22,80,,8.21,0.0,0.0
Finland,2021-01-29,15,17,0.08,0.0,0.0
Finland,2021-01-29,18,24,1.18,0.15,0.0
Finland,2021-01-29,25,49,2.94,0.66,0.0
Finland,2021-01-29,50,59,3.62,0.61,0.0
Finland,2021-01-29,60,69,2.12,0.27,0.0
Finland,2021-01-29,70,79,2.12,0.05,0.0
Finland,2021-01-29,80,,14.02,0.27,0.0
Finland,2021-02-05,15,17,0.1,0.01,0.0
Finland,2021-02-05,18,24,1.31,0.4,0.0
Finland,2021-02-05,25,49,3.16,1.49,0.0
Finland,2021-02-05,50,59,3.91,1.57,0.0
Finland,2021-02-05,60,69,2.34,0.78,0.0
Finland,2021-02-05,70,79,2.46,0.35,0.0
Finland,2021-02-05,80,,17.9,1.89,0.0
Finland,2021-02-12,15,17,0.11,0.02,0.0
Finland,2021-02-12,18,24,1.42,0.53,0.0
Finland,2021-02-12,25,49,3.36,1.82,0.0
Finland,2021-02-12,50,59,4.22,2.0,0.0
Finland,2021-02-12,60,69,2.86,1.05,0.0
Finland,2021-02-12,70,79,3.23,0.55,0.0
Finland,2021-02-12,80,,25.83,3.04,0.0
Finland,2021-02-19,15,17,0.12,0.03,0.0
Finland,2021-02-19,18,24,1.6,0.57,0.0
Finland,2021-02-19,25,49,3.69,1.91,0.0
Finland,2021-02-19,50,59,4.86,2.14,0.0
Finland,2021-02-19,60,69,4.59,1.13,0.0
Finland,2021-02-19,70,79,4.85,0.65,0.0
Finland,2021-02-19,80,,40.17,3.83,0.0
Finland,2021-02-26,15,17,0.13,0.03,0.0
Finland,2021-02-26,18,24,1.72,0.6,0.0
Finland,2021-02-26,25,49,3.98,1.97,0.0
Finland,2021-02-26,50,59,5.87,2.23,0.0
Finland,2021-02-26,60,69,7.42,1.19,0.0
Finland,2021-02-26,70,79,7.34,0.76,0.0
Finland,2021-02-26,80,,54.7,5.42,0.0
Finland,2021-03-05,15,17,0.14,0.03,0.0
Finland,2021-03-05,18,24,1.88,0.61,0.0
Finland,2021-03-05,25,49,4.3,1.99,0.0
Finland,2021-03-05,50,59,7.38,2.24,0.0
Finland,2021-03-05,60,69,10.82,1.21,0.0
Finland,2021-03-05,70,79,12.12,0.8,0.0
Finland,2021-03-05,80,,67.83,6.12,0.0
Finland,2021-03-12,15,17,0.17,0.03,0.0
Finland,2021-03-12,18,24,2.06,0.61,0.0
Finland,2021-03-12,25,49,4.8,2.0,0.0
Finland,2021-03-12,50,59,9.32,2.26,0.0
Finland,2021-03-12,60,69,13.93,1.22,0.0
Finland,2021-03-12,70,79,20.15,0.81,0.0
Finland,2021-03-12,80,,77.46,6.22,0.0
Finland,2021-03-19,15,17,0.21,0.03,0.0
Finland,2021-03-19,18,24,2.24,0.62,0.0
Finland,2021-03-19,25,49,5.26,2.02,0.0
Finland,2021-03-19,50,59,10.84,2.28,0.0
Finland,2021-03-19,60,69,16.54,1.24,0.0
Finland,2021-03-19,70,79,32.46,0.83,0.0
Finland,2021-03-19,80,,82.72,6.33,0.0
Finland,2021-03-26,15,17,0.23,0.03,0.0
Finland,2021-03-26,18,24,2.28,0.63,0.0
Finland,2021-03-26,25,49,5.36,2.04,0.0
Finland,2021-03-26,50,59,11.1,2.31,0.0
Finland,2021-03-26,60,69,17.45,1.26,0.0
Finland,2021-03-26,70,79,48.08,0.84,0.0
Finland,2021-03-26,80,,85.56,6.37,0.0
Finland,2021-04-02,15,17,0.28,0.04,0.0
Finland,2021-04-02,18,24,2.4,0.64,0.0
Finland,2021-04-02,25,49,5.61,2.06,0.0
Finland,2021-04-02,50,59,11.59,2.34,0.0
Finland,2021-04-02,60,69,19.8,1.28,0.0
Finland,2021-04-02,70,79,65.56,0.87,0.0
Finland,2021-04-02,80,,87.17,6.51,0.0
Finland,2021-04-09,15,17,0.34,0.04,0.0
Finland,2021-04-09,18,24,2.77,0.69,0.0
Finland,2021-04-09,25,49,6.42,2.15,0.0
Finland,2021-04-09,50,59,13.27,2.48,0.0
Finland,2021-04-09,60,69,26.23,1.37,0.0
Finland,2021-04-09,70,79,80.69,1.0,0.0
Finland,2021-04-09,80,,88.21,7.23,0.0
Finland,2021-04-16,15,17,0.53,0.05,0.0
Finland,2021-04-16,18,24,3.65,0.92,0.0
Finland,2021-04-16,25,49,8.27,2.57,0.0
Finland,2021-04-16,50,59,16.94,3.11,0.0
Finland,2021-04-16,60,69,38.74,1.82,0.0
Finland,2021-04-16,70,79,88.65,1.57,0.0
Finland,2021-04-16,80,,89.18,10.91,0.0
Finland,2021-04-23,15,17,0.76,0.07,0.0
Finland,2021-04-23,18,24,4.63,1.14,0.0
Finland,2021-04-23,25,49,10.21,2.93,0.0
Finland,2021-04-23,50,59,22.53,3.63,0.0
Finland,2021-04-23,60,69,51.78,2.21,0.0
Finland,2021-04-23,70,79,91.13,2.16,0.0
Finland,2021-04-23,80,,89.75,15.08,0.0
Finland,2021-04-30,15,17,1.11,0.07,0.0
Finland,2021-04-30,18,24,5.74,1.24,0.0
Finland,2021-04-30,25,49,11.99,3.1,0.0
Finland,2021-04-30,50,59,31.9,3.87,0.0
Finland,2021-04-30,60,69,63.1,2.43,0.0
Finland,2021-04-30,70,79,92.19,2.58,0.0
Finland,2021-04-30,80,,90.05,17.79,0.0
Finland,2021-05-07,15,17,1.62,0.09,0.0
Finland,2021-05-07,18,24,6.57,1.34,0.0
Finland,2021-05-07,25,49,13.79,3.29,0.0
Finland,2021-05-07,50,59,45.21,4.17,0.0
Finland,2021-05-07,60,69,71.91,2.99,0.0
Finland,2021-05-07,70,79,92.91,3.4,0.0
Finland,2021-05-07,80,,90.4,25.57,0.0
Finland,2021-05-14,15,17,2.05,0.09,0.0
