location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Hungary,2021-01-01,18,24,0.0,0.0,0.0
Hungary,2021-01-01,25,49,0.02,0.0,0.0
Hungary,2021-01-01,50,59,0.02,0.0,0.0
Hungary,2021-01-01,60,69,0.01,0.0,0.0
Hungary,2021-01-01,70,79,0.0,0.0,0.0
Hungary,2021-01-01,80,,0.0,0.0,0.0
Hungary,2021-01-08,18,24,0.33,0.0,0.0
Hungary,2021-01-08,25,49,0.92,0.0,0.0
Hungary,2021-01-08,50,59,1.51,0.0,0.0
Hungary,2021-01-08,60,69,0.85,0.0,0.0
Hungary,2021-01-08,70,79,0.54,0.0,0.0
Hungary,2021-01-08,80,,0.64,0.0,0.0
Hungary,2021-01-15,18,24,0.79,0.0,0.0
Hungary,2021-01-15,25,49,1.55,0.01,0.0
Hungary,2021-01-15,50,59,2.5,0.01,0.0
Hungary,2021-01-15,60,69,1.45,0.01,0.0
Hungary,2021-01-15,70,79,0.96,0.0,0.0
Hungary,2021-01-15,80,,1.12,0.0,0.0
Hungary,2021-01-22,18,24,1.12,0.03,0.0
Hungary,2021-01-22,25,49,1.85,0.18,0.0
Hungary,2021-01-22,50,59,2.88,0.24,0.0
Hungary,2021-01-22,60,69,1.68,0.12,0.0
Hungary,2021-01-22,70,79,1.1,0.06,0.0
Hungary,2021-01-22,80,,1.18,0.02,0.0
Hungary,2021-01-29,18,24,1.6,0.3,0.0
Hungary,2021-01-29,25,49,2.62,0.88,0.0
Hungary,2021-01-29,50,59,4.27,1.46,0.0
Hungary,2021-01-29,60,69,2.74,0.82,0.0
Hungary,2021-01-29,70,79,2.32,0.53,0.0
Hungary,2021-01-29,80,,5.13,0.62,0.0
Hungary,2021-02-05,18,24,1.76,0.72,0.0
Hungary,2021-02-05,25,49,2.77,1.5,0.0
Hungary,2021-02-05,50,59,4.46,2.42,0.0
Hungary,2021-02-05,60,69,2.85,1.4,0.0
Hungary,2021-02-05,70,79,2.42,0.88,0.0
Hungary,2021-02-05,80,,13.07,0.8,0.0
Hungary,2021-02-12,18,24,1.82,1.05,0.0
Hungary,2021-02-12,25,49,2.95,1.8,0.0
Hungary,2021-02-12,50,59,5.77,2.83,0.0
Hungary,2021-02-12,60,69,2.99,1.66,0.0
Hungary,2021-02-12,70,79,3.3,1.08,0.0
Hungary,2021-02-12,80,,19.05,1.12,0.0
Hungary,2021-02-19,18,24,2.1,1.5,0.0
Hungary,2021-02-19,25,49,3.31,2.54,0.0
Hungary,2021-02-19,50,59,7.48,4.16,0.0
Hungary,2021-02-19,60,69,4.11,2.67,0.0
Hungary,2021-02-19,70,79,5.59,2.24,0.0
Hungary,2021-02-19,80,,24.99,4.85,0.0
Hungary,2021-02-26,18,24,2.22,1.65,0.0
Hungary,2021-02-26,25,49,3.9,2.68,0.0
Hungary,2021-02-26,50,59,9.96,4.33,0.0
Hungary,2021-02-26,60,69,9.55,2.78,0.0
Hungary,2021-02-26,70,79,16.7,2.33,0.0
Hungary,2021-02-26,80,,34.6,10.24,0.0
Hungary,2021-03-05,18,24,2.35,1.67,0.0
Hungary,2021-03-05,25,49,4.24,2.72,0.0
Hungary,2021-03-05,50,59,11.54,4.41,0.0
Hungary,2021-03-05,60,69,17.49,2.91,0.0
Hungary,2021-03-05,70,79,33.6,3.18,0.0
Hungary,2021-03-05,80,,44.2,18.34,0.0
Hungary,2021-03-12,18,24,2.92,1.91,0.0
Hungary,2021-03-12,25,49,5.83,3.0,0.0
Hungary,2021-03-12,50,59,15.65,5.82,0.0
Hungary,2021-03-12,60,69,25.02,3.97,0.0
Hungary,2021-03-12,70,79,45.54,5.36,0.0
Hungary,2021-03-12,80,,51.26,24.04,0.0
Hungary,2021-03-19,18,24,3.43,1.97,0.0
Hungary,2021-03-19,25,49,6.71,3.26,0.0
Hungary,2021-03-19,50,59,17.01,7.3,0.0
Hungary,2021-03-19,60,69,32.06,4.56,0.0
Hungary,2021-03-19,70,79,55.34,7.7,0.0
Hungary,2021-03-19,80,,56.5,29.31,0.0
Hungary,2021-03-26,18,24,3.9,2.06,0.0
Hungary,2021-03-26,25,49,7.81,3.73,0.0
Hungary,2021-03-26,50,59,19.29,9.51,0.0
Hungary,2021-03-26,60,69,43.96,9.46,0.0
Hungary,2021-03-26,70,79,65.66,16.59,0.0
Hungary,2021-03-26,80,,60.43,33.81,0.0
Hungary,2021-04-02,18,24,4.98,2.11,0.0
Hungary,2021-04-02,25,49,11.7,3.99,0.0
Hungary,2021-04-02,50,59,28.51,10.14,0.0
Hungary,2021-04-02,60,69,53.42,15.75,0.0
Hungary,2021-04-02,70,79,71.69,28.17,0.0
Hungary,2021-04-02,80,,63.61,38.75,0.0
Hungary,2021-04-09,18,24,8.0,2.49,0.0
Hungary,2021-04-09,25,49,19.73,4.64,0.0
Hungary,2021-04-09,50,59,40.09,11.26,0.0
Hungary,2021-04-09,60,69,58.6,24.29,0.0
Hungary,2021-04-09,70,79,74.0,41.48,0.0
Hungary,2021-04-09,80,,65.09,46.17,0.0
Hungary,2021-04-16,18,24,10.77,2.81,0.0
Hungary,2021-04-16,25,49,25.28,5.64,0.0
Hungary,2021-04-16,50,59,45.4,12.6,0.0
Hungary,2021-04-16,60,69,62.56,29.5,0.0
Hungary,2021-04-16,70,79,76.55,45.78,0.0
Hungary,2021-04-16,80,,67.12,48.71,0.0
Hungary,2021-04-23,18,24,13.2,3.35,0.0
Hungary,2021-04-23,25,49,30.19,7.22,0.0
Hungary,2021-04-23,50,59,50.58,17.43,0.0
Hungary,2021-04-23,60,69,66.36,34.9,0.0
Hungary,2021-04-23,70,79,79.08,52.91,0.0
Hungary,2021-04-23,80,,69.2,53.07,0.0
