location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Iceland,2021-01-08,10,14,0.0,0.0,0.0
Iceland,2021-01-08,15,17,0.02,0.0,0.0
Iceland,2021-01-08,18,24,0.31,0.0,0.0
Iceland,2021-01-08,25,49,0.85,0.0,0.0
Iceland,2021-01-08,50,59,0.82,0.0,0.0
Iceland,2021-01-08,60,69,1.29,0.0,0.0
Iceland,2021-01-08,70,79,2.52,0.0,0.0
Iceland,2021-01-08,80,,18.31,0.0,0.0
Iceland,2021-01-15,10,14,0.0,0.0,0.0
Iceland,2021-01-15,15,17,0.02,0.0,0.0
Iceland,2021-01-15,18,24,0.6,0.0,0.0
Iceland,2021-01-15,25,49,1.44,0.0,0.0
Iceland,2021-01-15,50,59,1.28,0.0,0.0
Iceland,2021-01-15,60,69,1.75,0.0,0.0
Iceland,2021-01-15,70,79,2.53,0.0,0.0
Iceland,2021-01-15,80,,18.31,0.0,0.0
Iceland,2021-01-22,10,14,0.0,0.0,0.0
Iceland,2021-01-22,15,17,0.06,0.02,0.0
Iceland,2021-01-22,18,24,0.77,0.26,0.0
Iceland,2021-01-22,25,49,1.99,0.82,0.0
Iceland,2021-01-22,50,59,2.0,0.82,0.0
Iceland,2021-01-22,60,69,2.86,1.27,0.0
Iceland,2021-01-22,70,79,5.83,2.28,0.0
Iceland,2021-01-22,80,,34.58,18.01,0.0
Iceland,2021-01-29,10,14,0.0,0.0,0.0
Iceland,2021-01-29,15,17,0.06,0.02,0.0
Iceland,2021-01-29,18,24,0.77,0.26,0.0
Iceland,2021-01-29,25,49,2.03,0.83,0.0
Iceland,2021-01-29,50,59,2.05,0.82,0.0
Iceland,2021-01-29,60,69,2.91,1.28,0.0
Iceland,2021-01-29,70,79,5.99,2.31,0.0
Iceland,2021-01-29,80,,35.46,18.14,0.0
Iceland,2021-02-05,10,14,0.0,0.0,0.0
Iceland,2021-02-05,15,17,0.08,0.02,0.0
Iceland,2021-02-05,18,24,0.83,0.26,0.0
Iceland,2021-02-05,25,49,2.4,0.83,0.0
Iceland,2021-02-05,50,59,2.49,0.83,0.0
Iceland,2021-02-05,60,69,3.26,1.29,0.0
Iceland,2021-02-05,70,79,6.58,2.33,0.0
Iceland,2021-02-05,80,,44.71,18.35,0.0
Iceland,2021-02-12,10,14,0.0,0.0,0.0
Iceland,2021-02-12,15,17,0.08,0.02,0.0
Iceland,2021-02-12,18,24,1.97,0.41,0.0
Iceland,2021-02-12,25,49,2.8,1.28,0.0
Iceland,2021-02-12,50,59,2.96,1.14,0.0
Iceland,2021-02-12,60,69,3.58,1.59,0.0
Iceland,2021-02-12,70,79,6.6,2.35,0.0
Iceland,2021-02-12,80,,44.71,18.35,0.0
Iceland,2021-02-19,10,14,0.0,0.0,0.0
Iceland,2021-02-19,15,17,0.08,0.05,0.0
Iceland,2021-02-19,18,24,2.88,0.64,0.0
Iceland,2021-02-19,25,49,3.82,1.99,0.0
Iceland,2021-02-19,50,59,4.21,2.05,0.0
Iceland,2021-02-19,60,69,5.36,2.93,0.0
Iceland,2021-02-19,70,79,6.95,5.7,0.0
Iceland,2021-02-19,80,,46.14,35.15,0.0
Iceland,2021-02-26,10,14,0.0,0.0,0.0
Iceland,2021-02-26,15,17,0.12,0.08,0.0
Iceland,2021-02-26,18,24,4.24,0.7,0.0
Iceland,2021-02-26,25,49,4.75,2.35,0.0
Iceland,2021-02-26,50,59,5.46,2.46,0.0
Iceland,2021-02-26,60,69,6.35,3.29,0.0
Iceland,2021-02-26,70,79,7.99,6.31,0.0
Iceland,2021-02-26,80,,54.32,44.38,0.0
Iceland,2021-03-05,10,14,0.0,0.0,0.0
Iceland,2021-03-05,15,17,0.13,0.08,0.0
Iceland,2021-03-05,18,24,5.46,0.7,0.0
Iceland,2021-03-05,25,49,6.06,2.36,0.0
Iceland,2021-03-05,50,59,6.93,2.48,0.0
Iceland,2021-03-05,60,69,7.48,3.3,0.0
Iceland,2021-03-05,70,79,8.37,6.33,0.0
Iceland,2021-03-05,80,,93.75,44.55,0.0
Iceland,2021-03-12,10,14,0.0,0.0,0.0
Iceland,2021-03-12,15,17,0.17,0.08,0.0
Iceland,2021-03-12,18,24,5.8,0.72,0.0
Iceland,2021-03-12,25,49,6.56,2.38,0.0
Iceland,2021-03-12,50,59,7.67,2.51,0.0
Iceland,2021-03-12,60,69,9.23,3.38,0.0
Iceland,2021-03-12,70,79,15.65,6.4,0.0
Iceland,2021-03-12,80,,105.15,45.21,0.0
Iceland,2021-03-19,10,14,0.0,0.0,0.0
Iceland,2021-03-19,15,17,0.17,0.11,0.0
Iceland,2021-03-19,18,24,5.8,0.85,0.0
Iceland,2021-03-19,25,49,6.58,2.66,0.0
Iceland,2021-03-19,50,59,7.72,2.92,0.0
Iceland,2021-03-19,60,69,9.45,4.48,0.0
Iceland,2021-03-19,70,79,31.08,7.6,0.0
Iceland,2021-03-19,80,,105.99,52.37,0.0
Iceland,2021-03-26,10,14,0.0,0.0,0.0
Iceland,2021-03-26,15,17,0.17,0.11,0.0
Iceland,2021-03-26,18,24,6.1,0.96,0.0
Iceland,2021-03-26,25,49,7.11,2.87,0.0
Iceland,2021-03-26,50,59,8.42,3.13,0.0
Iceland,2021-03-26,60,69,10.04,5.1,0.0
Iceland,2021-03-26,70,79,58.09,8.01,0.0
Iceland,2021-03-26,80,,106.28,91.76,0.0
Iceland,2021-04-02,10,14,0.0,0.0,0.0
Iceland,2021-04-02,15,17,0.18,0.12,0.0
Iceland,2021-04-02,18,24,6.41,1.07,0.0
Iceland,2021-04-02,25,49,7.76,2.92,0.0
Iceland,2021-04-02,50,59,9.22,3.19,0.0
Iceland,2021-04-02,60,69,10.97,6.36,0.0
Iceland,2021-04-02,70,79,71.98,14.91,0.0
Iceland,2021-04-02,80,,106.48,103.22,0.0
Iceland,2021-04-09,10,14,0.0,0.0,0.0
Iceland,2021-04-09,15,17,0.21,0.15,0.0
Iceland,2021-04-09,18,24,6.81,1.09,0.0
Iceland,2021-04-09,25,49,8.4,2.95,0.0
Iceland,2021-04-09,50,59,11.36,3.24,0.0
Iceland,2021-04-09,60,69,18.03,6.57,0.0
Iceland,2021-04-09,70,79,99.48,29.5,0.0
Iceland,2021-04-09,80,,106.88,105.04,0.0
Iceland,2021-04-16,10,14,0.0,0.0,0.0
Iceland,2021-04-16,15,17,0.23,0.16,0.0
Iceland,2021-04-16,18,24,7.23,1.35,0.0
Iceland,2021-04-16,25,49,10.36,3.4,0.0
Iceland,2021-04-16,50,59,14.28,3.86,0.0
Iceland,2021-04-16,60,69,30.77,7.19,0.0
Iceland,2021-04-16,70,79,102.32,31.28,0.0
Iceland,2021-04-16,80,,107.02,105.67,0.0
Iceland,2021-04-23,10,14,0.0,0.0,0.0
Iceland,2021-04-23,15,17,0.31,0.17,0.0
Iceland,2021-04-23,18,24,8.64,1.69,0.0
Iceland,2021-04-23,25,49,13.15,4.1,0.0
Iceland,2021-04-23,50,59,19.81,4.71,0.0
Iceland,2021-04-23,60,69,41.17,7.88,0.0
Iceland,2021-04-23,70,79,102.87,37.36,0.0
Iceland,2021-04-23,80,,107.09,105.81,0.0
Iceland,2021-04-30,10,14,0.0,0.0,0.0
Iceland,2021-04-30,15,17,0.43,0.17,0.0
Iceland,2021-04-30,18,24,9.8,1.99,0.0
Iceland,2021-04-30,25,49,15.56,4.64,0.0
Iceland,2021-04-30,50,59,36.13,5.92,0.0
Iceland,2021-04-30,60,69,89.44,13.07,0.0
Iceland,2021-04-30,70,79,104.2,39.0,0.0
Iceland,2021-04-30,80,,107.32,105.86,0.0
Iceland,2021-05-07,10,14,0.0,0.0,0.0
Iceland,2021-05-07,15,17,1.64,0.2,0.0
Iceland,2021-05-07,18,24,16.58,7.97,0.0
Iceland,2021-05-07,25,49,26.16,11.09,0.0
Iceland,2021-05-07,50,59,65.6,14.21,0.0
Iceland,2021-05-07,60,69,92.25,26.38,0.0
Iceland,2021-05-07,70,79,104.53,40.08,0.0
Iceland,2021-05-07,80,,107.4,105.96,0.0
Iceland,2021-05-14,10,14,0.0,0.0,0.0
Iceland,2021-05-14,15,17,2.38,0.3,0.0
Iceland,2021-05-14,18,24,18.21,9.85,0.0
Iceland,2021-05-14,25,49,29.21,13.67,0.0
Iceland,2021-05-14,50,59,70.19,18.02,0.0
Iceland,2021-05-14,60,69,93.04,37.18,0.0
Iceland,2021-05-14,70,79,104.76,40.5,0.0
Iceland,2021-05-14,80,,107.46,106.06,0.0
Iceland,2021-05-21,10,14,0.0,0.0,0.0
Iceland,2021-05-21,15,17,3.16,0.43,0.0
Iceland,2021-05-21,18,24,23.1,14.25,0.0
Iceland,2021-05-21,25,49,35.9,19.32,0.0
Iceland,2021-05-21,50,59,81.32,31.13,0.0
Iceland,2021-05-21,60,69,93.6,40.22,0.0
Iceland,2021-05-21,70,79,104.94,41.0,0.0
Iceland,2021-05-21,80,,107.54,106.12,0.0
Iceland,2021-05-28,10,14,0.0,0.0,0.0
Iceland,2021-05-28,15,17,3.8,1.55,0.0
Iceland,2021-05-28,18,24,24.74,17.25,0.0
Iceland,2021-05-28,25,49,39.48,23.65,0.0
Iceland,2021-05-28,50,59,83.55,38.85,0.0
Iceland,2021-05-28,60,69,95.25,42.08,0.0
Iceland,2021-05-28,70,79,105.96,43.25,0.0
Iceland,2021-05-28,80,,107.59,106.18,0.0
Iceland,2021-06-04,10,14,0.0,0.0,0.0
Iceland,2021-06-04,15,17,5.52,2.18,0.0
Iceland,2021-06-04,18,24,30.86,20.45,0.0
Iceland,2021-06-04,25,49,48.49,28.19,0.0
Iceland,2021-06-04,50,59,86.58,45.07,0.0
Iceland,2021-06-04,60,69,96.57,42.91,0.0
Iceland,2021-06-04,70,79,106.8,44.18,0.0
Iceland,2021-06-04,80,,107.85,106.24,0.0
Iceland,2021-06-11,10,14,0.01,0.0,0.0
Iceland,2021-06-11,15,17,10.54,2.9,0.0
Iceland,2021-06-11,18,24,53.34,30.4,0.0
Iceland,2021-06-11,25,49,61.79,36.93,0.0
Iceland,2021-06-11,50,59,87.87,51.48,0.0
Iceland,2021-06-11,60,69,97.03,45.5,0.0
Iceland,2021-06-11,70,79,107.08,80.31,0.0
Iceland,2021-06-11,80,,107.94,106.59,0.0
Iceland,2021-06-18,10,14,0.01,0.0,0.0
Iceland,2021-06-18,15,17,34.37,3.67,0.0
Iceland,2021-06-18,18,24,70.2,42.66,0.0
Iceland,2021-06-18,25,49,73.64,48.71,0.0
Iceland,2021-06-18,50,59,89.14,58.07,0.0
Iceland,2021-06-18,60,69,97.24,48.14,0.0
Iceland,2021-06-18,70,79,107.2,92.69,0.0
Iceland,2021-06-18,80,,107.95,106.71,0.0
Iceland,2021-06-25,10,14,0.51,0.0,0.0
Iceland,2021-06-25,15,17,57.73,5.33,0.0
Iceland,2021-06-25,18,24,80.0,53.58,0.0
Iceland,2021-06-25,25,49,81.77,59.43,0.0
Iceland,2021-06-25,50,59,90.9,60.96,0.0
Iceland,2021-06-25,60,69,98.35,53.67,0.0
Iceland,2021-06-25,70,79,107.92,98.19,0.0
Iceland,2021-06-25,80,,108.21,107.18,0.0
Iceland,2021-07-02,10,14,0.71,0.0,0.0
Iceland,2021-07-02,15,17,58.58,9.71,0.0
Iceland,2021-07-02,18,24,80.7,68.35,0.0
Iceland,2021-07-02,25,49,82.23,72.16,0.0
Iceland,2021-07-02,50,59,91.09,82.73,0.0
Iceland,2021-07-02,60,69,98.54,92.45,0.0
Iceland,2021-07-02,70,79,108.04,105.59,0.0
Iceland,2021-07-02,80,,108.24,107.55,0.0
Iceland,2021-07-09,10,14,0.78,0.01,0.0
Iceland,2021-07-09,15,17,59.03,31.19,0.0
Iceland,2021-07-09,18,24,82.21,76.58,0.0
Iceland,2021-07-09,25,49,83.47,77.56,0.0
Iceland,2021-07-09,50,59,91.54,87.54,0.0
Iceland,2021-07-09,60,69,98.79,95.33,0.01
Iceland,2021-07-09,70,79,108.13,106.41,0.0
Iceland,2021-07-09,80,,108.32,107.67,0.0
Iceland,2021-07-16,10,14,1.64,0.43,0.0
Iceland,2021-07-16,15,17,61.96,53.48,0.0
Iceland,2021-07-16,18,24,83.17,80.7,0.0
Iceland,2021-07-16,25,49,84.27,82.12,0.0
Iceland,2021-07-16,50,59,91.84,90.35,0.0
Iceland,2021-07-16,60,69,98.95,98.0,0.01
Iceland,2021-07-16,70,79,108.27,107.02,0.0
Iceland,2021-07-16,80,,108.37,107.83,0.0
Iceland,2021-07-23,10,14,1.68,0.58,0.0
Iceland,2021-07-23,15,17,62.18,55.89,0.0
Iceland,2021-07-23,18,24,83.44,81.32,0.0
Iceland,2021-07-23,25,49,84.5,82.53,0.0
Iceland,2021-07-23,50,59,91.88,90.55,0.0
Iceland,2021-07-23,60,69,98.98,98.14,0.01
Iceland,2021-07-23,70,79,108.3,107.08,0.0
Iceland,2021-07-23,80,,108.4,107.83,0.0
Iceland,2021-07-30,10,14,1.71,0.64,0.0
Iceland,2021-07-30,15,17,62.37,56.84,0.0
Iceland,2021-07-30,18,24,83.7,81.53,0.42
Iceland,2021-07-30,25,49,85.02,82.76,0.19
Iceland,2021-07-30,50,59,91.92,90.94,0.17
Iceland,2021-07-30,60,69,99.01,98.25,0.04
Iceland,2021-07-30,70,79,108.33,107.15,0.01
Iceland,2021-07-30,80,,108.44,107.84,0.0
Iceland,2021-08-06,10,14,1.84,0.91,0.0
Iceland,2021-08-06,15,17,62.97,57.92,0.02
Iceland,2021-08-06,18,24,84.04,81.86,4.24
Iceland,2021-08-06,25,49,85.41,83.06,2.94
Iceland,2021-08-06,50,59,92.02,91.08,1.63
Iceland,2021-08-06,60,69,99.09,98.35,0.19
Iceland,2021-08-06,70,79,108.36,107.2,0.04
Iceland,2021-08-06,80,,108.49,107.86,0.01
Iceland,2021-08-13,10,14,3.11,1.07,0.0
Iceland,2021-08-13,15,17,64.31,58.55,0.05
Iceland,2021-08-13,18,24,84.41,82.11,9.04
Iceland,2021-08-13,25,49,85.79,83.27,6.82
Iceland,2021-08-13,50,59,92.13,91.17,3.35
Iceland,2021-08-13,60,69,99.16,98.39,0.51
Iceland,2021-08-13,70,79,108.42,107.25,0.2
Iceland,2021-08-13,80,,108.57,107.9,0.96
Iceland,2021-08-20,10,14,11.21,1.49,0.0
Iceland,2021-08-20,15,17,70.9,61.1,0.08
Iceland,2021-08-20,18,24,84.9,82.93,23.0
Iceland,2021-08-20,25,49,86.18,84.2,17.31
Iceland,2021-08-20,50,59,92.27,91.37,5.19
Iceland,2021-08-20,60,69,99.26,98.51,1.12
Iceland,2021-08-20,70,79,108.48,107.35,2.0
Iceland,2021-08-20,80,,108.7,107.96,17.39
Iceland,2021-08-27,10,14,35.44,1.68,0.0
Iceland,2021-08-27,15,17,88.03,61.48,0.11
Iceland,2021-08-27,18,24,85.11,83.16,23.52
Iceland,2021-08-27,25,49,86.35,84.49,17.97
Iceland,2021-08-27,50,59,92.32,91.44,5.79
Iceland,2021-08-27,60,69,99.29,98.58,1.37
Iceland,2021-08-27,70,79,108.49,107.38,2.95
Iceland,2021-08-27,80,,108.84,108.02,23.78
Iceland,2021-09-03,10,14,36.91,2.64,0.0
Iceland,2021-09-03,15,17,88.75,62.5,0.11
Iceland,2021-09-03,18,24,85.22,83.4,23.69
Iceland,2021-09-03,25,49,86.49,84.74,18.18
Iceland,2021-09-03,50,59,92.37,91.51,5.91
Iceland,2021-09-03,60,69,99.33,98.63,1.51
Iceland,2021-09-03,70,79,108.52,107.44,4.43
Iceland,2021-09-03,80,,108.86,108.05,28.78
Iceland,2021-09-10,10,14,37.36,5.75,0.0
Iceland,2021-09-10,15,17,89.26,64.85,0.11
Iceland,2021-09-10,18,24,85.37,83.63,24.54
Iceland,2021-09-10,25,49,86.62,85.02,18.87
Iceland,2021-09-10,50,59,92.41,91.62,6.32
Iceland,2021-09-10,60,69,99.35,98.69,2.21
Iceland,2021-09-10,70,79,108.54,107.5,7.26
Iceland,2021-09-10,80,,108.88,108.08,35.71
Iceland,2021-09-17,10,14,38.62,28.69,0.0
Iceland,2021-09-17,15,17,90.2,82.25,0.11
Iceland,2021-09-17,18,24,85.47,83.82,24.67
Iceland,2021-09-17,25,49,86.72,85.25,19.0
Iceland,2021-09-17,50,59,92.44,91.7,6.42
Iceland,2021-09-17,60,69,99.36,98.74,2.61
Iceland,2021-09-17,70,79,108.55,107.56,16.09
Iceland,2021-09-17,80,,108.88,108.13,45.25
Iceland,2021-09-24,10,14,39.17,33.09,0.0
Iceland,2021-09-24,15,17,90.52,84.85,0.11
Iceland,2021-09-24,18,24,85.53,83.99,24.71
