location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Ireland,2021-01-08,18,24,0.64,0.0
Ireland,2021-01-08,25,49,1.85,0.0
Ireland,2021-01-08,50,59,1.91,0.0
Ireland,2021-01-08,60,69,0.96,0.0
Ireland,2021-01-08,70,79,0.13,0.0
Ireland,2021-01-08,80,,0.51,0.02
Ireland,2021-01-15,18,24,1.18,0.0
Ireland,2021-01-15,25,49,3.14,0.0
Ireland,2021-01-15,50,59,3.61,0.0
Ireland,2021-01-15,60,69,2.13,0.0
Ireland,2021-01-15,70,79,0.81,0.0
Ireland,2021-01-15,80,,3.92,0.02
Ireland,2021-01-22,18,24,1.66,0.04
Ireland,2021-01-22,25,49,4.11,0.15
Ireland,2021-01-22,50,59,4.91,0.13
Ireland,2021-01-22,60,69,3.19,0.06
Ireland,2021-01-22,70,79,1.94,0.01
Ireland,2021-01-22,80,,10.16,0.02
Ireland,2021-01-29,18,24,1.74,0.61
Ireland,2021-01-29,25,49,4.3,1.76
Ireland,2021-01-29,50,59,5.13,1.83
Ireland,2021-01-29,60,69,3.46,0.93
Ireland,2021-01-29,70,79,2.23,0.13
Ireland,2021-01-29,80,,10.35,0.45
Ireland,2021-02-05,18,24,1.88,1.11
Ireland,2021-02-05,25,49,4.58,2.95
Ireland,2021-02-05,50,59,5.45,3.4
Ireland,2021-02-05,60,69,3.66,1.98
Ireland,2021-02-05,70,79,2.3,0.71
Ireland,2021-02-05,80,,10.54,3.45
Ireland,2021-02-12,18,24,2.22,1.14
Ireland,2021-02-12,25,49,5.34,3.11
Ireland,2021-02-12,50,59,6.48,3.57
Ireland,2021-02-12,60,69,4.42,2.09
Ireland,2021-02-12,70,79,2.76,0.75
Ireland,2021-02-12,80,,11.77,3.5
Ireland,2021-02-19,18,24,2.78,1.62
Ireland,2021-02-19,25,49,6.11,4.05
Ireland,2021-02-19,50,59,7.44,4.83
Ireland,2021-02-19,60,69,5.06,3.11
Ireland,2021-02-19,70,79,3.04,1.77
Ireland,2021-02-19,80,,21.26,9.12
Ireland,2021-02-26,18,24,3.55,1.72
Ireland,2021-02-26,25,49,7.25,4.27
Ireland,2021-02-26,50,59,8.89,5.11
Ireland,2021-02-26,60,69,6.13,3.44
Ireland,2021-02-26,70,79,4.32,2.09
Ireland,2021-02-26,80,,43.47,9.52
Ireland,2021-03-05,18,24,4.13,1.84
Ireland,2021-03-05,25,49,8.14,4.51
Ireland,2021-03-05,50,59,10.02,5.39
Ireland,2021-03-05,60,69,7.11,3.61
Ireland,2021-03-05,70,79,7.25,2.19
Ireland,2021-03-05,80,,66.89,9.85
Ireland,2021-03-12,18,24,4.84,1.94
Ireland,2021-03-12,25,49,9.16,4.73
Ireland,2021-03-12,50,59,11.35,5.73
Ireland,2021-03-12,60,69,8.3,3.95
Ireland,2021-03-12,70,79,10.15,2.66
Ireland,2021-03-12,80,,86.65,11.26
Ireland,2021-03-19,18,24,4.96,1.99
Ireland,2021-03-19,25,49,9.28,4.85
Ireland,2021-03-19,50,59,11.54,5.9
Ireland,2021-03-19,60,69,8.62,4.12
Ireland,2021-03-19,70,79,16.06,2.93
Ireland,2021-03-19,80,,99.65,20.62
Ireland,2021-03-26,18,24,5.75,2.04
Ireland,2021-03-26,25,49,10.31,4.93
Ireland,2021-03-26,50,59,13.09,6.03
Ireland,2021-03-26,60,69,10.45,4.35
Ireland,2021-03-26,70,79,28.74,4.14
Ireland,2021-03-26,80,,103.54,42.49
Ireland,2021-04-02,18,24,6.57,2.08
Ireland,2021-04-02,25,49,11.24,4.98
Ireland,2021-04-02,50,59,14.49,6.11
Ireland,2021-04-02,60,69,12.45,4.57
Ireland,2021-04-02,70,79,43.0,7.04
Ireland,2021-04-02,80,,105.78,65.86
Ireland,2021-04-09,18,24,7.2,2.1
Ireland,2021-04-09,25,49,12.0,5.02
Ireland,2021-04-09,50,59,15.9,6.17
Ireland,2021-04-09,60,69,14.71,4.71
Ireland,2021-04-09,70,79,58.75,9.76
Ireland,2021-04-09,80,,106.6,84.89
Ireland,2021-04-16,18,24,7.35,2.12
Ireland,2021-04-16,25,49,12.33,5.06
Ireland,2021-04-16,50,59,16.73,6.23
Ireland,2021-04-16,60,69,17.79,4.85
Ireland,2021-04-16,70,79,84.57,15.69
Ireland,2021-04-16,80,,107.23,97.77
Ireland,2021-04-23,18,24,7.77,2.16
Ireland,2021-04-23,25,49,13.14,5.15
Ireland,2021-04-23,50,59,19.14,6.35
Ireland,2021-04-23,60,69,30.56,5.09
Ireland,2021-04-23,70,79,100.87,28.18
Ireland,2021-04-23,80,,107.61,101.72
Ireland,2021-04-30,18,24,8.64,2.19
Ireland,2021-04-30,25,49,14.89,5.19
Ireland,2021-04-30,50,59,23.97,6.42
Ireland,2021-04-30,60,69,48.91,5.32
Ireland,2021-04-30,70,79,104.2,42.05
Ireland,2021-04-30,80,,107.93,104.19
Ireland,2021-05-07,18,24,9.6,2.22
Ireland,2021-05-07,25,49,16.69,5.27
Ireland,2021-05-07,50,59,28.55,6.66
Ireland,2021-05-07,60,69,75.56,6.05
Ireland,2021-05-07,70,79,105.0,57.58
Ireland,2021-05-07,80,,108.1,104.99
Ireland,2021-05-14,18,24,10.56,2.39
Ireland,2021-05-14,25,49,18.35,5.57
Ireland,2021-05-14,50,59,46.59,7.5
Ireland,2021-05-14,60,69,91.11,8.48
Ireland,2021-05-14,70,79,105.51,83.38
Ireland,2021-05-14,80,,108.23,105.71
