location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Italy,2021-01-01,18,24,0.0,0.0,0.0
Italy,2021-01-01,25,49,0.02,0.0,0.0
Italy,2021-01-01,50,59,0.02,0.0,0.0
Italy,2021-01-01,60,69,0.02,0.0,0.0
Italy,2021-01-01,70,79,0.0,0.0,0.0
Italy,2021-01-01,80,,0.0,0.0,0.0
Italy,2021-01-08,18,24,0.36,0.0,0.0
Italy,2021-01-08,25,49,1.58,0.0,0.0
Italy,2021-01-08,50,59,1.98,0.0,0.0
Italy,2021-01-08,60,69,1.58,0.0,0.0
Italy,2021-01-08,70,79,0.28,0.0,0.0
Italy,2021-01-08,80,,0.8,0.0,0.0
Italy,2021-01-15,18,24,0.9,0.0,0.0
Italy,2021-01-15,25,49,2.71,0.01,0.0
Italy,2021-01-15,50,59,3.38,0.01,0.0
Italy,2021-01-15,60,69,2.67,0.01,0.0
Italy,2021-01-15,70,79,0.7,0.0,0.0
Italy,2021-01-15,80,,2.31,0.0,0.0
Italy,2021-01-22,18,24,1.0,0.03,0.0
Italy,2021-01-22,25,49,2.95,0.28,0.0
Italy,2021-01-22,50,59,3.67,0.34,0.0
Italy,2021-01-22,60,69,2.9,0.27,0.0
Italy,2021-01-22,70,79,0.85,0.03,0.0
Italy,2021-01-22,80,,2.99,0.11,0.0
Italy,2021-01-29,18,24,1.03,0.32,0.0
Italy,2021-01-29,25,49,3.01,1.52,0.0
Italy,2021-01-29,50,59,3.74,1.91,0.0
Italy,2021-01-29,60,69,2.96,1.55,0.0
Italy,2021-01-29,70,79,0.88,0.26,0.0
Italy,2021-01-29,80,,3.16,0.67,0.0
Italy,2021-02-05,18,24,1.11,0.86,0.0
Italy,2021-02-05,25,49,3.17,2.65,0.0
Italy,2021-02-05,50,59,3.91,3.32,0.0
Italy,2021-02-05,60,69,3.1,2.64,0.0
Italy,2021-02-05,70,79,0.96,0.66,0.0
Italy,2021-02-05,80,,3.42,2.05,0.0
Italy,2021-02-12,18,24,1.45,0.97,0.0
Italy,2021-02-12,25,49,3.75,2.91,0.0
Italy,2021-02-12,50,59,4.47,3.64,0.0
Italy,2021-02-12,60,69,3.55,2.88,0.0
Italy,2021-02-12,70,79,1.19,0.8,0.0
Italy,2021-02-12,80,,4.97,2.74,0.0
Italy,2021-02-19,18,24,1.8,1.01,0.0
Italy,2021-02-19,25,49,4.54,2.99,0.0
Italy,2021-02-19,50,59,5.22,3.73,0.0
Italy,2021-02-19,60,69,3.96,2.96,0.0
Italy,2021-02-19,70,79,1.43,0.86,0.0
Italy,2021-02-19,80,,9.61,2.95,0.0
Italy,2021-02-26,18,24,2.07,1.08,0.0
Italy,2021-02-26,25,49,5.42,3.12,0.0
Italy,2021-02-26,50,59,6.35,3.87,0.0
Italy,2021-02-26,60,69,4.57,3.08,0.0
Italy,2021-02-26,70,79,1.62,0.92,0.0
Italy,2021-02-26,80,,18.66,3.2,0.0
Italy,2021-03-05,18,24,2.36,1.39,0.0
Italy,2021-03-05,25,49,6.48,3.6,0.0
Italy,2021-03-05,50,59,8.02,4.37,0.0
Italy,2021-03-05,60,69,5.78,3.52,0.0
Italy,2021-03-05,70,79,1.96,1.14,0.0
Italy,2021-03-05,80,,28.32,4.53,0.0
Italy,2021-03-12,18,24,2.69,1.66,0.0
Italy,2021-03-12,25,49,7.66,4.01,0.0
Italy,2021-03-12,50,59,9.68,4.8,0.0
Italy,2021-03-12,60,69,7.05,3.91,0.0
Italy,2021-03-12,70,79,2.53,1.36,0.0
Italy,2021-03-12,80,,37.8,8.63,0.0
Italy,2021-03-19,18,24,2.91,1.84,0.0
Italy,2021-03-19,25,49,8.18,4.29,0.0
Italy,2021-03-19,50,59,10.37,5.1,0.0
Italy,2021-03-19,60,69,7.77,4.19,0.0
Italy,2021-03-19,70,79,3.87,1.55,0.0
Italy,2021-03-19,80,,45.21,16.95,0.0
Italy,2021-03-26,18,24,3.36,1.97,0.0
Italy,2021-03-26,25,49,9.25,4.47,0.0
Italy,2021-03-26,50,59,11.81,5.31,0.0
Italy,2021-03-26,60,69,9.51,4.42,0.0
Italy,2021-03-26,70,79,8.09,1.74,0.0
Italy,2021-03-26,80,,53.68,26.09,0.0
Italy,2021-04-02,18,24,3.78,2.06,0.0
