location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Latvia,2021-10-08,10,14,19.13,15.9,0.0
Latvia,2021-10-08,15,17,48.16,42.17,0.0
Latvia,2021-10-08,18,24,62.23,58.02,0.01
Latvia,2021-10-08,25,49,57.3,53.23,0.01
Latvia,2021-10-08,50,59,58.83,54.73,0.02
Latvia,2021-10-08,60,69,61.03,57.26,0.02
Latvia,2021-10-08,70,79,58.03,55.1,0.03
Latvia,2021-10-08,80,,45.92,44.44,0.02
Latvia,2021-10-15,10,14,20.44,16.52,0.0
Latvia,2021-10-15,15,17,50.96,43.29,0.0
Latvia,2021-10-15,18,24,65.6,60.12,0.01
Latvia,2021-10-15,25,49,61.58,55.82,0.03
Latvia,2021-10-15,50,59,63.08,57.38,0.04
Latvia,2021-10-15,60,69,64.5,59.41,0.04
Latvia,2021-10-15,70,79,59.95,56.46,0.05
Latvia,2021-10-15,80,,47.34,45.41,0.04
Latvia,2021-10-22,10,14,22.23,17.24,0.0
Latvia,2021-10-22,15,17,54.49,44.67,0.0
Latvia,2021-10-22,18,24,68.96,61.98,0.08
Latvia,2021-10-22,25,49,65.91,58.24,0.19
Latvia,2021-10-22,50,59,67.86,59.94,0.3
Latvia,2021-10-22,60,69,68.81,61.63,0.27
Latvia,2021-10-22,70,79,62.99,57.93,0.24
Latvia,2021-10-22,80,,49.74,46.61,0.14
Latvia,2021-10-29,10,14,23.62,18.01,0.77
Latvia,2021-10-29,15,17,57.29,46.18,1.51
Latvia,2021-10-29,18,24,71.24,63.57,1.0
Latvia,2021-10-29,25,49,68.85,60.38,1.16
Latvia,2021-10-29,50,59,71.27,62.24,1.22
Latvia,2021-10-29,60,69,72.6,63.77,1.15
Latvia,2021-10-29,70,79,66.42,59.46,0.83
Latvia,2021-10-29,80,,52.97,48.1,0.56
Latvia,2021-11-05,10,14,24.74,19.21,0.77
Latvia,2021-11-05,15,17,59.4,48.77,1.51
