location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Lithuania,2021-01-01,18,24,0.04,0.0
Lithuania,2021-01-01,25,49,0.14,0.0
Lithuania,2021-01-01,50,59,0.17,0.0
Lithuania,2021-01-01,60,69,0.1,0.0
Lithuania,2021-01-01,70,79,0.01,0.0
Lithuania,2021-09-03,18,24,2.0,2.37
Lithuania,2021-09-03,25,49,1.48,1.89
Lithuania,2021-09-03,50,59,1.2,1.58
Lithuania,2021-09-03,60,69,0.79,1.25
Lithuania,2021-09-03,70,79,0.42,0.84
Lithuania,2021-09-03,80,,0.38,0.64
