location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Slovakia,2021-01-08,10,14,0.0,0.0,0.0
Slovakia,2021-01-08,15,17,0.0,0.0,0.0
Slovakia,2021-01-08,18,24,0.26,0.0,0.0
Slovakia,2021-01-08,25,49,0.73,0.0,0.0
Slovakia,2021-01-08,50,59,1.05,0.0,0.0
Slovakia,2021-01-08,60,69,0.72,0.0,0.0
Slovakia,2021-01-08,70,79,0.31,0.0,0.0
Slovakia,2021-01-08,80,,0.12,0.0,0.0
Slovakia,2021-01-15,15,17,0.0,0.0,0.0
Slovakia,2021-01-15,18,24,0.63,0.0,0.0
Slovakia,2021-01-15,25,49,1.54,0.0,0.0
Slovakia,2021-01-15,50,59,2.2,0.0,0.0
Slovakia,2021-01-15,60,69,1.5,0.0,0.0
Slovakia,2021-01-15,70,79,0.63,0.0,0.0
Slovakia,2021-01-15,80,,0.24,0.0,0.0
Slovakia,2021-01-22,10,14,0.0,0.0,0.0
Slovakia,2021-01-22,18,24,1.16,0.01,0.0
Slovakia,2021-01-22,25,49,2.35,0.07,0.0
Slovakia,2021-01-22,50,59,3.35,0.09,0.0
Slovakia,2021-01-22,60,69,2.25,0.07,0.0
Slovakia,2021-01-22,70,79,1.07,0.02,0.0
Slovakia,2021-01-22,80,,0.86,0.01,0.0
Slovakia,2021-01-29,15,17,0.0,0.0,0.0
Slovakia,2021-01-29,18,24,1.58,0.06,0.0
Slovakia,2021-01-29,25,49,2.77,0.24,0.0
Slovakia,2021-01-29,50,59,3.91,0.34,0.0
Slovakia,2021-01-29,60,69,2.78,0.24,0.0
Slovakia,2021-01-29,70,79,2.85,0.1,0.0
Slovakia,2021-01-29,80,,9.07,0.04,0.0
Slovakia,2021-02-05,15,17,0.01,0.0,0.0
Slovakia,2021-02-05,18,24,1.79,0.27,0.0
Slovakia,2021-02-05,25,49,2.97,0.79,0.0
Slovakia,2021-02-05,50,59,4.19,1.13,0.0
Slovakia,2021-02-05,60,69,3.17,0.77,0.0
Slovakia,2021-02-05,70,79,7.51,0.33,0.0
Slovakia,2021-02-05,80,,18.72,0.13,0.0
Slovakia,2021-02-12,10,14,0.0,0.0,0.0
Slovakia,2021-02-12,15,17,0.01,0.0,0.0
Slovakia,2021-02-12,18,24,2.15,0.64,0.0
Slovakia,2021-02-12,25,49,3.68,1.55,0.0
Slovakia,2021-02-12,50,59,5.05,2.21,0.0
Slovakia,2021-02-12,60,69,3.69,1.5,0.0
Slovakia,2021-02-12,70,79,10.8,0.65,0.0
Slovakia,2021-02-12,80,,25.29,0.29,0.0
Slovakia,2021-02-19,15,17,0.01,0.0,0.0
Slovakia,2021-02-19,18,24,2.37,1.14,0.0
Slovakia,2021-02-19,25,49,4.41,2.3,0.0
Slovakia,2021-02-19,50,59,6.11,3.27,0.0
Slovakia,2021-02-19,60,69,4.56,2.21,0.0
Slovakia,2021-02-19,70,79,12.23,1.08,0.0
Slovakia,2021-02-19,80,,27.73,0.88,0.0
Slovakia,2021-02-26,15,17,0.01,0.01,0.0
Slovakia,2021-02-26,18,24,2.67,1.56,0.0
Slovakia,2021-02-26,25,49,5.36,2.73,0.0
Slovakia,2021-02-26,50,59,7.07,3.85,0.0
Slovakia,2021-02-26,60,69,4.93,2.73,0.0
Slovakia,2021-02-26,70,79,13.31,2.65,0.0
Slovakia,2021-02-26,80,,29.76,8.39,0.0
Slovakia,2021-03-05,15,17,0.01,0.01,0.0
Slovakia,2021-03-05,18,24,3.14,1.78,0.0
Slovakia,2021-03-05,25,49,6.7,2.94,0.0
Slovakia,2021-03-05,50,59,8.76,4.14,0.0
Slovakia,2021-03-05,60,69,5.86,3.13,0.0
Slovakia,2021-03-05,70,79,13.79,7.32,0.0
Slovakia,2021-03-05,80,,30.52,18.08,0.0
Slovakia,2021-03-12,10,14,0.0,0.0,0.0
Slovakia,2021-03-12,15,17,0.01,0.01,0.0
Slovakia,2021-03-12,18,24,3.28,2.07,0.0
Slovakia,2021-03-12,25,49,7.02,3.2,0.0
Slovakia,2021-03-12,50,59,9.28,4.52,0.0
Slovakia,2021-03-12,60,69,11.12,3.64,0.0
Slovakia,2021-03-12,70,79,18.46,10.59,0.0
Slovakia,2021-03-12,80,,31.9,24.58,0.0
Slovakia,2021-03-19,10,14,0.0,0.0,0.0
Slovakia,2021-03-19,15,17,0.02,0.01,0.0
Slovakia,2021-03-19,18,24,3.59,2.24,0.0
Slovakia,2021-03-19,25,49,7.52,3.41,0.0
Slovakia,2021-03-19,50,59,10.39,5.08,0.0
Slovakia,2021-03-19,60,69,16.05,4.49,0.0
Slovakia,2021-03-19,70,79,30.44,12.02,0.0
Slovakia,2021-03-19,80,,35.72,27.01,0.0
Slovakia,2021-03-26,10,14,0.0,0.0,0.0
Slovakia,2021-03-26,15,17,0.02,0.01,0.0
Slovakia,2021-03-26,18,24,3.94,2.41,0.0
Slovakia,2021-03-26,25,49,8.1,3.61,0.0
Slovakia,2021-03-26,50,59,12.46,5.4,0.0
Slovakia,2021-03-26,60,69,19.59,4.87,0.0
Slovakia,2021-03-26,70,79,42.33,13.11,0.0
Slovakia,2021-03-26,80,,43.5,29.06,0.0
Slovakia,2021-04-02,10,14,0.0,0.0,0.0
Slovakia,2021-04-02,15,17,0.02,0.01,0.0
Slovakia,2021-04-02,18,24,4.2,2.45,0.0
Slovakia,2021-04-02,25,49,8.57,3.71,0.0
Slovakia,2021-04-02,50,59,14.97,5.56,0.0
Slovakia,2021-04-02,60,69,24.56,5.08,0.0
Slovakia,2021-04-02,70,79,50.27,13.49,0.0
Slovakia,2021-04-02,80,,45.85,29.7,0.0
Slovakia,2021-04-09,10,14,0.0,0.0,0.0
Slovakia,2021-04-09,15,17,0.03,0.01,0.0
Slovakia,2021-04-09,18,24,4.55,2.52,0.0
Slovakia,2021-04-09,25,49,9.33,3.83,0.0
Slovakia,2021-04-09,50,59,20.41,5.79,0.0
Slovakia,2021-04-09,60,69,29.57,5.51,0.0
Slovakia,2021-04-09,70,79,54.55,17.47,0.0
Slovakia,2021-04-09,80,,47.43,31.08,0.0
Slovakia,2021-04-16,10,14,0.0,0.0,0.0
Slovakia,2021-04-16,15,17,0.03,0.02,0.0
Slovakia,2021-04-16,18,24,4.82,2.59,0.0
Slovakia,2021-04-16,25,49,11.04,3.99,0.0
Slovakia,2021-04-16,50,59,23.74,6.08,0.0
Slovakia,2021-04-16,60,69,33.04,6.05,0.0
Slovakia,2021-04-16,70,79,57.17,28.25,0.0
Slovakia,2021-04-16,80,,48.85,34.75,0.0
Slovakia,2021-04-23,15,17,0.03,0.02,0.0
Slovakia,2021-04-23,18,24,5.12,2.74,0.0
Slovakia,2021-04-23,25,49,12.28,4.58,0.0
Slovakia,2021-04-23,50,59,25.7,7.01,0.0
Slovakia,2021-04-23,60,69,35.74,7.12,0.0
Slovakia,2021-04-23,70,79,59.05,39.0,0.0
Slovakia,2021-04-23,80,,49.98,42.35,0.0
Slovakia,2021-04-30,10,14,0.0,0.0,0.0
Slovakia,2021-04-30,15,17,0.22,0.02,0.0
Slovakia,2021-04-30,18,24,5.79,2.84,0.0
Slovakia,2021-04-30,25,49,13.87,5.04,0.0
Slovakia,2021-04-30,50,59,27.19,7.7,0.0
Slovakia,2021-04-30,60,69,40.05,11.21,0.0
Slovakia,2021-04-30,70,79,61.49,47.42,0.0
Slovakia,2021-04-30,80,,51.39,44.73,0.0
Slovakia,2021-05-07,10,14,0.0,0.0,0.0
Slovakia,2021-05-07,15,17,0.36,0.02,0.0
Slovakia,2021-05-07,18,24,7.01,3.01,0.0
Slovakia,2021-05-07,25,49,15.97,5.91,0.0
Slovakia,2021-05-07,50,59,30.63,8.74,0.0
Slovakia,2021-05-07,60,69,45.13,15.83,0.0
Slovakia,2021-05-07,70,79,63.89,52.08,0.0
Slovakia,2021-05-07,80,,52.99,46.37,0.0
Slovakia,2021-05-14,10,14,0.0,0.0,0.0
Slovakia,2021-05-14,15,17,0.49,0.03,0.0
Slovakia,2021-05-14,18,24,8.2,3.42,0.0
Slovakia,2021-05-14,25,49,18.89,7.25,0.0
Slovakia,2021-05-14,50,59,36.47,10.54,0.0
Slovakia,2021-05-14,60,69,50.52,19.69,0.0
Slovakia,2021-05-14,70,79,65.7,54.67,0.0
Slovakia,2021-05-14,80,,54.29,47.81,0.0
Slovakia,2021-05-21,10,14,0.01,0.0,0.0
Slovakia,2021-05-21,15,17,1.56,0.03,0.0
Slovakia,2021-05-21,18,24,11.08,3.7,0.0
Slovakia,2021-05-21,25,49,23.79,7.93,0.0
Slovakia,2021-05-21,50,59,39.82,11.5,0.0
Slovakia,2021-05-21,60,69,53.19,26.87,0.0
Slovakia,2021-05-21,70,79,67.44,57.46,0.0
Slovakia,2021-05-21,80,,55.51,48.98,0.0
Slovakia,2021-05-28,10,14,0.01,0.0,0.0
Slovakia,2021-05-28,15,17,2.76,0.18,0.0
Slovakia,2021-05-28,18,24,14.2,4.33,0.0
Slovakia,2021-05-28,25,49,28.51,8.86,0.0
Slovakia,2021-05-28,50,59,42.67,12.88,0.0
Slovakia,2021-05-28,60,69,54.94,34.74,0.0
Slovakia,2021-05-28,70,79,68.64,60.44,0.0
Slovakia,2021-05-28,80,,56.37,50.39,0.0
Slovakia,2021-06-04,10,14,0.01,0.0,0.0
Slovakia,2021-06-04,15,17,4.29,0.32,0.0
Slovakia,2021-06-04,18,24,18.36,5.55,0.0
Slovakia,2021-06-04,25,49,31.54,10.58,0.0
Slovakia,2021-06-04,50,59,44.07,17.35,0.0
Slovakia,2021-06-04,60,69,56.06,42.48,0.0
Slovakia,2021-06-04,70,79,69.53,63.12,0.0
Slovakia,2021-06-04,80,,57.08,51.92,0.0
Slovakia,2021-06-11,10,14,0.07,0.0,0.0
Slovakia,2021-06-11,15,17,5.54,0.44,0.0
Slovakia,2021-06-11,18,24,21.13,6.92,0.0
Slovakia,2021-06-11,25,49,33.29,13.55,0.0
Slovakia,2021-06-11,50,59,45.29,25.08,0.0
Slovakia,2021-06-11,60,69,56.93,48.78,0.0
Slovakia,2021-06-11,70,79,70.27,64.98,0.0
Slovakia,2021-06-11,80,,57.75,53.16,0.0
Slovakia,2021-06-18,10,14,0.13,0.0,0.0
Slovakia,2021-06-18,15,17,6.79,1.25,0.0
Slovakia,2021-06-18,18,24,24.12,9.32,0.0
Slovakia,2021-06-18,25,49,34.62,18.15,0.0
Slovakia,2021-06-18,50,59,46.3,32.91,0.0
Slovakia,2021-06-18,60,69,57.82,51.91,0.0
Slovakia,2021-06-18,70,79,70.97,66.67,0.0
Slovakia,2021-06-18,80,,58.28,54.35,0.0
Slovakia,2021-06-25,10,14,0.73,0.0,0.0
Slovakia,2021-06-25,15,17,9.28,2.28,0.0
Slovakia,2021-06-25,18,24,26.22,12.41,0.0
Slovakia,2021-06-25,25,49,35.76,23.89,0.0
Slovakia,2021-06-25,50,59,47.12,38.54,0.0
Slovakia,2021-06-25,60,69,58.54,53.82,0.0
Slovakia,2021-06-25,70,79,71.57,67.83,0.0
Slovakia,2021-06-25,80,,58.77,55.14,0.0
Slovakia,2021-07-02,10,14,1.93,0.01,0.0
Slovakia,2021-07-02,15,17,13.14,3.55,0.0
Slovakia,2021-07-02,18,24,29.43,16.23,0.0
Slovakia,2021-07-02,25,49,37.36,28.42,0.0
Slovakia,2021-07-02,50,59,48.38,42.33,0.0
Slovakia,2021-07-02,60,69,59.35,55.42,0.0
Slovakia,2021-07-02,70,79,72.19,68.94,0.0
Slovakia,2021-07-02,80,,59.26,56.03,0.0
Slovakia,2021-07-09,10,14,3.03,0.06,0.0
Slovakia,2021-07-09,15,17,16.82,5.05,0.0
Slovakia,2021-07-09,18,24,32.42,19.86,0.0
Slovakia,2021-07-09,25,49,39.04,31.81,0.0
Slovakia,2021-07-09,50,59,49.7,44.63,0.0
Slovakia,2021-07-09,60,69,60.04,56.63,0.0
Slovakia,2021-07-09,70,79,72.66,69.89,0.0
Slovakia,2021-07-09,80,,59.59,56.74,0.0
Slovakia,2021-07-16,10,14,3.86,0.1,0.0
Slovakia,2021-07-16,15,17,19.23,6.29,0.0
Slovakia,2021-07-16,18,24,34.65,23.52,0.0
Slovakia,2021-07-16,25,49,40.43,34.3,0.0
Slovakia,2021-07-16,50,59,50.78,46.29,0.0
Slovakia,2021-07-16,60,69,60.68,57.67,0.0
Slovakia,2021-07-16,70,79,73.12,70.63,0.0
Slovakia,2021-07-16,80,,59.99,57.29,0.0
Slovakia,2021-07-23,10,14,4.47,0.77,0.0
Slovakia,2021-07-23,15,17,20.83,9.06,0.0
Slovakia,2021-07-23,18,24,35.96,26.14,0.0
Slovakia,2021-07-23,25,49,41.21,35.92,0.0
Slovakia,2021-07-23,50,59,51.47,47.34,0.0
Slovakia,2021-07-23,60,69,61.18,58.43,0.0
Slovakia,2021-07-23,70,79,73.54,71.26,0.0
Slovakia,2021-07-23,80,,60.34,57.82,0.0
Slovakia,2021-07-30,10,14,5.0,1.65,0.0
Slovakia,2021-07-30,15,17,22.25,11.97,0.0
Slovakia,2021-07-30,18,24,37.02,29.05,0.0
Slovakia,2021-07-30,25,49,41.91,37.49,0.0
Slovakia,2021-07-30,50,59,52.15,48.58,0.0
Slovakia,2021-07-30,60,69,61.64,59.25,0.0
Slovakia,2021-07-30,70,79,73.89,71.87,0.0
Slovakia,2021-07-30,80,,60.67,58.34,0.0
Slovakia,2021-08-06,10,14,5.56,2.66,0.0
Slovakia,2021-08-06,15,17,23.63,15.41,0.0
Slovakia,2021-08-06,18,24,38.05,32.04,0.0
Slovakia,2021-08-06,25,49,42.64,39.01,0.0
Slovakia,2021-08-06,50,59,52.9,49.79,0.0
Slovakia,2021-08-06,60,69,62.19,59.92,0.0
Slovakia,2021-08-06,70,79,74.35,72.34,0.0
Slovakia,2021-08-06,80,,61.05,58.69,0.0
Slovakia,2021-08-13,10,14,6.04,3.51,0.0
Slovakia,2021-08-13,15,17,24.73,18.02,0.0
Slovakia,2021-08-13,18,24,38.93,34.36,0.0
Slovakia,2021-08-13,25,49,43.27,40.34,0.0
Slovakia,2021-08-13,50,59,53.52,50.88,0.0
Slovakia,2021-08-13,60,69,62.61,60.61,0.0
Slovakia,2021-08-13,70,79,74.73,72.86,0.0
Slovakia,2021-08-13,80,,61.36,59.15,0.0
Slovakia,2021-08-20,10,14,6.55,4.12,0.0
Slovakia,2021-08-20,15,17,25.86,19.89,0.0
Slovakia,2021-08-20,18,24,39.94,35.94,0.0
Slovakia,2021-08-20,25,49,43.94,41.3,0.0
Slovakia,2021-08-20,50,59,54.14,51.69,0.0
Slovakia,2021-08-20,60,69,63.02,61.14,0.0
Slovakia,2021-08-20,70,79,75.09,73.28,0.0
Slovakia,2021-08-20,80,,61.66,59.5,0.0
Slovakia,2021-08-27,10,14,7.03,4.81,0.0
Slovakia,2021-08-27,15,17,26.81,21.52,0.0
Slovakia,2021-08-27,18,24,40.71,37.11,0.0
Slovakia,2021-08-27,25,49,44.43,42.05,0.0
Slovakia,2021-08-27,50,59,54.61,52.41,0.0
Slovakia,2021-08-27,60,69,63.35,61.65,0.0
Slovakia,2021-08-27,70,79,75.37,73.66,0.0
Slovakia,2021-08-27,80,,61.91,59.83,0.0
Slovakia,2021-09-03,10,14,7.42,5.31,0.0
Slovakia,2021-09-03,15,17,27.52,22.76,0.0
Slovakia,2021-09-03,18,24,41.4,38.11,0.0
Slovakia,2021-09-03,25,49,44.8,42.67,0.0
Slovakia,2021-09-03,50,59,54.91,52.99,0.0
Slovakia,2021-09-03,60,69,63.54,62.08,0.0
Slovakia,2021-09-03,70,79,75.55,74.03,0.0
Slovakia,2021-09-03,80,,62.06,60.13,0.0
Slovakia,2021-09-10,10,14,7.66,5.91,0.0
Slovakia,2021-09-10,15,17,28.03,24.08,0.0
Slovakia,2021-09-10,18,24,41.95,38.98,0.0
Slovakia,2021-09-10,25,49,45.11,43.24,0.0
Slovakia,2021-09-10,50,59,55.16,53.51,0.0
Slovakia,2021-09-10,60,69,63.73,62.44,0.0
Slovakia,2021-09-10,70,79,75.73,74.38,0.0
Slovakia,2021-09-10,80,,62.22,60.41,0.0
Slovakia,2021-09-17,10,14,7.88,6.35,0.0
Slovakia,2021-09-17,15,17,28.5,25.08,0.0
Slovakia,2021-09-17,18,24,42.57,39.81,0.0
Slovakia,2021-09-17,25,49,45.46,43.75,0.0
Slovakia,2021-09-17,5,9,0.0,0.0,0.0
Slovakia,2021-09-17,50,59,55.44,54.01,0.0
Slovakia,2021-09-17,60,69,63.93,62.78,0.0
Slovakia,2021-09-17,70,79,75.89,74.69,0.0
Slovakia,2021-09-17,80,,62.38,60.68,0.0
Slovakia,2021-09-24,10,14,8.15,6.81,0.0
Slovakia,2021-09-24,15,17,29.07,26.07,0.0
Slovakia,2021-09-24,18,24,43.27,40.6,0.0
Slovakia,2021-09-24,25,49,45.89,44.24,0.0
Slovakia,2021-09-24,5,9,0.0,0.0,0.0
Slovakia,2021-09-24,50,59,55.79,54.44,0.0
Slovakia,2021-09-24,60,69,64.2,63.09,0.0
Slovakia,2021-09-24,70,79,76.14,74.96,0.0
Slovakia,2021-09-24,80,,62.63,60.93,0.0
Slovakia,2021-10-01,10,14,8.36,7.22,0.0
Slovakia,2021-10-01,15,17,29.62,26.87,0.0
Slovakia,2021-10-01,18,24,43.87,41.29,0.0
Slovakia,2021-10-01,25,49,46.26,44.64,0.0
Slovakia,2021-10-01,50,59,56.11,54.78,0.0
Slovakia,2021-10-01,60,69,64.45,63.31,0.0
Slovakia,2021-10-01,70,79,76.34,75.15,0.0
Slovakia,2021-10-01,80,,62.85,61.1,0.0
Slovakia,2021-10-08,10,14,8.58,7.49,0.0
Slovakia,2021-10-08,15,17,30.17,27.41,0.0
Slovakia,2021-10-08,18,24,44.34,41.83,0.0
Slovakia,2021-10-08,25,49,46.58,44.98,0.0
Slovakia,2021-10-08,5,9,0.0,0.0,0.0
Slovakia,2021-10-08,50,59,56.37,55.04,0.0
Slovakia,2021-10-08,60,69,64.63,63.51,0.0
Slovakia,2021-10-08,70,79,76.53,75.34,0.0
Slovakia,2021-10-08,80,,63.03,61.25,0.0
Slovakia,2021-10-15,10,14,8.78,7.7,0.0
Slovakia,2021-10-15,15,17,30.58,27.86,0.0
Slovakia,2021-10-15,18,24,44.74,42.36,0.0
Slovakia,2021-10-15,25,49,46.84,45.28,0.01
Slovakia,2021-10-15,50,59,56.58,55.28,0.01
Slovakia,2021-10-15,60,69,64.79,63.69,0.01
Slovakia,2021-10-15,70,79,76.67,75.49,0.01
Slovakia,2021-10-15,80,,63.17,61.38,0.01
Slovakia,2021-10-22,10,14,8.99,7.95,0.0
Slovakia,2021-10-22,15,17,31.03,28.4,0.0
Slovakia,2021-10-22,18,24,45.11,42.93,0.07
Slovakia,2021-10-22,25,49,47.1,45.63,0.27
Slovakia,2021-10-22,5,9,0.0,0.0,0.0
Slovakia,2021-10-22,50,59,56.77,55.56,0.49
Slovakia,2021-10-22,60,69,64.94,63.91,0.61
Slovakia,2021-10-22,70,79,76.81,75.7,0.93
Slovakia,2021-10-22,80,,63.29,61.56,0.69
Slovakia,2021-10-29,10,14,9.25,8.14,0.0
Slovakia,2021-10-29,15,17,31.47,28.87,0.0
Slovakia,2021-10-29,18,24,45.52,43.45,0.16
Slovakia,2021-10-29,25,49,47.38,45.96,0.57
Slovakia,2021-10-29,5,9,0.01,0.0,0.0
Slovakia,2021-10-29,50,59,56.99,55.85,1.15
Slovakia,2021-10-29,60,69,65.09,64.12,1.72
Slovakia,2021-10-29,70,79,76.94,75.88,4.0
Slovakia,2021-10-29,80,,63.44,61.75,3.91
Slovakia,2021-11-05,10,14,9.51,8.33,0.0
Slovakia,2021-11-05,15,17,31.94,29.32,0.0
Slovakia,2021-11-05,18,24,45.96,43.92,0.29
Slovakia,2021-11-05,25,49,47.74,46.3,0.87
Slovakia,2021-11-05,5,9,0.02,0.0,0.0
Slovakia,2021-11-05,50,59,57.27,56.11,1.93
Slovakia,2021-11-05,60,69,65.26,64.29,3.51
Slovakia,2021-11-05,70,79,77.09,76.04,12.05
Slovakia,2021-11-05,80,,63.57,61.9,10.55
Slovakia,2021-11-12,10,14,9.86,8.51,0.0
Slovakia,2021-11-12,15,17,32.7,29.74,0.0
Slovakia,2021-11-12,18,24,46.86,44.57,0.48
Slovakia,2021-11-12,25,49,48.56,46.8,1.38
Slovakia,2021-11-12,5,9,0.02,0.0,0.0
Slovakia,2021-11-12,50,59,57.97,56.52,2.9
Slovakia,2021-11-12,60,69,65.68,64.52,6.29
Slovakia,2021-11-12,70,79,77.44,76.21,21.52
Slovakia,2021-11-12,80,,63.87,62.06,17.74
Slovakia,2021-11-19,10,14,10.31,8.66,0.0
Slovakia,2021-11-19,15,17,33.78,30.08,0.01
Slovakia,2021-11-19,18,24,48.35,45.4,0.75
Slovakia,2021-11-19,25,49,49.82,47.43,2.23
Slovakia,2021-11-19,5,9,0.02,0.0,0.0
Slovakia,2021-11-19,50,59,59.01,56.99,4.2
Slovakia,2021-11-19,60,69,66.26,64.77,9.16
Slovakia,2021-11-19,70,79,77.86,76.39,27.96
Slovakia,2021-11-19,80,,64.19,62.18,22.47
Slovakia,2021-11-26,10,14,10.96,8.92,0.0
Slovakia,2021-11-26,15,17,35.23,30.53,0.01
Slovakia,2021-11-26,18,24,50.02,46.34,1.16
Slovakia,2021-11-26,25,49,51.1,48.12,3.22
Slovakia,2021-11-26,5,9,0.04,0.01,0.0
Slovakia,2021-11-26,50,59,60.09,57.5,5.74
Slovakia,2021-11-26,60,69,66.98,65.06,13.94
Slovakia,2021-11-26,70,79,78.47,76.62,34.12
Slovakia,2021-11-26,80,,64.7,62.36,26.74
Slovakia,2021-12-03,10,14,11.42,9.13,0.0
Slovakia,2021-12-03,15,17,36.12,30.96,0.03
Slovakia,2021-12-03,18,24,50.8,46.85,1.61
Slovakia,2021-12-03,25,49,51.73,48.49,4.23
Slovakia,2021-12-03,5,9,0.05,0.01,0.0
Slovakia,2021-12-03,50,59,60.67,57.82,7.39
Slovakia,2021-12-03,60,69,67.48,65.28,20.1
Slovakia,2021-12-03,70,79,78.93,76.79,39.44
Slovakia,2021-12-03,80,,65.14,62.51,30.27
Slovakia,2021-12-10,10,14,11.74,9.41,0.0
Slovakia,2021-12-10,15,17,36.71,31.56,0.06
Slovakia,2021-12-10,18,24,51.31,47.43,2.1
Slovakia,2021-12-10,25,49,52.14,48.97,5.37
Slovakia,2021-12-10,5,9,0.07,0.01,0.0
Slovakia,2021-12-10,50,59,61.06,58.22,10.0
Slovakia,2021-12-10,60,69,68.08,65.59,28.66
Slovakia,2021-12-10,70,79,79.51,77.06,45.15
Slovakia,2021-12-10,80,,65.7,62.73,34.06
Slovakia,2021-12-17,10,14,12.12,9.75,0.01
Slovakia,2021-12-17,15,17,37.32,32.33,0.12
Slovakia,2021-12-17,18,24,51.77,48.2,3.38
Slovakia,2021-12-17,25,49,52.46,49.6,7.83
Slovakia,2021-12-17,5,9,0.07,0.02,0.0
Slovakia,2021-12-17,50,59,61.32,58.76,14.22
Slovakia,2021-12-17,60,69,68.78,65.99,36.84
Slovakia,2021-12-17,70,79,80.22,77.38,51.08
Slovakia,2021-12-17,80,,66.41,62.99,37.94
Slovakia,2021-12-24,10,14,12.37,10.09,0.01
Slovakia,2021-12-24,15,17,37.71,33.04,0.2
Slovakia,2021-12-24,18,24,51.99,48.72,4.95
Slovakia,2021-12-24,25,49,52.61,49.98,9.6
Slovakia,2021-12-24,5,9,0.1,0.04,0.0
Slovakia,2021-12-24,50,59,61.46,59.11,16.71
Slovakia,2021-12-24,60,69,69.09,66.27,39.79
Slovakia,2021-12-24,70,79,80.5,77.63,53.21
Slovakia,2021-12-24,80,,66.68,63.19,39.43
Slovakia,2021-12-31,10,14,12.57,10.44,0.01
Slovakia,2021-12-31,15,17,37.99,33.73,0.25
Slovakia,2021-12-31,18,24,52.19,49.14,6.95
Slovakia,2021-12-31,25,49,52.74,50.35,11.82
Slovakia,2021-12-31,5,9,0.1,0.04,0.0
Slovakia,2021-12-31,50,59,61.57,59.45,19.8
Slovakia,2021-12-31,60,69,69.35,66.58,42.67
