location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Switzerland,2020-12-27,0,9,0.0,0.0
Switzerland,2020-12-27,10,19,0.0,0.0
Switzerland,2020-12-27,20,29,0.01,0.0
Switzerland,2020-12-27,30,39,0.01,0.0
Switzerland,2020-12-27,40,49,0.01,0.0
Switzerland,2020-12-27,50,59,0.01,0.0
Switzerland,2020-12-27,60,69,0.01,0.0
Switzerland,2020-12-27,70,79,0.01,0.0
Switzerland,2020-12-27,80,,0.09,0.0
Switzerland,2021-01-03,0,9,0.0,0.0
Switzerland,2021-01-03,10,19,0.0,0.0
Switzerland,2021-01-03,20,29,0.02,0.0
Switzerland,2021-01-03,30,39,0.02,0.0
Switzerland,2021-01-03,40,49,0.04,0.0
Switzerland,2021-01-03,50,59,0.05,0.0
Switzerland,2021-01-03,60,69,0.11,0.0
Switzerland,2021-01-03,70,79,0.2,0.0
Switzerland,2021-01-03,80,,0.47,0.0
Switzerland,2021-01-10,0,9,0.0,0.0
Switzerland,2021-01-10,10,19,0.02,0.0
Switzerland,2021-01-10,20,29,0.13,0.0
Switzerland,2021-01-10,30,39,0.16,0.0
Switzerland,2021-01-10,40,49,0.24,0.0
Switzerland,2021-01-10,50,59,0.34,0.0
Switzerland,2021-01-10,60,69,0.42,0.0
Switzerland,2021-01-10,70,79,1.19,0.0
Switzerland,2021-01-10,80,,3.62,0.0
Switzerland,2021-01-17,0,9,0.0,0.0
Switzerland,2021-01-17,10,19,0.05,0.0
Switzerland,2021-01-17,20,29,0.29,0.0
Switzerland,2021-01-17,30,39,0.38,0.0
Switzerland,2021-01-17,40,49,0.53,0.0
Switzerland,2021-01-17,50,59,0.71,0.01
Switzerland,2021-01-17,60,69,0.88,0.0
Switzerland,2021-01-17,70,79,3.19,0.0
Switzerland,2021-01-17,80,,8.63,0.01
Switzerland,2021-01-24,0,9,0.0,0.0
Switzerland,2021-01-24,10,19,0.09,0.0
Switzerland,2021-01-24,20,29,0.53,0.01
Switzerland,2021-01-24,30,39,0.71,0.01
Switzerland,2021-01-24,40,49,0.98,0.02
Switzerland,2021-01-24,50,59,1.36,0.03
Switzerland,2021-01-24,60,69,1.74,0.08
Switzerland,2021-01-24,70,79,7.13,0.16
Switzerland,2021-01-24,80,,17.06,0.21
Switzerland,2021-01-31,0,9,0.0,0.0
Switzerland,2021-01-31,10,19,0.13,0.01
Switzerland,2021-01-31,20,29,0.76,0.04
Switzerland,2021-01-31,30,39,1.0,0.05
Switzerland,2021-01-31,40,49,1.4,0.08
Switzerland,2021-01-31,50,59,1.98,0.12
Switzerland,2021-01-31,60,69,2.72,0.2
Switzerland,2021-01-31,70,79,11.2,0.52
Switzerland,2021-01-31,80,,26.12,1.29
Switzerland,2021-02-07,0,9,0.0,0.0
Switzerland,2021-02-07,10,19,0.15,0.02
Switzerland,2021-02-07,20,29,0.9,0.14
Switzerland,2021-02-07,30,39,1.19,0.17
Switzerland,2021-02-07,40,49,1.68,0.25
Switzerland,2021-02-07,50,59,2.45,0.35
Switzerland,2021-02-07,60,69,3.54,0.46
Switzerland,2021-02-07,70,79,14.25,1.48
Switzerland,2021-02-07,80,,31.49,4.43
Switzerland,2021-02-14,0,9,0.0,0.0
Switzerland,2021-02-14,10,19,0.19,0.05
Switzerland,2021-02-14,20,29,1.11,0.35
Switzerland,2021-02-14,30,39,1.46,0.45
Switzerland,2021-02-14,40,49,2.07,0.62
Switzerland,2021-02-14,50,59,3.08,0.8
