location,date,vaccine,total_vaccinations
Croatia,2021-01-01,Pfizer/BioNTech,1976
Croatia,2021-01-08,Johnson&Johnson,1
Croatia,2021-01-08,Moderna,11
Croatia,2021-01-08,Pfizer/BioNTech,31083
Croatia,2021-01-15,Moderna,1494
Croatia,2021-01-15,Oxford/AstraZeneca,2
Croatia,2021-01-15,Pfizer/BioNTech,48189
Croatia,2021-01-22,Moderna,2663
Croatia,2021-01-22,Pfizer/BioNTech,70842
Croatia,2021-01-29,Moderna,2746
Croatia,2021-01-29,Pfizer/BioNTech,87306
Croatia,2021-02-05,Johnson&Johnson,2
Croatia,2021-02-05,Moderna,3227
Croatia,2021-02-05,Oxford/AstraZeneca,7
Croatia,2021-02-05,Pfizer/BioNTech,104348
Croatia,2021-02-12,Moderna,8284
Croatia,2021-02-12,Oxford/AstraZeneca,3194
Croatia,2021-02-12,Pfizer/BioNTech,125122
Croatia,2021-02-19,Johnson&Johnson,3
Croatia,2021-02-19,Moderna,13382
Croatia,2021-02-19,Oxford/AstraZeneca,19032
Croatia,2021-02-19,Pfizer/BioNTech,145023
Croatia,2021-02-26,Moderna,14535
Croatia,2021-02-26,Oxford/AstraZeneca,60027
Croatia,2021-02-26,Pfizer/BioNTech,165012
Croatia,2021-03-05,Moderna,23010
Croatia,2021-03-05,Oxford/AstraZeneca,84438
Croatia,2021-03-05,Pfizer/BioNTech,189122
Croatia,2021-03-12,Johnson&Johnson,8
Croatia,2021-03-12,Moderna,29744
Croatia,2021-03-12,Oxford/AstraZeneca,117718
Croatia,2021-03-12,Pfizer/BioNTech,212649
Croatia,2021-03-19,Johnson&Johnson,17
Croatia,2021-03-19,Moderna,45037
Croatia,2021-03-19,Oxford/AstraZeneca,138360
Croatia,2021-03-19,Pfizer/BioNTech,243703
Croatia,2021-03-26,Johnson&Johnson,20
Croatia,2021-03-26,Moderna,52919
Croatia,2021-03-26,Oxford/AstraZeneca,159022
Croatia,2021-03-26,Pfizer/BioNTech,277329
Croatia,2021-04-02,Johnson&Johnson,23
Croatia,2021-04-02,Moderna,72167
Croatia,2021-04-02,Oxford/AstraZeneca,174766
Croatia,2021-04-02,Pfizer/BioNTech,309796
Croatia,2021-04-09,Johnson&Johnson,50
Croatia,2021-04-09,Moderna,84384
Croatia,2021-04-09,Oxford/AstraZeneca,203611
Croatia,2021-04-09,Pfizer/BioNTech,337707
Croatia,2021-04-16,Johnson&Johnson,55
Croatia,2021-04-16,Moderna,104693
Croatia,2021-04-16,Oxford/AstraZeneca,235118
Croatia,2021-04-16,Pfizer/BioNTech,397859
Croatia,2021-04-23,Johnson&Johnson,55
Croatia,2021-04-23,Moderna,115614
Croatia,2021-04-23,Oxford/AstraZeneca,249900
Croatia,2021-04-23,Pfizer/BioNTech,475786
Croatia,2021-04-30,Johnson&Johnson,775
Croatia,2021-04-30,Moderna,130465
Croatia,2021-04-30,Oxford/AstraZeneca,269877
Croatia,2021-04-30,Pfizer/BioNTech,562402
Croatia,2021-05-07,Johnson&Johnson,3573
Croatia,2021-05-07,Moderna,147769
Croatia,2021-05-07,Oxford/AstraZeneca,310601
Croatia,2021-05-07,Pfizer/BioNTech,736931
Croatia,2021-05-14,Johnson&Johnson,6132
Croatia,2021-05-14,Moderna,172983
Croatia,2021-05-14,Oxford/AstraZeneca,349923
Croatia,2021-05-14,Pfizer/BioNTech,912926
Croatia,2021-05-21,Johnson&Johnson,9466
Croatia,2021-05-21,Moderna,196692
Croatia,2021-05-21,Oxford/AstraZeneca,383117
Croatia,2021-05-21,Pfizer/BioNTech,1067168
Croatia,2021-05-28,Johnson&Johnson,12642
Croatia,2021-05-28,Moderna,212637
Croatia,2021-05-28,Oxford/AstraZeneca,413038
Croatia,2021-05-28,Pfizer/BioNTech,1205781
Croatia,2021-06-04,Johnson&Johnson,14831
Croatia,2021-06-04,Moderna,223726
Croatia,2021-06-04,Oxford/AstraZeneca,431354
Croatia,2021-06-04,Pfizer/BioNTech,1309950
Croatia,2021-06-11,Johnson&Johnson,17673
Croatia,2021-06-11,Moderna,242084
Croatia,2021-06-11,Oxford/AstraZeneca,452684
Croatia,2021-06-11,Pfizer/BioNTech,1474211
Croatia,2021-06-18,Johnson&Johnson,20046
Croatia,2021-06-18,Moderna,260209
Croatia,2021-06-18,Oxford/AstraZeneca,469516
Croatia,2021-06-18,Pfizer/BioNTech,1640927
