location,date,vaccine,total_vaccinations
Cyprus,2021-01-01,Pfizer/BioNTech,369
Cyprus,2021-01-08,Pfizer/BioNTech,3010
Cyprus,2021-01-15,Moderna,0
Cyprus,2021-01-15,Pfizer/BioNTech,7757
Cyprus,2021-01-22,Moderna,210
Cyprus,2021-01-22,Pfizer/BioNTech,14805
Cyprus,2021-01-29,Moderna,420
Cyprus,2021-01-29,Pfizer/BioNTech,21876
Cyprus,2021-02-05,Pfizer/BioNTech,29644
Cyprus,2021-02-12,Moderna,421
Cyprus,2021-02-12,Oxford/AstraZeneca,584
Cyprus,2021-02-12,Pfizer/BioNTech,40308
Cyprus,2021-02-19,Moderna,741
Cyprus,2021-02-19,Oxford/AstraZeneca,6126
Cyprus,2021-02-19,Pfizer/BioNTech,48576
Cyprus,2021-02-26,Moderna,951
Cyprus,2021-02-26,Oxford/AstraZeneca,18136
Cyprus,2021-02-26,Pfizer/BioNTech,56304
Cyprus,2021-03-05,Moderna,1301
Cyprus,2021-03-05,Oxford/AstraZeneca,28650
Cyprus,2021-03-05,Pfizer/BioNTech,66251
Cyprus,2021-03-12,Moderna,4195
Cyprus,2021-03-12,Oxford/AstraZeneca,40827
Cyprus,2021-03-12,Pfizer/BioNTech,75784
Cyprus,2021-03-19,Moderna,4304
Cyprus,2021-03-19,Oxford/AstraZeneca,41719
Cyprus,2021-03-19,Pfizer/BioNTech,82652
Cyprus,2021-03-26,Moderna,4304
Cyprus,2021-03-26,Oxford/AstraZeneca,48256
Cyprus,2021-03-26,Pfizer/BioNTech,92263
Cyprus,2021-04-02,Moderna,6547
Cyprus,2021-04-02,Oxford/AstraZeneca,52195
Cyprus,2021-04-02,Pfizer/BioNTech,99952
Cyprus,2021-04-09,Moderna,12456
Cyprus,2021-04-09,Oxford/AstraZeneca,60123
Cyprus,2021-04-09,Pfizer/BioNTech,109937
Cyprus,2021-04-16,Johnson&Johnson,0
Cyprus,2021-04-16,Moderna,13236
Cyprus,2021-04-16,Oxford/AstraZeneca,66995
Cyprus,2021-04-16,Pfizer/BioNTech,127519
Cyprus,2021-04-23,Oxford/AstraZeneca,77988
Cyprus,2021-04-23,Pfizer/BioNTech,147755
Cyprus,2021-04-30,Johnson&Johnson,1188
Cyprus,2021-04-30,Moderna,15635
Cyprus,2021-04-30,Oxford/AstraZeneca,84554
Cyprus,2021-04-30,Pfizer/BioNTech,189977
Cyprus,2021-05-07,Johnson&Johnson,2249
Cyprus,2021-05-07,Moderna,21442
Cyprus,2021-05-07,Oxford/AstraZeneca,95843
Cyprus,2021-05-07,Pfizer/BioNTech,235705
Cyprus,2021-05-14,Johnson&Johnson,5662
Cyprus,2021-05-14,Moderna,28322
Cyprus,2021-05-14,Oxford/AstraZeneca,121922
Cyprus,2021-05-14,Pfizer/BioNTech,277884
Cyprus,2021-05-21,Moderna,37412
Cyprus,2021-05-21,Oxford/AstraZeneca,146980
Cyprus,2021-05-21,Pfizer/BioNTech,326113
Cyprus,2021-05-28,Johnson&Johnson,5662
Cyprus,2021-05-28,Moderna,44461
Cyprus,2021-05-28,Oxford/AstraZeneca,164905
Cyprus,2021-05-28,Pfizer/BioNTech,372311
Cyprus,2021-06-04,Moderna,48348
Cyprus,2021-06-04,Oxford/AstraZeneca,175900
Cyprus,2021-06-04,Pfizer/BioNTech,409964
Cyprus,2021-06-11,Johnson&Johnson,6062
Cyprus,2021-06-11,Moderna,54602
