date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,1280,Czechia
2020-12-28,Pfizer/BioNTech,3586,Czechia
2020-12-29,Pfizer/BioNTech,7054,Czechia
2020-12-30,Pfizer/BioNTech,10571,Czechia
2020-12-31,Pfizer/BioNTech,11880,Czechia
2021-01-01,Moderna,1,Czechia
2021-01-01,Pfizer/BioNTech,12148,Czechia
2021-01-02,Pfizer/BioNTech,13426,Czechia
2021-01-03,Pfizer/BioNTech,14348,Czechia
2021-01-04,Moderna,8,Czechia
2021-01-04,Pfizer/BioNTech,17950,Czechia
2021-01-05,Moderna,10,Czechia
2021-01-05,Pfizer/BioNTech,22467,Czechia
2021-01-06,Moderna,11,Czechia
2021-01-06,Pfizer/BioNTech,28309,Czechia
2021-01-07,Moderna,12,Czechia
2021-01-07,Pfizer/BioNTech,36303,Czechia
2021-01-08,Pfizer/BioNTech,46354,Czechia
2021-01-08,Moderna,13,Czechia
2021-01-09,Moderna,15,Czechia
2021-01-09,Pfizer/BioNTech,48379,Czechia
2021-01-10,Pfizer/BioNTech,50147,Czechia
2021-01-11,Pfizer/BioNTech,60005,Czechia
2021-01-12,Moderna,16,Czechia
2021-01-12,Pfizer/BioNTech,73451,Czechia
2021-01-13,Pfizer/BioNTech,86988,Czechia
2021-01-14,Pfizer/BioNTech,101004,Czechia
2021-01-14,Moderna,1244,Czechia
2021-01-15,Moderna,2011,Czechia
2021-01-15,Pfizer/BioNTech,114249,Czechia
2021-01-16,Moderna,2338,Czechia
2021-01-16,Pfizer/BioNTech,117322,Czechia
2021-01-17,Moderna,2430,Czechia
2021-01-17,Pfizer/BioNTech,120484,Czechia
2021-01-18,Moderna,2609,Czechia
2021-01-18,Pfizer/BioNTech,134616,Czechia
2021-01-19,Pfizer/BioNTech,149166,Czechia
2021-01-19,Moderna,3389,Czechia
2021-01-20,Moderna,4975,Czechia
2021-01-20,Pfizer/BioNTech,163923,Czechia
2021-01-21,Moderna,5941,Czechia
2021-01-21,Pfizer/BioNTech,180352,Czechia
2021-01-22,Moderna,6143,Czechia
2021-01-22,Pfizer/BioNTech,196072,Czechia
2021-01-23,Pfizer/BioNTech,200230,Czechia
2021-01-23,Moderna,6185,Czechia
2021-01-24,Moderna,6309,Czechia
2021-01-24,Pfizer/BioNTech,203229,Czechia
2021-01-25,Moderna,6508,Czechia
2021-01-25,Pfizer/BioNTech,215641,Czechia
2021-01-26,Moderna,6783,Czechia
2021-01-26,Pfizer/BioNTech,229893,Czechia
2021-01-27,Pfizer/BioNTech,243154,Czechia
2021-01-27,Moderna,7089,Czechia
2021-01-28,Pfizer/BioNTech,256260,Czechia
2021-01-28,Moderna,7213,Czechia
2021-01-29,Moderna,7365,Czechia
2021-01-29,Pfizer/BioNTech,270229,Czechia
2021-01-30,Moderna,7369,Czechia
2021-01-30,Pfizer/BioNTech,272051,Czechia
2021-01-31,Moderna,7372,Czechia
2021-01-31,Pfizer/BioNTech,273942,Czechia
2021-02-01,Moderna,7633,Czechia
2021-02-01,Pfizer/BioNTech,285621,Czechia
2021-02-02,Moderna,7963,Czechia
2021-02-02,Pfizer/BioNTech,299665,Czechia
2021-02-03,Moderna,8705,Czechia
2021-02-03,Pfizer/BioNTech,314356,Czechia
2021-02-04,Moderna,9848,Czechia
2021-02-04,Pfizer/BioNTech,331096,Czechia
2021-02-05,Moderna,11042,Czechia
2021-02-05,Pfizer/BioNTech,346039,Czechia
2021-02-06,Oxford/AstraZeneca,1,Czechia
2021-02-06,Moderna,11305,Czechia
2021-02-06,Pfizer/BioNTech,348988,Czechia
2021-02-07,Pfizer/BioNTech,352075,Czechia
2021-02-07,Moderna,11569,Czechia
2021-02-08,Moderna,12485,Czechia
2021-02-08,Oxford/AstraZeneca,5,Czechia
2021-02-08,Pfizer/BioNTech,366669,Czechia
2021-02-09,Moderna,14146,Czechia
2021-02-09,Oxford/AstraZeneca,7,Czechia
2021-02-09,Pfizer/BioNTech,382011,Czechia
