location,date,vaccine,total_vaccinations
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,42
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-01,Pfizer/BioNTech,25
Finland,2021-01-08,Johnson&Johnson,0
Finland,2021-01-08,Moderna,189
Finland,2021-01-08,Oxford/AstraZeneca,142
Finland,2021-01-08,Pfizer/BioNTech,21096
Finland,2021-01-15,Johnson&Johnson,0
Finland,2021-01-15,Moderna,235
Finland,2021-01-15,Oxford/AstraZeneca,205
Finland,2021-01-15,Pfizer/BioNTech,61638
Finland,2021-01-22,Johnson&Johnson,0
Finland,2021-01-22,Moderna,1162
Finland,2021-01-22,Oxford/AstraZeneca,279
Finland,2021-01-22,Pfizer/BioNTech,118589
Finland,2021-01-29,Johnson&Johnson,0
Finland,2021-01-29,Moderna,3800
Finland,2021-01-29,Oxford/AstraZeneca,287
Finland,2021-01-29,Pfizer/BioNTech,172300
Finland,2021-02-05,Johnson&Johnson,0
Finland,2021-02-05,Moderna,4683
Finland,2021-02-05,Oxford/AstraZeneca,292
Finland,2021-02-05,Pfizer/BioNTech,226972
Finland,2021-02-12,Johnson&Johnson,0
Finland,2021-02-12,Moderna,5994
Finland,2021-02-12,Oxford/AstraZeneca,4208
Finland,2021-02-12,Pfizer/BioNTech,277949
Finland,2021-02-19,Johnson&Johnson,0
Finland,2021-02-19,Moderna,10607
Finland,2021-02-19,Oxford/AstraZeneca,24319
Finland,2021-02-19,Pfizer/BioNTech,337840
Finland,2021-02-26,Johnson&Johnson,0
Finland,2021-02-26,Moderna,19213
Finland,2021-02-26,Oxford/AstraZeneca,55989
Finland,2021-02-26,Pfizer/BioNTech,400548
Finland,2021-03-05,Johnson&Johnson,0
Finland,2021-03-05,Moderna,27164
Finland,2021-03-05,Oxford/AstraZeneca,96100
Finland,2021-03-05,Pfizer/BioNTech,466371
Finland,2021-03-12,Johnson&Johnson,0
Finland,2021-03-12,Moderna,38888
Finland,2021-03-12,Oxford/AstraZeneca,140448
Finland,2021-03-12,Pfizer/BioNTech,534449
Finland,2021-03-19,Johnson&Johnson,0
Finland,2021-03-19,Moderna,42694
Finland,2021-03-19,Oxford/AstraZeneca,184967
Finland,2021-03-19,Pfizer/BioNTech,613606
Finland,2021-03-26,Johnson&Johnson,0
Finland,2021-03-26,Moderna,52731
Finland,2021-03-26,Oxford/AstraZeneca,185035
Finland,2021-03-26,Pfizer/BioNTech,713967
Finland,2021-04-02,Johnson&Johnson,0
Finland,2021-04-02,Moderna,69549
Finland,2021-04-02,Oxford/AstraZeneca,202329
Finland,2021-04-02,Pfizer/BioNTech,813403
Finland,2021-04-09,Johnson&Johnson,0
Finland,2021-04-09,Moderna,81563
Finland,2021-04-09,Oxford/AstraZeneca,243200
Finland,2021-04-09,Pfizer/BioNTech,934143
Finland,2021-04-16,Johnson&Johnson,0
Finland,2021-04-16,Moderna,103660
Finland,2021-04-16,Oxford/AstraZeneca,298905
Finland,2021-04-16,Pfizer/BioNTech,1090943
Finland,2021-04-23,Johnson&Johnson,0
Finland,2021-04-23,Moderna,118373
Finland,2021-04-23,Oxford/AstraZeneca,336071
Finland,2021-04-23,Pfizer/BioNTech,1260356
Finland,2021-04-30,Johnson&Johnson,0
Finland,2021-04-30,Moderna,137888
Finland,2021-04-30,Oxford/AstraZeneca,353606
Finland,2021-04-30,Pfizer/BioNTech,1437074
Finland,2021-05-07,Johnson&Johnson,0
Finland,2021-05-07,Moderna,162314
Finland,2021-05-07,Oxford/AstraZeneca,359490
Finland,2021-05-07,Pfizer/BioNTech,1650618
Finland,2021-05-14,Johnson&Johnson,0
Finland,2021-05-14,Moderna,188396
Finland,2021-05-14,Oxford/AstraZeneca,367246
Finland,2021-05-14,Pfizer/BioNTech,1852806
Finland,2021-05-21,Johnson&Johnson,0
Finland,2021-05-21,Moderna,222244
Finland,2021-05-21,Oxford/AstraZeneca,380322
Finland,2021-05-21,Pfizer/BioNTech,2082122
Finland,2021-05-28,Johnson&Johnson,0
Finland,2021-05-28,Moderna,258787
Finland,2021-05-28,Oxford/AstraZeneca,392041
Finland,2021-05-28,Pfizer/BioNTech,2307205
Finland,2021-06-04,Johnson&Johnson,0
Finland,2021-06-04,Moderna,297002
Finland,2021-06-04,Oxford/AstraZeneca,404686
Finland,2021-06-04,Pfizer/BioNTech,2555091
Finland,2021-06-11,Johnson&Johnson,0
Finland,2021-06-11,Moderna,326008
Finland,2021-06-11,Oxford/AstraZeneca,421800
Finland,2021-06-11,Pfizer/BioNTech,2851518
Finland,2021-06-18,Johnson&Johnson,0
Finland,2021-06-18,Moderna,358887
Finland,2021-06-18,Oxford/AstraZeneca,425856
Finland,2021-06-18,Pfizer/BioNTech,3154206
Finland,2021-06-25,Johnson&Johnson,0
Finland,2021-06-25,Moderna,384132
Finland,2021-06-25,Oxford/AstraZeneca,438714
Finland,2021-06-25,Pfizer/BioNTech,3371701
Finland,2021-07-02,Johnson&Johnson,0
Finland,2021-07-02,Moderna,410162
Finland,2021-07-02,Oxford/AstraZeneca,471102
Finland,2021-07-02,Pfizer/BioNTech,3625635
Finland,2021-07-09,Johnson&Johnson,0
Finland,2021-07-09,Moderna,442088
Finland,2021-07-09,Oxford/AstraZeneca,507700
Finland,2021-07-09,Pfizer/BioNTech,3855208
Finland,2021-07-16,Johnson&Johnson,0
Finland,2021-07-16,Moderna,468082
Finland,2021-07-16,Oxford/AstraZeneca,535861
Finland,2021-07-16,Pfizer/BioNTech,4058815
Finland,2021-07-23,Johnson&Johnson,0
Finland,2021-07-23,Moderna,499888
Finland,2021-07-23,Oxford/AstraZeneca,549112
Finland,2021-07-23,Pfizer/BioNTech,4277425
Finland,2021-07-30,Johnson&Johnson,0
Finland,2021-07-30,Moderna,536568
Finland,2021-07-30,Oxford/AstraZeneca,551929
Finland,2021-07-30,Pfizer/BioNTech,4503136
Finland,2021-08-06,Johnson&Johnson,0
Finland,2021-08-06,Moderna,580688
Finland,2021-08-06,Oxford/AstraZeneca,552651
Finland,2021-08-06,Pfizer/BioNTech,4713622
Finland,2021-08-13,Johnson&Johnson,0
Finland,2021-08-13,Moderna,621887
Finland,2021-08-13,Oxford/AstraZeneca,552847
Finland,2021-08-13,Pfizer/BioNTech,4932197
Finland,2021-08-20,Johnson&Johnson,0
Finland,2021-08-20,Moderna,659424
Finland,2021-08-20,Oxford/AstraZeneca,553002
Finland,2021-08-20,Pfizer/BioNTech,5133760
Finland,2021-08-27,Johnson&Johnson,0
Finland,2021-08-27,Moderna,688371
Finland,2021-08-27,Oxford/AstraZeneca,553134
Finland,2021-08-27,Pfizer/BioNTech,5315078
Finland,2021-09-03,Johnson&Johnson,0
Finland,2021-09-03,Moderna,714551
Finland,2021-09-03,Oxford/AstraZeneca,553167
Finland,2021-09-03,Pfizer/BioNTech,5499629
Finland,2021-09-10,Johnson&Johnson,0
Finland,2021-09-10,Moderna,743601
Finland,2021-09-10,Oxford/AstraZeneca,553200
Finland,2021-09-10,Pfizer/BioNTech,5656308
Finland,2021-09-17,Johnson&Johnson,0
Finland,2021-09-17,Moderna,771830
