location,date,vaccine,total_vaccinations
Ireland,2021-01-01,Pfizer/BioNTech,0
Ireland,2021-01-08,Johnson&Johnson,9
Ireland,2021-01-08,Moderna,29
Ireland,2021-01-08,Oxford/AstraZeneca,83
Ireland,2021-01-08,Pfizer/BioNTech,52854
Ireland,2021-01-15,Moderna,1952
Ireland,2021-01-15,Oxford/AstraZeneca,106
Ireland,2021-01-15,Pfizer/BioNTech,99883
Ireland,2021-01-22,Moderna,1969
Ireland,2021-01-22,Oxford/AstraZeneca,142
Ireland,2021-01-22,Pfizer/BioNTech,149940
Ireland,2021-01-29,Moderna,1978
Ireland,2021-01-29,Oxford/AstraZeneca,191
Ireland,2021-01-29,Pfizer/BioNTech,203973
Ireland,2021-02-05,Moderna,2001
Ireland,2021-02-05,Oxford/AstraZeneca,263
Ireland,2021-02-05,Pfizer/BioNTech,257420
Ireland,2021-02-12,Moderna,3961
Ireland,2021-02-12,Oxford/AstraZeneca,17897
Ireland,2021-02-12,Pfizer/BioNTech,271074
Ireland,2021-02-19,Johnson&Johnson,14
Ireland,2021-02-19,Moderna,5175
Ireland,2021-02-19,Oxford/AstraZeneca,38507
Ireland,2021-02-19,Pfizer/BioNTech,335035
Ireland,2021-02-26,Johnson&Johnson,20
Ireland,2021-02-26,Moderna,9628
Ireland,2021-02-26,Oxford/AstraZeneca,72219
Ireland,2021-02-26,Pfizer/BioNTech,385757
Ireland,2021-03-05,Johnson&Johnson,22
Ireland,2021-03-05,Moderna,16960
Ireland,2021-03-05,Oxford/AstraZeneca,99845
Ireland,2021-03-05,Pfizer/BioNTech,438052
Ireland,2021-03-12,Johnson&Johnson,28
Ireland,2021-03-12,Moderna,21005
Ireland,2021-03-12,Oxford/AstraZeneca,132881
Ireland,2021-03-12,Pfizer/BioNTech,491062
Ireland,2021-03-19,Johnson&Johnson,34
Ireland,2021-03-19,Moderna,22750
Ireland,2021-03-19,Oxford/AstraZeneca,136314
Ireland,2021-03-19,Pfizer/BioNTech,553591
Ireland,2021-03-26,Johnson&Johnson,39
Ireland,2021-03-26,Moderna,30687
Ireland,2021-03-26,Oxford/AstraZeneca,174137
Ireland,2021-03-26,Pfizer/BioNTech,640094
Ireland,2021-04-02,Johnson&Johnson,45
Ireland,2021-04-02,Moderna,43362
Ireland,2021-04-02,Oxford/AstraZeneca,209154
Ireland,2021-04-02,Pfizer/BioNTech,732369
Ireland,2021-04-09,Johnson&Johnson,56
Ireland,2021-04-09,Moderna,51745
Ireland,2021-04-09,Oxford/AstraZeneca,240615
Ireland,2021-04-09,Pfizer/BioNTech,823401
Ireland,2021-04-16,Johnson&Johnson,65
Ireland,2021-04-16,Moderna,56577
Ireland,2021-04-16,Oxford/AstraZeneca,249129
Ireland,2021-04-16,Pfizer/BioNTech,963921
Ireland,2021-04-23,Johnson&Johnson,66
Ireland,2021-04-23,Moderna,69910
Ireland,2021-04-23,Oxford/AstraZeneca,306837
Ireland,2021-04-23,Pfizer/BioNTech,1089006
Ireland,2021-04-30,Johnson&Johnson,71
Ireland,2021-04-30,Moderna,84047
Ireland,2021-04-30,Oxford/AstraZeneca,390337
Ireland,2021-04-30,Pfizer/BioNTech,1205862
Ireland,2021-05-07,Johnson&Johnson,340
Ireland,2021-05-07,Moderna,93758
Ireland,2021-05-07,Oxford/AstraZeneca,516670
Ireland,2021-05-07,Pfizer/BioNTech,1322124
Ireland,2021-05-14,Johnson&Johnson,1150
Ireland,2021-05-14,Moderna,119740
Ireland,2021-05-14,Oxford/AstraZeneca,596128
Ireland,2021-05-14,Pfizer/BioNTech,1541653
Ireland,2021-05-21,Johnson&Johnson,40255
Ireland,2021-05-21,Moderna,159047
Ireland,2021-05-21,Oxford/AstraZeneca,610985
Ireland,2021-05-21,Pfizer/BioNTech,1778235
Ireland,2021-05-28,Johnson&Johnson,57648
Ireland,2021-05-28,Moderna,194878
Ireland,2021-05-28,Oxford/AstraZeneca,661444
Ireland,2021-05-28,Pfizer/BioNTech,1981358
Ireland,2021-06-04,Johnson&Johnson,70724
Ireland,2021-06-04,Moderna,234076
Ireland,2021-06-04,Oxford/AstraZeneca,698611
Ireland,2021-06-04,Pfizer/BioNTech,2165646
Ireland,2021-06-11,Johnson&Johnson,72001
Ireland,2021-06-11,Moderna,273932
Ireland,2021-06-11,Oxford/AstraZeneca,716408
Ireland,2021-06-11,Pfizer/BioNTech,2399638
Ireland,2021-06-18,Johnson&Johnson,73955
Ireland,2021-06-18,Moderna,317126
Ireland,2021-06-18,Oxford/AstraZeneca,810255
Ireland,2021-06-18,Pfizer/BioNTech,2623112
Ireland,2021-06-25,Johnson&Johnson,78288
Ireland,2021-06-25,Moderna,356463
Ireland,2021-06-25,Oxford/AstraZeneca,920020
Ireland,2021-06-25,Pfizer/BioNTech,2842771
Ireland,2021-07-02,Johnson&Johnson,82028
Ireland,2021-07-02,Moderna,402349
Ireland,2021-07-02,Oxford/AstraZeneca,1024478
Ireland,2021-07-02,Pfizer/BioNTech,3053237
Ireland,2021-07-09,Johnson&Johnson,116606
Ireland,2021-07-09,Moderna,435630
Ireland,2021-07-09,Oxford/AstraZeneca,1129462
Ireland,2021-07-09,Pfizer/BioNTech,3268270
