date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,2454,Lithuania
2020-12-28,Pfizer/BioNTech,5213,Lithuania
2020-12-29,Pfizer/BioNTech,8188,Lithuania
2020-12-30,Pfizer/BioNTech,9721,Lithuania
2020-12-31,Pfizer/BioNTech,9746,Lithuania
2021-01-01,Pfizer/BioNTech,9746,Lithuania
2021-01-02,Pfizer/BioNTech,9746,Lithuania
2021-01-03,Pfizer/BioNTech,9746,Lithuania
2021-01-04,Pfizer/BioNTech,9748,Lithuania
2021-01-05,Pfizer/BioNTech,10372,Lithuania
2021-01-06,Pfizer/BioNTech,13877,Lithuania
2021-01-07,Pfizer/BioNTech,18061,Lithuania
2021-01-08,Pfizer/BioNTech,23256,Lithuania
2021-01-09,Pfizer/BioNTech,23560,Lithuania
2021-01-10,Pfizer/BioNTech,23563,Lithuania
2021-01-11,Pfizer/BioNTech,25769,Lithuania
2021-01-12,Pfizer/BioNTech,27862,Lithuania
2021-01-13,Moderna,163,Lithuania
2021-01-13,Pfizer/BioNTech,33969,Lithuania
2021-01-14,Moderna,471,Lithuania
2021-01-14,Pfizer/BioNTech,42350,Lithuania
2021-01-15,Moderna,1043,Lithuania
2021-01-15,Pfizer/BioNTech,49115,Lithuania
2021-01-16,Pfizer/BioNTech,50220,Lithuania
2021-01-16,Moderna,1043,Lithuania
2021-01-17,Moderna,1044,Lithuania
2021-01-17,Pfizer/BioNTech,51352,Lithuania
2021-01-18,Moderna,1581,Lithuania
2021-01-18,Pfizer/BioNTech,55352,Lithuania
2021-01-19,Moderna,2077,Lithuania
2021-01-19,Pfizer/BioNTech,61150,Lithuania
2021-01-20,Moderna,2315,Lithuania
2021-01-20,Pfizer/BioNTech,64390,Lithuania
2021-01-21,Moderna,2375,Lithuania
2021-01-21,Pfizer/BioNTech,65880,Lithuania
2021-01-22,Pfizer/BioNTech,66274,Lithuania
2021-01-22,Moderna,2375,Lithuania
2021-01-23,Moderna,2375,Lithuania
2021-01-23,Pfizer/BioNTech,66282,Lithuania
2021-01-24,Moderna,2375,Lithuania
2021-01-24,Pfizer/BioNTech,66282,Lithuania
2021-01-25,Moderna,2375,Lithuania
2021-01-25,Pfizer/BioNTech,66388,Lithuania
2021-01-26,Moderna,2375,Lithuania
2021-01-26,Pfizer/BioNTech,69545,Lithuania
2021-01-27,Moderna,2375,Lithuania
2021-01-27,Pfizer/BioNTech,76455,Lithuania
2021-01-28,Pfizer/BioNTech,83541,Lithuania
2021-01-28,Moderna,2375,Lithuania
2021-01-29,Oxford/AstraZeneca,1,Lithuania
2021-01-29,Pfizer/BioNTech,91556,Lithuania
2021-01-29,Moderna,2375,Lithuania
2021-01-30,Moderna,2375,Lithuania
2021-01-30,Oxford/AstraZeneca,1,Lithuania
2021-01-30,Pfizer/BioNTech,92200,Lithuania
2021-01-31,Moderna,2375,Lithuania
2021-01-31,Oxford/AstraZeneca,1,Lithuania
2021-01-31,Pfizer/BioNTech,92208,Lithuania
2021-02-01,Moderna,2375,Lithuania
2021-02-01,Oxford/AstraZeneca,1,Lithuania
2021-02-01,Pfizer/BioNTech,94987,Lithuania
2021-02-02,Oxford/AstraZeneca,3,Lithuania
2021-02-02,Pfizer/BioNTech,98466,Lithuania
2021-02-02,Moderna,2697,Lithuania
2021-02-03,Moderna,3327,Lithuania
2021-02-03,Oxford/AstraZeneca,5,Lithuania
2021-02-03,Pfizer/BioNTech,104552,Lithuania
2021-02-04,Moderna,3909,Lithuania
2021-02-04,Oxford/AstraZeneca,6,Lithuania
2021-02-04,Pfizer/BioNTech,113729,Lithuania
2021-02-05,Moderna,4054,Lithuania
2021-02-05,Oxford/AstraZeneca,7,Lithuania
2021-02-05,Pfizer/BioNTech,120805,Lithuania
2021-02-06,Moderna,4054,Lithuania
2021-02-06,Oxford/AstraZeneca,8,Lithuania
2021-02-06,Pfizer/BioNTech,121528,Lithuania
2021-02-07,Pfizer/BioNTech,121625,Lithuania
2021-02-07,Oxford/AstraZeneca,8,Lithuania
2021-02-07,Moderna,4054,Lithuania
2021-02-08,Moderna,4142,Lithuania
2021-02-08,Oxford/AstraZeneca,8,Lithuania
2021-02-08,Pfizer/BioNTech,124179,Lithuania
2021-02-09,Moderna,4382,Lithuania
2021-02-09,Oxford/AstraZeneca,310,Lithuania
2021-02-09,Pfizer/BioNTech,126481,Lithuania
2021-02-10,Pfizer/BioNTech,129568,Lithuania
2021-02-10,Moderna,4695,Lithuania
2021-02-10,Oxford/AstraZeneca,3041,Lithuania
2021-02-11,Pfizer/BioNTech,135699,Lithuania
2021-02-11,Oxford/AstraZeneca,5547,Lithuania
2021-02-11,Moderna,5126,Lithuania
2021-02-12,Moderna,5753,Lithuania
2021-02-12,Oxford/AstraZeneca,7492,Lithuania
2021-02-12,Pfizer/BioNTech,140406,Lithuania
2021-02-13,Pfizer/BioNTech,140538,Lithuania
2021-02-13,Moderna,5754,Lithuania
2021-02-13,Oxford/AstraZeneca,7807,Lithuania
2021-02-14,Oxford/AstraZeneca,7807,Lithuania
2021-02-14,Pfizer/BioNTech,140539,Lithuania
2021-02-14,Moderna,5754,Lithuania
2021-02-15,Oxford/AstraZeneca,9659,Lithuania
2021-02-15,Pfizer/BioNTech,142066,Lithuania
2021-02-15,Moderna,7008,Lithuania
2021-02-16,Pfizer/BioNTech,142595,Lithuania
2021-02-16,Oxford/AstraZeneca,9659,Lithuania
2021-02-16,Moderna,7008,Lithuania
2021-02-17,Moderna,8362,Lithuania
2021-02-17,Oxford/AstraZeneca,10638,Lithuania
2021-02-17,Pfizer/BioNTech,148532,Lithuania
2021-02-18,Moderna,8899,Lithuania
2021-02-18,Oxford/AstraZeneca,12132,Lithuania
2021-02-18,Pfizer/BioNTech,157853,Lithuania
